SOS_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
SOS10,468,2128,310,396,120,25,3436,115,4471,525,218,88,38,5451,956,27153,2337,1672,654,196,32968,2206,12798,4555,3017,942,168,23694,3009,5610,1790,3443,627,98,14570,9986,6152,2426,4980,2228,146,25917,39463,4825,2285,10039,2021,211,58850,130196,4903,2223,19999,3326,403,161051,134071,1770,780,16990,2428,275,156307,88687,460,267,9791,1197,136,100539,47913,157,104,5621,558,80,54435,24722,95,57,3382,317,43,28613,13569,36,23,1940,134,16,15716,24901,37,21,4246,305,47,29556,8901,4454,1016,6364,1992,1692,24421,529164,75040,18704,92086,16942,3582,735520
SOS11,168,412,204,256,356,19,1413,149,674,235,179,213,22,1477,1218,3920,1123,1490,701,121,8568,5327,4399,2747,2918,1060,177,16627,5405,1753,911,3244,642,98,12048,13279,2474,1283,4747,1610,156,23550,27047,1822,958,7338,1183,135,38469,36045,979,666,7111,1019,131,45952,16242,152,127,2565,341,24,19449,5101,42,16,953,126,13,6259,1891,17,28,405,94,4,2440,681,8,10,243,66,5,1011,298,10,5,115,43,4,469,544,0,5,357,164,4,1070,2064,1200,444,1884,1326,503,7429,115457,17858,8758,33802,8950,1409,186235
SOS12,17,54,14,45,137,0,272,7,23,34,39,29,3,140,106,79,78,264,120,17,662,233,168,166,421,127,18,1134,218,43,55,415,83,6,821,508,48,36,428,130,11,1162,888,17,17,548,67,7,1556,1342,15,11,530,60,9,1962,673,3,6,237,30,4,953,312,0,0,98,10,0,426,134,0,0,36,11,0,184,51,0,0,25,6,0,82,25,0,0,14,9,0,42,68,0,0,66,35,0,170,83,27,51,266,131,42,601,4663,476,472,3432,987,117,10151
SOS13,28,24,19,343,289,3,701,11,4,10,160,69,0,264,140,36,54,1057,331,23,1641,343,39,162,1240,350,20,2154,365,15,41,1224,286,11,1939,792,24,31,1409,325,21,2613,1540,3,18,1709,273,11,3552,2450,9,6,1582,240,20,4312,1549,5,3,849,124,6,2536,835,3,0,374,44,5,1263,550,4,0,195,20,3,770,297,4,3,125,24,3,454,150,0,0,46,8,3,207,268,0,0,165,54,3,485,224,28,47,1292,1338,85,3022,9541,184,401,11773,3784,220,25902
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,496,1745,214,538,124,22,3140,265,2352,275,408,113,20,3443,1335,14489,1232,2711,542,161,20468,3452,5885,2170,4411,758,134,16807,4172,2923,1234,3807,540,72,12740,16807,3085,1365,6877,1447,152,29727,78845,2538,1074,16612,2290,292,101656,171830,1876,629,19409,2680,332,196751,75536,432,177,9053,816,123,86141,32066,112,51,3868,251,51,36388,15855,69,26,2023,143,24,18146,8684,42,27,1269,68,14,10107,4701,31,12,633,61,8,5436,8656,21,5,1489,199,24,10393,7867,3007,603,6151,1651,1227,20510,430555,38610,9095,79257,11685,2653,571839
SOS21,96,530,85,188,120,10,1027,75,641,103,145,72,18,1046,806,4224,445,1161,330,79,7041,3411,2001,661,2139,425,98,8735,3625,946,235,2398,275,47,7531,9350,986,346,3337,598,66,14678,17894,433,302,4303,571,103,23599,18579,142,104,2810,331,74,22040,4267,42,17,761,113,12,5214,1040,11,13,192,46,0,1291,320,7,3,94,38,5,465,125,4,0,47,27,0,207,63,0,0,27,16,0,110,177,4,0,143,43,4,373,1140,827,163,1086,523,279,4023,60955,10800,2478,18827,3520,792,97373
SOS22,7,31,8,49,59,0,152,8,39,13,34,19,5,121,93,128,20,228,124,3,599,193,23,41,358,76,8,698,179,11,16,308,33,5,545,436,3,10,313,49,7,819,695,0,0,358,36,3,1105,561,0,0,187,26,0,783,146,0,0,44,9,3,197,37,0,0,23,3,0,63,15,0,0,8,8,0,33,4,0,0,3,4,0,18,3,0,0,6,6,0,15,30,0,0,40,22,0,96,57,17,8,188,67,22,367,2469,262,123,2149,534,56,5595
SOS23,15,6,5,240,189,15,466,14,23,10,170,87,5,306,137,27,27,931,409,32,1568,306,16,19,1070,288,11,1704,353,5,5,939,286,13,1597,665,11,7,897,346,11,1937,996,10,6,964,217,15,2212,1022,3,3,669,132,5,1837,537,0,0,230,45,0,807,235,0,4,75,25,0,335,157,0,0,46,7,0,214,57,0,0,25,16,0,100,30,0,0,14,3,0,50,53,0,0,103,24,0,178,130,14,18,866,709,50,1796,4708,118,104,7249,2769,169,15116
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
