SOS_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
SOS43,393,649,1539,1942,2447,2734,1769,552,56,12084,20,121,637,612,542,386,58,6,0,2387,181,258,484,638,909,833,249,32,3,3582,15,23,106,157,194,185,35,3,0,729,292,500,934,1047,1150,1165,275,15,0,5377,65,84,136,199,283,248,76,12,0,1096,391,214,267,239,343,311,129,16,0,1905,370,159,177,116,179,198,65,14,0,1277,39,69,201,323,558,633,213,29,0,2060,8,14,19,38,38,34,15,7,0,167,3,9,38,84,99,65,14,8,0,314,4,14,30,36,57,70,41,10,0,268,20,59,159,268,298,332,146,24,0,1303,42,55,153,144,212,238,75,11,0,935,22,79,211,311,490,476,86,7,0,1678,22,73,130,185,259,290,128,20,0,1112,23,49,135,167,280,344,124,12,0,1131,34,39,47,52,71,91,38,10,0,382,118,146,235,249,305,301,100,9,0,1466,106,125,208,207,354,333,179,75,11,1598
SOS47,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,151,281,687,696,718,639,379,119,6,3674,295,2029,10396,12933,10530,6189,1160,71,3,43611,1275,2870,7471,9061,9072,7023,1681,179,8,38647,118,345,1534,2051,1898,1449,295,14,0,7707,2854,6576,17992,17992,14358,10352,2442,196,10,72763,494,1206,3569,4281,4090,2994,797,104,10,17534,5826,7394,8419,6296,5008,3761,1466,203,13,38394,8576,5584,6304,4197,2477,1898,574,72,3,29673,672,2230,7294,8132,7461,6911,2179,194,4,35072,203,502,1249,1430,1091,689,210,39,0,5405,52,579,2411,3179,2827,1718,580,116,8,11472,113,404,1258,1531,1547,1222,723,179,24,6998,366,2905,10282,12983,9990,6270,2397,376,28,45594,547,1489,3374,3187,2800,2443,877,120,10,14852,263,1685,6522,7615,7614,6153,1560,163,8,31594,875,1788,4708,4883,4764,4537,1710,183,12,23463,383,2287,7028,7192,6103,4924,1830,246,9,30009,1173,1363,1999,1585,1201,934,395,83,6,8726,985,2092,4497,3987,3570,2951,1081,157,11,19336,1300,2991,7130,7001,5888,4144,1344,256,52,30111
SOS51,166,268,775,659,669,670,408,127,18,3751,204,833,3621,4562,3810,2481,370,18,0,15897,348,621,1632,1765,1616,1204,285,33,0,7500,50,122,393,539,581,528,80,5,0,2294,737,1399,3434,3234,2855,2425,647,49,0,14771,107,214,587,645,657,507,137,14,0,2874,1214,802,1204,954,916,833,311,48,0,6288,1534,551,986,759,511,461,182,30,0,5019,125,315,1057,1295,1648,1682,578,50,4,6756,33,45,125,109,90,82,34,3,0,528,9,37,92,162,204,134,53,9,0,695,19,53,181,185,234,207,104,31,3,1028,62,160,656,693,673,559,244,33,6,3072,95,164,465,465,528,488,163,16,0,2386,77,244,947,1183,1400,1274,347,21,0,5476,42,151,586,727,819,774,283,22,0,3407,82,220,853,916,936,934,337,28,3,4317,103,72,133,119,121,111,60,17,0,739,289,488,847,786,719,569,195,23,0,3913,292,414,1000,931,909,744,247,65,18,4622
SOS52,64,115,286,232,223,266,173,60,3,1431,29,126,586,616,558,447,80,3,0,2439,52,80,179,206,222,170,40,4,0,962,6,10,45,54,76,70,17,0,0,283,74,135,343,350,342,393,110,4,0,1756,13,45,90,83,81,81,28,8,0,431,74,76,109,60,90,114,45,3,0,576,88,63,112,89,86,110,59,9,0,614,10,31,105,130,167,296,130,16,0,879,3,7,3,16,13,3,3,0,0,44,0,0,3,7,15,17,5,3,0,56,0,5,12,13,21,23,12,0,0,85,6,7,41,72,70,71,43,9,0,319,11,19,71,64,88,78,29,5,0,362,18,43,164,195,323,373,93,7,0,1226,7,35,93,86,104,114,42,6,0,480,10,16,89,88,110,128,30,6,0,479,10,7,27,23,17,28,7,0,0,125,30,50,93,71,92,94,36,5,0,476,47,52,127,111,144,143,77,19,7,721
SOS53,329,626,1516,1812,2222,2436,1589,587,95,11212,127,813,3752,4143,4024,2664,403,17,0,15935,158,202,374,554,725,700,218,38,5,2971,10,15,74,154,178,195,44,3,0,675,312,573,1380,1680,1796,1649,423,34,0,7852,62,86,213,247,308,321,94,9,0,1347,320,224,216,204,325,316,145,20,0,1780,378,185,328,247,297,305,137,21,3,1899,39,76,246,367,663,721,302,28,0,2441,3,19,29,45,53,34,17,0,0,201,0,10,39,71,85,74,39,5,0,327,14,23,67,58,122,136,60,17,0,491,24,90,264,347,443,419,197,24,0,1816,41,91,213,221,299,280,102,11,0,1267,34,216,356,350,572,629,145,17,0,2319,25,56,127,206,272,346,131,8,0,1178,15,44,140,182,248,273,118,16,0,1032,29,37,79,72,104,108,44,13,0,474,147,154,302,333,337,342,125,8,0,1750,150,168,320,349,468,445,201,73,9,2181
SOS57,3,13,30,20,14,11,0,0,0,91,0,8,65,164,162,85,3,0,0,488,0,0,3,14,7,10,6,0,0,36,0,0,7,13,11,9,0,0,0,51,0,0,38,81,62,23,3,0,0,212,0,0,3,7,8,6,0,0,0,21,0,0,0,0,3,0,0,0,0,8,0,4,7,11,7,4,0,0,0,39,0,3,22,51,55,31,3,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,4,14,19,5,0,0,0,49,0,5,8,15,21,10,4,0,0,53,0,0,8,0,3,0,0,0,0,24,0,0,3,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,10,42,81,68,29,0,0,0,231
SOS60,19,81,406,236,192,119,43,9,0,1110,0,7,40,42,37,29,7,3,0,161,92,258,877,725,687,585,124,15,0,3354,3,47,349,400,366,233,40,6,0,1445,306,781,1789,1313,999,839,205,25,0,6256,20,75,296,242,260,176,58,7,0,1135,428,661,1370,708,499,382,155,25,0,4237,557,621,1612,590,313,177,86,13,0,3958,25,119,756,476,435,506,150,18,0,2486,21,50,186,186,164,104,35,0,0,750,6,53,252,311,233,149,51,11,0,1064,9,34,112,104,123,95,73,20,0,559,34,186,932,890,745,517,255,41,0,3612,38,106,389,235,229,200,67,3,0,1270,29,184,916,1052,1246,864,168,17,0,4477,87,214,753,742,739,566,177,13,0,3291,24,277,1339,946,793,667,218,16,0,4281,126,119,288,194,197,150,76,8,0,1162,58,130,445,354,266,280,94,28,0,1658,43,129,424,278,256,179,69,12,7,1396
SOS61,85,249,699,480,432,356,138,36,4,2479,4,50,230,256,257,203,33,3,0,1045,169,429,1267,1079,1199,998,174,13,6,5329,6,34,188,226,264,233,41,0,0,996,477,1009,2081,1339,1228,1110,267,28,0,7537,59,152,419,414,479,415,93,8,0,2058,583,589,1047,728,657,570,203,18,0,4394,702,464,771,340,249,226,85,12,0,2849,54,192,678,673,830,885,267,38,0,3611,18,40,107,130,94,81,16,3,0,487,7,41,139,166,148,118,26,3,0,655,7,29,81,58,84,98,47,13,0,427,20,115,468,411,352,299,145,26,0,1851,32,99,282,246,272,238,75,5,0,1248,17,102,457,560,671,542,107,6,0,2463,34,134,426,561,538,517,171,14,0,2391,33,218,988,768,736,693,218,17,0,3676,87,61,132,111,114,111,38,7,0,650,98,224,493,382,380,359,99,15,0,2033,60,177,400,326,298,296,106,30,9,1700
SOS62,26,58,174,171,166,161,57,17,0,828,3,16,76,86,84,75,27,0,0,361,27,46,132,145,137,143,37,0,0,674,3,8,36,37,41,35,11,0,0,171,59,117,241,205,222,225,66,11,0,1141,16,15,41,41,46,47,15,7,0,226,47,49,69,54,87,75,33,8,0,433,54,38,103,59,70,67,32,5,0,426,4,15,49,62,69,124,41,4,0,368,0,0,7,10,14,5,3,0,0,39,0,0,10,10,11,10,4,0,0,56,0,3,9,6,15,13,6,5,0,50,0,16,45,53,95,74,32,10,0,316,7,17,28,31,35,60,13,0,0,191,4,12,52,97,113,107,28,9,0,419,3,13,39,79,90,80,23,3,0,334,4,13,43,72,89,80,36,0,3,345,11,6,16,17,14,34,14,0,0,114,11,21,70,37,54,51,19,0,0,265,9,16,42,53,39,48,23,9,0,244
SOS63,174,330,860,834,962,1026,638,218,23,5063,4,34,126,168,168,161,31,0,0,695,104,169,401,526,634,583,148,18,0,2581,10,14,88,143,177,168,40,4,0,644,298,431,888,871,905,850,230,8,0,4482,37,52,103,156,233,204,53,5,0,847,223,154,179,195,247,241,86,7,0,1327,271,100,200,143,139,165,73,17,0,1109,23,54,159,251,393,487,135,14,0,1515,6,10,27,40,39,51,18,0,0,187,0,12,28,58,45,48,13,4,0,207,0,5,22,41,48,51,31,12,3,217,21,51,140,232,268,278,134,23,0,1148,15,39,96,131,163,165,41,0,0,654,13,36,165,259,414,384,59,0,0,1333,24,30,107,210,254,274,91,3,0,994,9,42,164,238,320,338,111,12,0,1228,34,24,51,72,88,104,38,3,0,411,60,97,157,202,219,175,69,3,0,994,52,82,143,177,219,195,107,39,12,1031
SOS67,0,0,6,3,3,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,4,23,29,33,28,7,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,10,13,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,18,38,77,55,80,81,44,8,0,392,10,41,235,306,296,152,19,6,0,1064,44,77,284,301,297,206,53,4,0,1275,7,31,162,193,171,155,35,4,0,760,153,357,1196,1135,853,567,174,17,0,4442,18,51,181,194,184,156,41,8,0,830,257,322,689,399,267,214,90,8,0,2259,488,379,869,400,232,163,65,3,0,2603,36,139,630,494,489,464,132,16,0,2405,14,19,90,85,75,59,18,0,0,362,4,15,66,80,76,59,21,4,0,317,4,14,77,94,97,71,47,17,4,411,25,140,581,538,347,301,139,12,0,2083,25,89,247,205,194,146,39,4,0,953,93,900,1907,1581,1389,836,201,11,0,6920,36,96,331,380,315,292,95,11,0,1546,37,158,816,730,439,301,132,16,3,2634,66,107,257,141,92,73,33,0,0,764,68,110,349,291,226,208,62,4,0,1312,65,188,462,403,294,221,73,13,4,1725
SOS71,0,12,21,24,19,28,17,0,0,122,0,8,59,119,94,62,8,0,0,355,19,21,80,80,40,50,16,0,0,312,0,9,44,35,44,53,11,0,0,207,57,97,359,291,214,205,54,3,0,1283,5,7,37,52,18,33,10,0,0,169,117,101,228,139,77,79,49,7,0,788,72,58,192,106,73,66,29,0,0,592,14,41,124,115,124,109,33,5,0,563,0,15,42,25,27,29,9,0,0,138,0,5,11,14,8,21,8,0,0,58,0,11,17,12,12,24,6,0,0,79,7,18,137,111,90,113,32,0,0,504,6,15,57,53,55,53,20,5,0,264,20,108,486,471,436,312,89,5,0,1930,26,46,186,171,124,119,48,3,0,722,12,64,385,432,275,241,79,3,0,1490,14,6,59,41,48,29,14,0,0,218,21,40,133,107,77,95,24,3,0,498,28,40,140,104,78,55,32,5,0,480
SOS72,0,25,29,36,21,28,25,0,0,166,6,0,47,78,81,63,6,0,0,278,3,6,13,15,13,21,0,0,0,74,0,0,14,22,27,17,7,0,0,88,18,34,74,102,78,76,26,3,0,413,0,3,5,5,4,5,6,0,0,33,8,30,60,43,52,35,18,0,0,255,20,42,131,58,46,54,15,0,0,358,7,16,23,34,34,34,22,0,0,171,0,4,3,5,0,6,0,0,0,19,0,0,0,9,0,8,0,0,0,20,0,0,0,0,6,3,5,0,0,16,0,4,23,16,11,21,13,0,0,96,0,9,34,24,25,22,11,0,0,120,5,45,157,174,163,146,38,5,0,734,10,22,67,73,57,55,16,4,0,292,3,14,67,70,72,54,28,0,0,305,5,15,42,38,20,16,9,0,0,141,13,11,24,47,22,22,21,0,0,166,5,21,30,20,36,22,11,3,0,148
SOS73,84,182,284,169,172,191,87,27,0,1201,9,47,215,264,320,170,30,4,0,1049,24,34,71,71,93,82,24,5,0,405,5,7,29,36,52,58,17,0,0,203,62,106,318,368,378,317,73,8,0,1633,15,24,41,37,52,41,8,0,0,202,61,38,64,53,75,56,21,4,0,370,77,26,75,59,64,71,31,6,0,403,8,15,85,91,132,151,38,3,0,526,0,0,12,11,13,8,6,0,0,52,0,5,7,14,14,14,7,0,0,62,0,3,10,6,22,19,10,3,0,67,3,15,59,57,77,66,39,4,0,316,13,13,38,53,69,62,22,0,0,281,16,92,267,267,293,199,52,3,0,1195,9,26,41,70,58,90,24,3,0,317,8,15,56,46,64,68,34,4,0,302,13,34,44,45,43,35,18,0,0,229,34,46,90,69,91,69,26,5,0,433,30,45,88,82,91,76,38,5,0,450
SOS77,0,4,15,7,3,6,3,0,0,41,0,0,3,10,23,9,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,0,0,0,16,0,0,6,3,3,0,0,0,0,15,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,11,19,17,13,6,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,7,0,0,3,4,5,4,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,11,13,0,0,0,39
SOS80,18,34,94,58,57,61,36,20,5,393,0,11,24,31,30,13,4,0,0,117,124,275,775,609,657,373,118,14,0,2953,19,96,345,324,295,209,40,3,0,1325,719,1891,4486,3347,2303,1394,386,46,6,14572,48,162,314,346,290,225,58,9,0,1460,1141,1534,2378,1155,771,547,221,41,3,7787,2045,1754,2413,1096,601,360,103,17,0,8397,70,295,1159,927,800,696,255,26,5,4229,41,155,599,631,500,248,49,8,4,2245,17,138,431,481,361,185,63,14,6,1696,31,126,367,313,266,207,93,27,8,1432,113,1288,4277,4281,3086,1883,665,93,7,15704,87,298,825,786,577,445,149,24,0,3191,417,2202,8155,10448,9228,4889,934,62,3,36342,422,866,1810,1789,1435,986,331,39,3,7686,146,629,2138,1884,1361,914,334,43,4,7448,327,340,457,327,276,199,78,19,0,2037,163,411,839,735,634,387,158,25,0,3353,113,330,939,709,458,258,75,17,3,2899
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,4,8,9,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,7,7,3,3,0,0,24,0,0,0,3,0,0,0,0,0,5,0,0,6,10,13,7,0,0,0,33,0,0,4,4,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,7
SOS83,0,3,6,0,6,3,8,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,6,14,3,7,4,5,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,3,16,29,30,10,0,4,0,0,0,83,0,0,0,3,0,4,0,0,0,10,0,0,0,0,3,0,0,0,0,3,0,0,3,0,3,0,0,0,0,10,0,0,0,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,0,5
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,0,0,0,0,0,0,0,0,0,12,11,19,14,9,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,5,0,0,15,0,6,10,4,13,13,0,0,0,54,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,5,0,0,0,10,0,0,13,6,5,4,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,11,0,0,3,0,3,5,3,0,0,20,3,9,39,29,18,18,11,0,0,128,0,0,5,0,0,0,4,0,0,10,0,0,0,4,0,4,4,0,0,11,4,0,0,0,0,4,0,0,0,11,0,0,7,4,3,0,3,0,0,11,0,3,6,3,8,6,7,0,0,36
SOS92,0,0,0,0,0,8,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,7,0,0,0,16,0,0,4,0,6,5,0,0,0,15,7,9,13,20,22,28,13,4,0,123,0,0,4,0,4,3,0,0,0,19,5,6,3,9,9,13,8,0,0,54,11,0,13,8,16,17,4,0,0,77,0,5,6,6,3,11,0,0,0,37,0,0,0,0,3,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,9,5,0,3,0,21,3,0,3,4,5,7,0,3,0,35,19,30,58,30,27,31,9,3,0,207,0,6,3,4,4,8,0,0,0,20,0,0,4,11,10,4,3,0,0,33,0,0,0,6,3,3,0,0,0,17,0,0,0,3,7,3,3,0,0,20,3,3,5,7,4,12,0,0,0,32
SOS93,0,0,0,0,0,3,0,0,0,6,0,0,0,0,7,3,4,0,0,14,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,4,7,0,6,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,4,0,0,9,0,0,8,9,13,12,4,0,0,45,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
