SOS_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
SOS10,184,28,34,42,165557,165849,5157,287,187,88,188247,193960,131510,5337,6626,267,292824,436562,266676,12977,21196,650,115600,417097,230254,16154,35174,1798,72091,355471,202996,13880,41722,4378,47023,309996,160695,9488,30664,9430,20897,231178,91530,3920,12890,14453,7581,130366,27159,751,2564,14473,1985,46929,3290,192,361,164,2226,6238,1119454,63014,151417,45739,914022,2293651,288,36,30,38,155539,155928,11572,763,449,71,170567,183430,177224,9144,10582,488,248874,446312,275130,18070,30859,1967,99295,425318,230164,20285,52404,5936,61993,370790,195215,16093,60053,17494,37505,326362,145174,9455,45710,38220,18042,256602,66716,2924,19827,56889,6681,153035,13186,530,5026,53835,2923,75503,3194,162,491,995,1920,6771,1117866,77473,225435,175935,803333,2400041,473,65,64,81,321098,321781,16731,1048,637,158,358813,377389,308732,14481,17208,757,541698,882873,541805,31051,52055,2617,214898,842414,460420,36444,87577,7733,134080,726261,398213,29971,101773,21872,84528,636361,305866,18944,76378,47645,38937,487779,158245,6846,32722,71343,14256,283404,40348,1283,7597,68309,4906,122435,6486,359,857,1164,4143,13003,2237316,140483,376852,221674,1717361,4693696
SOS11,61,18,12,22,46245,46360,1051,74,33,29,41705,42892,27128,1667,1343,76,63758,93964,46416,3903,5080,181,32115,87688,47408,5445,11493,642,24912,89902,54341,5337,16439,1884,18481,96489,60011,4475,15723,4692,8829,93730,37871,1682,6734,6967,2971,56225,10404,296,1165,6169,741,18767,522,35,80,33,566,1241,285227,22932,58103,20687,240317,627259,41,18,10,23,43875,43960,1808,184,40,31,39883,41949,34505,2942,2284,204,57920,97851,48908,5767,7776,630,29568,92656,49296,6777,16452,1965,21426,95908,56955,6316,22476,6046,14109,105899,56677,4021,19910,14597,6417,101618,29537,1213,8318,24384,2379,65831,5447,197,1850,22644,970,31111,288,28,81,111,368,880,283462,27456,79200,70641,216914,677675,102,37,23,41,90117,90318,2854,258,74,63,81593,84837,61632,4603,3622,275,121676,191821,95328,9665,12859,815,61685,180345,96704,12220,27945,2613,46333,185811,111299,11658,38918,7929,32588,202385,116695,8493,35631,19291,15246,195352,67404,2894,15052,31355,5355,122058,15848,488,3019,28808,1710,49878,813,64,163,146,931,2115,568686,50386,137301,91329,457224,1304929
SOS12,5,0,0,0,4381,4390,60,5,0,0,3361,3428,1974,113,112,4,4897,7099,4280,351,468,23,2742,7866,5332,492,1108,83,2602,9614,6770,662,1968,227,2187,11817,7159,573,1903,558,992,11194,3507,200,702,686,301,5401,696,31,97,415,73,1310,55,0,10,0,65,135,29840,2433,6376,2006,21598,62252,4,0,0,3,4149,4161,140,9,4,0,3054,3207,2619,184,175,20,4416,7412,4779,380,615,45,2562,8382,5879,588,1455,183,2078,10180,7129,604,2213,605,1526,12078,6460,384,1845,1403,618,10718,2478,99,580,1778,149,5096,343,8,101,1251,37,1738,22,4,6,9,54,97,29859,2272,6996,5300,18647,63070,9,0,3,4,8532,8544,198,17,9,6,6415,6636,4590,298,291,24,9310,14511,9059,731,1083,66,5305,16244,11212,1081,2562,266,4674,19795,13899,1265,4185,838,3715,23898,13622,963,3750,1967,1609,21909,5988,303,1281,2471,454,10498,1034,41,196,1668,111,3050,77,6,19,4,123,230,59700,4700,13372,7303,40244,125324
SOS13,21,0,4,8,19461,19500,284,15,9,9,14149,14463,7679,397,350,14,17360,25797,18220,1104,1531,81,9736,30672,26569,1769,4110,227,8636,41314,31282,2073,6952,758,7429,48497,28109,1827,6309,1711,3533,41486,12904,574,2072,2034,820,18403,2260,84,270,1180,176,3967,176,11,24,8,241,466,127507,7859,21634,6027,81533,244555,20,0,0,0,17450,17467,509,18,10,5,11810,12349,10082,557,521,40,14195,25400,20861,1168,1881,168,7748,31819,28688,1707,4557,647,6546,42148,31888,1749,6469,1798,4661,46562,24427,1017,4796,3861,1724,35829,8707,251,1511,4659,448,15570,974,31,204,2959,106,4270,127,8,24,22,212,393,126278,6519,19965,14166,64896,231818,44,3,4,8,36912,36968,795,37,19,7,25955,26815,17761,957,864,55,31556,51196,39081,2275,3411,247,17483,62494,55257,3474,8671,877,15183,83466,63167,3825,13423,2561,12083,95058,52534,2846,11109,5574,5253,77313,21603,826,3584,6691,1269,33977,3237,117,475,4132,274,8238,300,24,44,26,459,853,253785,14380,41597,20187,146427,476377
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,3,16,4,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,5,18,9,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,21,0,0,0,14,38
SOS20,148,34,28,31,141611,141859,3081,174,103,75,168435,171861,109474,4131,5080,290,277852,396822,229856,10585,17435,628,105899,364402,195391,14335,30024,1624,64620,305992,166577,12030,34876,3849,37584,254908,131735,7652,24411,7838,16328,187964,77685,2996,10045,12055,5393,108178,23475,633,1984,12598,1522,40212,2766,144,265,152,1719,5038,940195,52711,124252,39129,820959,1977238,208,28,24,26,134674,134967,7490,479,253,60,155440,163724,147783,6946,8238,491,239537,402991,235240,15182,25425,1825,95374,373049,195330,18239,45372,5122,59041,323095,161441,13880,51319,13801,32463,272896,121792,7998,38770,31795,14651,215000,58511,2496,16047,48956,5249,131252,11822,420,3707,46989,2143,65082,2530,127,390,981,1434,5466,942145,65787,189543,150052,739997,2087531,359,67,55,54,276288,276823,10572,653,362,132,323873,335583,257256,11073,13320,779,517384,799816,465095,25764,42865,2458,201271,737455,390719,32575,75394,6740,123661,629087,328016,25909,86189,17649,70047,527811,253530,15645,63183,39633,30971,402966,136191,5495,26090,61020,10643,239429,35305,1055,5692,59590,3660,105296,5298,272,648,1137,3155,10508,1882343,118499,313792,189178,1560955,4064770
SOS21,18,11,9,10,28444,28486,482,32,17,20,25461,26008,17760,993,778,51,41130,60709,33084,2397,3332,123,19156,58097,32147,3407,6958,422,14411,57343,34993,3160,9613,1149,9353,58262,36257,2488,8465,2686,4570,54465,21505,936,3443,3878,1487,31244,5770,161,581,3721,423,10646,232,21,45,19,238,549,182231,13597,33235,12071,144676,385811,31,6,4,10,26506,26559,986,116,25,17,23586,24722,23188,1724,1377,129,37922,64334,34590,3618,4931,423,19011,62567,33081,4412,10525,1163,12921,62103,35903,3841,13623,3535,7787,64683,34435,2440,11398,8836,3263,60370,16556,720,4429,13782,1133,36620,3081,125,899,13167,459,17728,198,10,40,93,177,527,182049,17006,47245,41154,132765,420211,44,20,10,18,54952,55050,1469,143,34,42,49040,50735,40950,2713,2158,179,79052,125046,67678,6009,8258,553,38168,120662,65229,7818,17482,1577,27332,119438,70893,6999,23228,4684,17142,122943,70691,4931,19862,11516,7835,114832,38055,1660,7867,17658,2622,67864,8850,284,1480,16883,877,28378,432,31,84,114,423,1076,364283,30604,80478,53226,277440,806023
SOS22,0,0,0,0,2578,2575,28,0,0,0,2271,2303,1216,55,60,0,3504,4839,2900,186,290,7,1805,5186,3451,331,738,35,1657,6214,4392,455,1302,130,1391,7681,4430,435,1282,309,702,7160,2142,139,442,427,192,3353,473,9,66,319,58,930,22,0,4,0,52,79,19056,1619,4186,1246,14206,40320,0,0,0,0,2550,2554,67,7,0,4,2077,2150,1640,97,86,11,3148,4983,3223,279,352,36,1635,5529,3695,398,934,103,1377,6501,4715,394,1442,352,1005,7906,3966,271,1143,807,375,6558,1573,60,375,1159,100,3271,245,11,77,1026,36,1392,14,4,9,4,38,67,19129,1523,4421,3508,12335,40918,0,0,0,0,5128,5131,93,14,0,4,4345,4456,2852,155,145,16,6647,9820,6123,461,645,46,3441,10716,7142,733,1670,138,3037,12716,9104,850,2747,486,2397,15584,8395,714,2421,1121,1072,13721,3724,203,818,1587,291,6622,718,22,139,1345,90,2320,34,4,9,8,91,146,38191,3143,8607,4750,26541,81236
SOS23,3,0,3,0,13718,13728,188,18,9,4,10239,10456,5389,232,231,15,13273,19148,13651,864,1193,50,7555,23309,19137,1472,3226,197,6933,30959,23642,1652,5085,669,5138,36189,21378,1351,4657,1285,2472,31145,9399,435,1510,1506,704,13546,1615,53,159,879,126,2832,74,3,21,10,92,198,94478,6073,16090,4615,60249,181510,5,4,0,8,12646,12664,237,15,4,3,8590,8853,6783,330,306,37,11013,18465,15205,863,1315,114,5962,23449,20871,1310,3435,469,5248,31328,24147,1288,4830,1424,3243,34925,18679,662,3358,2681,1303,26686,6515,147,1000,3178,295,11135,690,12,132,2087,59,2986,44,3,19,14,76,160,93179,4639,14390,10003,48426,170635,14,5,0,8,26360,26388,419,36,9,10,18829,19304,12175,561,540,48,24292,37612,28853,1722,2506,163,13522,46759,40003,2780,6655,663,12176,62285,47790,2933,9916,2092,8374,71112,40063,2014,8016,3960,3775,57831,15916,584,2507,4683,993,24688,2305,68,286,2968,186,5814,119,6,36,22,170,354,187656,10712,30485,14617,108677,352148
SOS27,0,0,0,0,0,0,0,0,0,0,4,4,17,0,0,0,15,30,63,11,15,0,40,131,127,9,7,0,20,163,113,11,8,0,5,141,6,0,5,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,32,38,0,102,493,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,19,17,6,0,6,0,8,14,0,0,5,0,18,18,12,0,6,3,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,6,3,38,72,0,0,0,0,0,0,0,0,0,0,4,4,21,0,0,0,29,52,66,11,19,0,43,140,127,9,11,0,38,182,124,11,11,4,9,158,6,0,5,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,32,51,4,139,565
