SOS_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SOS50,518,3626,28008,214520,287133,39847,6576,19603,599829,140,5610,26477,41568,3942,340,151,4818,83044,90,2199,9222,15719,3286,338,113,1619,32585,230,7814,35703,57288,7223,675,263,6435,115629,125,4141,11024,3154,250,26,35,1537,20290,200,4131,8154,1823,74,6,9,1111,15501,241,5080,8385,2452,95,4,13,1311,17585,138,2283,5329,1634,61,3,18,677,10139,22,186,246,107,104,41,31,58,789,725,15824,33138,9167,575,83,97,4699,64306,278,952,839,205,83,15,10,1722,4103,46,147,165,195,126,21,13,299,1012,1798,28361,97845,281367,295150,40643,6961,32760,784879
SOS51,260,1521,8814,51072,51163,5470,943,8690,127941,66,1827,5468,4179,476,30,22,1892,13960,18,221,664,1057,342,56,5,294,2650,86,2044,6129,5236,817,85,33,2191,16613,20,630,944,381,27,3,16,410,2440,0,74,184,53,0,0,0,41,361,0,49,95,41,0,0,0,59,248,0,82,88,36,0,0,0,26,229,7,21,24,14,7,0,4,7,87,34,856,1340,529,39,10,21,544,3362,1550,2631,682,317,221,37,18,2042,7502,116,268,129,110,71,8,41,214,969,2046,7321,17096,57260,52306,5607,1058,13681,156386
SOS52,107,622,2938,9634,5567,763,204,2229,22053,8,175,411,192,46,0,8,165,1006,0,7,29,25,17,0,0,26,101,8,180,437,219,60,6,8,186,1106,3,69,76,40,12,0,0,70,269,0,8,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,12,6,81,85,42,12,0,0,71,295,534,833,118,101,90,18,15,653,2368,30,82,60,54,20,8,11,100,365,680,1801,3639,10049,5749,794,242,3241,26193
SOS53,446,1677,5108,16139,19296,4532,1579,4361,53138,4,57,80,105,96,12,6,45,412,0,0,6,15,13,0,0,3,40,4,57,84,115,109,17,13,50,450,12,29,20,9,8,4,6,30,109,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,24,27,13,11,5,3,6,95,15,55,50,25,20,10,6,34,217,1873,2522,458,362,289,53,46,1139,6751,263,443,132,178,168,51,87,416,1737,2603,4752,5825,16826,19888,4663,1730,6006,62293
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,8,0,0,3,3,0,0,4,0,13
SOS60,73,913,10213,34497,13496,3078,640,2018,64937,26,824,1695,372,61,12,4,246,3235,10,295,1346,663,116,25,5,112,2576,37,1115,3037,1030,179,38,15,363,5817,90,1676,3141,746,130,28,17,442,6284,49,331,528,113,22,7,3,70,1118,16,134,379,71,3,0,0,42,634,0,0,21,6,0,0,0,0,31,0,55,39,20,10,4,0,14,142,155,2198,4109,956,164,37,21,572,8214,35,93,92,62,18,4,4,139,446,6,39,65,25,18,0,8,32,200,320,4362,17517,36580,13875,3159,681,3121,79611
SOS61,129,1163,12908,45678,14478,2433,524,3199,80508,30,1501,3577,634,66,14,3,744,6570,11,114,633,449,144,44,10,85,1481,45,1612,4204,1085,203,60,11,825,8049,27,837,2029,362,50,13,4,262,3583,17,48,84,6,4,0,0,15,167,4,27,29,15,4,0,0,3,85,0,0,6,9,0,0,0,0,11,3,47,43,26,12,6,0,17,155,49,959,2186,407,65,20,11,300,3997,97,281,185,115,25,12,6,287,1007,18,38,43,36,20,3,6,24,193,335,4051,19527,47324,14800,2519,556,4637,93757
SOS62,62,407,2285,6587,2323,422,86,667,12845,6,94,116,33,5,3,0,32,284,0,3,3,24,9,0,0,6,42,6,93,121,53,10,6,0,37,325,0,38,55,5,0,0,0,11,113,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,36,56,11,0,0,0,13,120,40,65,39,20,4,0,0,83,252,6,17,14,24,4,0,4,6,85,114,631,2510,6696,2347,430,97,812,13631
SOS63,342,1606,5872,18802,9688,2121,633,2438,41506,0,15,19,66,23,9,3,19,144,0,0,9,11,6,9,6,3,42,0,13,20,78,27,10,9,21,182,9,14,9,12,0,0,5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,3,0,0,5,28,9,28,17,9,8,3,5,4,84,88,168,60,51,8,4,3,124,504,15,40,26,35,23,0,4,14,157,455,1860,5998,18975,9751,2140,653,2601,42432
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,81,310,860,12611,8572,1662,380,1690,26172,12,341,1482,775,52,3,0,294,2960,9,101,1222,750,107,4,6,193,2391,19,441,2706,1525,164,4,0,483,5349,21,519,2293,1045,101,8,4,441,4424,48,319,1210,373,3,0,0,187,2143,23,341,1905,1030,22,6,6,242,3581,44,514,1140,972,46,5,4,236,2959,0,14,0,0,0,0,0,9,33,140,1704,6545,3416,184,18,11,1115,13137,467,657,86,63,34,5,4,732,2047,58,106,46,13,7,0,4,128,357,764,3221,10244,17622,8952,1693,407,4152,47064
SOS71,45,269,982,5792,2394,366,97,785,10731,16,434,1270,475,58,3,7,208,2475,11,147,623,225,12,0,0,108,1121,29,581,1890,707,66,10,3,308,3600,51,206,223,41,3,0,0,62,594,5,11,10,0,0,0,0,38,64,0,4,13,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,6,18,56,232,247,41,8,0,0,109,698,246,355,54,30,22,0,5,376,1095,73,167,64,20,13,3,6,80,416,447,1590,3239,6593,2508,375,120,1651,16531
SOS72,51,271,808,2536,744,114,50,399,4961,35,303,326,117,11,0,0,125,914,0,0,6,3,0,0,0,0,14,35,303,330,123,11,0,0,126,932,10,135,65,30,0,3,0,78,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,135,72,30,0,3,0,74,323,354,365,47,42,35,3,6,190,1055,59,98,46,34,14,0,9,54,308,500,1169,1297,2763,807,124,58,847,7570
SOS73,192,733,1577,3240,1915,565,263,1166,9652,4,25,33,18,3,0,0,7,93,0,0,0,5,3,0,0,0,8,4,25,33,20,8,0,0,7,103,0,0,24,0,0,0,0,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,6,28,0,0,0,0,10,46,1048,1279,154,160,93,20,8,684,3462,238,310,64,64,29,7,17,213,942,1485,2359,1861,3489,2051,593,288,2079,14198
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
SOS80,91,829,4059,43407,45780,9965,1722,2904,108743,29,852,4932,7074,734,55,16,613,14308,36,1170,4305,7942,1630,100,18,617,15821,69,2014,9233,15011,2364,157,41,1233,30126,62,1511,2762,1140,141,7,5,388,6015,70,2539,4207,895,84,0,0,403,8201,78,4866,6289,1546,68,4,0,811,13663,53,2564,3039,687,21,0,0,334,6695,14,172,165,65,17,7,0,68,519,280,11640,16461,4336,339,22,13,2002,35098,17,56,78,19,3,0,0,185,365,13,63,62,43,27,6,6,29,254,473,14613,29891,62811,48516,10150,1776,6352,174586
SOS82,0,0,11,62,88,25,5,13,193,0,3,11,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,3,11,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,60,86,25,5,13,212
SOS83,3,6,23,36,33,9,11,27,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,5,0,19,8,13,27,43,38,9,14,25,176
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,18,33,125,27,6,0,24,223,0,3,41,32,4,4,0,7,92,0,5,0,6,0,0,0,3,17,0,5,43,39,4,4,0,12,106,0,33,29,12,0,0,0,14,94,0,0,13,25,3,0,0,8,54,0,0,0,9,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,45,3,0,0,19,152,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,6,0,68,123,209,34,3,0,60,497
SOS92,5,61,201,359,185,38,9,125,991,0,0,3,3,0,0,0,4,10,0,0,4,0,0,0,0,0,4,0,0,3,3,0,0,0,4,14,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,11,0,10,0,5,0,0,0,8,22,0,0,0,0,0,0,0,0,5,0,8,3,0,0,0,0,6,29,6,70,216,370,189,42,9,148,1051
SOS93,0,5,35,76,57,11,0,49,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,0,0,4,0,13,37,83,57,11,0,49,256
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
