SOS_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SOS30,1208,6773,48246,349081,395505,87804,18306,34679,941592,459,6418,33320,24398,2402,158,81,5481,72718,346,5341,30624,70793,8576,506,190,8004,124387,798,11762,63945,95186,10979,668,274,13487,197106,1092,13704,30507,10628,1155,187,144,5483,62894,569,8136,39286,8730,470,60,68,4006,61328,617,9177,28438,9984,580,43,24,3792,52655,748,13999,26855,8592,505,31,24,4702,55458,45,511,813,272,166,102,55,415,2391,3071,45528,125901,38210,2874,429,321,18396,234730,1537,3530,1436,460,199,36,46,2503,9744,332,988,919,700,324,58,57,618,3997,6948,68585,240442,483635,409876,88992,19002,69680,1387158
SOS31,824,3929,27669,131595,109414,15947,3447,17023,309846,189,2530,11989,5709,575,58,36,2561,23640,100,1329,4419,3519,378,34,17,1180,10984,286,3859,16405,9232,953,92,49,3743,34621,146,2496,7879,2603,228,35,26,1854,15271,27,148,785,281,10,0,0,133,1403,10,102,723,404,10,4,6,136,1389,9,53,194,165,18,0,0,138,566,9,57,89,65,23,10,6,76,335,195,2868,9672,3517,295,44,42,2343,18968,2466,4472,1014,634,356,33,51,2716,11742,564,1089,397,330,168,34,40,559,3181,4340,16212,55158,145300,111185,16156,3629,26382,378361
SOS32,433,1884,7766,22102,13118,2504,719,3940,52465,17,169,580,200,78,14,3,152,1215,4,23,152,71,12,3,0,55,320,18,185,734,271,85,19,6,209,1530,20,224,457,97,28,3,3,126,972,0,4,8,10,3,0,0,0,23,0,3,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,5,0,13,19,6,4,9,0,12,56,26,239,486,121,37,9,3,144,1063,1187,1778,296,230,130,16,11,706,4363,190,314,83,87,30,12,18,107,840,1855,4410,9371,22818,13403,2556,765,5100,60265
SOS33,1925,6505,17951,55232,46205,12333,4893,13479,158524,10,68,202,373,252,56,29,132,1119,0,10,69,60,45,16,14,21,235,6,79,272,429,297,73,39,153,1356,8,55,196,69,30,10,6,47,415,0,3,0,0,9,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,11,13,49,110,55,36,20,10,87,371,18,107,307,129,72,30,16,140,810,2150,3036,614,568,362,72,78,1999,8878,536,785,234,359,234,81,91,333,2666,4640,10508,19378,56722,47178,12589,5114,16104,172232
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,3,5
SOS40,297,2314,29227,210932,92020,15073,2651,9787,362297,169,5017,29458,23200,2334,243,84,3579,64085,31,911,7268,13073,1964,231,36,968,24497,203,5931,36734,36273,4299,481,122,4544,88582,168,5372,20293,3286,174,30,23,1717,31064,56,614,3112,522,24,0,5,316,4649,77,1127,3672,742,38,7,0,313,5973,73,1187,2015,485,10,4,0,268,4043,5,69,80,66,26,13,5,90,356,380,8359,29162,5099,272,49,32,2709,46079,154,417,345,209,65,13,7,469,1673,67,219,289,359,123,16,18,168,1267,1101,17241,95761,252871,96787,15629,2835,17677,499902
SOS41,205,1348,12731,63879,32375,4273,697,4993,120505,61,1356,5837,6509,383,75,65,1531,15818,3,29,144,407,92,14,0,45,730,65,1388,5982,6914,475,87,67,1574,16547,39,693,1966,479,34,4,3,332,3548,0,13,62,16,0,0,0,8,106,0,0,27,5,0,0,0,4,44,0,0,0,0,0,0,0,0,0,0,4,7,17,9,5,0,19,61,34,721,2060,521,49,7,3,359,3760,279,626,296,156,56,10,5,616,2045,79,163,132,137,71,9,12,132,731,664,4244,21208,71608,33026,4388,784,7674,143589
SOS42,84,516,3047,10435,4656,644,122,1322,20832,5,155,247,106,33,8,4,61,618,0,0,7,9,0,0,0,0,21,5,157,254,118,34,8,4,61,639,3,63,74,20,4,0,0,34,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,3,63,77,20,4,0,0,36,208,112,295,107,79,25,4,6,230,861,24,50,33,20,7,4,4,35,173,231,1082,3518,10666,4724,658,141,1680,22708
SOS43,334,1495,6084,23113,15840,3152,816,3506,54341,0,22,55,148,77,18,0,43,368,0,0,14,18,10,10,4,5,58,0,20,69,163,93,23,5,46,424,4,13,3,6,0,0,0,5,41,0,25,20,0,0,0,0,5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,7,10,0,4,0,10,27,7,40,35,23,6,7,0,20,123,250,463,148,148,53,21,0,310,1395,113,215,66,104,52,15,22,79,665,701,2234,6396,23550,16046,3217,853,3962,56953
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
