SOS_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
SOS10,15682,4009,5935,614,26242,4464,776,1362,167,6776,3130,1426,2975,251,7781,2599,1374,4956,237,9160,12669,3414,8589,567,25228,8866,5130,13556,660,28211,47160,10482,16132,1149,74925,30397,14493,21232,2340,68458,34289,24504,23270,2527,84586,40802,33713,22011,2951,99477,25350,32382,17178,1930,76836,28951,35295,15087,1908,81237,64941,87968,26924,3561,183395,48375,76908,12739,2265,140284,38507,74247,9138,1316,123205,26436,54311,4108,747,85604,79682,214770,12685,1426,308567,17089,41035,13919,904,72947,6862,5735,3393,486,16477,536256,721949,235194,26003,1519396
SOS11,2971,413,991,90,4463,1456,111,377,52,2002,958,206,967,68,2197,807,169,1897,57,2929,4932,520,3753,171,9375,3450,720,6697,194,11063,25404,2046,7778,430,35650,15651,3121,10027,896,29683,16642,5942,10117,837,33541,18999,9739,8044,753,37542,9913,9465,5551,432,25361,11171,10638,4315,404,26531,21621,24885,6386,641,53532,13289,20497,2499,294,36584,9254,16398,1447,171,27275,4715,10544,563,59,15879,10161,22381,1305,120,33963,7252,12617,5323,306,25501,3432,1130,1585,212,6356,182059,151543,79619,6194,419420
SOS12,327,47,106,10,496,181,10,40,3,232,105,25,76,4,213,105,19,156,3,284,577,63,301,14,961,449,85,524,18,1072,2784,204,597,34,3618,1617,328,776,87,2818,1754,656,771,51,3236,1974,938,599,64,3576,989,983,395,27,2391,1068,1036,327,19,2448,2007,2254,473,33,4777,1259,1952,175,28,3412,865,1603,103,12,2585,463,1011,48,0,1528,1040,2310,131,12,3490,777,1491,460,34,2765,389,148,158,22,716,18748,15152,6226,487,40613
SOS13,1814,317,289,33,2448,831,93,122,10,1059,487,154,228,15,877,461,122,418,14,1016,2261,285,770,44,3357,1508,417,1194,52,3178,7740,937,1349,107,10129,5291,1338,1747,181,8563,6058,2377,1842,188,10467,6921,3591,1512,144,12170,3695,3498,1025,74,8288,4594,3823,970,88,9478,8223,8615,1479,128,18443,5390,7425,652,67,13537,3844,6531,426,43,10846,2236,4673,180,20,7111,6511,13706,592,42,20849,3188,7275,1511,71,12041,1462,772,386,49,2666,72516,65939,16692,1380,156531
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,13113,3396,5392,645,22546,3981,812,1498,216,6506,2821,1427,3034,276,7558,2185,1293,4443,213,8129,10935,3077,7595,576,22179,7749,4585,11731,614,24683,41566,9300,14305,1222,66402,28189,14045,19207,2131,63569,31598,23378,20976,2259,78210,37205,32855,19515,2745,92322,22716,32000,14964,1813,71483,26043,34498,12589,1729,74858,58123,82816,21574,3268,165779,44710,71028,9822,2017,127584,34174,64695,6727,1191,106789,22830,44593,2870,647,70935,56744,153729,8027,1143,219639,14976,36144,12943,749,64808,6839,4950,2950,408,15148,466486,618623,200167,23858,1309134
SOS21,2073,384,634,39,3132,938,95,229,30,1289,594,149,577,36,1355,502,126,1172,48,1853,3097,367,2291,106,5857,2181,593,3989,108,6882,14448,1414,4659,253,20770,9766,2321,5828,492,18406,10177,4326,5655,454,20610,11060,6914,4730,414,23115,5746,7106,3306,268,16422,6774,7763,2519,270,17326,13596,17764,3747,405,35515,8770,14352,1543,219,24885,5799,10918,872,105,17693,2940,6812,335,57,10146,6074,14250,728,77,21129,4173,7899,3182,162,15415,2349,940,928,137,4346,111063,104491,46930,3674,266154
SOS22,219,24,46,10,297,101,12,22,0,140,79,17,47,5,151,73,13,86,3,175,402,34,160,9,608,272,59,294,6,628,1770,116,370,17,2273,1091,236,460,49,1836,1099,386,417,41,1941,1256,663,331,27,2282,662,696,236,26,1619,734,689,178,16,1610,1348,1582,263,28,3218,841,1235,96,19,2189,531,909,51,8,1501,263,549,8,0,817,600,1171,47,9,1823,468,934,293,18,1711,301,107,86,15,500,12123,9416,3484,301,25325
SOS23,1190,228,215,18,1646,570,66,76,6,725,375,100,179,12,670,352,79,243,12,694,1724,206,502,46,2477,1156,305,808,24,2302,5686,670,897,58,7320,4259,1052,1235,146,6686,4907,1884,1257,143,8195,5329,2929,1041,112,9414,2788,2902,739,44,6475,3622,3272,642,65,7599,6679,7142,981,96,14902,4273,6030,453,60,10817,2977,4920,278,29,8209,1662,3261,137,19,5086,4608,8862,375,39,13883,2359,5192,1116,60,8723,1342,681,272,37,2335,55871,49784,11459,1045,118159
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,6491,1453,2979,269,11189,2503,392,855,124,3876,1884,603,1885,172,4548,1579,497,3169,120,5368,7558,1347,6051,351,15307,5999,2149,11224,479,19846,33013,4745,13569,876,52207,24384,7449,17443,1664,50946,27698,13471,19349,1783,62304,32276,21471,17263,2001,73012,20015,21530,13148,1320,56012,23283,23849,10618,1335,59082,50493,57975,17169,2340,127980,35172,50214,6827,1386,93607,25219,44624,4431,755,75018,15478,31456,1672,370,48986,36506,91592,4848,577,133529,15849,31822,10468,630,58765,4305,2788,2189,254,9533,369714,409421,165158,16803,961097
SOS31,1831,254,612,58,2758,931,77,203,28,1241,575,142,634,51,1399,541,104,1127,38,1813,3138,330,2312,97,5883,2201,498,4094,134,6924,15387,1295,4776,247,21700,9083,2000,5761,508,17353,8838,3658,5725,473,18700,9644,5606,4401,426,20076,5201,5445,3050,258,13946,5970,6006,2336,241,14553,11997,14061,3410,375,29840,7653,11529,1291,208,20677,5584,9616,761,95,16052,3030,5956,267,56,9311,6078,12563,701,105,19449,6223,11450,2993,192,20859,2023,898,910,101,3929,105940,91481,45360,3688,246466
SOS32,367,41,100,3,508,169,15,38,5,229,138,32,146,9,324,140,31,240,7,420,670,115,372,29,1192,457,114,604,22,1206,2717,301,631,48,3698,1608,392,768,93,2861,1545,676,687,66,2977,1631,897,523,58,3116,874,810,344,31,2065,1011,830,274,32,2148,1793,1907,327,46,4079,1068,1495,139,19,2719,772,1188,104,6,2073,355,702,52,10,1116,807,1374,85,4,2279,1115,1752,530,33,3427,481,197,210,30,915,17717,12876,6184,576,37345
SOS33,1444,226,221,27,1918,719,74,90,22,906,411,131,235,14,793,368,70,368,15,819,1950,273,619,46,2885,1377,317,1094,36,2825,6996,780,1190,74,9035,4459,1144,1575,194,7370,4871,2013,1453,151,8481,5295,2958,1188,115,9555,2734,2886,849,75,6541,3488,3061,675,70,7298,6209,6857,1040,103,14206,4051,5673,466,46,10240,2937,4574,260,23,7802,1540,3049,120,5,4723,3966,7782,329,35,12113,3431,7031,1221,62,11743,1459,649,321,49,2483,57703,49545,13328,1162,121738
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,2135,483,1010,113,3752,849,144,317,57,1362,648,244,757,64,1710,480,242,1309,56,2086,2881,661,2370,175,6092,2293,978,4138,225,7632,13825,2081,4906,399,21212,10274,3364,6554,673,20859,11201,5870,6867,697,24629,12463,8591,5986,806,27849,7255,8251,4448,444,20399,7932,8938,3587,491,20940,16750,21262,5716,747,44483,11360,18143,2415,424,32340,7789,15064,1394,229,24483,4514,10087,579,107,15282,9587,26306,1389,143,37423,4782,10214,3961,191,19156,1424,777,660,83,2941,128448,141701,58358,6124,334633
