SOS_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
SOS10,385,4451,36,4865,152187,8798,206,166058,2916,3611,82,6607,174462,12891,476,194436,74621,5530,949,81093,324082,31384,1303,437868,210781,4088,2160,217030,174708,25352,984,418077,130718,4757,1325,136799,200263,18412,844,356315,25452,13894,389,39731,255425,14833,946,310942,4128,21308,184,25618,194107,11451,1057,232234,649,4931,38,5612,115144,9611,337,130709,86,257,4,342,39744,6846,81,47015,449737,62820,5160,517713,1630119,139578,6238,2293651,597,7627,67,8294,139744,7888,201,156131,7299,6558,258,14118,158824,10483,465,183893,127294,9295,2481,139071,279966,27276,1145,447460,258096,6466,4060,268617,134940,21761,757,426071,128582,11272,1884,141740,213207,15838,786,371567,12412,37591,653,50658,262455,13247,1610,327972,3036,36109,426,39577,204988,12038,1336,257931,628,6073,71,6767,133896,12370,369,153408,93,343,9,450,61369,13689,109,75615,538037,121338,9914,669288,1589397,134591,6771,2400041,983,12079,96,13157,291936,16686,402,322182,10215,10167,342,20728,333286,23378,940,378324,201912,14818,3429,220165,604049,58658,2446,885325,468877,10548,6221,485651,309651,47109,1740,844154,259293,16031,3210,278540,413471,34247,1629,727882
SOS11,192,1866,9,2064,40365,3924,27,46380,2228,1324,50,3606,35295,3993,130,43022,27270,2416,814,30499,54523,8942,420,94391,44087,1830,1515,47432,32527,7733,250,87937,25132,2930,759,28826,54192,6879,137,90032,4925,7369,158,12451,77911,6126,119,96608,873,8524,60,9455,78808,5469,92,93830,168,1799,7,1979,49842,4403,48,56269,18,113,0,132,16178,2460,9,18780,104889,28171,3382,136443,439642,49933,1241,627259,448,3474,38,3958,36504,3497,23,43990,4860,2760,264,7885,31029,3030,79,42029,41637,3891,2408,47942,43194,6724,239,98089,54890,2937,3047,60881,25855,5924,118,92777,25026,7340,1135,33504,57043,5366,101,96012,2240,18209,206,20651,80002,5245,154,106051,582,13970,77,14629,81603,5383,93,101718,161,2562,17,2735,57318,5786,57,65891,41,165,9,210,26223,4676,8,31125,129892,55306,7199,192390,438776,45633,880,677675,636,5344,47,6022,76872,7420,52,90375,7088,4080,322,11491,66326,7021,211,85056,68909,6309,3219,78441,97711,15670,656,192475,98973,4769,4561,108306,58380,13659,365,180712,50158,10274,1900,62330,111237,12242,233,186050
SOS12,21,172,0,190,3718,477,3,4391,166,107,11,285,2872,276,9,3440,2168,170,58,2400,4028,676,53,7150,4186,164,122,4470,2702,691,17,7882,2799,300,81,3186,5654,777,21,9639,569,801,23,1393,9586,836,7,11827,111,895,3,1011,9353,830,9,11201,13,168,0,179,4769,453,7,5407,0,14,0,14,1111,187,4,1314,10029,2788,305,13120,43798,5195,135,62252,37,324,0,368,3376,410,0,4162,338,207,15,554,2374,273,8,3220,3270,288,184,3739,3051,622,42,7450,5119,240,304,5666,2084,637,12,8388,2733,712,116,3566,5979,644,3,10191,266,1932,12,2215,9149,723,10,12089,53,1302,6,1366,8644,714,6,10724,10,185,0,198,4406,494,0,5100,3,12,0,15,1456,270,3,1744,11834,5198,642,17675,40522,4777,97,63070,59,499,4,555,7102,888,5,8550,502,316,26,841,5250,546,22,6655,5439,455,242,6138,7081,1293,94,14603,9305,405,426,10136,4784,1328,31,16279,5538,1018,199,6746,11631,1417,25,19828
SOS13,74,622,8,706,16712,2082,5,19501,415,375,19,806,12120,1538,49,14512,7294,586,179,8056,14599,3142,163,25966,16328,567,465,17356,9971,3346,92,30763,12509,1160,317,13986,23611,3718,55,41370,2665,3494,81,6241,38173,4087,36,48531,481,3709,21,4210,33912,3370,39,41523,82,720,4,813,15856,1737,9,18412,10,40,0,51,3440,467,4,3969,39851,11270,1094,52218,168394,23482,466,244555,114,1168,3,1290,14472,1706,10,17477,906,762,43,1714,9557,1077,57,12412,11034,1000,527,12566,10613,2226,121,25523,20053,813,994,21865,7231,2727,72,31893,11853,2849,427,15132,23806,3211,42,42190,1100,8149,89,9338,33829,3393,37,46604,262,5549,35,5849,27284,2699,29,35858,70,842,7,917,13152,1504,13,15588,10,61,0,70,3633,574,3,4275,45396,21205,2131,68737,143577,19120,393,231818,188,1798,11,1989,31190,3783,20,36983,1324,1143,59,2521,21679,2613,107,26926,18324,1586,711,20617,25209,5365,287,51485,36380,1382,1458,39220,17200,6075,167,62657,24361,4007,743,29114,47415,6932,100,83560
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,4,4,0,0,16,0,0,0,0,10,0,0,10,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,12,20,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,0,4,5,0,0,18
SOS20,343,4290,42,4681,130128,7054,200,142052,1984,3504,60,5554,155659,10644,421,172279,63288,6274,971,70533,299299,26991,936,397759,183327,4223,2545,190095,153913,20393,733,365134,112964,4293,1441,118700,172450,14841,777,306770,20559,14048,323,34930,208805,11173,823,255732,3346,25607,166,29124,150422,8419,814,188778,582,6600,44,7219,94001,6957,268,108445,58,323,0,389,35616,4208,74,40289,386457,69179,5593,461229,1400285,110684,5038,1977238,473,7167,47,7684,120818,6465,188,135158,4920,7013,252,12193,142931,8604,365,164092,106188,12010,2995,121183,259019,22787,828,403827,220343,7907,6040,234286,121282,17481,526,373576,111705,11506,2527,125738,184333,13026,651,323749,10678,41646,666,52993,209571,10329,1352,274248,2843,44884,348,48075,157559,9369,1130,216134,675,7779,78,8532,113912,8811,336,131591,109,365,8,489,56601,7996,82,65161,457940,140279,12962,611173,1366021,104866,5466,2087531,822,11460,84,12363,250946,13514,390,277207,6912,10520,318,17744,298590,19251,784,336373,169475,18283,3962,191715,558315,49780,1768,801583,403673,12132,8581,424385,275189,37877,1254,738707,224671,15799,3973,244439,356785,27864,1435,630521
SOS21,109,1099,12,1224,25122,2139,17,28506,1015,787,38,1835,22372,1799,38,26048,17578,1470,422,19469,36843,4396,158,60864,31313,1035,777,33123,20939,4031,101,58197,17572,1550,376,19504,34182,3654,69,57411,3037,4391,92,7520,47434,3307,81,58342,549,5840,23,6413,44896,3153,56,54520,97,1140,7,1246,27451,2549,20,31265,12,61,0,73,9106,1465,10,10660,71286,17386,1734,90412,268348,26501,549,385811,203,2029,17,2244,22342,1972,7,26567,2267,1564,119,3945,19221,1562,51,24768,26708,2555,1333,30596,29688,4055,111,64442,37943,1811,1906,41649,17160,3759,82,62651,17343,4049,636,22018,36818,3259,73,62168,1520,11926,138,13583,48092,3007,82,64762,395,9811,53,10258,46814,3297,82,60446,103,1461,8,1572,31695,3351,27,36651,17,94,0,109,14971,2647,18,17744,86499,35286,4197,125988,266796,26910,527,420211,313,3132,28,3473,47468,4110,20,55070,3282,2352,151,5780,41589,3363,89,50820,44291,4024,1749,50062,66528,8451,264,125313,69250,2840,2682,74776,38101,7791,186,120850,34919,5598,1009,41520,71001,6916,141,119585
SOS22,12,73,0,83,2175,321,4,2579,72,61,0,133,1932,240,11,2315,1409,112,32,1553,2881,402,34,4872,2849,91,66,3007,1762,413,15,5203,1833,172,32,2042,3680,489,13,6226,342,501,15,852,6275,545,0,7677,58,608,5,670,5955,537,3,7163,16,107,0,122,2926,304,3,3354,6,6,0,11,787,139,0,930,6592,1733,159,8482,28370,3387,79,40320,14,175,3,196,2051,308,0,2552,159,115,5,281,1643,227,7,2159,2052,185,119,2354,2266,361,26,5007,3392,132,171,3694,1410,423,5,5534,1761,423,73,2254,3797,446,9,6510,177,1283,19,1478,5912,516,12,7915,54,919,4,977,5184,397,5,6568,8,119,0,134,2821,319,7,3275,3,11,0,13,1149,230,0,1392,7621,3365,394,11384,26237,3236,67,40918,23,255,3,279,4227,622,3,5137,234,178,5,414,3579,464,16,4473,3459,294,149,3907,5147,766,63,9882,6244,226,238,6707,3172,843,15,10736,3596,591,108,4297,7479,942,17,12736
SOS23,35,433,0,471,11828,1430,7,13739,274,306,3,588,8872,994,24,10476,5137,426,116,5678,10877,2592,61,19211,12527,363,320,13204,7265,2837,40,23343,9610,807,157,10566,17460,2927,30,30987,1983,2695,35,4708,28586,2894,16,36209,384,3190,22,3595,24967,2587,17,31162,48,580,4,629,11614,1305,12,13561,4,15,0,19,2416,397,0,2832,30007,8800,662,39469,123891,17957,198,181510,67,810,7,882,10460,1318,0,12667,484,553,23,1064,7085,696,25,8871,7557,812,377,8748,8272,1448,51,18518,14780,629,732,16140,5483,1825,14,23459,9050,2067,314,11430,17670,2233,13,31342,844,6481,66,7391,25143,2388,26,34950,195,4826,35,5054,19682,1950,19,26705,37,620,3,658,9317,1161,3,11143,7,35,0,42,2538,404,4,2983,33015,16825,1558,51402,105652,13429,160,170635,104,1241,12,1355,22289,2741,14,26402,762,858,30,1648,15962,1691,44,19341,12691,1234,494,14425,19144,4045,118,37732,27307,989,1050,29344,12749,4672,45,46805,18653,2874,471,21993,35135,5157,42,62328
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,4,5,0,0,5,9,19,0,30,23,0,0,23,18,84,0,131,18,0,0,14,27,116,0,163,0,3,0,3,39,100,0,141,0,0,0,0,7,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,0,45,109,336,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,16,0,17,0,0,0,0,3,8,0,14,0,0,0,0,7,13,0,18,0,0,0,0,6,16,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,19,49,0,72,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,4,11,0,0,7,13,38,0,52,25,0,0,25,20,96,0,140,18,0,0,14,36,128,0,182
