SOS_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOS10,1675175,1691270,3366450,7989,6299,14286,15367,13165,28527,5298,6257,11561,106289,134668,240959,6592,7278,13874,10338,9650,19987,15934,18664,34590,9371,10655,20028,13008,15052,28061,21882,24788,46669,103556,89971,193528,16003,20138,36144,13916,12649,26567,26570,26427,52996,12326,10766,23094,21163,20119,41280,4283,9155,13438,23377,28139,51519,31650,29852,61502,17356,18668,36020,33581,26958,60540,4979,4818,9797,46730,44731,91456,18689,13512,32201,38534,56552,95086,5266,7056,12317,6231,7235,13465,20401,20844,41247,14891,14510,29395,5717,7488,13209,8964,18828,27796,104552,94544,199094,13358,14216,27577,41811,53485,95292,173884,185842,359722,131647,128578,260226,6758,7272,14029,2833437,2910110,5743546
SOS11,632738,669411,1302147,193,109,300,535,440,977,1065,1396,2460,2112,2640,4756,512,514,1029,479,378,853,1192,947,2143,2565,3186,5757,472,394,866,462,565,1026,7352,6314,13663,453,806,1259,370,279,648,1019,1072,2095,1387,1188,2574,1965,1550,3519,291,753,1044,536,642,1182,385,280,664,1301,1337,2640,2202,2037,4236,1863,2099,3961,9108,9359,18469,933,562,1496,3328,6568,9896,448,597,1049,352,444,796,2808,2957,5768,910,830,1738,377,620,997,763,2204,2969,25579,26011,51587,2073,2528,4601,981,1211,2195,13813,14470,28280,51413,51842,103260,1339,937,2281,775688,819486,1595173
SOS12,62656,62458,125112,0,0,5,6,4,16,106,152,255,73,133,205,42,35,78,24,17,43,47,49,103,312,314,624,40,32,75,38,41,78,206,175,382,37,65,101,15,18,34,10,11,23,124,115,237,186,93,273,27,59,81,27,37,55,31,20,51,83,110,191,32,30,57,194,201,393,909,895,1806,24,12,39,114,403,518,39,46,86,23,39,64,242,268,509,35,22,59,27,69,93,30,138,168,2812,2745,5554,237,292,527,27,48,74,1086,1149,2233,6090,5804,11898,143,98,241,76153,76193,152344
SOS13,242912,227480,470384,34,7,42,52,36,79,391,506,901,772,898,1670,276,225,503,135,106,237,254,253,512,1127,1294,2419,231,160,391,157,168,322,702,598,1300,146,238,383,154,108,265,132,103,236,568,445,1015,1245,847,2084,100,208,309,125,136,264,615,440,1056,341,404,746,49,33,81,798,782,1586,3315,3261,6585,89,66,152,340,1096,1434,151,205,350,139,174,320,1073,1060,2132,141,111,249,86,173,259,175,510,690,9096,9216,18316,942,1136,2082,195,241,436,5015,5049,10063,25243,22900,48144,490,411,907,297813,281081,578892
SOS17,27,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,31,4,38
SOS20,1476091,1511658,2987756,13569,10510,24080,4952,4496,9448,3792,4715,8512,73200,94317,167513,6445,7085,13531,6540,6667,13215,5012,6052,11063,8833,9967,18802,20747,23950,44696,11627,12935,24560,130717,110059,240775,8203,11169,19367,11288,10040,21327,12619,12394,25015,7634,6955,14588,27917,29546,57460,2555,6016,8570,6513,8375,14886,9292,8802,18093,27056,30627,57680,10393,8543,18932,5709,5858,11560,40227,40119,80339,17281,11850,29130,23565,34893,58457,5427,7508,12937,7710,9310,17019,13204,13736,26944,33677,31515,65189,3792,5626,9417,5866,12352,18218,80859,77347,158206,9706,10517,20226,39536,50843,90387,150797,164425,315221,107465,104764,212226,5388,5842,11234,2435206,2521390,4956592
SOS21,381302,405169,786471,755,516,1275,427,370,792,526,660,1189,1259,1720,2985,545,580,1126,365,314,680,496,580,1078,1817,2177,3996,632,562,1193,245,294,536,8340,7394,15733,357,583,938,272,200,468,522,451,975,973,900,1878,2536,2264,4798,125,363,486,181,269,449,197,155,350,1891,1820,3716,609,538,1138,2061,2063,4120,6091,6365,12453,919,770,1693,2849,5183,8031,383,460,844,298,365,665,1376,1423,2804,1252,1134,2383,382,611,998,570,1358,1928,16339,17527,33871,1071,1209,2285,1138,1469,2610,12248,12509,24755,29843,30308,60153,588,557,1145,481772,511197,992968
SOS22,39435,39577,79011,0,0,5,12,8,21,56,62,119,50,97,149,40,25,62,29,6,34,28,32,58,221,216,431,61,40,102,15,27,42,170,153,320,20,49,67,13,3,18,4,0,5,100,92,191,167,94,261,11,33,43,10,21,28,0,3,9,91,90,174,20,23,39,230,202,431,549,548,1101,12,10,23,117,308,426,29,37,69,16,25,38,117,139,254,44,48,89,20,35,59,41,128,168,2062,2012,4072,135,157,286,24,36,62,729,718,1450,4040,3883,7919,85,71,155,48812,49000,97814
SOS23,178657,167308,345964,38,12,54,26,13,36,233,306,534,321,428,751,277,218,497,82,38,129,107,105,210,887,944,1830,324,215,545,80,92,172,663,498,1157,90,149,235,61,33,92,49,24,71,399,297,690,1207,810,2020,32,125,159,29,45,74,128,96,224,501,437,937,24,8,37,1057,891,1951,2538,2449,4979,64,33,97,505,961,1467,132,155,287,94,112,205,535,591,1128,173,133,308,73,146,220,218,460,675,7166,7263,14429,449,612,1064,244,210,458,3575,3060,6637,17846,16426,34272,221,166,391,219099,205879,424976
SOS27,122,20,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9,0,0,0,0,0,0,9,0,9,335,49,385,0,0,0,493,72,565
SOS30,1211820,1257761,2469581,2618,1999,4614,1504,1417,2922,4647,5583,10232,22479,30473,52948,1520,1585,3108,1461,1202,2659,5724,6860,12586,7052,7999,15045,1628,1479,3109,5759,6408,12169,35285,30217,65500,2716,4541,7259,4025,3673,7694,2660,2543,5205,5547,4788,10332,5567,4598,10166,3571,8530,12102,8301,10138,18437,837,732,1569,6609,8177,14789,4958,4800,9758,4718,4671,9388,82766,84994,167765,3283,2602,5891,12982,25604,38586,2081,2890,4971,3055,3699,6748,19633,20079,39712,5382,5326,10707,6259,8805,15058,3135,8036,11169,87456,84566,172024,7817,8298,16119,9687,12929,22619,78661,87933,166601,88217,88345,176561,4961,4571,9530,1766364,1858838,3625198
SOS31,369542,381579,751122,59,51,115,188,164,354,732,854,1590,889,1417,2305,177,166,346,168,117,278,657,706,1359,1669,1852,3520,137,92,230,222,263,482,2918,2431,5356,316,664,980,149,121,264,68,35,101,769,723,1497,1138,1003,2141,222,527,747,447,542,984,38,35,65,619,719,1339,488,482,968,1413,1292,2705,13131,13163,26298,257,197,452,3424,6983,10401,214,316,529,212,291,500,3241,3341,6582,608,486,1093,453,757,1207,380,1474,1854,17096,17424,34519,1158,1268,2428,591,784,1377,9454,9631,19093,40521,33618,74141,1956,1159,3112,475713,486726,962436
SOS32,59948,58248,118198,0,3,3,9,10,16,96,148,245,37,97,129,24,26,50,10,5,19,73,79,152,318,355,673,15,9,26,17,20,41,165,117,284,46,75,116,15,5,16,4,3,3,105,103,208,152,124,279,18,59,83,32,34,67,3,7,7,46,82,122,23,14,39,252,242,502,1821,1722,3541,19,4,20,194,555,747,33,36,64,23,41,72,340,361,701,35,23,52,14,31,39,38,175,208,2969,2908,5881,174,239,416,23,50,76,1321,1292,2614,6931,6119,13054,281,181,465,75637,73588,149226
SOS33,192350,175821,368170,11,0,13,7,4,18,399,491,892,170,288,461,94,71,167,36,18,56,185,204,387,989,1056,2047,37,33,74,75,99,175,411,330,739,147,228,379,42,16,58,21,9,22,377,308,691,515,373,883,75,236,317,84,86,170,22,15,36,190,278,464,17,20,40,859,698,1554,5654,5352,11002,39,41,79,438,1381,1822,119,136,252,110,147,255,1437,1381,2814,113,79,187,103,203,308,187,512,694,8643,8735,17383,664,763,1422,212,262,473,4496,4129,8625,28049,20434,48489,1207,563,1770,248595,224806,473398
