SOS_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
SOS33,2755,5560,13053,16634,20895,18033,5607,1176,94,83807,3458,1507,2001,2339,3341,4567,2870,797,117,20998,462,361,854,969,1332,1712,629,121,17,6447,232,292,501,517,635,487,299,196,45,3200,6899,7722,16413,20459,26205,24794,9406,2287,267,114454,296,444,605,458,674,731,108,4,0,3323,488,153,180,149,173,328,114,10,0,1596,781,601,781,613,844,1056,223,15,0,4922,7683,8319,17198,21067,27049,25855,9629,2306,268,119377,5179,1577,2968,3131,4414,10541,22013,11325,2090,63238,1200,1362,3560,3937,4727,4379,2999,1386,314,23871,14066,11261,23724,28136,36188,40774,34645,15015,2673,206481,1143,3198,6750,8915,13011,9210,2214,371,25,44841,4665,2496,5716,8726,9928,9323,3188,542,39,44607,651,584,1619,1207,1396,1682,431,69,9,7644,224,173,313,350,466,365,200,115,25,2226,6680,6451,14395,19193,24806,20573,6033,1097,92,99322,173,242,293,272,397,376,47,0,0,1801,478,198,281,256,324,454,70,6,0,2056,647,436,578,520,720,830,117,3,0,3858
SOS37,0,0,12,16,22,6,3,0,0,70,0,3,0,3,0,0,0,0,0,8,0,0,3,4,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,11,0,3,16,28,25,10,6,0,0,90,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,3,23,28,29,10,6,0,0,88,0,3,4,0,3,0,3,0,0,21,0,5,40,74,45,16,6,0,0,192,8,8,69,102,77,26,14,0,0,302,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,2783,14236,51746,54239,48215,33775,6482,503,27,211998,10589,13396,16432,11143,9607,10301,5798,1131,86,78495,717,998,1944,1619,1557,1818,566,99,12,9327,224,574,1321,939,672,433,158,58,20,4406,14314,29203,71441,67944,60047,46326,13005,1794,146,304224,755,2044,3129,2280,2185,1788,243,8,0,12432,2518,1700,1235,687,577,746,246,36,8,7747,3269,3741,4360,2965,2761,2538,492,43,3,20176,17582,32947,75807,70911,62807,48865,13496,1843,151,324405,17110,7721,8633,7919,10224,19261,41728,28893,11428,152925,1128,1542,3598,3073,2696,2264,1853,1534,913,18595,35821,42208,88040,81893,75735,70387,57073,32262,12494,495920,1058,10117,33897,29895,31002,20651,3062,117,7,129806,13986,17221,26877,30414,25790,22038,6603,663,42,143625,842,1292,4710,3068,1736,2074,642,57,10,14446,211,482,901,598,487,376,130,58,24,3259,16097,29112,66378,63978,59021,45137,10431,899,81,291145,404,1051,1747,1318,1168,726,74,0,4,6492,2371,1507,1750,1573,1219,972,190,10,3,9594,2777,2560,3498,2890,2391,1697,261,12,7,16088
SOS41,1237,4141,11488,11519,12180,9667,2010,171,11,52424,2874,1844,2624,2023,2338,3081,1970,402,28,17167,192,206,507,464,549,761,285,44,4,3014,132,163,323,244,244,195,72,42,15,1425,4433,6358,14934,14249,15312,13708,4330,652,48,74031,202,482,649,466,526,511,69,10,6,2912,422,255,221,143,162,248,69,5,3,1519,629,737,869,605,682,756,132,11,4,4429,5058,7090,15803,14856,15997,14467,4464,664,55,78466,3961,1221,2238,2255,2950,6068,15165,10919,3698,48480,460,479,1078,1024,1139,1133,956,811,401,7475,9479,8796,19117,18136,20083,21670,20587,12394,4153,134416,522,2608,6240,6232,8102,5272,829,42,6,29852,3856,3034,6243,7340,7251,6934,2006,222,17,36910,249,305,1216,640,539,751,228,30,4,3960,121,122,215,158,189,172,65,47,4,1096,4755,6064,13920,14373,16086,13122,3133,350,30,71821,127,230,316,235,326,220,21,5,0,1480,444,218,298,290,282,313,68,7,0,1918,574,444,617,522,606,535,91,9,3,3397
SOS42,204,561,1460,1526,1777,1735,463,38,3,7757,303,199,306,288,387,595,397,90,4,2576,32,24,48,64,98,154,72,13,4,509,19,14,52,49,59,34,18,8,0,255,556,798,1867,1926,2320,2515,949,149,18,11104,50,65,109,62,87,108,6,0,0,492,45,26,31,19,22,41,17,0,0,191,92,88,148,82,107,149,18,0,0,689,646,889,2012,2003,2427,2664,975,151,18,11792,565,172,278,314,477,1228,2927,1719,543,8218,84,75,176,203,243,317,345,203,97,1738,1298,1141,2466,2521,3153,4210,4241,2066,651,21752,72,294,709,755,1027,941,158,11,0,3972,460,347,835,1012,1113,1284,404,38,3,5503,31,37,178,96,99,156,51,15,0,657,23,13,35,22,45,38,11,6,0,191,588,695,1764,1881,2284,2414,623,68,7,10328,22,39,39,39,38,52,6,0,0,236,43,25,44,37,45,57,13,0,0,255,63,64,80,73,82,108,18,0,0,489
SOS43,843,1880,4700,5847,7351,6722,2239,367,27,29976,1153,691,762,766,1225,1915,1288,405,39,8248,86,91,239,254,305,452,180,30,4,1641,81,80,130,150,186,164,106,51,10,966,2157,2733,5833,7021,9073,9259,3814,853,81,40829,71,122,186,131,189,226,30,0,0,958,141,50,55,46,72,120,33,0,0,507,208,173,240,174,263,341,60,4,0,1469,2366,2909,6071,7191,9336,9601,3882,855,79,42296,1779,446,740,936,1253,3067,6299,3341,690,18542,295,342,887,872,1053,1049,767,412,88,5767,4437,3700,7702,9008,11644,13717,10944,4607,859,66608,301,894,1959,2532,3818,2957,748,129,7,13340,1551,1122,2128,3366,3828,3956,1417,229,25,17622,118,124,441,299,342,404,143,28,4,1901,88,73,102,100,142,123,77,36,7,746,2055,2207,4627,6303,8135,7443,2385,416,41,33609,38,66,81,70,113,74,12,6,0,449,113,49,70,74,96,147,27,0,0,566,146,111,146,141,206,221,41,6,0,1012
SOS47,0,0,0,10,9,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,22,0,0,0,4,0,0,0,0,0,6,0,0,0,4,7,0,0,0,0,8,0,0,0,16,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,6438,24194,87476,100009,85594,58477,11861,813,41,374911,18835,20013,20255,14658,12805,14524,10441,2040,147,113715,862,1230,3656,3578,3215,3323,1087,132,17,17111,392,1154,2734,1972,1385,871,280,93,27,8898,26535,46594,114114,120217,102999,77192,23675,3075,232,514630,1355,2752,4371,3385,3338,2893,511,34,3,18639,4574,2020,1483,703,722,985,566,63,4,11123,5932,4773,5854,4091,4068,3876,1081,95,6,29765,32462,51363,119970,124304,107064,81068,24752,3169,242,544400,26089,9131,11053,9802,11657,21311,55711,39333,13274,197371,2100,2841,6903,6216,5019,3897,3147,2731,1833,34678,60648,63332,137925,140322,123749,106272,83614,45232,15345,776449,2687,17997,58794,51657,53146,33028,5127,193,4,222641,24591,26420,41813,52783,43503,34165,11244,1144,59,235729,927,1583,7637,5196,2849,3227,932,105,5,22472,443,919,1828,1230,1046,674,219,78,37,6479,28647,46913,110078,110875,100554,71099,17523,1516,99,487315,859,1482,2522,2235,2185,1411,139,11,0,10837,4619,1965,2810,2996,2160,1769,369,27,3,16712,5476,3449,5329,5229,4341,3184,508,36,7,27552
SOS51,2058,5256,15632,17002,16185,12255,2593,183,12,71175,3179,1433,2496,2231,2259,2904,1944,354,23,16830,227,277,899,1044,1130,1267,446,70,9,5378,128,213,538,418,316,227,65,37,12,1959,5591,7180,19569,20693,19889,16658,5055,646,56,95336,323,465,668,532,543,469,68,5,0,3070,489,163,193,147,139,201,102,8,3,1433,813,620,857,673,686,667,174,10,3,4500,6401,7805,20430,21374,20571,17324,5225,658,56,99839,4134,1223,2150,2202,2544,5055,13267,8401,2484,41467,1020,1105,3155,3199,3064,2642,1666,923,419,17192,11558,10134,25733,26771,26182,25018,20161,9988,2961,158494,1159,3528,9106,8941,10100,6567,1048,44,0,40496,4196,2452,6931,9368,7921,6607,2177,238,9,39899,219,385,1490,964,871,1094,308,32,0,5373,131,159,301,252,234,158,61,29,9,1332,5703,6512,17836,19526,19128,14432,3599,341,19,87106,210,226,347,286,320,218,28,0,0,1636,491,191,381,404,322,321,53,4,3,2169,707,415,724,690,644,537,77,4,5,3804
SOS52,272,667,2019,2032,2252,2105,583,50,4,9982,216,190,324,321,335,539,334,91,8,2359,32,36,158,161,175,296,107,15,0,979,24,35,90,67,79,77,30,10,4,421,553,929,2590,2580,2842,3014,1043,166,22,13738,43,90,143,113,115,118,24,0,0,645,41,24,35,33,32,42,19,0,0,228,80,118,175,153,148,157,44,0,0,866,627,1046,2766,2732,2988,3173,1089,173,22,14607,810,336,569,586,683,1235,3015,1619,402,9248,155,209,681,673,750,706,571,284,75,4112,1595,1588,4014,3992,4426,5113,4669,2080,496,27974,131,398,1112,1002,1305,1118,214,26,0,5310,338,292,799,1052,989,1061,364,45,0,4946,27,45,191,170,156,244,76,7,0,918,26,24,60,47,30,45,7,9,3,261,529,767,2161,2277,2484,2471,665,90,3,11442,44,41,64,74,71,55,6,0,0,359,49,25,66,72,54,53,18,0,0,337,90,65,131,151,122,109,22,0,0,695
SOS53,1014,2801,8240,9485,10946,9142,2603,444,46,44725,1035,648,981,1088,1393,1976,1455,429,53,9050,100,180,604,831,984,1069,364,32,5,4173,68,87,208,227,219,201,105,57,18,1195,2216,3716,10028,11632,13539,12395,4529,963,126,59138,96,125,199,197,223,221,51,0,0,1109,146,51,44,42,58,88,62,4,0,503,237,180,245,238,282,308,112,8,0,1608,2450,3895,10275,11869,13822,12697,4639,969,129,60745,1915,741,1783,1715,1643,3230,7278,3430,628,22355,437,1247,4364,4435,4353,3276,1346,470,86,20012,4805,5878,16417,18019,19811,19205,13265,4870,842,103108,429,1453,3207,3243,4734,3769,882,139,10,17852,1446,912,2051,3572,3931,3840,1491,220,9,17475,97,161,651,551,607,883,213,19,0,3182,72,73,112,119,161,133,77,37,4,784,2047,2598,6023,7488,9433,8623,2662,410,20,39300,57,61,110,99,112,115,13,0,0,576,149,46,87,108,123,122,28,0,0,659,208,112,194,208,233,236,38,0,0,1230
SOS57,3,49,219,432,404,198,25,6,0,1339,0,0,7,19,13,12,3,0,0,54,0,0,12,27,33,21,7,0,0,99,0,0,0,6,3,6,0,0,0,18,3,54,237,494,451,234,32,6,0,1517,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,5,5,0,0,0,7,6,54,242,491,457,240,32,6,0,1525,0,0,4,10,5,19,46,6,0,87,10,28,191,410,372,193,35,0,0,1247,13,81,430,908,842,449,117,15,0,2854,7,22,51,25,22,18,0,0,0,139,0,0,5,0,3,4,0,0,0,20,0,0,4,3,7,8,3,5,0,25,0,0,0,0,0,0,0,0,0,3,7,23,54,28,32,29,5,5,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,469,2068,8933,7570,6928,4782,896,62,0,31719,1337,1835,3999,2043,1473,1690,1125,205,8,13718,94,128,316,281,279,278,109,18,0,1489,29,93,287,132,104,60,23,3,7,745,1931,4125,13531,10031,8782,6812,2158,288,15,47668,161,401,732,363,237,188,27,6,0,2103,445,331,374,118,92,82,46,0,0,1495,605,731,1110,478,322,272,72,3,0,3596,2533,4851,14645,10509,9108,7079,2228,291,15,51268,2643,1194,1789,1375,1516,3109,6557,4556,1623,24367,208,255,741,494,438,400,400,305,144,3377,5381,6303,17165,12380,11063,10594,9183,5156,1785,79008,174,1548,5830,4490,4889,3199,437,23,0,20582,1911,2410,5665,4920,4004,3555,1205,117,10,23783,117,190,812,515,368,386,110,14,0,2504,43,77,229,94,75,55,24,8,5,607,2246,4220,12531,10013,9326,7191,1773,160,14,47471,90,207,553,221,131,94,12,0,0,1318,430,296,485,236,171,139,26,0,0,1785,526,502,1037,454,308,234,36,0,0,3107
SOS61,807,2822,8350,7288,7242,5835,1039,67,7,33449,1601,1324,2389,1572,1540,1972,1127,201,11,11737,109,127,358,273,349,436,131,15,3,1808,52,126,252,127,145,112,49,20,5,897,2565,4398,11352,9259,9279,8354,2344,302,29,47888,208,465,609,381,363,283,38,0,0,2354,335,208,214,122,123,126,43,6,0,1179,547,673,823,497,492,407,76,6,0,3529,3112,5067,12182,9760,9771,8760,2421,307,34,51418,2804,955,1458,1402,2055,3900,9058,6423,2021,30077,322,368,785,606,609,597,620,489,277,4674,6239,6394,14418,11769,12431,13263,12103,7219,2332,86168,348,1962,4602,3821,4838,3300,466,12,0,19348,2392,2151,4788,4958,4758,4400,1239,104,6,24793,149,196,772,446,385,480,125,11,0,2571,77,83,163,100,101,73,32,14,3,667,2964,4394,10329,9325,10085,8258,1860,147,15,47383,119,201,314,211,231,147,23,0,0,1247,354,192,298,224,213,235,28,0,0,1559,474,393,614,431,449,391,56,4,0,2806
SOS62,115,319,946,997,1121,976,230,26,0,4736,138,124,236,244,288,413,253,53,8,1746,20,21,54,58,63,95,32,4,0,346,13,13,34,31,25,28,9,4,0,162,283,487,1268,1330,1497,1515,521,83,7,6992,28,35,49,31,53,48,4,0,0,250,19,17,11,12,15,29,7,0,0,123,49,51,62,46,71,76,17,4,0,370,332,531,1333,1377,1564,1589,535,89,9,7363,343,87,130,168,306,789,1746,1048,245,4870,51,62,100,85,113,145,163,117,47,877,723,678,1563,1623,1987,2525,2445,1256,298,13109,37,177,458,489,656,498,85,3,0,2396,277,200,543,655,731,831,218,17,0,3468,15,15,114,67,64,98,32,9,0,416,11,9,15,16,37,19,0,5,4,126,333,408,1136,1222,1487,1447,339,31,4,6409,5,20,23,19,29,26,3,0,0,137,29,10,36,27,30,42,15,0,0,187,37,30,55,50,61,69,16,0,0,318
SOS63,579,1280,3146,3796,4459,3905,1022,162,12,18361,706,358,704,830,1079,1585,976,197,21,6460,57,51,155,190,273,335,102,20,8,1193,32,68,93,119,121,118,42,24,6,638,1374,1767,4093,4937,5938,5940,2146,410,51,26660,69,151,187,106,162,177,18,3,0,875,121,53,47,45,51,86,26,0,0,430,190,197,230,150,212,262,45,0,0,1299,1567,1963,4328,5086,6151,6204,2195,408,51,27961,1379,288,491,521,1033,2678,5168,2525,468,14555,170,124,362,369,435,514,458,231,67,2724,3117,2375,5178,5977,7619,9391,7821,3166,588,45239,205,665,1552,1977,2594,1895,357,44,0,9291,983,737,1740,2549,2864,2826,773,118,9,12604,62,82,361,247,253,323,80,16,0,1419,25,38,73,66,94,75,37,13,0,426,1277,1526,3725,4844,5802,5120,1249,188,10,23736,49,65,95,64,82,81,14,0,0,451,132,51,68,85,82,128,15,0,0,558,182,111,160,151,166,206,32,0,0,1007
SOS67,0,8,42,54,52,35,7,0,0,208,0,0,4,0,0,0,0,0,0,11,0,0,3,4,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,52,60,58,44,10,0,0,228,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,52,60,57,44,10,0,0,230,3,3,0,0,3,5,16,0,0,31,0,0,0,4,15,11,0,0,0,31,0,9,58,65,70,62,25,4,0,289,0,6,3,9,11,4,0,0,0,30,0,0,3,0,3,6,0,0,0,11,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,12,12,16,7,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,421,2211,7302,6469,5198,3502,886,63,4,26062,935,855,1605,1022,733,711,464,69,3,6409,66,97,384,373,370,435,149,11,0,1880,44,97,222,138,106,78,19,3,3,715,1462,3256,9513,8007,6409,4731,1525,147,14,35058,105,157,275,181,162,161,36,3,0,1084,162,75,85,39,41,56,31,7,0,497,267,235,358,221,208,219,67,5,0,1582,1730,3493,9875,8222,6617,4951,1588,154,18,36639,1401,648,1144,958,918,1509,3263,1568,303,11715,279,532,1368,1074,983,933,654,196,40,6069,3406,4673,12383,10260,8516,7389,5506,1926,362,54421,268,1564,5740,4951,4261,2650,484,27,0,19947,1148,1093,2869,2380,1570,1204,493,54,0,10807,61,146,767,529,353,444,137,9,0,2439,32,62,191,105,67,61,18,7,0,541,1512,2859,9567,7964,6246,4359,1132,91,7,33737,65,106,214,146,95,88,7,0,0,722,178,81,180,123,74,55,17,3,0,703,242,184,396,266,161,140,24,0,0,1422
SOS71,151,519,2225,2003,1576,1326,348,18,0,8167,252,129,365,349,204,254,154,24,0,1731,11,27,123,106,104,171,59,5,0,606,19,35,89,57,39,34,12,8,0,285,431,715,2799,2514,1932,1782,568,53,4,10792,60,91,168,138,84,50,8,0,0,602,54,36,66,48,31,24,16,3,0,269,119,130,240,177,108,72,16,3,0,867,553,842,3035,2697,2041,1854,584,57,4,11660,1039,579,957,800,686,693,1020,413,70,6254,148,167,509,442,381,383,263,66,10,2375,1741,1583,4505,3936,3110,2933,1875,528,81,20293,135,459,2082,1469,1465,1098,231,16,0,6958,288,212,695,716,439,395,165,16,0,2917,18,54,237,140,131,158,35,0,0,780,14,28,67,44,42,26,11,0,0,230,457,752,3082,2366,2075,1676,438,38,0,10886,41,72,140,88,62,36,3,0,0,438,47,45,76,60,43,25,11,0,0,299,88,119,217,143,101,56,12,0,0,736
SOS72,55,180,566,587,537,478,134,11,0,2548,42,75,174,179,126,115,62,9,0,789,4,24,76,75,87,111,53,3,0,425,10,11,33,25,21,16,6,3,0,131,111,292,846,858,777,721,264,28,0,3890,55,88,130,82,40,24,5,0,0,423,21,28,41,36,14,14,3,0,0,150,78,110,174,118,55,40,3,0,0,581,184,405,1021,975,831,754,264,27,0,4469,753,546,958,645,600,532,690,209,24,4964,61,70,207,157,167,203,150,37,0,1056,998,1027,2182,1783,1598,1492,1114,271,31,10486,55,167,496,428,472,427,93,4,0,2145,70,98,273,304,216,163,60,9,0,1193,10,16,72,74,96,132,30,3,0,431,3,13,35,24,20,21,0,0,0,126,142,292,873,830,802,752,187,16,0,3891,44,55,97,73,34,20,0,0,0,330,24,31,37,34,22,8,0,0,0,158,67,91,138,103,61,30,3,0,0,487
SOS73,256,586,1471,1432,1609,1152,307,44,0,6861,163,120,215,187,252,294,140,29,5,1404,17,33,139,198,267,367,130,10,0,1158,19,34,50,48,46,38,20,5,0,260,455,774,1884,1865,2167,1855,605,81,5,9689,38,44,102,52,82,56,16,0,0,398,20,8,31,16,17,17,14,0,0,122,58,51,131,70,104,81,31,0,0,526,515,827,2013,1935,2271,1929,627,81,5,10207,573,388,726,618,542,1107,2036,614,54,6668,168,298,752,653,748,669,513,137,8,3941,1256,1515,3494,3209,3556,3708,3175,835,67,20822,164,401,949,958,1176,760,151,15,0,4580,267,153,398,474,458,415,150,13,0,2339,13,40,238,207,270,342,83,3,0,1196,13,23,32,32,32,32,12,3,0,177,466,621,1614,1671,1940,1549,399,27,4,8293,34,43,79,64,56,31,7,0,0,314,24,13,28,20,27,24,3,0,0,145,62,55,106,91,87,55,13,0,0,458
SOS77,5,8,24,60,64,54,6,0,0,215,0,0,3,5,3,4,0,0,0,12,0,0,0,0,4,0,0,0,0,11,0,0,7,0,0,0,0,0,0,12,3,12,33,60,75,60,4,0,0,249,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13,33,59,75,63,4,0,0,253,0,0,0,0,0,3,8,4,0,29,4,5,15,41,43,33,7,0,0,136,10,17,51,101,111,97,19,4,0,414,0,10,3,6,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,4,6,4,3,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
