SOS_CODE_2021,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85ov_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85ov_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85ov_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
SOS10,41,742,154955,155740,3575,14287,159057,176924,112837,85127,202979,400942,244870,47857,96240,388969,215461,32726,85076,333260,191325,22010,78225,291559,152050,10629,53747,216433,84495,3553,30364,118411,21943,521,14064,36532,1026587,217456,874717,2118763,146,1344,144474,145959,8675,20870,138163,167701,159679,89186,165485,414346,257955,43863,99646,401470,216947,29776,106307,353033,182812,18475,109155,310442,135910,7889,97884,241680,60391,2109,75072,137574,9701,240,42353,52291,1032221,213752,978531,2224501,189,2088,299425,301701,12249,35156,297222,344620,272506,174316,368468,815288,502829,91720,195887,790434,432415,62503,191376,686291,374133,40489,187382,602001,287963,18516,151633,458115,144884,5659,105440,255988,31650,767,56416,88828,2058811,431206,1853247,4343269
SOS11,13,619,40488,41126,834,6819,28187,35844,23511,22462,34551,80529,41383,13252,21956,76588,42465,11185,25839,79497,48783,9034,28353,86172,54489,5485,24352,84324,34047,1958,13750,49758,8294,286,5661,14242,253833,71098,223146,548078,31,1240,37125,38396,1621,9726,24306,35656,31543,23467,32874,87879,45191,13401,26202,84798,45479,11221,31455,88163,51910,8560,36161,96621,51705,4459,36580,92743,26209,1281,30539,58031,4004,172,16668,20837,257693,73515,271908,603114,46,1860,77610,79517,2456,16546,52494,71499,55056,45930,67424,168407,86574,26653,48156,161387,87951,22404,57301,167654,100688,17595,64509,182794,106202,9940,60931,177069,60257,3235,44293,107787,12302,456,22328,35080,511525,144614,495052,1151194
SOS12,0,39,3792,3832,52,430,2394,2882,1762,1613,2553,5930,3733,1277,1691,6697,4670,1311,2381,8358,5877,1238,3168,10280,6280,775,2751,9804,3111,230,1430,4766,584,21,463,1067,26068,6934,20614,53625,3,84,3539,3627,111,616,1910,2647,2377,1805,2219,6396,4253,1313,1858,7428,5294,1301,2504,9097,6269,1253,3235,10751,5708,590,3205,9508,2206,161,2162,4527,248,18,1054,1316,26472,7141,21678,55285,3,127,7331,7459,168,1050,4311,5529,4137,3411,4770,12321,7988,2591,3546,14122,9967,2607,4885,17459,12148,2490,6397,21034,11990,1364,5956,19308,5317,390,3585,9297,827,37,1514,2379,52538,14073,42298,108906
SOS13,8,128,16479,16612,216,1220,9996,11433,6466,4974,9495,20934,15916,4094,6146,26154,23592,4720,7953,36266,27571,4663,10532,42761,24812,2796,9040,36643,11450,682,4238,16377,1961,92,1400,3455,111982,23367,75281,210629,10,236,14920,15168,436,1813,7766,10012,8925,5485,7279,21693,18748,4381,5100,28239,26041,5021,6761,37829,28492,4410,8634,41536,21850,1999,8006,31860,7761,398,5619,13785,826,38,2574,3431,113078,23782,66671,203535,11,363,31402,31779,644,3032,17765,21447,15392,10462,16777,42627,34663,8472,11249,54388,49637,9746,14715,74093,56060,9072,19162,84294,46658,4794,17041,68500,19210,1084,9862,30158,2780,129,3973,6881,225060,47151,141947,414167
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,32,558,131914,132508,2208,12481,141301,155999,94986,83830,186960,365781,213303,46215,81794,341306,184386,30129,72967,287485,157611,18995,63438,240043,124839,8627,42802,176271,71772,2819,23931,98521,19202,426,11912,31541,868347,204092,757017,1829450,111,1045,123931,125090,5626,17882,125391,148901,134570,87949,153054,375576,221606,42632,89400,353643,184043,27994,95951,307994,150984,15833,92788,259603,114253,6662,82003,202916,53189,1651,63596,118434,8699,208,36063,44974,873087,201867,862179,1937131,148,1609,255841,257597,7832,30364,266697,304893,229559,171778,340015,741356,434905,88847,171194,694945,368438,58125,168919,595479,308592,34829,156223,499647,239095,15290,124802,379185,124961,4475,87525,216961,27902,635,47978,76516,1741432,405952,1619195,3766581
SOS21,11,226,25915,26153,406,3501,19368,23276,16024,15795,22926,54746,30323,9052,13594,52968,29663,7228,15474,52359,32118,5135,16154,53403,33530,2987,13628,50145,19491,968,7421,27879,4492,143,3230,7870,166052,45032,137716,348798,23,452,23786,24257,862,5133,15960,21959,21501,16423,21006,58925,32435,9205,16479,58111,30970,7084,19867,57915,33294,4870,21989,60156,31872,2373,21714,55964,14766,638,17116,32523,2160,80,8992,11230,167885,46255,166905,381049,34,675,49703,50417,1269,8636,35331,45236,37519,32218,43934,113677,62751,18253,30078,111081,60627,14308,35334,110276,65414,10004,38139,113557,65406,5360,35342,106105,34260,1603,24537,60405,6655,223,12225,19100,333938,91293,304615,729846
SOS22,0,17,2163,2177,25,234,1413,1676,1068,1237,1600,3899,2498,872,1078,4451,2923,846,1562,5325,3746,785,2138,6668,3897,456,1967,6316,1929,124,923,2977,378,15,306,698,16469,4571,13159,34196,0,43,2072,2111,52,342,1103,1496,1482,1343,1313,4140,2802,887,1107,4791,3185,893,1610,5689,4053,735,2099,6898,3528,347,1995,5867,1404,89,1399,2896,173,13,719,902,16683,4687,13425,34796,0,60,4238,4296,76,578,2517,3164,2555,2578,2914,8042,5297,1755,2190,9242,6111,1737,3170,11015,7804,1515,4240,13562,7428,797,3965,12186,3332,214,2325,5879,555,21,1029,1602,33151,9258,26584,68990
SOS23,3,53,12173,12230,141,811,7730,8683,4487,4107,7053,15652,11978,3589,4328,19891,17333,4156,6038,27526,21357,3767,7498,32618,19286,2049,6805,28136,8510,526,3276,12307,1417,41,1049,2502,84502,19093,55947,159542,3,93,11022,11115,225,1211,5951,7387,6248,4632,5413,16296,13934,3779,3492,21208,19217,4362,4945,28529,22020,3465,6282,31762,17082,1517,5683,24284,5903,294,3879,10074,582,13,1884,2482,85219,19365,48560,153141,7,142,23196,23346,364,2026,13686,16073,10736,8741,12472,31944,25912,7366,7821,41103,36545,8521,10980,56053,43373,7228,13778,64380,36366,3565,12487,52417,14410,817,7158,22378,1994,58,2933,4985,169718,38459,104507,312683
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
