SOS_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
SOS10,31815,29537,61350,13684,17271,30954,677,321,1001,687,592,1285,1834,1845,3679,571686,397409,969095,27429,44834,72266,13648,235,13878,9730,1258,10983,8184,2507,10690,7109,4856,11963,28019,31774,59787,714503,532430,1246935,10078,12118,22200,107,86,188,412,459,872,3827,2136,5967,745,1420,2165,974,544,1522,16154,16767,32921,117,85,195,247,270,513,750,615,1373,548,1257,1799,448,525,969,2101,2745,4853,6164,3465,9632,24422,22976,47398,3188,3291,6477,316,354,668,234,99,328,3738,3747,7481,462954,520474,983430,161741,203722,365457,6181,4667,10845,1373536,1288012,2661549
SOS11,520,314,830,1410,1072,2481,96,58,149,14,5,26,429,568,1002,229471,199958,429431,15949,17564,33509,5938,191,6127,2289,255,2540,2318,819,3140,1530,967,2501,9564,10677,20243,269525,232458,501986,60,63,127,9,0,7,6,7,14,173,97,271,33,25,60,58,17,76,340,218,561,3,0,4,3,6,6,141,79,215,104,145,244,39,44,84,286,273,556,2357,1277,3636,2981,1767,4747,87,58,141,29,31,61,111,40,150,219,131,354,34273,50373,84650,32647,50424,83069,2132,1828,3958,341779,336983,678763
SOS12,46,36,85,133,76,207,6,3,8,0,0,3,22,5,24,20826,17705,38530,1203,1187,2389,944,23,968,154,26,178,134,62,197,220,108,330,1202,1278,2485,24893,20507,45397,4,5,10,0,0,0,0,0,0,31,16,48,3,11,12,0,5,4,41,30,71,0,0,0,0,0,0,14,10,22,7,11,17,0,0,3,19,16,35,274,134,405,329,180,512,3,5,9,0,9,9,10,0,7,12,8,24,4045,5653,9699,3338,4833,8181,289,217,503,32915,31405,64316
SOS13,98,78,177,340,246,585,24,6,29,5,0,10,21,10,32,81385,68760,150148,4238,4482,8724,5275,151,5428,1011,182,1194,302,97,399,1736,682,2423,6030,3496,9525,100468,78189,178661,14,10,25,3,0,0,0,0,0,82,63,141,17,8,23,3,4,9,119,83,205,0,0,4,0,0,3,53,31,85,27,39,67,7,11,22,100,84,179,1145,439,1584,1359,606,1963,20,19,37,10,11,27,112,24,139,149,53,205,29654,32517,62172,12112,17046,29162,1422,1188,2614,145170,129601,274771
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,29,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,35
SOS20,25685,23762,49451,6703,9350,16050,322,120,446,9016,11454,20470,3005,2783,5789,675804,479286,1155093,33476,46910,80380,10205,214,10420,5312,615,5926,13360,5755,19117,6295,3847,10140,23143,26539,49673,812320,610627,1422955,4776,5880,10662,7,3,10,2648,3277,5924,4503,2811,7317,619,1304,1928,1200,674,1868,13757,13951,27707,12,0,12,644,818,1461,526,440,968,563,1129,1688,282,372,653,2022,2766,4783,7597,5071,12675,23370,21788,45158,4047,4984,9031,327,407,730,433,247,677,4806,5640,10443,328063,370818,698881,101496,170661,272154,5646,4279,9919,1275696,1183812,2459511
SOS21,1172,916,2097,525,631,1154,88,26,111,31,28,53,286,289,575,154125,124592,278712,10062,10711,20769,2576,75,2649,693,103,793,1789,672,2462,949,560,1508,5496,6312,11806,177780,144910,322685,130,183,314,0,0,0,49,58,102,370,255,626,72,65,137,78,24,99,704,576,1280,4,0,4,3,0,3,83,59,143,57,101,159,23,30,54,170,190,360,1495,777,2270,2372,1541,3909,199,194,397,22,31,54,69,23,93,289,255,543,24558,36272,60833,17939,31787,49729,1452,1223,2684,224391,215991,440377
SOS22,34,16,48,96,83,180,4,7,11,0,6,11,13,6,17,14172,11294,25468,757,735,1495,400,16,419,59,7,61,112,53,171,253,126,380,1226,1281,2509,17134,13630,30766,9,0,12,0,0,0,0,0,0,16,13,26,0,4,7,7,0,7,30,19,50,0,0,0,0,0,0,5,3,11,3,6,8,3,0,3,13,12,23,140,69,208,178,101,285,6,5,12,0,0,0,5,3,10,16,7,24,2727,3644,6374,2085,3442,5521,198,184,384,22344,21009,43347
SOS23,202,125,329,221,120,336,21,9,34,12,20,28,38,24,61,64825,52430,117258,3602,3597,7204,2781,75,2862,710,150,857,348,111,453,947,443,1391,5329,3029,8356,79037,60137,139173,16,13,32,0,0,0,6,11,13,114,53,166,19,19,35,16,5,17,171,93,264,0,0,0,0,0,0,20,15,41,21,42,62,5,3,14,46,70,113,825,303,1126,1045,463,1507,45,28,74,3,4,3,88,17,98,130,50,184,21914,24039,45948,7651,12890,20539,1218,1064,2279,110990,98636,209629
SOS27,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,22,7,30,0,0,0,14,0,14,0,0,0,0,0,0,92,7,98,13,6,17,139,18,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,22,170
SOS30,13097,13554,26646,14460,19913,34368,840,740,1585,677,1039,1722,2621,2837,5461,549391,476683,1026078,30221,44279,74503,10310,251,10561,11027,1329,12357,10442,3688,14127,6182,2941,9129,18190,19637,37827,667466,586895,1254361,2098,2513,4616,10,5,19,79,81,159,2879,2838,5721,501,754,1253,698,309,1013,6274,6506,12785,123,179,300,175,309,487,995,1246,2240,515,1316,1833,488,510,996,2298,3555,5853,6717,4201,10921,15289,14267,29559,1201,1438,2637,414,511,922,325,158,488,1939,2110,4045,127653,152699,280348,76623,121047,197674,3788,3342,7123,892748,880360,1773114
SOS31,177,168,347,2779,1276,4051,208,87,294,10,8,14,386,512,900,141236,129844,271074,11269,12926,24196,3355,101,3454,2026,201,2219,1765,655,2424,1616,813,2431,5760,6702,12461,170578,153290,323864,38,41,76,0,0,0,0,0,0,143,151,291,17,18,36,21,6,29,217,208,428,59,43,104,0,0,0,339,119,453,68,99,167,49,26,79,509,283,800,2124,1219,3345,2855,1707,4571,41,42,81,236,80,313,139,60,197,412,181,588,9723,16131,25855,20882,25714,46597,1302,1190,2492,205759,198212,403966
SOS32,22,20,44,275,139,410,44,45,88,0,0,0,12,17,31,18811,16499,35312,1419,1426,2842,697,28,729,236,35,269,139,77,221,360,138,495,1616,1934,3549,23636,20355,43990,3,3,3,0,0,0,0,0,0,12,25,43,3,0,7,3,0,3,25,29,54,9,17,29,0,0,0,28,16,43,8,15,24,6,0,10,52,48,105,322,240,569,400,323,726,10,3,10,27,10,43,22,9,36,59,30,87,1857,2810,4670,3166,3867,7033,336,279,613,29453,27659,57114
SOS33,172,123,296,1596,503,2102,77,15,92,6,0,6,32,15,50,65333,56956,122292,4222,4133,8359,3752,143,3896,965,144,1111,284,91,375,1893,710,2597,5573,3768,9343,83912,66612,150523,8,18,26,0,0,0,0,0,0,131,117,240,8,16,29,22,3,25,170,154,323,166,12,180,0,0,0,127,62,188,47,31,74,90,19,110,432,129,557,1007,382,1387,1611,662,2266,30,33,61,140,21,167,110,28,139,279,80,367,17416,18720,36138,10012,12350,22367,1215,892,2110,114454,99322,213770
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,10,0,10,0,0,0,0,0,0,57,0,57,3,0,0,75,5,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,11,0,0,0,90,13,99
SOS40,2567,2683,5251,9826,13831,23657,60,32,87,968,1316,2284,922,971,1894,206491,170181,376678,9651,15941,25592,2101,55,2157,2306,268,2573,4760,1708,6464,2123,677,2802,5372,5686,11059,247145,213351,460494,476,472,948,0,0,0,59,94,150,479,511,992,63,123,184,86,48,128,1168,1244,2411,0,3,10,182,248,431,863,1105,1969,336,837,1177,242,283,529,1626,2492,4115,2296,1977,4277,5088,5716,10802,291,412,696,219,324,540,88,47,143,599,786,1383,26944,30309,57255,23265,39954,63217,1187,1032,2214,304224,291145,595366
SOS41,42,28,73,780,641,1425,16,9,22,0,5,7,128,135,266,53198,48195,101390,3338,3699,7038,792,31,820,455,50,507,519,134,654,511,169,676,2010,2047,4058,61788,55146,116940,12,8,21,0,0,0,0,0,0,24,29,54,0,4,5,0,0,0,43,45,87,0,0,0,0,5,5,191,145,333,33,42,80,25,10,34,248,204,452,576,333,907,868,581,1447,10,14,24,14,9,27,29,15,40,48,42,93,4088,5702,9788,6721,9941,16661,517,420,930,74031,71821,145857
