SOS_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOS10,416866,280384,141357,57729,3064954
SOS11,127274,108369,58164,21774,775889
SOS12,15538,12869,5030,1275,76623
SOS13,63787,47152,17683,3599,300541
SOS17,12,0,0,0,15
SOS20,332894,219870,110624,43492,2624638
SOS21,72236,59428,30692,11637,471063
SOS22,9700,7617,3224,1007,49501
SOS23,45272,33001,12113,2323,214545
SOS27,147,17,0,0,530
SOS30,258885,179018,88142,30535,1889431
SOS31,72977,57343,27507,8602,448087
SOS32,14279,12102,4789,841,70217
SOS33,48083,34122,11979,1921,235260
SOS37,27,12,0,0,308
SOS40,88799,66546,32957,12394,622078
SOS41,25089,21609,11225,3848,152465
SOS42,4790,4022,1725,581,23555
SOS43,14808,10521,3684,641,72044
SOS47,5,0,0,0,28
SOS50,142892,99255,48913,18211,1033862
SOS51,30395,21511,9585,3229,194353
SOS52,5738,4613,1808,438,30061
SOS53,21451,13598,4235,628,112651
SOS57,465,123,24,0,2853
SOS60,14466,11527,5941,2194,105633
SOS61,16087,12757,7028,2354,101043
SOS62,3133,2654,1209,316,15444
SOS63,11460,8111,2799,501,53447
SOS67,70,27,4,0,303
SOS70,10189,6484,2029,384,74718
SOS71,3861,2166,506,98,24359
SOS72,1928,1252,214,17,9577
SOS73,4667,3581,752,55,24164
SOS77,96,35,6,0,406
SOS80,33411,23878,11803,3939,262713
SOS82,52,41,15,4,335
SOS83,54,42,4,0,398
SOS87,0,0,0,0,0
SOS91,151,102,19,0,947
SOS92,357,237,111,20,1555
SOS93,71,70,43,8,649
SOS97,0,0,0,0,0
