SOS_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
SOS70,145,2877,380,89,3492,165,3756,748,1096,5770,573,9952,1859,505,12888,780,8035,1447,153,10412,791,6499,1228,68,8585,635,5734,1016,72,7457,432,4372,705,32,5539,174,1518,233,7,1928,31,278,54,0,364,3729,43016,7677,2027,56444,191,2766,373,12,3331,176,3417,489,114,4207,931,10681,1532,167,13310,1216,8302,1182,46,10752,1197,6246,979,24,8441,1100,5354,879,73,7408,666,3881,581,44,5167,178,1431,236,8,1858,25,337,73,8,448,5680,42412,6330,491,54913,336,5639,750,99,6828,346,7178,1240,1217,9975,1500,20632,3390,675,26196,1999,16344,2626,199,21165,1987,12740,2204,84,17025,1740,11084,1901,144,14864,1097,8249,1287,77,10705,355,2946,473,24,3789,57,622,129,6,809,9410,85430,14006,2519,111361
SOS71,107,1416,214,0,1741,127,1258,198,14,1594,331,3569,600,32,4537,344,3106,483,16,3952,258,2435,419,6,3116,223,2299,407,13,2946,154,1449,271,6,1873,36,425,67,0,530,3,67,7,0,81,1590,16028,2673,86,20379,112,1303,191,4,1610,203,1303,171,3,1676,465,4121,550,28,5165,502,3056,449,8,4013,416,2579,394,6,3391,407,2294,377,24,3111,174,1332,229,6,1747,58,400,58,10,531,10,123,24,0,158,2352,16519,2440,84,21395,219,2720,408,4,3349,325,2566,368,16,3274,800,7697,1151,60,9704,849,6157,931,19,7963,672,5013,807,9,6509,631,4593,794,44,6056,333,2779,499,12,3621,97,828,129,8,1060,13,193,33,0,242,3940,32551,5116,169,41773
SOS72,92,822,91,0,998,118,812,89,0,1030,232,1722,228,22,2198,190,1410,185,3,1782,185,1228,190,0,1600,132,1145,214,6,1497,55,884,177,4,1116,15,216,40,0,271,4,25,0,0,31,1008,8265,1214,35,10519,116,739,109,0,963,125,854,92,0,1070,303,1857,221,26,2407,297,1385,162,6,1843,267,1277,176,9,1734,191,1294,219,5,1713,88,781,160,0,1036,12,161,25,0,194,0,25,4,0,31,1398,8374,1169,44,10983,201,1562,197,0,1958,241,1664,185,3,2093,536,3580,452,42,4611,484,2797,348,4,3629,449,2504,362,3,3331,323,2441,436,11,3211,136,1667,337,9,2149,25,374,66,0,469,4,50,0,0,59,2403,16641,2381,75,21506
SOS73,75,940,247,6,1266,89,1022,403,68,1579,177,2324,992,91,3583,190,2123,895,39,3241,265,2420,874,18,3576,280,2712,718,18,3721,183,2459,533,11,3187,35,655,141,0,841,3,55,11,0,67,1307,14698,4806,248,21060,77,857,191,0,1123,82,903,199,22,1205,227,2182,515,57,2986,300,2045,448,7,2800,381,2151,462,4,2994,441,2418,494,8,3365,245,1909,405,8,2573,44,412,83,0,541,10,58,9,0,75,1815,12937,2805,98,17650,155,1795,430,8,2392,174,1922,601,86,2781,408,4507,1508,141,6564,488,4170,1339,44,6046,646,4567,1333,15,6569,720,5125,1213,22,7082,432,4370,935,14,5758,79,1063,229,0,1379,12,117,18,0,145,3120,27638,7611,343,38714
SOS77,0,10,0,0,10,0,14,5,0,17,0,33,13,0,54,0,62,41,0,106,0,70,42,0,117,0,63,33,0,96,0,11,3,0,22,0,4,0,0,4,0,0,0,0,0,9,266,141,12,429,0,0,0,0,0,0,12,0,0,15,0,6,5,7,16,0,6,0,0,3,0,7,0,0,7,0,6,0,0,12,0,13,5,0,21,0,4,0,0,5,0,0,0,0,0,0,48,17,7,67,0,4,0,0,11,0,24,3,0,27,0,41,17,9,65,0,67,43,0,112,0,77,42,0,124,0,70,34,0,106,0,28,7,0,40,0,5,3,0,10,0,0,0,0,0,12,314,158,17,494
SOS80,629,12061,686,19,13398,867,15157,1132,50,17207,2102,34150,2294,88,38635,3180,29338,1635,100,34260,3939,22653,1141,72,27816,3697,16984,810,60,21554,2274,13253,619,64,16208,1301,6808,464,22,8592,358,2224,272,5,2859,18346,152636,9064,494,180542,677,11637,687,20,13019,1016,15200,1016,43,17276,2834,34178,1883,84,38983,4688,28879,1289,75,34928,5683,21554,904,63,28214,5533,16912,667,122,23233,3529,14394,691,87,18701,1527,8303,599,21,10452,287,3554,497,3,4340,25762,154613,8236,523,189138,1306,23697,1369,45,26420,1886,30359,2149,92,34485,4940,68326,4176,179,77611,7867,58220,2932,177,69193,9628,44209,2049,139,56022,9229,33899,1482,179,44784,5797,27650,1311,153,34910,2820,15114,1061,49,19045,643,5774,772,7,7199,44105,307248,17301,1016,369675
SOS82,0,29,0,0,28,0,7,0,0,13,0,24,0,0,30,0,43,5,0,47,9,39,0,0,47,5,21,0,0,25,4,16,6,0,28,0,8,4,0,15,0,0,0,0,0,28,197,11,0,239,0,22,0,0,23,0,15,0,0,17,0,23,0,0,23,7,42,3,0,46,15,35,0,0,52,7,29,0,0,41,9,18,0,0,25,0,15,0,0,16,0,3,0,0,3,36,198,13,0,239,0,47,4,0,47,0,26,0,0,24,0,50,0,0,54,7,85,3,0,94,25,75,0,0,99,10,54,0,0,69,13,36,7,0,62,0,24,4,0,33,0,6,0,0,6,67,394,25,0,479
SOS83,0,25,8,0,33,0,40,8,0,55,3,57,12,0,70,6,25,0,0,30,7,22,8,0,38,5,22,4,0,30,3,24,5,0,33,0,6,0,0,6,0,3,0,0,3,25,226,54,0,303,0,13,3,0,19,0,26,9,0,36,3,47,5,0,60,8,20,0,0,30,0,25,7,0,32,9,24,9,0,45,5,19,3,0,21,0,5,0,0,3,0,5,0,0,5,32,178,36,0,255,0,40,7,0,51,0,70,15,0,87,8,103,19,0,134,13,45,4,0,61,5,50,17,0,71,15,44,15,0,74,9,38,11,0,58,0,12,0,0,9,0,7,0,0,7,55,408,91,0,553
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,4,13,9,0,27,0,21,13,0,36,0,97,56,0,163,6,70,37,0,110,4,79,40,0,125,12,83,26,0,125,4,86,26,0,113,0,21,5,0,24,0,4,0,0,4,31,483,212,5,728,5,29,3,0,34,0,16,8,0,28,5,66,32,0,106,6,93,28,0,131,10,85,36,0,127,13,72,28,0,111,8,48,12,0,57,0,12,4,0,11,0,0,0,0,0,46,408,152,0,604,4,42,13,0,59,0,39,26,0,67,5,164,92,0,264,15,164,66,0,240,18,162,76,0,258,23,155,47,0,227,13,130,37,0,175,0,32,3,0,36,0,4,0,0,4,73,890,363,6,1332
SOS92,6,59,10,0,71,5,63,11,5,77,5,124,22,3,147,11,121,22,0,154,15,130,23,0,167,25,199,47,0,275,13,133,27,0,173,7,65,21,0,91,3,15,3,0,21,85,902,187,8,1183,6,49,11,0,59,6,59,6,0,79,9,114,23,0,142,16,125,27,0,170,28,126,27,0,181,47,184,38,0,272,25,149,29,0,200,10,66,19,0,89,0,23,3,0,29,152,886,175,3,1217,12,103,22,0,134,10,129,16,5,158,9,237,44,4,294,28,246,54,0,322,44,253,51,0,347,72,381,87,0,547,37,279,56,0,377,16,131,35,0,187,3,39,4,0,48,233,1788,365,16,2404
SOS93,0,18,0,0,17,0,10,26,0,38,0,26,116,0,144,4,32,62,0,99,9,45,36,0,95,8,35,19,0,59,8,45,12,0,70,3,20,6,0,26,0,3,0,0,9,40,238,273,4,554,0,10,8,0,15,0,17,5,0,21,3,29,13,0,44,8,27,0,0,33,10,44,13,0,70,7,48,5,0,60,4,36,11,0,49,4,23,8,0,41,0,7,0,0,4,45,232,64,0,340,0,26,5,0,37,0,23,30,0,58,8,55,124,0,188,7,57,64,0,130,22,91,48,0,165,18,79,24,0,120,20,85,20,0,120,10,44,14,0,69,5,5,0,0,10,82,475,330,5,893
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
