SOS_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SOS10,0,0,7,97,902,2825,4363,3328,546,516,499,533,220,180,268,14286,0,0,11,164,820,4079,11124,5869,1249,1431,1317,1250,579,237,397,28527,42,126,631,1166,1235,1595,2653,1688,393,376,482,556,339,102,169,11561,408,1226,1443,2977,27078,38040,75020,41805,10210,11361,9860,11478,3929,690,5423,240959,84,1241,5911,1865,814,2325,813,212,41,31,41,24,13,9,445,13874,399,1189,2971,1933,2754,2589,3056,2264,509,592,488,426,196,78,549,19987,52,156,444,2086,9068,8773,7592,2695,589,510,701,765,337,66,759,34590,2658,3370,2130,1401,1627,1664,3071,1589,356,370,382,485,238,77,606,20028,385,5504,13737,3261,965,587,471,1166,168,131,105,90,47,23,1421,28061,100,337,976,4197,12291,12954,5769,3493,1067,1122,977,1128,1078,439,754,46669,222,250,1763,2877,6405,16383,54981,38416,12562,13838,16710,18220,6441,1697,2773,193528,73,226,324,1715,4186,7532,8889,4943,1413,1455,1660,2020,839,95,754,36144,9,15,279,1017,3389,3406,5727,7631
SOS11,0,0,0,3,8,18,59,132,16,23,9,24,0,0,10,300,0,0,0,8,8,39,276,326,77,94,66,69,10,7,9,977,13,39,210,318,289,303,529,356,61,79,57,85,61,15,50,2460,39,84,60,114,380,469,1160,731,234,303,352,525,104,31,165,4756,24,163,474,161,46,88,25,8,0,0,0,0,9,0,36,1029,49,141,129,30,29,55,149,102,21,18,28,50,20,10,33,853,26,51,69,153,302,252,318,247,43,71,81,132,128,169,110,2143,884,1598,768,433,547,330,478,240,48,57,51,65,37,8,220,5757,21,221,352,103,28,20,27,30,3,5,5,5,6,0,45,866,23,22,74,136,215,120,155,105,33,31,24,17,41,9,26,1026,97,78,254,249,249,493,3345,3204,1020,1072,1231,1448,542,124,263,13663,27,83,44,41,86,133,257,199,55,55,59,116,69,8,39,1259,4,0,6,26,80,63,105,186
SOS12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,16,5,0,17,33,40,35,75,27,6,0,0,5,0,0,3,255,0,14,9,4,14,15,39,36,9,15,12,27,4,0,5,205,0,7,41,15,4,4,0,0,0,0,0,0,0,0,3,78,0,7,16,8,3,0,9,0,0,0,0,0,0,0,4,43,3,6,4,7,11,19,18,16,0,5,8,4,0,0,3,103,87,160,101,53,71,42,45,31,6,0,3,3,6,0,22,624,5,15,35,8,7,0,4,4,0,0,0,0,0,0,6,75,0,4,17,12,12,11,13,13,0,0,0,0,4,0,4,78,13,13,23,16,26,35,64,58,22,16,34,25,8,6,17,382,4,11,4,5,12,11,16,9,6,9,9,0,3,0,0,101,0,0,0,0,8,5,4,12
SOS13,0,0,0,0,5,19,8,8,0,0,0,0,0,0,5,42,0,0,0,5,5,20,25,6,6,4,7,0,3,0,11,79,4,14,106,162,124,131,149,72,17,19,21,28,16,4,28,901,12,28,40,35,228,275,414,250,67,64,64,79,10,0,101,1670,8,61,266,97,26,32,0,0,0,0,0,0,0,0,11,503,19,37,58,29,28,23,26,10,0,0,3,6,0,0,13,237,4,18,40,46,136,86,63,43,9,4,0,12,18,3,28,512,273,496,328,211,367,222,260,111,14,16,10,26,13,3,72,2419,3,98,190,35,12,16,5,5,0,0,0,0,0,0,21,391,4,11,38,56,45,43,34,28,4,8,14,11,7,3,28,322,11,26,102,90,119,169,375,170,37,38,48,41,20,11,49,1300,7,40,35,17,27,46,55,56,8,19,12,25,14,0,23,383,0,0,14,19,84,38,33,34
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,0,0,3,29,537,2450,7054,7547,1227,1381,992,1439,548,460,411,24080,0,3,12,93,241,906,3626,2213,469,528,496,462,246,55,89,9448,10,91,393,819,883,1101,1910,1450,325,310,387,439,196,84,125,8512,125,425,779,1069,11483,17167,52604,35795,9291,10078,9633,11616,3826,781,2839,167513,60,1203,6003,2035,837,2007,690,191,27,18,19,33,6,5,389,13531,231,1306,2187,1032,1438,1380,2321,1677,249,286,350,239,135,58,327,13215,21,51,122,528,2616,2264,2856,1208,225,251,246,314,126,46,177,11063,2643,4385,2194,1178,1543,1379,2313,1244,270,289,283,329,159,63,531,18802,395,7807,23274,5751,1632,713,572,2074,261,217,151,161,59,18,1618,44696,45,155,460,1560,5336,5377,4215,2722,743,790,841,901,727,260,419,24560,242,187,2345,3404,6094,11912,79402,47986,13911,16007,21430,24560,8018,1699,3574,240775,46,159,202,491,1324,3854,5539,2649,780,939,983,1276,736,87,303,19367,12,16,73,231,1404,1240,4145,9015
SOS21,0,0,0,0,6,51,366,501,54,74,67,66,32,22,28,1275,0,0,5,4,10,53,341,211,35,47,33,29,15,0,3,792,3,19,77,153,139,140,286,182,45,42,29,35,17,6,18,1189,14,11,41,31,122,196,816,541,177,230,311,347,43,11,91,2985,20,151,527,163,60,114,27,17,7,0,0,4,0,0,36,1126,18,100,104,46,34,30,142,77,16,19,29,16,5,9,19,680,10,6,19,38,152,173,256,181,38,34,48,65,31,3,12,1078,748,1343,520,251,280,160,282,127,26,30,22,35,13,14,141,3996,25,278,513,164,49,24,23,38,10,3,5,5,0,0,62,1193,5,12,21,32,76,64,94,95,19,11,20,36,24,7,16,536,45,45,171,179,181,336,5937,3630,977,893,1112,1392,474,99,275,15733,15,36,23,33,51,100,219,154,43,63,51,76,51,3,29,938,0,0,5,3,29,25,88,201
SOS22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,12,3,0,0,0,4,0,0,0,21,0,0,19,14,20,14,27,16,0,3,0,7,0,0,4,119,0,0,6,0,11,13,34,27,12,6,6,24,10,0,0,149,0,4,37,16,4,3,0,0,0,0,0,0,0,0,3,62,0,4,13,0,3,3,9,0,0,0,0,0,0,0,0,34,0,4,9,3,12,6,12,0,0,0,0,3,0,0,4,58,65,144,60,35,46,17,21,19,0,4,0,4,0,4,16,431,6,26,39,16,3,3,0,4,0,0,0,0,0,0,4,102,0,0,4,3,8,4,8,5,0,0,0,7,0,0,0,42,11,0,24,8,21,10,79,46,21,17,31,25,12,0,15,320,0,3,3,0,4,6,18,10,9,0,4,10,0,0,0,67,0,0,0,3,4,0,8,4
SOS23,0,0,0,0,4,7,20,0,7,0,0,0,0,0,17,54,0,0,0,9,5,3,10,4,3,0,3,6,0,0,0,36,3,11,44,79,71,77,102,62,16,16,11,20,8,0,15,534,8,16,24,12,64,55,213,129,37,38,38,37,12,6,58,751,7,71,238,88,13,41,6,3,0,0,0,0,0,0,25,497,4,25,31,9,8,9,9,0,0,0,0,7,0,0,12,129,0,0,14,31,49,31,32,15,0,5,3,6,11,0,17,210,235,544,253,149,196,110,148,64,12,13,11,22,12,0,61,1830,20,161,240,60,16,5,4,4,0,0,0,0,0,0,36,545,0,5,6,18,18,26,23,20,4,9,11,10,4,5,17,172,18,15,68,75,76,96,313,156,40,50,48,91,24,5,83,1157,6,16,11,8,17,15,35,32,7,15,18,29,6,0,14,235,0,0,3,8,12,4,14,22
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
