SOS_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Oth_lt_health_cond_0_14,M_Oth_lt_health_cond_15_24,M_Oth_lt_health_cond_25_34,M_Oth_lt_health_cond_35_44,M_Oth_lt_health_cond_45_54,M_Oth_lt_health_cond_55_64,M_Oth_lt_health_cond_65_74,M_Oth_lt_health_cond_75_84,M_Oth_lt_health_cond_85_over,M_Oth_lt_health_cond_Tot,M_No_lt_health_cond_0_14,M_No_lt_health_cond_15_24,M_No_lt_health_cond_25_34,M_No_lt_health_cond_35_44,M_No_lt_health_cond_45_54,M_No_lt_health_cond_55_64,M_No_lt_health_cond_65_74,M_No_lt_health_cond_75_84,M_No_lt_health_cond_85_over,M_No_lt_health_cond_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
SOS10,348,1004,3718,7924,16335,31133,40807,31095,12493,144864,37825,27832,28273,26875,21308,17841,13968,7810,2584,184303,505,656,1485,2662,5099,12214,20165,16812,6073,65678,28,43,63,94,293,861,2671,6651,6278,16980,714,1591,3476,10168,19448,34478,40737,25830,7259,143706,840,808,1302,3304,9749,23775,37097,31214,13078,121160,607,474,793,1436,2387,4116,6369,6093,3102,25378,497,379,631,1166,2778,6575,10442,9617,3879,35964,8971,21946,27927,26193,26438,22949,14373,7126,2987,158911,142,149,289,679,1779,4237,7024,7133,3431,24857,22781,14975,16901,21798,26989,33220,29104,16627,7654,190061,433909,270869,330309,303045,229918,161012,85287,33758,8403,1856509,40026,29038,35600,31388,27009,21934,14799,9870,5718,215374,539273,359810,436562,417097,355471,309996,231178,130366,46929,2826682,464,1615,5159,11639,28183,54079,72416,58785,30279,262618,24533,26448,34364,32921,29999,27097,23501,14019,5579,218458,425,601,1765,4675,10707,16994,20552,15181,6482,77396,29,30,44,84,251,743,2596,8172,12641,24586,702,1708,3955,8081,15133,26851,32960,23083,9109,121585,668,695,1122,1965,4598,11092,20127,22109,15666,78030
SOS11,152,430,1475,3130,6839,15419,22843,16656,5925,72880,14682,8524,8486,8079,7111,7621,7501,4084,1283,67369,120,199,408,767,1704,4880,10021,8084,2769,28952,14,10,27,36,110,367,1237,2952,2419,7176,287,562,1044,2236,5223,10289,15533,10368,2759,48315,301,301,479,985,2985,8441,16060,14031,5679,49259,191,174,264,411,760,1555,2812,2945,1346,10451,235,169,265,567,1459,4065,6883,5568,1911,21126,4915,9196,10344,10465,11213,11051,8160,3823,1399,70557,54,51,120,248,668,1728,3247,3375,1504,10986,8382,4618,4603,5678,7657,10761,10441,5984,2631,60746,107576,59103,61170,53298,49314,42012,29762,13118,3197,418539,15606,10273,10989,10006,9543,8513,6738,4424,2070,78154,148331,89248,93964,87688,89902,96489,93730,56225,18767,774346,172,632,2026,4744,11146,24021,34912,28065,13982,119704,10694,9758,12241,11896,11814,13126,13129,7869,2867,93393,141,170,536,1246,3078,6007,8893,6842,2873,29789,5,8,28,38,94,284,1107,3355,5140,10053,271,645,1336,2387,4805,8612,11659,8816,3291,41823,239,269,459,731,1817,4854,9087,10263,7152,34881
SOS12,13,43,120,273,695,1974,2679,1550,385,7734,1247,727,609,707,744,892,875,377,119,6303,14,13,24,79,158,554,1123,741,174,2878,4,6,4,8,14,31,101,199,119,482,33,39,70,173,445,1073,1574,964,189,4562,28,22,44,83,303,964,1772,1266,368,4846,21,15,22,40,88,171,280,254,102,985,10,15,31,41,135,460,790,490,158,2131,392,679,728,850,1023,1258,886,300,63,6178,7,6,8,18,56,191,346,287,93,1007,652,346,353,445,751,1313,1172,512,142,5687,10365,5313,4715,4924,5510,5273,3730,1334,257,41423,1439,894,816,891,1015,1110,979,476,174,7793,13891,7816,7099,7866,9614,11817,11194,5401,1310,76002,19,49,169,393,1147,2678,3476,2134,773,10836,962,750,878,999,1145,1378,1299,647,152,8207,17,24,37,127,310,702,883,529,151,2770,0,0,0,6,3,24,85,199,223,542,15,44,98,188,449,841,1144,680,211,3676,28,25,38,51,174,456,925,748,407,2853
SOS13,52,133,352,979,2718,6560,8819,4734,1196,25542,4146,2484,1932,2468,2900,3164,2839,1114,250,21300,56,58,102,244,707,2155,3925,2502,562,10314,11,0,4,6,29,97,328,612,322,1408,101,171,235,480,1665,3579,5067,2800,518,14621,101,92,110,245,1097,3575,5982,4062,1089,16353,77,64,56,99,250,527,897,725,255,2951,74,45,61,149,446,1443,2315,1427,367,6331,1209,2060,1970,2589,3450,3844,2583,893,177,18783,17,12,40,71,197,588,1055,841,280,3098,2152,1342,1129,1599,2871,4341,3989,1603,425,19452,40542,24294,17164,19638,24650,23875,15274,5102,824,171367,5682,4123,3714,4078,4776,5226,3949,1872,457,33876,53225,33965,25797,30672,41314,48497,41486,18403,3967,297322,56,174,487,1370,3880,8725,10407,5791,1825,32713,2851,2476,2546,3172,4062,4647,3644,1474,358,25226,47,34,125,420,1340,2493,2911,1452,366,9185,3,0,0,5,20,78,230,539,518,1401,80,145,239,462,1201,2448,2978,1770,435,9768,67,89,109,179,584,1575,2648,2055,933,8236
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,277,922,3545,6970,13747,24603,31544,25356,11065,118033,32532,25598,30768,28177,21485,16854,13063,7634,2671,178782,462,596,1384,2329,4668,10489,17453,14771,5755,57911,44,46,68,90,216,589,1974,5167,5175,13363,691,1494,3367,9395,17216,27675,32583,21405,6624,120446,885,675,1197,2811,8253,19527,30046,25479,11564,100440,586,406,758,1253,2024,3379,5008,5089,2673,21179,405,341,607,1015,2313,5181,8093,7642,3359,28960,8298,20784,30868,27724,25546,20724,12914,6900,3392,157142,200,144,295,656,1728,3669,6143,6375,3297,22510,20254,14039,16599,20212,23918,27735,23204,14075,6897,166931,368093,234531,292262,258437,193812,131229,69615,27886,7262,1583126,32304,23908,30858,25632,22465,17381,11344,7455,3753,175101,457620,313717,396822,364402,305992,254908,187964,108178,40212,2429817,306,1504,4898,10387,24795,46400,62387,51810,27588,230071,20506,25735,37479,33931,29872,25366,22590,13810,5683,214972,362,510,1583,3993,9128,14235,17772,13060,5982,66619,24,23,52,70,191,542,2121,6906,11260,21188,608,1420,3620,7300,13007,21420,26628,19713,8684,102404,663,607,1125,1672,3932,8872,16438,19065,14283,66663
SOS21,84,228,955,1958,3989,8117,11981,8925,3241,39473,8951,5467,6024,5810,4884,4679,4285,2507,763,43367,108,103,246,522,1054,2878,5544,4679,1502,16629,4,15,18,26,62,208,672,1481,1231,3715,151,356,734,1558,3356,6167,9223,6029,1604,29187,230,173,304,612,1917,5179,9466,7935,3089,28901,135,98,157,243,434,853,1472,1508,700,5601,159,91,168,303,804,2167,3681,3086,1080,11533,2801,5212,6367,6538,6873,6430,4845,2283,855,42201,43,48,69,164,463,1054,1971,1984,836,6632,5199,3012,3061,3745,4866,6291,6130,3477,1545,37326,71234,37058,40765,36436,32374,26637,17771,7027,1813,271108,9204,5309,5558,5414,5236,4742,3829,2544,1271,43104,95924,54496,60709,58097,57343,58262,54465,31244,10646,481190,94,370,1390,3062,7149,14241,20407,15407,7654,69761,6194,5779,8318,8132,7675,7890,7584,4377,1586,57537,77,101,307,827,1921,3790,5351,3883,1619,17880,4,20,16,21,50,184,618,1719,2583,5213,170,346,835,1642,3078,5312,7143,5014,2021,25553,166,138,271,449,1176,2910,5453,5918,4091,20570
SOS22,16,22,85,186,459,1103,1613,956,283,4722,818,433,438,536,529,581,604,248,63,4248,15,7,14,41,109,368,722,452,134,1863,5,0,3,0,4,17,47,102,107,297,21,31,42,96,308,699,1042,551,115,2921,16,9,17,48,186,668,1213,769,267,3195,19,0,4,21,39,82,185,133,53,530,13,12,13,37,92,296,526,329,90,1400,234,417,493,586,709,840,642,208,56,4191,8,0,3,19,47,129,213,171,69,672,413,248,213,272,525,805,703,335,115,3631,6295,3312,3252,3292,3489,3528,2338,837,154,26498,825,585,476,514,618,714,612,293,123,4774,8497,4885,4839,5186,6214,7681,7160,3353,930,48730,7,46,96,283,801,1724,2197,1334,586,7075,519,466,606,685,767,945,822,386,114,5306,10,4,28,66,191,404,528,332,110,1672,0,0,3,0,4,7,40,131,179,370,10,27,53,121,233,530,673,373,149,2165,6,11,21,35,112,312,514,462,327,1798
SOS23,39,79,259,686,1959,4675,6147,3465,775,18078,2875,1982,1467,1986,2238,2446,2154,938,172,16263,32,56,83,181,548,1544,2950,1821,381,7598,0,0,4,7,23,65,191,333,178,808,67,137,172,389,1214,2712,3858,2019,386,10951,68,76,67,206,840,2623,4736,2980,774,12376,46,36,39,64,176,370,642,441,137,1959,41,25,53,127,321,982,1600,1020,217,4382,804,1549,1547,1915,2748,2874,1962,623,114,14130,5,12,18,56,184,447,824,667,170,2380,1445,1040,798,1212,2157,3360,2897,1190,329,14425,28904,17203,12438,14621,18358,17996,11669,3826,644,125650,3838,2739,2985,3335,3688,3765,2953,1402,335,25051,37569,24185,19148,23309,30959,36189,31145,13546,2832,218878,39,118,377,1032,3041,6735,7900,4169,1192,24590,1989,1875,2126,2614,3203,3465,2816,1148,218,19464,42,56,102,307,955,1847,2113,1114,258,6783,0,10,4,3,21,40,146,335,304,859,73,119,193,387,894,1793,2210,1274,320,7267,61,63,86,129,404,1176,1967,1455,579,5918
SOS27,0,0,0,4,0,3,0,0,0,10,0,0,0,5,5,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,9,0,3,10,30,35,28,7,0,0,109,0,4,19,90,121,100,13,0,0,338,0,9,30,131,163,141,16,0,0,493,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
