SOS_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
SOS10,421078,67621,87352,2803,485,579325,471326,80769,121580,1026,649,675350,162090,69895,291463,4116,1604,529164,25036,22532,27301,27,135,75040,3596,5263,9676,56,117,18704,41885,12970,35629,1061,543,92086,7988,2608,5298,719,326,16942,1304,601,1597,61,24,3582,241899,113864,370970,6040,2753,735520,12840,8070,13366,265,196,34738,46173,15507,40507,1616,794,104603,1193314,285830,633770,11754,4874,2129544
SOS11,201333,16126,5938,4475,681,228557,175445,7531,2669,430,218,186291,74294,24626,15551,722,267,115457,11983,3720,2107,23,31,17858,4097,3011,1578,24,48,8758,26144,4327,2736,380,215,33802,5097,994,753,1724,380,8950,748,408,210,30,14,1409,122355,37088,22934,2906,954,186235,7338,4193,1401,255,231,13413,27993,6225,3569,2286,605,40670,534467,71165,36510,10348,2681,655167
SOS12,23935,338,182,874,111,25444,19393,208,100,71,46,19821,3900,438,271,32,14,4663,365,71,37,0,3,476,307,99,64,5,9,472,3075,124,136,64,35,3432,612,53,49,235,38,987,85,11,12,5,5,117,8340,796,565,341,104,10151,876,67,80,42,29,1105,3962,176,128,323,60,4658,56506,1598,1063,1661,351,61185
SOS13,90171,452,201,1654,673,93157,65169,297,113,294,191,66064,9121,193,106,47,77,9541,153,9,9,7,11,184,365,17,8,0,4,401,11179,81,126,223,160,11773,3103,36,23,396,226,3784,195,3,0,16,6,220,24111,341,275,698,483,25902,8382,69,106,245,205,9002,16924,178,87,884,170,18249,204759,1344,781,3768,1717,212373
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,431165,73296,39221,1376,361,545414,514114,87121,57184,696,382,659503,192273,95084,140831,1734,631,430555,14588,11415,12562,14,37,38610,2572,2710,3738,22,58,9095,44688,16476,17211,620,255,79257,6545,1955,1866,1171,150,11685,1356,628,622,28,20,2653,262022,128269,176831,3580,1142,571839,14733,9360,6321,219,99,30729,51346,16190,20552,1562,382,90031,1273380,314231,300106,7436,2359,1897524
SOS21,130272,7787,1738,1692,173,141667,132517,3633,813,165,133,137262,46507,10615,3563,184,85,60955,6726,3046,1012,8,3,10800,1170,846,435,20,8,2478,15843,2122,623,152,83,18827,2093,467,197,697,69,3520,487,208,77,21,3,792,72823,17305,5909,1083,257,97373,4317,1143,341,207,44,6050,18973,3323,1020,993,119,24433,358905,33183,9826,4141,729,406788
SOS22,16653,201,209,345,37,17443,13751,115,78,56,13,14024,2137,149,165,10,3,2469,105,115,42,0,0,262,51,49,18,0,0,123,1987,57,61,38,10,2149,323,33,54,118,18,534,43,10,0,0,0,56,4648,411,339,166,30,5595,616,28,25,29,8,711,2495,108,128,164,20,2913,38161,860,790,761,109,40686
SOS23,71034,269,63,1129,161,72652,55377,145,29,154,87,55794,4555,54,34,43,18,4708,78,29,5,3,6,118,84,6,8,4,6,104,7064,37,26,72,42,7249,2246,23,12,437,55,2769,132,0,0,32,3,169,14158,158,90,586,128,15116,5576,33,12,100,55,5772,12426,86,48,699,48,13305,158570,683,243,2662,475,162638
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
