SOS_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOS10,..,9161,12076,3880,2495,2004,960,326,142,31045,..,22960,35600,8677,6357,7385,5310,2015,582,88883,..,8676,31654,26533,27841,45350,56867,48549,26468,271938,4787,7041,7262,3963,3169,3706,3336,1803,1062,36133,303,423,675,428,534,1309,1098,296,67,5120,488321,321125,422285,405858,356726,315459,246113,139672,53427,2748988,..,12437,272506,502829,432415,374133,287963,144884,31650,2058811,..,37244,174316,91720,62503,40489,18516,5659,767,431206,..,3928,23064,49890,68082,44773,21040,14572,9834,235189,994569,..,..,..,..,..,..,..,..,994569,..,305195,..,..,..,..,..,..,..,305195,..,172705,134547,40229,25827,13346,2536,111,0,389296,..,28854,28090,10815,11625,21874,23764,16268,9430,150729,..,19034,29657,10797,7339,5633,2609,798,243,76115,..,49623,86823,23914,16331,16841,11739,4435,1075,210781,..,17310,66278,60240,62175,84921,89943,69258,35828,485946,9865,12979,14690,8891,7306,7115,5716,2840,1461,70861,594,823,1338,959,1018,1955,1913,538,120,9261,1005031,660123,831318,800284,694610,611069,465743,259363,90403,5417959
SOS11,..,2401,1875,685,559,437,250,96,42,6341,..,4263,4532,1573,2135,3186,2433,1014,259,19391,..,2890,6311,4971,9301,19720,25702,23720,12475,105083,2388,3888,2469,1401,1569,2105,1610,816,418,16655,46,70,124,59,60,114,58,35,5,575,132604,77998,90468,86259,89794,98842,94411,58879,21260,750519,..,2502,55056,86574,87951,100688,106202,60257,12302,511525,..,18402,45930,26653,22404,17595,9940,3235,456,144614,..,2946,13192,19011,20610,10980,5720,4143,3026,79625,266325,..,..,..,..,..,..,..,..,266325,..,53336,..,..,..,..,..,..,..,53336,..,47729,19892,8253,6526,4196,927,27,0,87549,..,7088,4276,1917,2881,5032,5434,3352,1880,31860,..,4953,4823,2094,1736,1264,687,260,78,15894,..,8362,10905,4040,4758,6426,5298,2102,478,42361,..,5692,14339,12845,20789,36614,42865,34411,16873,184425,4939,7215,5487,3554,3478,3796,2975,1348,598,33394,100,138,276,148,120,184,121,65,17,1157,271359,158368,174172,165086,171255,186769,180166,109193,35697,1452064
SOS12,..,205,136,39,65,54,44,9,0,558,..,148,191,107,207,338,290,81,23,1387,..,115,326,300,701,1732,2125,1495,683,7469,235,360,247,112,167,189,188,103,44,1656,0,4,9,4,4,5,5,0,0,30,11965,6641,6649,7542,9268,10944,9697,4626,1357,68706,..,171,4137,7988,9967,12148,11990,5317,827,52538,..,1179,3411,2591,2607,2490,1364,390,37,14073,..,180,891,1371,1658,952,520,396,249,6225,24197,..,..,..,..,..,..,..,..,24197,..,5209,..,..,..,..,..,..,..,5209,..,4709,2022,828,674,386,77,0,0,8693,..,556,264,157,211,519,588,413,202,2904,..,407,348,137,175,155,106,35,4,1366,..,290,469,253,454,755,633,189,35,3082,..,291,777,793,1713,3633,4040,2554,1018,14825,493,655,519,323,340,380,384,171,68,3333,6,14,18,9,5,11,8,6,0,78,24700,13658,12865,14454,17800,21420,19697,9470,2448,136520
SOS13,..,984,739,310,325,351,225,78,22,3034,..,419,612,333,652,1139,802,255,58,4271,..,380,671,744,1656,3887,4458,3141,1170,16105,1009,1793,1062,592,630,839,769,409,222,7324,18,22,45,31,10,31,19,11,3,194,45312,26989,22803,28867,38463,42403,32646,14199,3657,255342,..,660,15392,34663,49637,56060,46658,19210,2780,225060,..,3401,10462,8472,9746,9072,4794,1084,129,47151,..,352,1969,3336,4306,2961,1658,1301,805,16688,92190,..,..,..,..,..,..,..,..,92190,..,23844,..,..,..,..,..,..,..,23844,..,19892,9032,3407,2372,1376,209,9,0,36302,..,1516,809,516,899,1755,2300,1755,1028,10582,..,1735,1593,762,853,885,584,206,51,6660,..,853,1344,793,1404,2337,1860,633,121,9348,..,970,2028,2429,4890,9847,10430,5962,1966,38521,2020,3314,2060,1322,1322,1531,1447,717,288,14032,38,39,107,59,47,51,35,15,11,394,94247,56577,44794,55764,75462,85877,69988,30896,7179,520780
SOS17,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,..,7132,9090,2327,1399,1030,530,172,75,21753,..,24619,35746,7403,4699,5421,3839,1447,383,83566,..,9750,36497,29047,27961,41850,51600,44319,24563,265583,3740,6275,6338,3189,2662,3083,2366,1392,786,29833,207,287,466,290,430,1166,991,273,43,4159,416950,280552,382380,357124,311087,263847,206273,120102,45810,2384125,..,7979,229559,434905,368438,308592,239095,124961,27902,1741432,..,31976,171778,88847,58125,34829,15290,4475,635,405952,..,2637,17930,42829,61910,38602,16910,11573,7777,200166,849237,..,..,..,..,..,..,..,..,849237,..,272553,..,..,..,..,..,..,..,272553,..,135113,109663,30442,20793,10304,1924,74,0,308309,..,25652,27071,9091,9073,16349,16695,10745,6182,120853,..,15365,23446,6828,4187,3005,1390,437,136,54800,..,52607,88803,20585,12372,12024,8205,3148,732,198471,..,18613,73106,61419,60579,75942,79671,61549,33148,464035,7529,11549,13194,7382,6188,5965,4145,2231,1072,59257,410,591,942,701,896,1765,1668,482,90,7556,857170,574634,755494,703027,602565,507377,384993,219677,77681,4682628
SOS21,..,1309,1124,360,283,188,105,37,20,3424,..,2069,2667,931,1038,1564,1190,465,104,10021,..,1461,4289,3673,6028,12358,15904,13625,7135,64467,1091,1881,1314,696,739,908,693,333,182,7836,13,33,55,37,51,72,60,12,7,336,86004,48128,60295,58850,58705,61135,56717,32863,11420,474121,..,1302,37519,62751,60627,65414,65406,34260,6655,333938,..,9315,32218,18253,14308,10004,5360,1603,223,91293,..,1242,7168,11348,13267,7038,3233,2235,1393,46930,174469,..,..,..,..,..,..,..,..,174469,..,39232,..,..,..,..,..,..,..,39232,..,30697,14553,4999,3659,1897,384,6,0,56200,..,3937,3162,1204,1662,2818,2908,1650,871,18213,..,2632,2883,1120,885,576,328,94,32,8547,..,4310,6481,2473,2428,3201,2582,945,194,22613,..,2975,9684,8936,13428,22617,25897,19599,9736,112883,2190,3369,2761,1676,1664,1659,1212,596,266,15393,41,48,114,85,83,110,99,21,10,616,176705,99070,116548,112843,112017,115326,107418,61028,19371,920323
SOS22,..,88,74,29,17,23,14,5,0,251,..,100,125,73,126,202,132,51,10,810,..,94,277,246,568,1264,1474,1082,503,5521,115,161,135,71,89,112,107,40,11,836,3,0,7,0,3,5,4,0,0,30,7305,3771,4279,4865,5781,7010,5973,2946,922,42849,..,76,2555,5297,6111,7804,7428,3332,555,33151,..,635,2578,1755,1737,1515,797,214,21,9258,..,62,411,758,1018,581,287,209,153,3484,14697,..,..,..,..,..,..,..,..,14697,..,3237,..,..,..,..,..,..,..,3237,..,2587,1208,410,339,199,38,0,0,4778,..,266,147,61,104,241,284,165,105,1382,..,180,153,79,57,74,21,14,9,585,..,206,305,166,251,408,296,111,19,1764,..,204,686,712,1407,2740,3029,1826,741,11345,237,313,267,167,188,219,197,69,21,1662,5,4,10,7,6,5,5,6,0,54,14937,7773,8315,9419,11215,13785,12384,5949,1625,85406
SOS23,..,533,457,144,163,156,106,37,11,1616,..,242,495,208,451,690,545,192,22,2847,..,274,604,665,1431,3139,3572,2388,1014,13101,474,990,587,333,422,489,338,194,93,3918,10,7,33,4,11,17,16,7,4,110,32661,19504,16912,21545,28962,32271,24632,10274,2578,189339,..,370,10736,25912,36545,43373,36366,14410,1994,169718,..,2167,8741,7366,8521,7228,3565,817,58,38459,..,205,1131,2155,3223,2191,1151,841,562,11458,66431,..,..,..,..,..,..,..,..,66431,..,18997,..,..,..,..,..,..,..,18997,..,14418,6845,2263,1668,862,152,7,0,26221,..,1042,598,301,563,1168,1310,997,611,6590,..,989,993,402,443,408,273,96,23,3628,..,577,1155,589,959,1372,1186,437,57,6341,..,645,1746,2112,4120,7776,8412,4780,1676,31271,1035,1708,1132,736,766,836,646,327,130,7313,26,24,61,17,26,28,25,9,4,224,67489,41150,33141,41857,56843,65243,53090,22718,5117,386645
SOS27,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
