SOS_CODE_2021,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_Non_Indig_M,A_0_4_Non_Indig_F,A_0_4_Non_Indig_P,A_0_4_Indig_status_ns_M,A_0_4_Indig_status_ns_F,A_0_4_Indig_status_ns_P,A_0_4_Tot_M,A_0_4_Tot_F,A_0_4_Tot_P,A_5_9_Indig_M,A_5_9_Indig_F,A_5_9_Indig_P,A_5_9_Non_Indig_M,A_5_9_Non_Indig_F,A_5_9_Non_Indig_P,A_5_9_Indig_status_ns_M,A_5_9_Indig_status_ns_F,A_5_9_Indig_status_ns_P,A_5_9_Tot_M,A_5_9_Tot_F,A_5_9_Tot_P,A_10_14_Indig_M,A_10_14_Indig_F,A_10_14_Indig_P,A_10_14_Non_Indig_M,A_10_14_Non_Indig_F,A_10_14_Non_Indig_P,A_10_14_Indig_status_ns_M,A_10_14_Indig_status_ns_F,A_10_14_Indig_status_ns_P,A_10_14_Tot_M,A_10_14_Tot_F,A_10_14_Tot_P,A_15_19_Indig_M,A_15_19_Indig_F,A_15_19_Indig_P,A_15_19_Non_Indig_M,A_15_19_Non_Indig_F,A_15_19_Non_Indig_P,A_15_19_Indig_status_ns_M,A_15_19_Indig_status_ns_F,A_15_19_Indig_status_ns_P,A_15_19_Tot_M,A_15_19_Tot_F,A_15_19_Tot_P,A_20_24_Indig_M,A_20_24_Indig_F,A_20_24_Indig_P,A_20_24_Non_Indig_M,A_20_24_Non_Indig_F,A_20_24_Non_Indig_P,A_20_24_Indig_status_ns_M,A_20_24_Indig_status_ns_F,A_20_24_Indig_status_ns_P,A_20_24_Tot_M,A_20_24_Tot_F,A_20_24_Tot_P,A_25_29_Indig_M,A_25_29_Indig_F,A_25_29_Indig_P,A_25_29_Non_Indig_M,A_25_29_Non_Indig_F,A_25_29_Non_Indig_P,A_25_29_Indig_status_ns_M,A_25_29_Indig_status_ns_F,A_25_29_Indig_status_ns_P,A_25_29_Tot_M,A_25_29_Tot_F,A_25_29_Tot_P,A_30_34_Indig_M,A_30_34_Indig_F,A_30_34_Indig_P,A_30_34_Non_Indig_M,A_30_34_Non_Indig_F,A_30_34_Non_Indig_P,A_30_34_Indig_status_ns_M,A_30_34_Indig_status_ns_F,A_30_34_Indig_status_ns_P,A_30_34_Tot_M,A_30_34_Tot_F,A_30_34_Tot_P,A_35_39_Indig_M,A_35_39_Indig_F,A_35_39_Indig_P,A_35_39_Non_Indig_M,A_35_39_Non_Indig_F,A_35_39_Non_Indig_P,A_35_39_Indig_status_ns_M,A_35_39_Indig_status_ns_F,A_35_39_Indig_status_ns_P,A_35_39_Tot_M,A_35_39_Tot_F,A_35_39_Tot_P,A_40_44_Indig_M,A_40_44_Indig_F,A_40_44_Indig_P,A_40_44_Non_Indig_M,A_40_44_Non_Indig_F,A_40_44_Non_Indig_P,A_40_44_Indig_status_ns_M,A_40_44_Indig_status_ns_F,A_40_44_Indig_status_ns_P,A_40_44_Tot_M,A_40_44_Tot_F,A_40_44_Tot_P,A_45_49_Indig_M,A_45_49_Indig_F,A_45_49_Indig_P,A_45_49_Non_Indig_M,A_45_49_Non_Indig_F,A_45_49_Non_Indig_P,A_45_49_Indig_status_ns_M,A_45_49_Indig_status_ns_F,A_45_49_Indig_status_ns_P,A_45_49_Tot_M,A_45_49_Tot_F,A_45_49_Tot_P,A_50_54_Indig_M,A_50_54_Indig_F,A_50_54_Indig_P,A_50_54_Non_Indig_M,A_50_54_Non_Indig_F,A_50_54_Non_Indig_P,A_50_54_Indig_status_ns_M,A_50_54_Indig_status_ns_F,A_50_54_Indig_status_ns_P,A_50_54_Tot_M,A_50_54_Tot_F,A_50_54_Tot_P,A_55_59_Indig_M,A_55_59_Indig_F,A_55_59_Indig_P,A_55_59_Non_Indig_M,A_55_59_Non_Indig_F,A_55_59_Non_Indig_P,A_55_59_Indig_status_ns_M,A_55_59_Indig_status_ns_F,A_55_59_Indig_status_ns_P,A_55_59_Tot_M,A_55_59_Tot_F,A_55_59_Tot_P,A_60_64_Indig_M,A_60_64_Indig_F,A_60_64_Indig_P,A_60_64_Non_Indig_M,A_60_64_Non_Indig_F,A_60_64_Non_Indig_P,A_60_64_Indig_status_ns_M,A_60_64_Indig_status_ns_F,A_60_64_Indig_status_ns_P,A_60_64_Tot_M,A_60_64_Tot_F,A_60_64_Tot_P,A_65_and_over_Indig_M,A_65_and_over_Indig_F,A_65_and_over_Indig_P,A_65_and_over_Non_Indig_M,A_65_and_over_Non_Indig_F,A_65_and_over_Non_Indig_P,A_65_and_over_Indig_stat_ns_M,A_65_and_over_Indig_stat_ns_F,A_65_and_over_Indig_stat_ns_P,A_65_and_over_Tot_M,A_65_and_over_Tot_F,A_65_and_over_Tot_P,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_Non_Indig_M,Tot_Non_Indig_F,Tot_Non_Indig_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SOS30,6823,6607,13424,96680,90669,187356,4538,4258,8798,108043,101537,209584,6962,6578,13546,106832,101239,208072,5319,4983,10300,119115,112806,231920,7018,6894,13912,109659,103682,213345,5212,4849,10062,121889,115430,237319,6312,6222,12539,102712,98990,201699,4765,4605,9371,113797,109809,223606,5686,5897,11579,110044,111182,221233,6637,6217,12853,122368,123301,245667,4874,5168,10048,116022,120132,236160,7425,7424,14849,128322,132728,261052,4016,4233,8247,116553,126142,242697,6747,6762,13509,127312,137136,264454,3292,3708,7004,117609,127129,244738,6118,6289,12404,127029,137122,264147,2852,3269,6118,108231,115962,224185,5260,5105,10367,116336,124331,240668,2882,3283,6167,107891,116521,224411,5303,4906,10215,116075,124714,240793,2554,3027,5587,102381,110938,213326,4719,4381,9100,109654,118352,228012,2127,2460,4580,93097,100908,194004,4233,4112,8342,99453,107480,206931,1611,1930,3545,84578,94222,178804,3778,3693,7467,89972,99847,189819,2605,3423,6026,246575,291388,537963,12857,14859,27716,262042,309670,571709,59627,62705,122330,1618872,1709113,3327979,82908,82452,165361,1761402,1854269,3615673
SOS31,4371,4059,8431,22186,20936,43117,1603,1455,3057,28160,26444,54606,4492,4449,8944,25186,24122,49311,1998,1882,3883,31673,30459,62133,4733,4443,9173,26862,25515,52377,2104,1971,4075,33696,31929,65620,3787,3763,7558,23100,21480,44579,1874,1647,3516,28763,26886,55655,2924,3092,6017,20573,20375,40947,2214,1864,4076,25714,25326,51041,2601,2711,5313,23364,24567,47929,2899,2242,5140,28866,29515,58385,2108,2412,4516,23841,25728,49571,2939,2128,5072,28887,30274,59154,1845,2131,3967,23776,26178,49953,2812,2047,4859,28437,30353,58784,1662,1923,3587,22473,24302,46769,2538,1750,4291,26669,27979,54650,1683,2076,3754,23996,25381,49379,2684,1817,4500,28366,29272,57631,1671,1884,3557,24727,26399,51122,2623,1832,4459,29019,30116,59136,1411,1608,3014,25504,27929,53433,2624,1857,4481,29542,31397,60936,1177,1327,2503,26722,28759,55485,2405,1747,4153,30307,31837,62141,1977,2345,4319,87397,95194,182590,6303,6240,12543,95672,103786,199456,36433,38225,74652,399710,416860,816574,37616,30484,68101,473761,485567,959325
SOS32,1098,1005,2107,2541,2400,4942,273,256,531,3913,3668,7584,1205,1155,2356,3104,2914,6018,357,357,714,4662,4426,9088,1098,999,2098,3387,3168,6556,425,350,778,4916,4517,9431,797,813,1613,2777,2397,5180,293,278,568,3867,3492,7356,723,727,1452,2304,2117,4422,265,281,548,3299,3124,6421,680,734,1415,2508,2550,5054,346,310,659,3534,3596,7127,609,679,1289,2644,2846,5486,363,294,658,3614,3818,7433,539,602,1147,2911,3205,6114,381,320,701,3834,4131,7962,522,510,1033,2973,3106,6078,335,289,617,3825,3900,7727,513,528,1039,3458,3650,7105,399,334,731,4367,4504,8876,554,556,1110,4044,4130,8177,444,332,782,5045,5020,10069,420,463,884,4680,4966,9652,439,401,842,5539,5827,11372,391,412,806,5459,5559,11020,454,411,860,6303,6384,12691,649,729,1381,16673,15119,31793,1313,1147,2456,18633,16992,35628,9802,9916,19715,59465,58134,117596,6090,5361,11448,75355,73408,148766
SOS33,917,895,1815,9253,8731,17981,809,758,1568,10982,10383,21362,1088,981,2064,11641,10887,22520,1119,1078,2200,13847,12945,26788,1290,1124,2414,13425,12318,25742,1362,1159,2529,16081,14604,30688,1029,916,1948,11837,10871,22713,1191,1071,2266,14066,12859,26922,898,612,1508,9025,7859,16887,1334,987,2323,11261,9461,20722,904,598,1506,8896,8537,17432,1578,1122,2709,11385,10259,21647,742,546,1287,9736,9568,19302,1862,1182,3040,12344,11293,23633,715,536,1250,11164,11210,22375,1918,1131,3052,13803,12872,26676,615,522,1136,11787,11959,23749,1932,1202,3135,14334,13683,28020,680,559,1235,14185,14200,28387,2232,1423,3662,17103,16173,33284,656,572,1227,16011,16020,32025,2420,1507,3924,19086,18092,37179,578,543,1119,17200,17022,34221,2274,1542,3815,20044,19106,39150,536,419,956,18158,16901,35055,2035,1438,3479,20732,18759,39484,774,715,1486,47340,39756,87089,4220,3274,7497,52337,43745,96085,11423,9528,20950,209656,195828,405486,26306,18882,45186,247391,224238,471627
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,3,8,0,4,10,8,6,11,0,0,0,6,3,6,3,4,9,8,3,15,0,0,0,17,3,19,23,15,36,37,21,53,0,0,0,11,0,12,20,0,25,29,0,33,0,0,0,11,3,15,34,3,38,50,3,52,0,0,0,18,3,17,32,4,36,54,4,61,0,0,0,19,3,19,36,0,34,53,3,58,0,0,0,12,0,12,10,0,10,22,0,22,0,0,0,4,4,8,9,0,9,17,4,15,0,0,0,4,0,9,10,0,10,14,0,16,0,0,0,10,0,10,6,0,6,15,0,15,5,0,5,115,24,135,191,30,215,306,53,354
SOS40,1248,1086,2332,32334,30535,62875,961,997,1957,34540,32621,67163,1238,1195,2432,35062,32916,67978,1138,1108,2245,37433,35221,72652,1278,1167,2450,34341,32869,67216,1170,1038,2200,36791,35072,71861,1120,1065,2193,33607,31909,65518,1093,1023,2116,35821,33998,69824,1041,1036,2080,39867,38161,78031,1300,1309,2607,42208,40510,82717,924,930,1855,42264,41542,83808,1591,1429,3023,44780,43909,88690,739,836,1577,41100,42990,84093,1424,1400,2818,43258,45227,88488,634,672,1307,41171,43044,84212,1445,1377,2822,43245,45095,88341,472,543,1015,36866,37996,74865,1317,1165,2485,38651,39710,78363,492,583,1067,36096,37113,73212,1269,1102,2368,37850,38798,76649,479,588,1065,36220,37878,74095,1182,1014,2197,37879,39472,77357,352,472,826,34831,37343,72176,1090,933,2025,36273,38747,75016,312,383,700,32805,36370,69171,996,926,1915,34116,37674,71790,520,592,1109,98197,121519,219713,3117,4050,7166,101837,126157,227992,10844,11144,21996,574761,602192,1176955,19080,18859,37939,604691,632198,1236891
SOS41,786,739,1527,7906,7512,15416,386,370,755,9074,8621,17699,775,703,1480,8706,8508,17210,502,506,1004,9979,9718,19696,755,750,1507,9310,8899,18208,491,497,991,10549,10158,20712,661,578,1240,8379,7864,16238,438,402,842,9479,8838,18318,509,513,1014,7851,7456,15304,440,346,788,8796,8313,17106,479,496,976,8539,8626,17171,477,463,941,9493,9591,19087,448,451,902,8665,8784,17448,509,446,954,9620,9680,19302,378,380,761,8570,9160,17731,494,472,968,9441,10019,19461,304,312,616,7933,8424,16355,451,412,863,8692,9144,17833,281,348,626,8759,9451,18209,548,484,1033,9589,10283,19865,314,348,660,9638,10286,19925,542,430,975,10498,11063,21562,278,300,578,9871,10369,20240,578,446,1016,10722,11111,21838,240,245,481,10189,10984,21171,517,456,975,10944,11684,22630,357,407,767,35040,40794,75835,1736,2008,3746,37132,43209,80342,6565,6577,13144,149349,157126,306475,8110,7737,15843,164020,171438,335457
SOS42,149,161,312,1044,1015,2057,63,71,135,1259,1251,2506,164,163,325,1135,1102,2233,97,79,178,1393,1338,2729,149,150,302,1280,1131,2410,90,115,207,1516,1397,2922,171,142,315,1051,978,2029,78,79,156,1298,1198,2496,131,132,260,933,838,1774,74,62,141,1141,1030,2171,117,132,251,967,1020,1987,84,61,147,1172,1213,2385,109,132,241,1111,1148,2255,75,79,159,1298,1352,2648,93,106,201,1099,1133,2233,105,93,192,1286,1331,2622,76,97,171,1065,1121,2187,91,87,184,1230,1311,2537,75,91,170,1249,1282,2529,105,105,209,1429,1475,2910,77,81,163,1507,1463,2967,132,97,231,1722,1647,3364,56,67,125,1742,1864,3605,158,126,283,1955,2057,4014,51,57,109,2049,1969,4015,156,147,305,2252,2171,4429,86,120,206,6362,6345,12705,518,471,992,6965,6933,13898,1506,1634,3143,22582,22402,44994,1831,1685,3512,25919,25724,51642
SOS43,181,194,374,3061,3001,6056,213,185,393,3450,3375,6826,208,202,403,4002,3665,7662,269,243,515,4474,4111,8579,208,258,468,4449,4044,8489,332,271,605,4989,4567,9565,166,179,348,3958,3486,7439,319,279,596,4437,3940,8378,165,142,306,3194,2635,5822,338,211,555,3700,2983,6688,163,123,285,3087,2675,5764,394,231,626,3651,3025,6672,148,126,277,3453,3006,6450,457,263,721,4054,3397,7447,131,106,236,3844,3645,7490,403,241,640,4382,3993,8376,141,108,248,4041,3756,7792,439,236,679,4624,4092,8719,143,117,262,4663,4383,9046,466,329,796,5271,4830,10105,142,141,285,5668,5254,10921,560,354,912,6372,5747,12117,126,125,247,6110,5489,11596,566,398,962,6798,6007,12806,128,98,226,6293,5508,11806,491,372,870,6912,5991,12904,166,127,295,15140,12586,27726,1103,942,2045,16406,13655,30068,2218,2040,4256,70957,63116,134078,6342,4559,10901,79519,69716,149237
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,8,0,8,0,0,0,4,0,4,3,0,3,4,0,4,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,4,0,4,0,0,0,5,0,5,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,8,0,8,34,0,34
SOS50,2372,2200,4565,60182,57039,117220,2033,1879,3910,64586,61109,125696,2382,2179,4558,62819,59943,122756,2255,2210,4469,67457,64330,131782,2306,2266,4569,62515,58937,121455,2238,2064,4303,67058,63263,130320,2064,1932,3994,56702,54232,110933,1890,1863,3755,60648,58036,118685,1861,1785,3647,59140,58686,117823,2336,2186,4520,63332,62657,125988,1651,1732,3382,61997,64607,126601,2776,2819,5600,66422,69160,135581,1423,1489,2914,67196,74995,142191,2886,2834,5718,71502,79315,150821,1156,1220,2373,70588,75821,146412,2695,2835,5531,74444,79867,154314,970,1016,1990,62382,66546,128928,2525,2053,4580,65878,69618,135495,929,1006,1936,59503,63842,123349,2202,2058,4258,62639,66901,129540,812,987,1801,58232,62156,120387,2064,1825,3889,61113,64975,126083,717,812,1530,53344,57560,110899,1895,1630,3527,55948,59999,115954,541,620,1162,48211,53267,101477,1572,1459,3026,50322,55346,105668,821,1063,1891,138005,162671,300679,5370,6415,11782,144193,170157,314350,19995,20307,40300,920818,970292,1891114,34728,34139,68863,975547,1024731,2000278
SOS51,1609,1409,3016,10260,9724,19981,936,837,1771,12805,11970,24774,1654,1525,3178,11386,10791,22176,1171,1109,2280,14206,13428,27634,1597,1624,3222,11326,10571,21900,1119,1047,2166,14040,13248,27284,1320,1336,2655,9306,8671,17982,929,755,1683,11558,10769,22321,1102,1047,2153,8049,7677,15718,985,873,1858,10134,9598,19729,1011,1059,2072,9820,10293,20111,1384,1166,2557,12219,12523,24736,987,951,1939,11034,11892,22929,1492,1252,2742,13513,14104,27618,830,884,1712,11460,12241,23709,1540,1187,2728,13836,14313,28143,773,803,1570,10727,10964,21691,1441,963,2402,12936,12725,25662,714,755,1468,10924,11075,22000,1407,945,2360,13052,12777,25830,643,767,1407,11047,11212,22260,1437,972,2411,13127,12953,26085,575,669,1249,10808,10817,21622,1325,952,2277,12710,12439,25146,458,531,990,10664,11120,21783,1192,857,2054,12313,12509,24821,703,928,1631,29944,32273,62219,2454,2472,4926,33108,35671,68781,13971,14289,28259,166765,169326,336089,18809,15400,34209,199548,199016,398565
SOS52,559,504,1062,1223,1144,2361,159,168,321,1935,1809,3752,576,539,1121,1309,1185,2494,190,202,396,2075,1926,3998,532,541,1068,1207,1130,2335,192,177,368,1934,1845,3777,514,535,1051,952,870,1813,131,130,259,1595,1532,3122,424,481,912,979,885,1859,186,163,349,1588,1532,3119,394,430,823,1225,1207,2431,291,217,512,1912,1854,3766,360,394,755,1409,1422,2828,327,228,554,2103,2038,4140,331,402,730,1417,1416,2828,327,197,522,2070,2013,4086,302,365,662,1315,1233,2543,304,196,500,1920,1789,3709,298,296,594,1432,1286,2722,302,185,488,2034,1771,3803,266,337,594,1732,1624,3353,395,214,607,2391,2168,4557,229,280,509,1910,1850,3762,316,264,581,2457,2398,4855,213,212,426,2087,1994,4078,355,253,609,2656,2457,5110,288,390,679,6147,5583,11729,813,705,1517,7250,6681,13922,5289,5700,10991,24337,22824,47165,4289,3286,7571,33918,31810,65723
SOS53,321,291,608,3353,3111,6468,290,256,538,3965,3652,7621,381,311,692,4306,3908,8210,423,388,807,5105,4606,9715,391,387,776,4492,4251,8743,438,411,847,5325,5044,10372,454,371,821,3923,3458,7384,425,360,788,4805,4189,8990,474,273,748,4199,2935,7137,1210,580,1791,5878,3795,9679,537,240,779,5100,3461,8555,1970,738,2708,7605,4434,12043,586,281,863,5928,3975,9900,2297,708,3004,8808,4961,13771,505,257,765,6476,4415,10888,2322,623,2938,9297,5295,14593,425,233,662,6292,4525,10814,2002,613,2617,8716,5377,14091,389,219,611,6986,5246,12228,2113,694,2810,9486,6159,15642,306,234,541,7838,5964,13800,2179,716,2898,10322,6913,17237,255,176,432,7946,6475,14421,1849,706,2555,10052,7356,17413,205,162,364,7560,6386,13947,1386,581,1964,9150,7120,16271,285,261,543,16912,13621,30535,1777,1252,3032,18974,15130,34111,5522,3699,9216,91306,71722,163029,20678,8626,29304,117502,84045,201544
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,5,7,11,3,3,6,13,8,20,4,0,4,49,21,73,29,15,41,81,36,116,0,0,0,89,29,120,60,14,72,152,43,196,3,0,4,153,29,178,132,9,138,283,40,327,9,0,14,233,13,254,195,10,207,441,29,470,3,0,3,251,13,263,213,11,216,465,24,483,3,3,8,227,11,238,190,6,196,418,23,440,9,0,14,221,24,245,182,11,193,418,36,453,0,0,3,170,27,195,135,11,145,305,43,341,0,0,3,92,28,114,55,14,71,150,40,188,0,0,0,88,57,143,45,24,64,131,77,209,39,6,48,1574,267,1836,1241,121,1364,2856,395,3250
SOS60,459,398,858,4633,4391,9019,173,171,340,5258,4957,10214,452,431,890,4839,4629,9472,222,233,454,5513,5297,10812,517,482,994,5120,4773,9891,229,189,419,5858,5443,11302,433,405,836,4742,4528,9271,211,181,393,5381,5111,10496,397,410,803,5682,5571,11254,225,233,463,6303,6215,12516,333,361,696,8126,7896,16015,296,324,625,8755,8581,17336,297,357,651,7774,7736,15519,338,276,611,8413,8369,16786,254,278,530,6345,6512,12861,240,278,516,6837,7062,13903,208,237,447,5127,5561,10688,194,207,399,5534,5999,11536,203,204,406,5100,5598,10700,205,193,403,5512,5995,11508,190,224,414,5148,5603,10751,209,204,417,5550,6027,11582,154,200,359,4952,5506,10468,203,209,411,5313,5920,11230,155,172,324,4944,5687,10627,179,154,336,5278,6012,11294,249,296,548,15200,19200,34402,675,855,1530,16124,20348,36477,4310,4453,8756,87740,93195,180934,3598,3707,7304,95650,101348,196998
SOS61,716,621,1338,4938,4806,9746,251,235,485,5902,5667,11571,719,718,1432,5380,5226,10607,282,260,546,6386,6196,12578,779,765,1539,5716,5362,11076,305,297,596,6793,6423,13214,674,611,1281,5247,5092,10338,320,270,587,6239,5970,12205,580,560,1142,5479,5442,10918,337,301,637,6394,6307,12701,424,503,931,6799,6639,13435,353,302,659,7574,7448,15024,366,444,810,6160,6416,12577,315,300,620,6842,7161,14010,332,455,782,5544,5961,11507,302,294,595,6172,6708,12886,266,395,657,5075,5573,10640,255,235,495,5595,6200,11793,273,361,632,5385,6043,11427,280,265,549,5941,6671,12612,294,379,672,5894,6623,12511,303,259,565,6491,7261,13750,260,339,596,6072,6709,12779,276,245,525,6605,7296,13905,247,278,523,6129,6899,13022,283,296,580,6660,7470,14129,456,568,1031,20223,24776,44995,974,1126,2099,21659,26472,48130,6387,6989,13378,94019,101566,195587,4839,4695,9529,105253,113251,218497
SOS62,82,84,166,616,542,1153,36,38,77,738,658,1396,113,108,218,672,674,1343,45,42,85,829,825,1655,91,116,216,757,717,1476,53,47,100,902,882,1786,77,76,148,598,568,1163,51,32,87,723,671,1398,62,67,125,565,489,1052,59,33,95,678,588,1262,56,51,107,650,674,1321,44,36,84,751,764,1510,57,65,126,705,706,1411,52,58,105,808,829,1637,53,57,113,749,754,1500,49,35,80,840,849,1688,35,47,81,706,731,1437,45,53,94,781,824,1608,46,53,100,847,854,1701,54,40,88,948,939,1889,51,68,118,930,955,1892,64,63,123,1041,1085,2133,37,44,88,1052,1169,2220,84,63,150,1176,1283,2456,48,48,93,1243,1252,2491,60,64,123,1351,1356,2711,102,80,179,3642,3584,7221,267,238,508,4002,3900,7904,901,961,1863,13731,13662,27382,944,841,1790,15579,15459,31039
SOS63,262,260,520,2211,2073,4285,150,142,293,2622,2474,5094,314,307,618,2622,2450,5073,193,162,362,3128,2920,6053,383,344,725,2946,2791,5738,200,186,385,3531,3316,6847,329,283,612,2619,2312,4928,169,148,320,3117,2742,5861,193,173,369,2047,1804,3845,133,144,278,2375,2115,4492,174,172,346,2141,2068,4215,177,177,346,2492,2415,4905,176,182,355,2330,2425,4755,176,186,357,2686,2793,5473,157,194,353,2628,2818,5447,188,184,375,2978,3195,6174,147,153,301,2691,2859,5547,166,174,339,3002,3183,6187,159,170,333,3206,3198,6404,223,149,376,3590,3515,7109,208,214,422,3596,3784,7379,230,245,472,4026,4243,8269,150,167,309,4206,3999,8203,274,220,490,4622,4390,9011,171,165,330,4351,4227,8579,252,227,481,4771,4618,9394,286,208,499,10633,8809,19445,654,503,1158,11572,9523,21097,3101,2985,6085,48220,45621,93845,3190,2845,6042,54513,51453,105965
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,4,5,0,0,0,9,6,15,0,0,0,9,6,15,0,0,0,7,6,16,4,0,10,17,8,29,0,0,0,19,5,23,16,0,14,35,3,41,0,0,5,12,5,23,16,5,17,27,4,42,0,0,0,23,0,27,14,0,13,33,0,39,0,0,0,27,5,29,8,4,14,33,5,43,0,0,0,22,9,27,16,0,17,33,14,46,0,0,0,22,5,23,15,0,18,40,9,43,0,0,0,17,4,24,7,0,10,24,9,28,4,0,4,24,7,34,0,0,0,30,7,39,3,0,5,193,60,250,94,13,107,294,72,366
SOS70,711,666,1375,3535,3357,6893,331,338,676,4576,4362,8940,695,657,1353,3388,3370,6758,375,399,777,4465,4423,8889,705,699,1401,3094,2830,5923,334,310,649,4133,3842,7970,597,618,1218,2554,2423,4980,256,281,537,3406,3327,6730,671,547,1217,3538,3158,6694,467,387,849,4673,4084,8761,673,577,1255,4806,5192,10002,619,618,1231,6093,6388,12485,570,527,1096,5098,5620,10717,619,607,1233,6287,6756,13040,496,459,951,4550,4833,9388,505,513,1014,5548,5799,11352,401,416,820,3865,4050,7916,445,436,881,4717,4903,9618,414,416,827,3446,3437,6877,447,398,842,4297,4247,8549,357,418,774,3443,3363,6802,422,392,808,4220,4173,8389,289,332,619,3214,3062,6281,455,379,827,3960,3773,7733,191,264,455,2861,2942,5805,376,355,731,3432,3555,6990,296,436,731,6697,6265,12957,797,717,1508,7787,7416,15202,7069,7030,14100,54091,53902,107996,6433,6112,12550,67594,67050,134643
SOS71,868,816,1685,962,828,1789,129,89,215,1960,1731,3694,981,883,1868,912,833,1747,125,130,252,2021,1853,3868,1062,944,2002,744,743,1483,116,119,233,1920,1805,3720,1072,963,2030,562,541,1101,115,101,213,1741,1606,3350,850,882,1728,609,671,1278,130,129,253,1583,1671,3259,784,870,1654,1208,1427,2634,231,216,445,2220,2513,4738,710,809,1519,1375,1639,3019,197,176,370,2280,2625,4907,617,788,1399,1295,1256,2549,220,195,413,2130,2236,4370,604,666,1274,1021,960,1980,180,146,325,1805,1763,3573,496,617,1117,866,873,1739,151,148,298,1516,1632,3147,501,614,1111,901,984,1885,197,158,355,1597,1756,3350,381,448,831,943,971,1910,177,165,341,1505,1578,3083,287,368,653,978,968,1946,171,172,340,1427,1510,2936,369,527,901,1797,1631,3431,315,253,569,2478,2419,4899,9575,10191,19767,14180,14314,28494,2432,2197,4632,26189,26697,52888
SOS72,786,701,1489,199,155,357,55,33,80,1044,889,1933,887,786,1672,197,189,380,42,44,87,1122,1022,2138,851,807,1659,168,122,293,35,25,57,1058,957,2012,865,824,1692,108,106,209,23,29,52,998,957,1959,842,867,1710,139,154,285,45,51,95,1027,1068,2092,744,821,1564,264,321,585,81,64,143,1092,1203,2296,721,799,1521,303,303,607,68,77,146,1091,1180,2272,575,670,1238,306,316,622,75,57,129,949,1041,1991,532,530,1060,249,219,466,55,56,108,831,797,1636,429,481,917,279,244,522,65,50,118,776,784,1561,412,505,912,336,360,701,74,73,149,820,945,1762,280,371,652,392,402,796,104,94,194,777,864,1639,210,301,503,421,445,871,90,100,180,718,842,1556,312,432,739,916,679,1593,192,145,334,1418,1253,2671,8442,8887,17333,4273,4018,8287,986,901,1890,13709,13804,27506
SOS73,430,378,815,631,578,1213,87,93,179,1147,1055,2201,450,442,900,776,735,1512,110,132,242,1343,1306,2653,490,463,956,711,665,1374,139,96,236,1337,1223,2563,519,434,954,604,564,1168,136,125,263,1256,1125,2380,507,401,916,732,618,1352,269,162,435,1515,1185,2699,473,350,821,866,903,1770,328,224,551,1668,1474,3143,424,369,789,1006,893,1898,393,194,589,1824,1454,3282,410,367,776,947,958,1903,333,163,490,1682,1485,3170,366,317,678,876,822,1696,283,173,457,1523,1309,2837,352,319,672,1011,894,1909,353,162,519,1723,1383,3102,260,284,540,1209,1102,2309,374,221,597,1836,1611,3447,215,199,415,1256,1167,2425,318,237,552,1789,1606,3393,172,198,376,1412,1340,2756,334,201,532,1920,1746,3665,231,293,518,3247,2461,5710,610,428,1035,4082,3179,7263,5304,4822,10126,15287,13701,28990,4059,2614,6677,24652,21136,45785
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,10,0,11,0,0,0,14,12,24,5,0,3,17,15,27,3,0,3,11,7,13,0,4,4,18,6,24,4,0,4,21,3,24,13,0,13,31,4,42,0,0,0,29,5,28,13,0,16,39,4,45,0,0,0,35,0,35,28,0,28,64,0,63,6,0,6,37,6,42,21,0,21,62,6,66,0,0,0,37,5,39,17,0,17,51,5,49,0,0,0,38,4,41,20,0,20,55,3,63,0,0,0,26,4,30,8,0,13,37,3,42,0,0,0,17,11,30,5,3,13,26,24,48,11,0,15,265,50,317,134,18,150,414,65,482
