SOS_CODE_2021,AG_15_19_Nbr_ch_ev_brn_No,AG_15_19_Nbr_ch_ev_brn_1,AG_15_19_Nbr_ch_ev_brn_2,AG_15_19_Nbr_ch_ev_brn_3,AG_15_19_Nbr_ch_ev_brn_4,AG_15_19_Nbr_ch_ev_brn_5,AG_15_19_Nbr_ch_ev_brn_6m,AG_15_19_Nbr_ch_ev_brn_Ns,AG_15_19_Tot,AG_20_24_Nbr_ch_ev_brn_No,AG_20_24_Nbr_ch_ev_brn_1,AG_20_24_Nbr_ch_ev_brn_2,AG_20_24_Nbr_ch_ev_brn_3,AG_20_24_Nbr_ch_ev_brn_4,AG_20_24_Nbr_ch_ev_brn_5,AG_20_24_Nbr_ch_ev_brn_6m,AG_20_24_Nbr_ch_ev_brn_Ns,AG_20_24_Tot,AG_25_29_Nbr_ch_ev_brn_No,AG_25_29_Nbr_ch_ev_brn_1,AG_25_29_Nbr_ch_ev_brn_2,AG_25_29_Nbr_ch_ev_brn_3,AG_25_29_Nbr_ch_ev_brn_4,AG_25_29_Nbr_ch_ev_brn_5,AG_25_29_Nbr_ch_ev_brn_6m,AG_25_29_Nbr_ch_ev_brn_Ns,AG_25_29_Tot,AG_30_34_Nbr_ch_ev_brn_No,AG_30_34_Nbr_ch_ev_brn_1,AG_30_34_Nbr_ch_ev_brn_2,AG_30_34_Nbr_ch_ev_brn_3,AG_30_34_Nbr_ch_ev_brn_4,AG_30_34_Nbr_ch_ev_brn_5,AG_30_34_Nbr_ch_ev_brn_6m,AG_30_34_Nbr_ch_ev_brn_Ns,AG_30_34_Tot,AG_35_39_Nbr_ch_ev_brn_No,AG_35_39_Nbr_ch_ev_brn_1,AG_35_39_Nbr_ch_ev_brn_2,AG_35_39_Nbr_ch_ev_brn_3,AG_35_39_Nbr_ch_ev_brn_4,AG_35_39_Nbr_ch_ev_brn_5,AG_35_39_Nbr_ch_ev_brn_6m,AG_35_39_Nbr_ch_ev_brn_Ns,AG_35_39_Tot,AG_40_44_Nbr_ch_ev_brn_No,AG_40_44_Nbr_ch_ev_brn_1,AG_40_44_Nbr_ch_ev_brn_2,AG_40_44_Nbr_ch_ev_brn_3,AG_40_44_Nbr_ch_ev_brn_4,AG_40_44_Nbr_ch_ev_brn_5,AG_40_44_Nbr_ch_ev_brn_6m,AG_40_44_Nbr_ch_ev_brn_Ns,AG_40_44_Tot,AG_45_49_Nbr_ch_ev_brn_No,AG_45_49_Nbr_ch_ev_brn_1,AG_45_49_Nbr_ch_ev_brn_2,AG_45_49_Nbr_ch_ev_brn_3,AG_45_49_Nbr_ch_ev_brn_4,AG_45_49_Nbr_ch_ev_brn_5,AG_45_49_Nbr_ch_ev_brn_6m,AG_45_49_Nbr_ch_ev_brn_Ns,AG_45_49_Tot,AG_50_54_Nbr_ch_ev_brn_No,AG_50_54_Nbr_ch_ev_brn_1,AG_50_54_Nbr_ch_ev_brn_2,AG_50_54_Nbr_ch_ev_brn_3,AG_50_54_Nbr_ch_ev_brn_4,AG_50_54_Nbr_ch_ev_brn_5,AG_50_54_Nbr_ch_ev_brn_6m,AG_50_54_Nbr_ch_ev_brn_Ns,AG_50_54_Tot,AG_55_59_Nbr_ch_ev_brn_No,AG_55_59_Nbr_ch_ev_brn_1,AG_55_59_Nbr_ch_ev_brn_2,AG_55_59_Nbr_ch_ev_brn_3,AG_55_59_Nbr_ch_ev_brn_4,AG_55_59_Nbr_ch_ev_brn_5,AG_55_59_Nbr_ch_ev_brn_6m,AG_55_59_Nbr_ch_ev_brn_Ns,AG_55_59_Tot,AG_60_64_Nbr_ch_ev_brn_No,AG_60_64_Nbr_ch_ev_brn_1,AG_60_64_Nbr_ch_ev_brn_2,AG_60_64_Nbr_ch_ev_brn_3,AG_60_64_Nbr_ch_ev_brn_4,AG_60_64_Nbr_ch_ev_brn_5,AG_60_64_Nbr_ch_ev_brn_6m,AG_60_64_Nbr_ch_ev_brn_Ns,AG_60_64_Tot,AG_65_69_Nbr_ch_ev_brn_No,AG_65_69_Nbr_ch_ev_brn_1,AG_65_69_Nbr_ch_ev_brn_2,AG_65_69_Nbr_ch_ev_brn_3,AG_65_69_Nbr_ch_ev_brn_4,AG_65_69_Nbr_ch_ev_brn_5,AG_65_69_Nbr_ch_ev_brn_6m,AG_65_69_Nbr_ch_ev_brn_Ns,AG_65_69_Tot,AG_70_74_Nbr_ch_ev_brn_No,AG_70_74_Nbr_ch_ev_brn_1,AG_70_74_Nbr_ch_ev_brn_2,AG_70_74_Nbr_ch_ev_brn_3,AG_70_74_Nbr_ch_ev_brn_4,AG_70_74_Nbr_ch_ev_brn_5,AG_70_74_Nbr_ch_ev_brn_6m,AG_70_74_Nbr_ch_ev_brn_Ns,AG_70_74_Tot,AG_75_79_Nbr_ch_ev_brn_No,AG_75_79_Nbr_ch_ev_brn_1,AG_75_79_Nbr_ch_ev_brn_2,AG_75_79_Nbr_ch_ev_brn_3,AG_75_79_Nbr_ch_ev_brn_4,AG_75_79_Nbr_ch_ev_brn_5,AG_75_79_Nbr_ch_ev_brn_6m,AG_75_79_Nbr_ch_ev_brn_Ns,AG_75_79_Tot,AG_80_84_Nbr_ch_ev_brn_No,AG_80_84_Nbr_ch_ev_brn_1,AG_80_84_Nbr_ch_ev_brn_2,AG_80_84_Nbr_ch_ev_brn_3,AG_80_84_Nbr_ch_ev_brn_4,AG_80_84_Nbr_ch_ev_brn_5,AG_80_84_Nbr_ch_ev_brn_6m,AG_80_84_Nbr_ch_ev_brn_Ns,AG_80_84_Tot,AG_85_over_Nbr_ch_ev_brn_No,AG_85_over_Nbr_ch_ev_brn_1,AG_85_over_Nbr_ch_ev_brn_2,AG_85_over_Nbr_ch_ev_brn_3,AG_85_over_Nbr_ch_ev_brn_4,AG_85_over_Nbr_ch_ev_brn_5,AG_85_over_Nbr_ch_ev_brn_6m,AG_85_over_Nbr_ch_ev_brn_Ns,AG_85_over_Tot,Tot_Num_child_evr_brn_No,Tot_Num_child_evr_brn_1,Tot_Num_child_evr_brn_2,Tot_Num_child_evr_brn_3,Tot_Num_child_evr_brn_4,Tot_Num_child_evr_brn_5,Tot_Num_child_evr_brn_6m,Tot_Num_child_evr_brn_Ns,Tot_Tot
SOS63,2416,9,0,0,0,0,0,311,2742,1696,148,67,16,0,0,0,184,2115,1357,413,309,103,24,4,4,203,2415,862,546,731,307,96,23,13,204,2793,634,426,1082,585,179,54,37,201,3195,484,388,1148,613,229,72,53,193,3183,582,448,1242,674,248,80,58,186,3515,728,516,1446,823,305,98,66,262,4243,697,509,1545,870,359,100,60,252,4390,677,450,1549,1006,432,144,78,288,4618,488,359,1230,812,370,94,51,248,3655,295,264,929,640,311,99,43,241,2836,147,125,478,404,199,84,42,148,1636,64,54,157,224,130,54,48,108,839,27,38,115,126,95,59,41,70,565,11156,4696,12028,7212,2981,973,602,3088,42734
SOS67,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,9,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,13,8,4,0,3,16,73
SOS70,2847,31,5,0,0,0,0,445,3327,3103,298,88,22,10,0,0,567,4084,4087,806,484,144,43,6,3,811,6388,2926,1387,1090,433,116,43,24,732,6756,1504,1054,1622,666,223,64,52,620,5799,929,766,1515,729,276,88,60,536,4903,735,637,1271,689,272,79,74,495,4247,642,536,1297,744,291,97,70,491,4173,597,437,1119,739,291,89,54,449,3773,418,386,1095,753,326,94,61,424,3555,291,261,948,650,282,93,51,329,2893,198,215,680,489,241,91,55,265,2233,115,87,337,255,136,43,46,131,1138,57,46,152,154,83,56,52,106,707,24,31,77,72,67,45,57,78,442,18484,6976,11781,6533,2650,889,655,6466,54424
SOS71,1148,75,5,0,0,0,0,380,1606,981,305,75,17,7,0,0,292,1671,1318,364,299,117,36,4,4,370,2513,998,465,469,232,94,38,18,304,2625,481,343,542,291,151,76,43,298,2236,321,221,418,285,154,84,63,229,1763,290,197,375,254,155,70,71,216,1632,264,240,424,306,147,78,64,227,1756,259,158,402,293,133,55,55,227,1578,179,135,410,269,149,72,48,231,1510,117,99,284,245,96,40,37,168,1098,61,54,182,125,56,26,29,102,645,30,27,79,70,36,15,23,39,325,19,16,37,30,24,14,24,34,196,24,12,21,22,21,12,18,33,158,6510,2700,4033,2562,1272,590,491,3157,21315
SOS72,615,60,6,0,0,0,0,275,957,508,227,83,18,3,0,3,222,1068,463,226,195,110,25,10,8,175,1203,304,188,246,148,72,28,11,178,1180,211,149,198,173,112,37,20,131,1041,123,76,159,136,95,49,45,114,797,154,83,142,135,82,38,37,110,784,150,101,196,158,109,50,44,138,945,115,80,173,153,94,52,47,147,864,74,68,217,188,74,38,45,135,842,73,49,139,121,80,28,27,115,637,27,29,95,87,42,15,24,65,390,13,7,21,28,17,11,13,20,137,8,7,16,15,9,7,7,7,67,4,4,4,7,6,4,4,4,31,2847,1337,1903,1480,818,373,327,1852,10940
SOS73,834,30,4,0,0,0,0,258,1125,745,114,48,13,0,0,0,267,1185,766,179,141,63,14,0,3,319,1474,485,228,273,138,40,14,3,280,1454,284,183,418,221,82,29,15,245,1485,206,139,372,198,87,27,24,251,1309,227,128,393,230,109,36,28,230,1383,215,149,466,286,128,53,31,280,1611,204,142,488,304,123,37,30,272,1606,151,141,536,402,165,53,38,257,1746,129,112,466,374,145,55,23,286,1588,70,52,305,226,113,34,30,150,977,26,17,105,93,44,17,18,77,396,9,3,31,32,27,7,15,16,143,12,0,10,14,13,7,6,10,75,4361,1609,4055,2587,1092,382,271,3196,17550
SOS77,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,4,6,3,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,5,0,4,0,0,4,17,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,10,7,7,0,0,17,64
SOS80,11922,41,3,3,0,0,0,1038,13001,15237,441,138,15,7,0,0,1403,17233,15061,1965,901,259,66,16,3,1181,19451,9504,4283,3469,919,235,62,35,932,19439,4982,3854,6514,2082,499,115,74,739,18860,3161,2629,6302,2474,611,176,100,543,15991,2560,2239,5888,2502,732,189,115,487,14715,2307,2013,5272,2382,728,176,116,434,13429,1997,1682,4584,2389,790,197,105,364,12110,1580,1518,4072,2344,812,205,124,345,11003,1144,1178,3604,2207,823,218,96,369,9646,942,978,3388,2162,827,208,129,336,8969,538,557,2222,1556,657,230,129,306,6198,288,321,1191,1156,606,223,165,286,4233,291,315,1067,1000,659,278,290,435,4333,71519,24014,48631,23448,8046,2287,1487,9188,188615
SOS82,24,0,0,0,0,0,0,4,23,15,0,0,0,0,0,0,0,17,10,0,0,0,0,0,0,0,12,7,4,0,0,0,0,0,0,12,0,7,16,0,0,0,0,0,24,3,3,11,8,0,0,0,0,23,0,4,9,21,0,0,0,0,34,3,0,6,3,0,0,0,0,13,0,0,9,9,0,0,0,0,19,4,0,8,3,3,0,0,0,20,0,0,3,7,3,0,0,0,12,0,0,3,4,0,0,0,0,14,0,0,0,6,0,0,0,0,8,0,0,0,4,0,0,0,0,6,0,0,0,0,3,0,0,0,3,64,22,67,56,14,5,3,8,239
SOS83,14,0,0,0,0,0,0,3,19,26,0,0,0,0,0,0,9,36,28,6,0,5,0,0,0,5,39,12,6,3,0,0,0,0,3,22,4,0,3,7,0,0,0,0,15,5,0,3,4,0,0,0,0,16,3,0,5,4,0,0,0,6,15,8,0,6,5,3,0,0,3,15,6,3,6,3,7,0,0,3,19,0,0,8,4,4,0,0,4,22,3,0,3,0,0,0,0,3,14,0,0,3,0,0,0,0,0,8,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,97,20,41,32,19,4,0,37,250
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,30,0,0,0,0,0,0,0,32,12,3,0,0,0,0,0,8,28,20,10,10,0,0,0,0,12,38,13,5,9,6,0,0,0,25,59,19,3,18,8,0,0,0,15,68,5,7,9,16,4,0,0,16,58,8,6,18,6,0,0,5,16,56,9,8,15,6,5,0,0,23,70,3,0,16,9,4,4,4,13,49,4,3,8,13,10,0,0,14,61,3,0,8,8,3,0,0,4,40,3,0,5,3,0,0,0,0,24,0,0,0,0,0,0,0,3,6,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,144,57,115,75,37,12,14,158,605
SOS92,47,0,0,0,0,0,0,9,59,62,10,0,0,0,0,0,9,79,47,7,6,6,0,0,0,14,65,27,9,15,16,0,0,0,11,74,23,8,25,14,7,0,0,12,94,11,5,26,12,4,0,0,12,75,13,12,20,19,3,3,0,14,80,20,9,30,8,5,0,8,19,96,23,14,45,22,10,5,4,20,130,18,8,51,27,10,0,0,22,141,24,12,33,20,10,5,5,13,119,14,10,20,16,5,0,0,15,85,5,4,17,11,3,6,0,13,60,5,3,4,11,0,5,0,5,31,0,3,3,11,0,5,4,5,29,341,112,291,184,62,27,20,190,1216
SOS93,16,0,0,0,0,0,0,5,15,14,0,0,0,0,0,0,4,19,22,0,0,0,0,0,0,6,30,6,0,0,3,0,0,0,4,20,6,0,8,8,0,0,0,0,19,3,0,0,0,0,0,0,3,14,11,8,13,3,5,0,0,0,32,9,5,14,4,4,0,0,8,34,6,3,8,7,4,0,0,0,32,4,9,8,7,0,0,0,9,28,3,0,10,0,8,0,0,10,27,0,0,3,5,0,0,0,3,18,3,0,6,5,4,0,4,0,21,0,0,4,5,4,0,0,7,19,0,0,0,0,0,0,0,0,4,88,27,73,42,25,6,5,65,338
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
