SOS_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
SOS51,158494,160377,318870,71175,40496,111671,16830,39899,56727,7329,6711,14046,4500,3804,8310,99839,90911,190748,41467,55475,96934,4.5,4.2,4.4,63,56.7,59.8,60.1,54.3,57.2,3359,3856,7214,1607,4024,5625,12140,21295,33433,10194,15315,25510,46039,23560,69601,2529,4159,6689,2084,3473,5556,50647,31189,81837,144678,147258,291940,30650,32300,62950,91204,91227,182431,73401,78292,151696
SOS52,27974,26222,54193,9982,5310,15296,2359,4946,7310,1395,1178,2582,866,695,1570,14607,12141,26749,9248,11036,20289,6,5.8,5.9,52.2,46.3,49.4,49.1,43.6,46.5,440,520,961,204,491,689,1563,2723,4289,1483,2033,3521,6718,3090,9802,354,568,922,311,517,828,7379,4176,11552,24491,23472,47969,4361,4342,8702,17153,16270,33426,10023,10004,20027
SOS53,103108,70735,173841,44725,17852,62578,9050,17475,26525,5365,3971,9332,1608,1230,2840,60745,40534,101279,22355,22357,44712,2.6,3,2.8,58.9,57.3,58.3,57.4,55.6,56.6,2009,1922,3929,846,1823,2675,7811,10521,18338,6383,7250,13634,26715,9149,35860,1185,1549,2728,1192,1673,2867,29085,12374,41456,79394,63940,143331,12932,10442,23375,57446,46327,103774,31418,24971,56391
SOS57,2854,392,3249,1339,139,1478,54,20,77,115,31,147,7,0,7,1525,190,1711,87,81,165,0.6,0.5,0.6,53.3,48.1,52.7,53,47.8,52.4,43,16,55,15,15,31,208,68,277,257,34,292,659,43,703,22,9,28,39,4,41,722,57,776,1324,213,1540,286,55,345,925,147,1067,678,129,801
SOS60,79008,85653,164664,31719,20582,52304,13718,23783,37500,2232,3103,5340,3596,3107,6703,51268,50578,101847,24367,31500,55863,7,6.1,6.6,64.9,59,61.8,60.3,55.4,57.8,7566,8553,16119,1746,3256,5005,13669,16817,30489,5814,7365,13177,15327,9220,24547,880,1390,2269,961,1548,2511,17168,12161,29322,74785,80297,155077,15028,15517,30543,48610,52756,101360,36714,38806,75518
SOS61,86168,94967,181132,33449,19348,52803,11737,24793,36530,2706,3237,5939,3529,2806,6334,51418,50184,101602,30077,40111,70192,6.9,5.6,6.2,59.7,52.8,56.1,55.6,49.9,52.6,3298,3475,6770,1016,1994,3005,7812,12175,19990,5251,8108,13356,22122,13925,36051,1177,2261,3439,1104,2031,3133,24408,18215,42620,83849,90429,174279,14291,15698,29987,55006,58798,113812,38030,42325,80360
SOS62,13109,13098,26204,4736,2396,7141,1746,3468,5219,507,537,1049,370,318,687,7363,6724,14087,4870,5572,10444,5,4.8,4.9,56.2,51.4,53.8,53.4,48.9,51.1,485,513,999,146,337,484,1182,1769,2950,859,1215,2078,3585,1798,5383,152,283,435,218,286,502,3954,2368,6319,12503,12461,24961,1842,1873,3709,8698,8527,17219,5020,5234,10246
SOS63,45239,42734,87973,18361,9291,27653,6460,12604,19069,1830,1843,3673,1299,1007,2307,27961,24739,52703,14555,15546,30098,4.6,4.1,4.4,61.8,57.9,59.9,58.9,55.5,57.3,1471,1796,3268,550,1155,1708,4089,6486,10576,3170,4448,7617,13046,6293,19345,471,989,1455,578,959,1535,14102,8235,22334,45164,42399,87568,5307,5386,10692,32705,30066,62771,15556,15680,31239
SOS67,289,73,362,208,30,237,11,11,19,10,9,19,4,0,3,230,50,282,31,24,58,0.9,2,1.1,79,67.1,76.6,78.4,65.8,75.8,0,3,3,0,3,4,33,10,46,37,7,44,63,15,76,7,0,6,9,4,13,76,25,98,158,48,207,33,11,50,117,28,146,76,32,107
SOS70,54421,54424,108845,26062,19947,46009,6409,10807,17212,2593,2980,5576,1582,1422,3001,36639,35158,71794,11715,13546,25259,4.3,4,4.2,67.3,64.6,66,64.4,62,63.2,3713,4322,8030,999,2127,3124,7514,11025,18537,4510,5016,9520,11829,6091,17919,651,892,1538,703,859,1559,13178,7843,21018,45883,46250,92136,12763,13155,25918,25334,25108,50443,29514,30777,60284
SOS71,20293,21315,41604,8167,6958,15126,1731,2917,4656,891,1006,1898,867,736,1609,11660,11625,23286,6254,7493,13754,7.5,6.4,6.9,57.5,54.5,56,53.2,51.1,52.1,945,1251,2196,265,686,951,2034,3346,5378,1300,1509,2805,3831,2000,5831,234,339,576,289,338,629,4349,2677,7031,18818,19126,37947,4261,4746,9005,12281,12439,24720,8978,9759,18729
SOS72,10486,10940,21428,2548,2145,4695,789,1193,1973,557,557,1113,581,487,1064,4469,4383,8848,4964,5584,10540,12.9,11.1,12,42.6,40,41.3,37.1,35.6,36.3,219,303,522,84,211,293,585,945,1535,445,579,1021,1743,833,2574,189,258,447,164,199,363,2091,1297,3385,10716,10818,21538,1741,1862,3602,8260,8444,16706,3208,3361,6569
SOS73,20822,17550,38374,6861,4580,11441,1404,2339,3744,1416,1377,2790,526,458,979,10207,8748,18962,6668,6228,12899,5.1,5.2,5.2,49,49.9,49.4,46.5,47.2,46.9,377,561,932,186,496,681,1243,2170,3410,1214,1609,2815,5396,2105,7495,300,375,682,275,300,575,5967,2782,8748,16667,15168,31839,2909,2917,5819,12158,11158,23318,6366,6053,12417
SOS77,414,64,482,215,21,235,12,3,16,18,4,27,4,0,4,253,35,285,29,15,47,1.6,0,1.4,60.7,48.4,59.1,59.8,48.4,58.2,0,0,0,4,8,11,38,8,42,58,6,63,88,8,96,10,0,10,21,0,23,115,9,131,230,46,276,47,6,52,164,28,193,112,20,129
SOS80,180045,188615,368662,93003,70415,163423,26859,44361,71216,5412,7691,13100,5458,4538,9995,130729,127007,257739,41614,54433,96043,4.2,3.6,3.9,72.6,67.3,69.9,69.6,64.9,67.2,27276,25124,52397,6366,10239,16602,40278,48973,89245,15105,19007,34107,25039,14551,39588,1464,2018,3483,2000,3577,5578,28499,20143,48647,170751,177144,347897,40207,40839,81051,102657,107825,210481,97007,99496,196505
SOS82,239,239,482,119,87,205,40,72,107,10,9,18,9,0,9,174,170,346,59,68,119,3.4,1.2,2.3,72.5,70.1,71.3,70,69.3,69.6,18,21,41,7,19,22,39,58,98,28,33,58,54,26,76,0,0,0,4,3,9,57,26,85,268,271,536,25,19,39,203,201,400,79,81,162
SOS83,303,250,555,184,83,267,27,58,81,14,17,32,0,3,9,225,163,385,34,51,83,0.9,2.5,1.6,73.3,64.5,69.3,72.6,62.9,68.2,12,14,26,8,11,15,50,59,106,13,32,43,74,21,92,5,5,14,6,7,6,83,31,110,192,193,385,108,56,157,116,114,233,158,127,292
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,723,605,1327,347,195,542,57,122,181,32,20,52,3,6,12,441,351,793,85,100,190,1.1,2,1.5,60.9,57.8,59.5,60.2,56.6,58.6,14,24,35,13,16,27,52,81,127,45,49,94,169,58,229,18,16,34,3,14,10,184,90,277,535,462,999,112,99,209,384,338,723,222,191,408
SOS92,1173,1216,2389,533,364,894,170,299,467,51,60,116,15,15,27,766,734,1499,237,318,557,2.1,1.9,2,65.4,60.5,62.9,64.1,59.3,61.7,36,39,78,13,43,52,135,157,287,72,129,195,303,113,418,21,29,49,12,25,39,336,167,499,961,1004,1959,223,211,438,679,682,1361,458,497,949
SOS93,547,338,886,124,92,211,42,72,116,13,15,29,5,9,16,184,190,374,302,86,391,2.7,4.3,3.5,34.1,55.6,42.3,33.2,53.3,40.8,14,17,33,3,10,10,23,40,63,27,31,55,82,31,117,3,5,13,7,8,8,92,41,137,290,270,555,48,49,94,191,204,391,116,97,214
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
