SOS_CODE_2021,M_15_19_Ud_wk_L_5_hrs,M_15_19_Ud_wk_5_14_hrs,M_15_19_Ud_wk_15_29_hrs,M_15_19_Ud_wk_30h_more,M_15_19_no_Ud_wk,M_15_19_Ud_wk_ns,M_15_19_OS_vis,M_15_19_yr_Tot,M_20_24_Ud_wk_L_5_hrs,M_20_24_Ud_wk_5_14_hrs,M_20_24_Ud_wk_15_29_hrs,M_20_24_Ud_wk_30h_more,M_20_24_no_Ud_wk,M_20_24_Ud_wk_ns,M_20_24_OS_vis,M_20_24_yr_Tot,M_25_34_Ud_wk_L_5_hrs,M_25_34_Ud_wk_5_14_hrs,M_25_34_Ud_wk_15_29_hrs,M_25_34_Ud_wk_30h_more,M_25_34_no_Ud_wk,M_25_34_Ud_wk_ns,M_25_34_OS_vis,M_25_34_yr_Tot,M_35_44_Ud_wk_L_5_hrs,M_35_44_Ud_wk_5_14_hrs,M_35_44_Ud_wk_15_29_hrs,M_35_44_Ud_wk_30h_more,M_35_44_no_Ud_wk,M_35_44_Ud_wk_ns,M_35_44_OS_vis,M_35_44_yr_Tot,M_45_54_Ud_wk_L_5_hrs,M_45_54_Ud_wk_5_14_hrs,M_45_54_Ud_wk_15_29_hrs,M_45_54_Ud_wk_30h_more,M_45_54_no_Ud_wk,M_45_54_Ud_wk_ns,M_45_54_OS_vis,M_45_54_yr_Tot,M_55_64_Ud_wk_L_5_hrs,M_55_64_Ud_wk_5_14_hrs,M_55_64_Ud_wk_15_29_hrs,M_55_64_Ud_wk_30h_more,M_55_64_no_Ud_wk,M_55_64_Ud_wk_ns,M_55_64_OS_vis,M_55_64_yr_Tot,M_65_74_Ud_wk_L_5_hrs,M_65_74_Ud_wk_5_14_hrs,M_65_74_Ud_wk_15_29_hrs,M_65_74_Ud_wk_30h_more,M_65_74_no_Ud_wk,M_65_74_Ud_wk_ns,M_65_74_OS_vis,M_65_74_yr_Tot,M_75_84_Ud_wk_L_5_hrs,M_75_84_Ud_wk_5_14_hrs,M_75_84_Ud_wk_15_29_hrs,M_75_84_Ud_wk_30h_more,M_75_84_no_Ud_wk,M_75_84_Ud_wk_ns,M_75_84_OS_vis,M_75_84_yr_Tot,M_85ov_Ud_wk_L_5_h,M_85ov_Ud_wk_5_14_h,M_85ov_Ud_wk_15_29_h,M_85ov_Ud_wk_30h_more,M_85ov_no_Ud_wk,M_85ov_Ud_wk_ns,M_85ov_OS_vis,M_85_yr_over_Tot,M_Tot_Ud_wk_L_5_hrs,M_Tot_Ud_wk_5_14_hrs,M_Tot_Ud_wk_15_29_hrs,M_Tot_Ud_wk_30h_more,M_Tot_no_Ud_wk,M_Tot_Ud_wk_ns,M_Tot_OS_vis,M_Total_Tot,F_15_19_Ud_wk_L_5_hrs,F_15_19_Ud_wk_5_14_hrs,F_15_19_Ud_wk_15_29_hrs,F_15_19_Ud_wk_30h_more,F_15_19_no_Ud_wk,F_15_19_Ud_wk_ns,F_15_19_OS_vis,F_15_19_yr_Tot,F_20_24_Ud_wk_L_5_hrs,F_20_24_Ud_wk_5_14_hrs,F_20_24_Ud_wk_15_29_hrs,F_20_24_Ud_wk_30h_more,F_20_24_no_Ud_wk,F_20_24_Ud_wk_ns,F_20_24_OS_vis,F_20_24_yr_Tot,F_25_34_Ud_wk_L_5_hrs,F_25_34_Ud_wk_5_14_hrs,F_25_34_Ud_wk_15_29_hrs,F_25_34_Ud_wk_30h_more,F_25_34_no_Ud_wk,F_25_34_Ud_wk_ns,F_25_34_OS_vis,F_25_34_yr_Tot,F_35_44_Ud_wk_L_5_hrs,F_35_44_Ud_wk_5_14_hrs,F_35_44_Ud_wk_15_29_hrs,F_35_44_Ud_wk_30h_more,F_35_44_no_Ud_wk,F_35_44_Ud_wk_ns,F_35_44_OS_vis,F_35_44_yr_Tot,F_45_54_Ud_wk_L_5_hrs,F_45_54_Ud_wk_5_14_hrs,F_45_54_Ud_wk_15_29_hrs,F_45_54_Ud_wk_30h_more,F_45_54_no_Ud_wk,F_45_54_Ud_wk_ns,F_45_54_OS_vis,F_45_54_yr_Tot,F_55_64_Ud_wk_L_5_hrs,F_55_64_Ud_wk_5_14_hrs,F_55_64_Ud_wk_15_29_hrs,F_55_64_Ud_wk_30h_more,F_55_64_no_Ud_wk,F_55_64_Ud_wk_ns,F_55_64_OS_vis,F_55_64_yr_Tot,F_65_74_Ud_wk_L_5_hrs,F_65_74_Ud_wk_5_14_hrs,F_65_74_Ud_wk_15_29_hrs,F_65_74_Ud_wk_30h_more,F_65_74_no_Ud_wk,F_65_74_Ud_wk_ns,F_65_74_OS_vis,F_65_74_yr_Tot,F_75_84_Ud_wk_L_5_hrs,F_75_84_Ud_wk_5_14_hrs,F_75_84_Ud_wk_15_29_hrs,F_75_84_Ud_wk_30h_more,F_75_84_no_Ud_wk,F_75_84_Ud_wk_ns,F_75_84_OS_vis,F_75_84_yr_Tot,F_85ov_Ud_wk_L_5_h,F_85ov_Ud_wk_5_14_h,F_85ov_Ud_wk_15_29_h,F_85ov_Ud_wk_30h_more,F_85ov_no_Ud_wk,F_85ov_Ud_wk_ns,F_85ov_OS_vis,F_85_yr_over_Tot,F_Tot_Ud_wk_L_5_hrs,F_Tot_Ud_wk_5_14_hrs,F_Tot_Ud_wk_15_29_hrs,F_Tot_Ud_wk_30h_more,F_Tot_no_Ud_wk,F_Tot_Ud_wk_ns,F_Tot_OS_vis,F_Total_Tot,P_15_19_Ud_wk_L_5_hrs,P_15_19_Ud_wk_5_14_hrs,P_15_19_Ud_wk_15_29_hrs,P_15_19_Ud_wk_30h_more,P_15_19_no_Ud_wk,P_15_19_Ud_wk_ns,P_15_19_OS_vis,P_15_19_yr_Tot,P_20_24_Ud_wk_L_5_hrs,P_20_24_Ud_wk_5_14_hrs,P_20_24_Ud_wk_15_29_hrs,P_20_24_Ud_wk_30h_more,P_20_24_no_Ud_wk,P_20_24_Ud_wk_ns,P_20_24_OS_vis,P_20_24_yr_Tot,P_25_34_Ud_wk_L_5_hrs,P_25_34_Ud_wk_5_14_hrs,P_25_34_Ud_wk_15_29_hrs,P_25_34_Ud_wk_30h_more,P_25_34_no_Ud_wk,P_25_34_Ud_wk_ns,P_25_34_OS_vis,P_25_34_yr_Tot,P_35_44_Ud_wk_L_5_hrs,P_35_44_Ud_wk_5_14_hrs,P_35_44_Ud_wk_15_29_hrs,P_35_44_Ud_wk_30h_more,P_35_44_no_Ud_wk,P_35_44_Ud_wk_ns,P_35_44_OS_vis,P_35_44_yr_Tot,P_45_54_Ud_wk_L_5_hrs,P_45_54_Ud_wk_5_14_hrs,P_45_54_Ud_wk_15_29_hrs,P_45_54_Ud_wk_30h_more,P_45_54_no_Ud_wk,P_45_54_Ud_wk_ns,P_45_54_OS_vis,P_45_54_yr_Tot
SOS30,50342,9466,801,413,46437,6339,156,113953,42119,20305,2503,1153,47313,8973,439,122802,71960,70616,13868,5828,73426,19942,1284,256926,58862,85330,24238,9736,49587,15617,640,244003,56889,81328,21335,8309,45024,12848,568,226305,45182,63545,18514,8042,44309,9830,627,190049,26863,44157,19874,9514,42501,8602,628,152134,12470,19661,10278,5937,29679,6382,251,84656,3291,3734,1868,1315,12555,3347,56,26176,367979,398137,113289,50245,390836,91878,4647,1417003,50464,12938,1527,615,38322,5949,156,109966,38833,32135,6409,3619,34418,7889,388,123691,49502,85687,32630,31617,52721,17706,981,270845,29148,84571,52717,46351,34699,13982,486,261947,30491,89567,48569,30179,33046,11207,487,243551,26273,69929,40125,24658,36930,9419,800,208129,14382,41585,35575,27108,42120,8598,681,170056,8997,18295,15539,13357,33552,7999,225,97972,4411,5143,2693,1997,21638,6657,67,42619,252502,439853,235773,179501,327453,89417,4264,1528766,100802,22399,2324,1027,84758,12292,312,223919,80948,52444,8913,4771,81733,16857,827,246490,121461,156303,46496,37451,126146,37649,2263,527767,88010,169900,76953,56083,84282,29598,1127,505947,87383,170901,69907,38486,78067,24056,1057,469859
SOS31,11949,2380,232,125,11593,2481,22,28779,7989,4212,657,339,9643,2869,258,25974,14349,14940,3414,1645,16051,7361,912,58669,12767,17265,4881,2420,11362,6414,323,55429,13524,17670,4793,2263,13013,6117,106,57491,12885,17263,5622,2895,15583,5592,123,59965,8519,14386,7252,4504,17012,4503,93,56267,3936,6204,3715,2841,11168,2867,46,30771,1040,1163,623,542,4186,1223,13,8788,86961,95484,31186,17562,109614,39428,1902,382130,11427,3291,439,187,9352,2195,18,26908,6381,6596,1787,1347,6993,2229,137,25469,8190,17210,8343,9974,10943,5125,475,60263,5673,18666,11505,10930,7232,4316,134,58460,7183,20998,10790,7260,9015,4134,80,59462,7136,19366,11940,8659,12031,4105,118,63345,4277,12195,11553,10826,14619,3960,104,57527,2684,5350,4855,5321,11597,3226,50,33083,1233,1454,802,755,6983,2097,9,13330,54185,105125,62015,55261,88768,31386,1121,397857,23380,5671,673,314,20947,4667,39,55691,14368,10810,2444,1688,16639,5100,400,51439,22540,32149,11754,11616,26994,12489,1389,118935,18447,35927,16385,13350,18592,10730,462,113894,20711,38670,15579,9524,22036,10255,183,116955
SOS32,1609,357,57,30,1339,477,6,3870,1063,551,108,64,1082,430,21,3316,1735,1786,505,264,1775,1081,149,7297,1727,2298,761,419,1439,1014,38,7693,2198,2785,963,490,1944,1036,12,9426,2396,3342,1272,748,3009,1077,14,11861,1801,2920,1597,1153,3460,1048,29,12015,677,1080,746,614,1951,551,11,5635,131,136,88,79,459,133,5,1028,13340,15253,6094,3848,16470,6858,280,62143,1441,466,84,42,1066,396,6,3492,819,815,243,185,713,345,13,3140,1052,2069,1056,1338,1161,741,78,7486,837,2545,1554,1592,815,692,25,8055,1205,3254,1781,1326,1219,750,10,9547,1382,3528,2410,1821,2136,934,18,12227,837,2249,2109,2270,2538,888,16,10902,380,767,763,853,1548,519,9,4830,139,171,97,94,623,166,3,1286,8090,15862,10103,9512,11811,5428,175,60975,3048,820,140,73,2405,866,4,7362,1885,1362,356,244,1794,781,37,6460,2790,3857,1560,1597,2935,1829,221,14786,2567,4844,2312,2009,2255,1705,60,15750,3400,6045,2746,1806,3163,1784,21,18971
SOS33,6099,1461,157,78,4643,1630,9,14072,3645,1692,312,143,3617,1848,164,11420,5420,5762,1565,768,5398,4816,556,24278,5985,8291,2766,1501,4693,4902,239,28372,7897,10843,3477,1925,6694,5353,97,36287,8157,11575,4434,2769,9130,4709,50,40822,5485,8270,4585,3699,9287,3329,61,34702,2144,2928,1852,1683,4799,1608,17,15041,422,395,243,215,1081,317,0,2674,45250,51219,19383,12779,49341,28515,1186,207676,5917,1846,223,102,3409,1365,6,12865,2764,2378,644,480,2075,1118,87,9544,2722,5923,3271,4171,2796,2665,226,21775,2140,8127,5806,5885,1955,2642,66,26627,3274,11821,7367,5466,3234,3104,48,34321,3287,11130,8355,6984,4924,3189,44,37907,1895,6026,6225,7189,5536,2555,46,29466,991,2063,1968,2561,3052,1209,14,11855,322,387,256,223,1010,288,0,2492,23316,49689,34109,33064,27997,18132,545,186853,12012,3305,374,177,8047,2996,16,26935,6410,4063,951,625,5697,2977,245,20966,8140,11686,4835,4942,8194,7484,783,46059,8129,16420,8570,7385,6653,7548,304,55002,11171,22664,10842,7393,9931,8459,147,70611
SOS37,0,0,0,0,3,0,0,8,3,0,0,0,3,5,0,8,6,3,0,0,14,40,6,69,3,8,0,0,21,74,6,107,7,8,3,0,14,45,0,77,0,3,0,0,9,16,0,26,0,3,0,0,3,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,3,0,70,187,17,317,0,0,0,0,3,4,0,6,0,0,0,0,0,4,5,9,0,0,0,4,8,12,7,35,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,29,10,65,0,0,0,0,6,10,0,11,4,0,0,0,4,8,5,18,3,0,0,4,21,57,15,102,3,8,0,0,23,77,6,114,7,4,3,0,14,45,0,79
SOS40,15685,2522,215,90,15822,1486,53,35872,15225,6721,824,383,17188,1865,73,42285,25806,24570,4690,1841,26686,4434,227,88267,20231,29011,7907,3209,17769,3766,159,82056,19477,27164,7108,2590,16186,3204,151,75880,17305,24000,6666,2693,17138,2592,152,70541,10557,17584,7372,3453,15987,2127,168,57243,5075,8020,4128,2157,11283,1610,60,32322,1579,1940,980,686,6331,990,19,12519,130949,141532,39888,17092,144384,22081,1059,496985,15691,3666,406,154,12722,1351,42,34043,14117,9821,1878,1033,11999,1666,56,40562,16955,28388,10926,10564,18480,3821,190,89325,9141,27593,17883,15498,11509,3188,138,84941,9370,29152,16584,9752,10777,2632,131,78403,9060,26847,15478,9236,13424,2373,244,76664,5237,16757,14793,10734,15428,2336,247,65531,3623,7910,7002,5793,13410,2383,71,40191,2198,2826,1538,1128,11270,1797,25,20777,85386,152963,86495,63881,119021,21545,1148,530439,31378,6186,623,247,28546,2842,92,69913,29338,16548,2702,1415,29183,3533,132,82852,42767,52959,15620,12403,45167,8260,418,177588,29369,56599,25792,18703,29279,6958,297,166999,28847,56314,23699,12336,26970,5839,284,154288
SOS41,4317,744,66,21,3677,658,7,9487,3198,1545,220,83,3121,632,56,8856,5262,5694,1321,560,4697,1574,298,19413,4354,6275,1946,817,3332,1412,130,18262,4937,7161,1928,800,3876,1384,49,20135,5117,7068,2169,1028,5002,1287,21,21692,3368,5842,3055,1698,5526,1098,26,20610,1647,2827,1680,1147,4188,908,5,12402,479,620,350,273,1991,442,5,4162,32676,37777,12740,6424,35407,9389,604,135016,4225,1034,131,49,2830,578,0,8842,2523,2414,552,362,2055,405,3,8312,2749,6306,2994,3357,2795,1062,49,19320,1697,6481,4230,3811,1955,986,33,19198,2407,8197,4539,2622,2553,1025,16,21361,2405,7771,4879,2904,3828,1019,32,22834,1475,5028,5115,4402,5125,1176,30,22347,1069,2405,2346,2462,5015,1119,12,14437,615,804,466,390,3498,700,5,6477,19167,40432,25256,20359,29662,8065,187,143133,8538,1772,199,72,6504,1232,9,18328,5715,3960,776,445,5173,1031,66,17171,8014,12003,4322,3916,7492,2638,346,38733,6054,12752,6175,4627,5295,2399,162,37463,7345,15360,6469,3427,6426,2407,62,41496
SOS42,601,127,21,9,405,136,0,1298,424,214,42,15,358,90,3,1141,720,779,201,85,488,195,8,2478,602,929,296,146,339,216,6,2525,821,1091,300,127,538,268,0,3155,936,1347,438,241,910,332,4,4211,678,1118,573,401,1100,374,0,4242,251,432,250,250,665,220,0,2066,81,89,55,38,291,99,0,651,5121,6139,2167,1308,5090,1934,20,21769,566,158,26,9,306,136,0,1198,336,306,78,55,179,76,3,1037,334,811,421,561,267,180,0,2573,249,842,608,544,203,189,0,2643,333,1147,662,441,306,240,0,3128,459,1401,960,583,529,304,9,4242,226,842,871,849,801,310,3,3906,149,305,350,405,653,218,0,2084,71,107,81,49,488,150,0,955,2725,5919,4061,3499,3736,1790,17,21754,1169,290,42,14,710,267,0,2496,762,527,117,66,534,164,0,2178,1060,1592,620,640,752,372,6,5043,852,1773,902,689,545,406,3,5167,1153,2238,968,569,838,511,0,6282
SOS43,2129,385,40,15,1448,429,6,4445,1450,590,67,34,1129,424,38,3738,2056,2033,540,260,1653,1154,130,7828,1923,3010,1008,429,1354,1276,64,9068,2788,3785,1252,548,1968,1305,25,11668,3156,4241,1519,742,2828,1227,7,13719,1941,3001,1476,1080,2571,876,13,10961,651,1013,654,505,1334,454,5,4611,115,166,82,68,330,91,5,865,16210,18231,6653,3688,14611,7219,296,66900,1929,543,60,25,989,383,5,3942,1052,837,184,116,562,241,14,3000,869,1919,1161,1281,652,545,23,6449,568,2594,1989,1980,446,512,11,8098,963,3882,2586,1660,756,725,18,10591,955,3956,2972,2086,1242,781,10,12000,515,1970,2318,2204,1484,684,11,9174,230,651,681,847,871,347,3,3641,93,139,107,106,292,110,0,854,7186,16492,12062,10303,7291,4326,88,57752,4058,925,96,45,2433,816,13,8389,2501,1433,251,147,1688,665,58,6734,2929,3949,1702,1536,2303,1697,153,14280,2493,5604,2999,2406,1801,1782,73,17164,3754,7668,3839,2213,2726,2024,34,22253
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,4,5,19,0,0,0,0,7,7,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,19,8,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,4,5,19,0,0,0,0,7,7,0,15
SOS50,27152,4528,361,194,25685,2727,63,60713,22521,9476,1137,479,26108,3606,190,63523,40964,36428,6237,2696,42747,8849,548,138475,36633,46803,11637,4976,32548,7721,388,140711,33283,42249,9888,4070,28253,5996,372,124118,27197,34776,8752,3869,27114,4557,397,106670,15633,25144,10166,4994,24102,3573,342,83955,6915,10898,5373,3221,15799,3028,118,45355,1986,2485,1159,831,6931,1959,28,15374,212289,212785,54711,25345,229301,42015,2453,778901,26972,6427,666,297,21079,2595,67,58103,22104,14686,2728,1670,18387,3094,187,62845,28409,45226,17203,19840,30130,7666,478,148949,16245,45788,29030,30106,21850,6468,242,149730,15338,47387,26804,18352,18988,5004,262,132138,13469,38889,22657,15421,20933,3978,513,115861,7457,22589,19568,16442,23008,3848,446,93356,4569,10039,8571,8067,17427,4035,140,52848,2626,3332,1822,1350,11890,3516,45,24582,137190,234364,129052,111535,183693,40201,2380,838412,54126,10953,1028,494,46762,5324,129,118813,44619,24159,3868,2148,44494,6700,379,126375,69373,81656,23438,22537,72880,16519,1024,287428,52878,92594,40669,35081,54405,14188,632,290440,48629,89634,36698,22423,47243,10998,635,256255
SOS51,4676,932,89,51,4618,1192,14,11570,3121,1647,284,101,3710,1264,130,10267,6732,6534,1282,650,6792,3736,264,25995,6357,8179,2161,1027,5350,3699,128,26902,6255,8003,1913,841,5782,3389,64,26243,5710,7231,2001,957,6241,2885,69,25084,3478,5406,2322,1423,5742,1786,39,20197,1444,2240,1156,829,3334,985,19,10005,375,427,251,210,1248,456,7,2966,38155,40584,11466,6092,42805,19400,729,159227,4622,1353,157,76,3517,1047,12,10774,2375,2595,611,507,2451,1055,62,9654,3818,7515,3481,4658,4320,2829,165,26791,2464,8250,5208,5497,3143,2476,32,27075,2971,9189,4809,3133,3423,2205,32,25763,2709,7856,4679,3289,4411,2005,56,25011,1548,4569,4152,3842,4789,1600,57,20555,890,1827,1683,1799,3386,1114,14,10709,446,570,352,303,2044,750,7,4481,21842,43743,25132,23116,31465,15075,441,160814,9298,2288,241,121,8132,2236,20,22341,5492,4242,898,613,6162,2322,193,19925,10548,14049,4765,5311,11107,6561,432,52783,8822,16423,7373,6528,8485,6180,170,53975,9228,17195,6722,3976,9202,5594,89,52008
SOS52,591,182,38,18,556,217,0,1595,466,295,62,34,507,219,20,1605,997,919,248,131,1008,710,44,4051,965,1066,318,191,765,689,11,4001,977,1176,339,187,961,776,0,4429,1122,1323,416,228,1306,713,3,5112,771,1110,507,377,1293,617,8,4676,270,408,237,198,674,299,0,2080,59,72,39,39,213,81,0,496,6229,6544,2201,1398,7280,4320,81,28053,565,266,62,25,398,214,4,1533,357,402,145,99,340,191,20,1551,594,1015,538,697,567,486,54,3946,424,1026,719,772,404,452,14,3816,483,1318,670,490,536,438,11,3953,566,1430,823,679,806,560,3,4860,283,851,766,841,913,493,5,4157,132,297,276,373,541,291,0,1914,59,78,48,53,273,102,0,616,3469,6669,4054,4022,4773,3232,114,26339,1153,442,104,39,959,430,4,3128,821,695,207,132,850,416,31,3154,1595,1937,786,823,1572,1195,91,8001,1395,2093,1040,962,1163,1139,28,7821,1461,2496,1009,686,1496,1213,16,8375
SOS53,2001,457,63,30,1686,561,3,4807,1511,749,132,55,1881,1553,59,5940,3050,2732,612,351,4208,5466,174,16591,3147,3907,1111,600,3761,5487,100,18116,3690,4727,1301,699,4429,4969,64,19874,3706,4789,1476,908,4724,3594,48,19251,2322,3350,1571,1136,3364,1515,28,13287,751,1027,591,521,1431,555,5,4877,126,174,77,62,313,91,0,840,20302,21908,6936,4372,25800,23794,483,103590,1876,531,89,22,1195,471,3,4197,1052,833,207,138,936,630,47,3843,1420,2331,1063,1530,1505,1554,113,9515,932,2963,2185,2363,895,1332,28,10697,1212,4238,2730,1977,1403,1506,12,13079,1313,4390,3092,2446,1884,1363,22,14508,728,2214,2255,2422,1937,962,14,10535,291,675,699,814,923,396,0,3797,118,151,87,77,308,76,4,818,8939,18322,12407,11791,10985,8286,251,70987,3883,995,147,61,2876,1036,7,8998,2562,1577,338,194,2823,2183,111,9785,4468,5062,1675,1881,5713,7018,290,26105,4082,6872,3298,2958,4659,6820,126,28811,4902,8961,4036,2680,5831,6474,74,32959
SOS57,0,0,0,0,8,7,0,14,7,0,0,0,41,28,0,81,25,32,5,4,172,193,24,459,56,63,22,24,332,413,37,945,43,41,16,14,342,376,53,896,34,30,9,6,178,195,24,473,7,15,0,0,51,35,0,119,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,181,178,61,46,1129,1255,143,3002,0,0,0,0,3,3,0,8,6,0,0,0,17,15,0,37,10,5,3,5,36,28,3,94,3,6,3,0,18,20,7,55,5,9,0,0,25,23,0,57,10,15,3,7,23,29,3,86,4,12,5,7,12,14,0,61,0,3,0,0,4,5,0,17,0,0,0,0,0,0,4,3,41,56,17,19,140,122,16,405,0,0,0,0,7,10,0,19,13,0,0,3,61,43,0,121,35,35,8,7,209,224,33,549,58,72,27,21,349,429,37,999,46,48,19,14,364,394,61,951
SOS60,2491,378,27,13,2202,276,0,5386,2287,1088,142,48,2390,349,53,6359,4747,4512,855,402,5561,1093,139,17311,3152,4348,1234,468,2446,733,42,12417,2824,4257,1034,362,2019,569,21,11078,2587,3700,1033,435,2370,458,19,10611,1635,2863,1235,575,2431,442,22,9198,775,1302,611,398,1719,352,7,5165,229,326,138,100,837,158,4,1787,20725,22773,6320,2793,21975,4420,300,79311,2403,528,63,43,1816,263,6,5120,2160,1601,315,186,1656,294,9,6227,3318,5118,1916,1659,4120,830,28,16985,1725,4513,2633,2045,1569,580,10,13073,1510,4858,2485,1225,1506,440,20,12046,1514,4376,2329,1248,2039,426,38,11972,890,2810,2409,1667,2429,491,22,10716,528,1360,1084,919,2227,467,13,6599,358,434,225,180,1578,295,4,3070,14409,25598,13456,9168,18937,4083,154,85810,4901,899,87,53,4015,533,6,10503,4447,2694,458,230,4044,645,69,12586,8061,9632,2772,2061,9676,1916,169,34293,4873,8862,3866,2515,4012,1315,51,25494,4336,9113,3525,1585,3520,1005,34,23122
SOS61,2576,411,36,19,2782,421,3,6246,2143,1107,144,81,2491,423,57,6454,4007,4013,845,387,4262,895,51,14471,2967,4011,1110,534,2466,679,38,11801,3186,4132,1044,504,2899,666,11,12439,3095,4090,1223,583,3607,667,15,13282,1928,3171,1576,900,3824,715,10,12113,905,1514,820,659,2775,550,7,7225,256,330,172,132,1150,295,4,2333,21055,22775,6967,3795,26263,5297,198,86367,2620,654,85,45,2195,366,5,5973,1796,1676,410,315,1735,367,8,6314,2195,4595,2155,2227,2694,741,71,14682,1240,4235,2790,2408,1639,604,19,12926,1643,5081,2870,1669,2086,585,16,13946,1575,4862,2850,1860,3005,623,13,14776,943,2954,2839,2494,3821,736,12,13805,626,1396,1256,1388,3411,750,9,8838,337,490,257,203,2115,448,7,3862,12969,25945,15515,12603,22702,5231,155,95124,5199,1062,119,59,4976,787,11,12214,3944,2789,556,403,4229,793,69,12764,6197,8612,3002,2619,6962,1639,124,29152,4205,8249,3898,2941,4100,1281,53,24730,4831,9209,3913,2172,4985,1256,28,26388
SOS62,330,41,0,10,271,77,0,728,248,109,20,10,240,56,3,679,471,487,90,56,352,104,17,1576,407,585,177,67,287,99,10,1636,471,699,222,102,365,121,0,1992,548,776,297,147,596,158,0,2530,344,698,361,247,631,166,0,2450,139,273,157,158,405,122,0,1256,29,39,25,22,127,53,0,298,2986,3707,1365,814,3281,956,46,13150,312,72,10,3,228,49,0,671,174,155,32,31,159,32,0,590,222,496,268,289,217,101,9,1600,174,520,390,360,136,98,3,1679,217,750,421,307,230,114,0,2031,252,834,561,410,435,136,4,2637,133,537,545,476,493,150,8,2336,86,170,178,211,388,136,0,1171,31,42,25,24,208,65,0,399,1591,3582,2442,2120,2489,879,19,13118,644,111,13,7,495,120,0,1401,419,266,51,41,399,90,8,1273,693,983,363,347,572,202,21,3179,580,1104,567,428,426,190,14,3315,689,1452,644,408,591,235,0,4026
SOS63,1356,308,38,8,1142,275,0,3123,842,406,59,31,882,149,9,2381,1498,1473,426,204,1197,379,34,5210,1415,2136,782,344,898,397,13,5993,1779,2745,874,412,1332,467,13,7630,2017,3043,1141,670,1960,565,7,9405,1206,2197,1200,872,1850,503,3,7827,419,682,454,405,924,274,5,3167,81,104,49,45,239,71,5,591,10617,13098,5023,2995,10428,3072,89,45324,1322,351,52,12,797,217,0,2746,670,562,111,112,522,143,3,2118,706,1634,916,934,639,375,16,5219,554,2131,1495,1396,419,385,7,6385,745,2901,1761,1213,755,393,3,7761,770,2947,2187,1574,1055,474,4,9014,374,1437,1635,1534,1091,407,0,6485,165,431,432,563,665,225,0,2469,86,80,58,64,216,69,0,565,5386,12469,8645,7396,6155,2676,41,42774,2678,659,87,20,1933,481,0,5864,1516,973,168,141,1402,294,12,4502,2205,3104,1339,1139,1840,747,47,10426,1970,4269,2278,1746,1317,784,23,12382,2526,5642,2635,1626,2089,861,20,15396
SOS67,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,9,5,10,0,0,18,25,3,58,7,3,4,5,27,24,3,67,7,10,0,0,29,22,0,71,10,7,8,0,20,20,0,63,3,7,0,0,9,0,0,25,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,26,33,10,3,112,102,8,296,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,4,0,0,3,0,0,13,0,3,0,0,4,3,0,16,5,0,0,0,3,4,0,18,0,9,0,6,0,3,0,11,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,8,5,15,13,0,75,0,0,0,0,3,0,0,5,3,0,0,0,9,0,0,15,4,9,0,0,21,25,3,69,9,4,3,5,31,30,4,78,6,11,0,0,36,31,0,90
SOS70,1328,334,32,17,1332,369,89,3492,1240,728,103,41,1827,741,1096,5770,2963,2913,579,253,3832,1841,505,12888,2231,3049,852,411,2288,1432,153,10412,1916,2559,648,284,1880,1224,68,8585,1601,2108,546,271,1843,1017,72,7457,1022,1343,512,249,1666,708,32,5539,315,416,171,90,690,239,7,1928,35,57,18,18,177,54,0,364,12660,13508,3465,1636,15543,7623,2027,56444,1318,447,64,28,1116,351,12,3331,1031,952,209,128,1287,480,114,4207,2469,3575,1335,1279,2967,1513,167,13310,1340,3264,1740,1480,1720,1167,46,10752,1209,2889,1297,723,1326,982,24,8441,1005,2324,1118,622,1406,862,73,7408,560,1312,848,574,1256,569,44,5167,187,367,265,183,613,233,8,1858,62,58,26,10,205,76,8,448,9181,15194,6898,5025,11900,6223,491,54913,2648,781,94,39,2449,718,99,6828,2269,1683,314,165,3109,1220,1217,9975,5431,6491,1919,1532,6803,3351,675,26196,3572,6313,2595,1892,4015,2598,199,21165,3122,5453,1946,1013,3206,2203,84,17025
