SOS_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
SOS10,41490,152487,333696,316114,231179,168966,117638,50792,13987,1426354,6684,10875,18816,16899,16466,13851,8388,4594,1316,97895,12255,14558,41421,43675,68312,81062,51260,29176,8688,350408,2330,2299,6135,7650,10317,13488,17671,13108,4805,77803,525,773,3570,5143,6934,11222,16928,16059,7881,69043,147,742,3423,3469,3948,5456,5081,3867,2150,28277,7208,11623,28890,23731,17864,15526,13845,12609,8041,139335,70637,193356,435949,416677,355016,309580,230817,130207,46871,2189119,45227,154719,367817,344541,255089,175792,107660,44562,14794,1510200,4494,7441,14533,13926,15805,13439,8941,5350,1954,85878,6757,9085,28352,32289,63121,86840,71560,42422,16239,356668,1328,1309,4493,6053,9180,14798,22844,17002,9062,86068,308,488,2421,4119,6722,13280,22245,20831,13277,83677,109,481,2748,3203,4860,7319,7610,6701,4617,37632,6458,9449,25525,20774,15558,14372,15286,15948,15487,138859,64673,182969,445880,424902,370344,325832,256149,152813,75424,2298989,86713,307207,701509,660649,486269,344762,225304,95356,28784,2936555,11180,18322,33349,30821,32271,27288,17335,9945,3265,183776,19014,23644,69774,75963,131435,167899,122827,71600,24928,707076,3654,3608,10628,13703,19497,28285,40514,30112,13873,163872
SOS11,7460,24124,50434,45754,37470,28938,30704,14634,3985,243498,3397,5189,8023,7322,7092,6175,4893,2609,731,45430,6562,7871,21941,21262,30384,41637,30421,16431,4212,180706,1678,1438,3208,3656,5081,8044,12136,9064,2870,47180,407,341,1188,1601,2304,4488,8311,7231,3647,29514,46,85,370,379,433,496,537,422,195,2966,3043,3783,8742,7666,7067,6656,6692,5819,3113,52578,22590,42829,93909,87639,89833,96424,93698,56197,18761,601880,9179,28537,64390,59425,48083,36402,28312,13955,4571,292858,2406,3923,6978,6706,7386,7321,5326,3197,1020,44262,4372,5340,16043,16339,28508,43933,39495,23453,8198,185687,1051,874,2686,2867,4489,8194,13757,10247,5373,49541,262,233,814,1072,1533,3722,7239,6939,5740,27555,38,83,330,349,409,470,500,419,307,2904,2735,2867,6561,5851,5441,5811,6941,7583,5895,49685,20051,41862,97805,92601,95854,105860,101574,65798,31097,652495,16642,52667,114829,105178,85558,65336,59010,28587,8555,536361,5801,9109,15000,14024,14479,13499,10224,5807,1754,89696,10933,13216,37986,37600,58893,85567,69914,39880,12408,366396,2736,2313,5896,6519,9576,16236,25898,19309,8242,96721
SOS12,638,1865,3489,3797,3781,3525,3552,1362,252,22258,291,397,611,662,738,680,561,235,45,4230,617,731,1942,2223,3474,5053,3641,1566,276,19521,146,110,283,332,561,993,1424,846,205,4892,47,32,103,139,245,591,987,738,290,3180,9,10,18,16,30,47,48,58,13,238,338,276,656,692,784,926,980,591,232,5478,2082,3427,7098,7860,9609,11811,11194,5395,1310,59797,795,2143,4749,5373,5079,4307,3150,1074,228,26909,233,290,497,555,757,814,519,239,62,3969,352,424,1284,1478,3072,4886,4019,1753,420,17690,105,65,217,237,444,916,1388,791,306,4473,21,11,48,59,139,362,734,574,374,2325,9,0,15,15,22,16,34,31,14,161,287,262,593,651,661,783,871,636,327,5073,1803,3203,7411,8376,10180,12079,10712,5096,1738,60594,1435,4013,8235,9177,8861,7829,6704,2428,477,49165,528,684,1111,1217,1495,1496,1079,473,109,8197,970,1157,3232,3700,6546,9936,7659,3319,697,37213,252,180,497,573,999,1910,2810,1638,506,9371
SOS13,3150,8259,12549,14492,17003,15986,15056,5239,892,92613,1220,1469,2034,2274,2587,2664,1950,765,133,15091,2912,2767,6851,8792,14844,19963,12254,4886,854,74117,611,420,828,1241,2179,3537,4832,2809,528,16980,120,60,333,467,843,1935,3472,2442,910,10578,18,20,86,93,103,163,180,174,74,905,1432,1458,3105,3299,3728,4243,3731,2084,583,23667,9462,14450,25783,30657,41290,48477,41475,18399,3964,233957,3731,8939,17119,21314,23100,19140,12694,4278,791,111106,748,843,1524,1869,2696,2944,1833,728,128,13305,1317,1344,3889,5027,11305,17122,12522,4926,1115,58559,277,140,471,658,1368,2580,3677,2102,618,11893,46,27,137,202,406,1115,1960,1600,821,6307,7,10,37,47,69,100,152,142,97,661,1200,1032,2204,2690,3182,3560,2990,1798,698,19354,7321,12334,25389,31808,42129,46553,35814,15565,4270,221186,6879,17193,29669,35806,40106,35115,27747,9519,1682,203723,1971,2308,3561,4139,5281,5607,3782,1490,260,28400,4229,4111,10745,13820,26145,37082,24772,9810,1967,132681,888,559,1298,1904,3548,6113,8509,4919,1141,28872
SOS17,0,0,0,0,4,5,0,0,0,9,0,0,0,0,4,3,0,0,0,6,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,12,0,0,0,0,4,0,0,0,0,8,0,0,0,0,3,0,0,0,0,14,0,0,0,0,5,0,0,0,0,3
SOS20,34460,139424,310847,281736,197495,133696,92851,39902,11283,1241687,5431,10143,22957,20948,37928,41427,22313,8722,2453,172322,6028,8755,25308,26757,35426,40785,29144,16975,5209,194390,1854,1919,6397,7447,10607,13531,13857,10286,3514,69418,867,1117,3947,5381,6091,9033,15066,19171,10172,70849,188,875,3478,3603,3809,4402,4097,3594,1915,25956,5636,9209,23447,18157,14325,11774,10414,9429,5625,108020,54464,171446,396380,364029,305676,254653,187742,108077,40174,1882642,37564,141736,340578,311019,230384,149918,91034,36132,12960,1351327,3297,6415,15645,14611,33120,44040,27965,12712,4233,162043,3194,5075,15606,16828,26725,37307,37994,23179,9001,174910,1005,1164,3851,5123,8399,13259,17173,12542,6386,68902,470,716,3033,4704,6617,10887,22432,28348,17592,94801,122,582,2883,3743,4695,5978,6094,6053,4090,34249,5112,7650,21085,16695,12843,11179,12041,12186,10765,109561,50769,163348,402678,372720,322783,272575,214738,131144,65034,1995793,72025,281160,651423,592754,427876,283619,183889,76030,24240,2593016,8724,16559,38606,35558,71045,85469,50275,21433,6689,334364,9224,13830,40916,43584,62150,78091,67132,40156,14209,369300,2852,3083,10244,12568,19005,26797,31033,22824,9901,138317
SOS21,4716,16151,35401,33482,24868,17559,17398,7532,1932,159038,2162,3777,7838,7050,11206,13338,8809,2898,698,57782,2485,3178,9280,9199,11865,15380,13018,6678,1651,72729,801,768,2554,2814,3708,5414,6488,4660,1342,28549,340,310,1133,1267,1412,2325,4512,5696,2955,19954,36,113,412,428,502,470,356,299,158,2771,1605,1644,4042,3817,3732,3744,3857,3457,1909,27793,12143,25936,60657,58057,57294,58227,54440,31226,10645,368622,5452,18168,46206,44296,34086,24208,17492,7216,2407,199519,1193,2281,5682,5422,10975,15396,10941,4359,1240,57493,1328,2026,6009,6289,9244,13735,15175,8740,3046,65596,456,422,1524,1619,2793,5164,7101,4939,2243,26265,178,203,686,802,1125,2190,4911,6371,4885,21351,23,92,330,405,465,453,415,407,228,2829,1464,1466,3868,3708,3365,3490,4313,4565,3667,29908,10093,24669,64307,62532,62059,64647,60343,36598,17715,402957,10158,34315,81605,77777,58956,41762,34893,14749,4337,358558,3360,6062,13518,12469,22181,28734,19755,7257,1937,115272,3812,5205,15286,15487,21112,29110,28192,15423,4699,138325,1253,1193,4075,4431,6502,10581,13589,9594,3589,54812
SOS22,428,1434,2629,2783,2585,2219,2372,842,187,15483,176,300,706,685,1189,1632,1140,334,54,6224,230,261,780,919,1324,2129,1616,692,122,8069,90,58,219,278,447,812,830,514,137,3375,25,21,87,85,145,277,519,572,246,1981,6,0,10,15,15,22,29,20,6,122,197,218,401,417,511,593,652,379,178,3544,1153,2296,4835,5183,6209,7674,7155,3349,930,38797,584,1581,3587,3902,3641,3109,2226,746,216,19598,116,170,432,484,1085,1840,1102,396,95,5727,102,145,451,514,955,1601,1553,747,223,6291,37,30,105,138,251,564,742,423,155,2443,20,8,32,51,88,196,417,520,373,1698,0,5,21,11,16,12,19,23,11,117,202,209,355,428,452,572,495,417,323,3457,1057,2150,4980,5531,6492,7905,6562,3272,1392,39332,1011,3018,6215,6688,6222,5335,4599,1588,405,35081,293,474,1136,1175,2277,3469,2244,729,152,11945,329,407,1230,1430,2281,3726,3172,1440,345,14360,124,87,321,417,703,1373,1568,937,293,5813
SOS23,2230,6442,9560,11305,12082,10878,10426,3502,524,66942,1020,1392,2606,3063,6421,8082,5055,1326,198,29162,1241,1373,3930,5062,6969,9650,7161,2817,451,38661,350,306,898,1279,2145,3315,3529,1946,355,14121,132,88,317,425,648,1208,2177,2310,830,8134,19,33,63,78,90,85,100,141,66,666,977,811,1756,2093,2597,2962,2687,1500,417,15794,5972,10441,19131,23301,30948,36177,31137,13545,2834,173486,2571,6804,13402,16948,18139,15176,9817,2771,556,86194,455,657,1554,1906,5463,7939,4925,1479,247,24631,512,545,1563,2095,4064,6333,5648,2457,547,23759,165,109,322,492,1039,2172,2465,1283,384,8432,72,31,143,155,290,674,1509,1679,727,5274,12,15,51,32,59,74,94,102,76,515,910,666,1422,1809,2265,2547,2218,1356,446,13646,4697,8836,18460,23441,31311,34917,26677,11132,2981,162457,4799,13246,22960,28257,30223,26053,20242,6278,1079,153136,1478,2052,4161,4968,11880,16025,9980,2806,445,53793,1754,1920,5494,7157,11028,15988,12810,5274,1000,62417,516,422,1223,1772,3183,5478,5990,3229,739,22559
SOS27,0,4,6,23,26,8,0,0,0,71,0,0,0,11,13,13,0,0,0,36,0,0,3,8,16,19,0,0,0,47,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,19,90,121,93,13,0,0,339,0,4,30,131,163,141,16,0,0,493,0,0,5,5,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,13,16,0,0,0,49,0,0,17,14,18,24,0,0,0,72,0,4,16,30,26,15,0,0,0,86,0,0,0,11,11,14,0,0,0,38,0,0,3,8,16,17,0,0,0,49,0,0,0,0,0,5,0,0,0,5
