SOS_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOS10,3545,8164,20331,18778,17488,13002,3710,530,26,85563,3857,11858,34196,30861,23915,16215,4701,1055,240,126888,112486,246715,648946,633355,532628,373322,100682,12375,1040,2661549
SOS11,1680,2882,6448,5284,5088,4123,1360,212,25,27106,1771,2619,5815,5280,5019,4136,1475,498,145,26758,44900,59386,143226,136912,137562,117909,33997,4431,438,678763
SOS12,159,271,475,485,583,446,158,8,0,2589,198,213,470,525,601,544,229,46,14,2827,4033,4686,10599,12374,14623,13500,3944,511,48,64316
SOS13,846,949,1650,1779,2231,1864,567,72,3,9970,933,936,1656,1968,2691,2354,1078,483,80,12164,18019,19368,37367,47543,63876,59257,23407,5288,652,274771
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,12,4,0,0,35
SOS20,2316,8037,21191,18549,16903,12207,3501,501,41,83233,3370,10876,31288,27391,22101,15080,4271,937,226,115540,106147,233954,622096,580332,484334,332427,88762,10628,825,2459511
SOS21,804,1763,4181,3493,3227,2656,910,127,8,17176,909,1530,3970,3723,3640,2783,980,277,86,17890,26418,36704,95042,92897,90375,75007,21171,2523,243,440377
SOS22,86,143,340,293,321,297,92,12,0,1588,106,154,305,310,410,345,132,53,10,1820,2425,3275,7569,8232,9552,9154,2788,337,24,43347
SOS23,492,693,1273,1329,1671,1504,519,55,0,7538,655,703,1221,1449,2055,1866,901,420,71,9343,12902,14363,28270,36115,48377,46652,18397,4056,501,209629
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,15,0,4,16,44,56,44,5,0,0,170
SOS30,3301,7649,17200,14996,13395,9148,2632,354,22,68699,3819,8432,19470,18182,14920,9841,2879,680,152,78379,105414,176074,403596,399451,366146,249898,64658,7364,516,1773114
SOS31,1141,1945,4048,3418,3171,2459,754,88,3,17038,1226,1797,3914,3510,3435,2559,850,259,74,17626,27707,35221,84184,83800,84410,68628,17781,2040,193,403966
SOS32,132,202,435,408,425,419,127,13,0,2159,186,182,471,511,560,575,217,52,6,2765,3212,3967,9452,10931,13060,12507,3509,450,31,57114
SOS33,703,726,1370,1550,1675,1501,447,50,0,8030,796,774,1454,1778,2400,1940,855,379,69,10442,13583,14171,30810,39654,51010,45370,15438,3379,359,213770
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,3,19,27,27,17,6,0,0,99
SOS40,886,2497,5799,4879,4811,3644,1132,160,10,23821,739,2080,4675,4313,3761,2699,862,272,73,19466,30412,58322,137826,131917,119063,91466,23439,2697,223,595366
SOS41,282,596,1296,1109,1157,900,359,50,0,5750,271,420,921,882,961,857,302,147,22,4768,9182,12425,28851,28625,31394,26837,7459,1002,75,145857
SOS42,38,81,163,138,168,169,61,8,3,830,42,52,134,126,175,170,59,29,3,794,1143,1487,3632,3809,4606,4934,1576,221,22,21432
SOS43,183,230,414,436,573,513,165,21,0,2535,190,195,330,389,568,561,305,119,16,2667,4220,4950,10460,13324,17199,16697,6196,1267,119,74441
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,22
SOS50,2021,4328,9807,8553,7329,5403,1747,235,15,39442,2186,4696,11369,11163,9290,6340,2013,439,100,47593,55182,93507,224191,231089,203550,148292,41198,4597,334,1001946
SOS51,500,811,1705,1538,1435,1033,307,36,0,7370,488,676,1561,1557,1465,1144,399,110,21,7419,11292,13692,37405,40221,39013,31089,8654,994,73,182442
SOS52,51,78,168,142,170,166,51,3,0,840,77,85,202,193,230,221,105,34,11,1159,1077,1699,4747,4858,5323,5483,1716,258,26,25180
SOS53,224,264,507,592,630,568,175,12,0,2977,233,264,489,599,798,747,333,122,16,3611,4258,6316,16051,19113,22971,21014,7188,1373,147,98440
SOS57,0,0,5,0,5,0,0,0,0,11,0,9,44,78,68,33,0,0,0,242,10,71,297,516,486,267,40,8,0,1697
SOS60,109,313,998,722,592,491,157,34,0,3424,92,216,729,427,410,293,107,30,8,2308,4177,8342,26065,20036,18112,13999,3930,450,32,95146
SOS61,184,445,996,751,719,597,172,18,0,3888,139,276,612,507,495,435,174,52,18,2703,5521,8792,21684,18585,19367,16608,4206,446,48,95263
SOS62,20,34,115,80,100,93,28,0,0,474,18,29,62,91,81,82,30,16,4,410,621,894,2406,2554,2988,2960,866,115,8,13402
SOS63,116,172,313,384,424,324,110,9,0,1847,89,108,232,285,367,329,159,71,19,1649,2652,3287,7816,9786,11742,11060,3393,593,59,50394
SOS67,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,58,76,70,53,12,0,0,277
SOS70,124,214,711,610,434,342,104,8,0,2546,125,309,791,630,452,326,115,20,8,2782,2974,6116,19078,15969,12651,9084,2655,238,20,68792
SOS71,38,71,232,215,149,149,41,3,0,897,56,70,256,186,151,100,41,6,0,880,891,1467,5877,4878,4007,3456,1004,87,0,21677
SOS72,19,15,52,74,57,45,21,4,0,278,16,38,50,51,55,47,14,4,0,280,254,589,1713,1693,1580,1470,448,40,0,7785
SOS73,43,62,135,118,152,121,39,3,0,674,57,75,142,145,163,130,62,8,0,776,919,1395,3496,3539,4102,3406,1005,108,7,17978
SOS77,0,0,0,0,0,0,0,0,0,0,0,4,0,6,11,13,4,0,0,39,0,17,42,59,79,62,11,0,0,282
SOS80,470,947,1782,1494,1265,803,289,39,0,7092,204,561,1568,1123,743,413,123,33,13,4787,12898,26389,64807,59524,47465,28384,7343,858,76,247742
SOS82,0,6,3,3,3,4,0,0,0,15,0,0,0,0,0,0,0,0,0,10,26,26,46,88,93,45,15,5,0,332
SOS83,0,0,0,0,3,0,0,0,0,9,0,4,0,0,0,0,0,0,0,8,31,67,106,53,50,46,26,3,0,378
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,7,9,0,6,3,0,0,18,0,4,10,3,8,12,10,0,0,43,30,37,158,156,164,149,79,0,0,777
SOS92,0,0,8,3,8,9,5,0,0,37,4,5,7,10,8,14,3,0,0,61,89,120,236,242,268,355,130,29,0,1470
SOS93,0,0,0,0,0,4,0,0,0,12,0,0,3,3,4,0,5,0,0,21,15,23,55,61,90,71,46,10,0,361
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
