SOS_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
SOS33,2573,8535,108,11210,59660,7767,92,78733,503,6249,31,6786,51617,5664,112,64173,106,1025,9,1142,23131,2582,38,26888,16,54,4,66,4523,568,3,5166,66394,24450,2664,93503,253517,45771,1732,394529
SOS37,0,0,0,4,14,16,0,34,0,0,0,0,8,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,14,118,220,24,380
SOS40,6666,19775,279,26718,115387,4702,400,147206,1358,24902,121,26384,91762,4217,415,122775,281,5230,20,5538,63045,3800,132,72511,34,285,5,323,30265,2666,42,33295,196736,72433,7361,276521,706534,42152,2208,1027419
SOS41,1438,6150,80,7664,34567,2236,58,44528,319,5857,22,6194,34558,2158,55,42956,71,1065,5,1140,23788,1895,18,26839,6,51,0,65,9464,1095,11,10636,48653,19907,2415,70981,189338,17039,793,278149
SOS42,223,1164,12,1399,6424,619,11,8455,45,856,8,909,6566,667,7,8150,12,129,0,140,3602,414,0,4153,0,9,0,9,1351,250,0,1601,6591,3441,465,10497,29343,3648,42,43526
SOS43,813,3509,24,4355,19372,1986,15,25719,162,2930,19,3109,15489,1511,27,20137,34,433,0,471,7002,765,12,8252,3,17,0,20,1486,207,3,1723,21889,9842,982,32705,80173,11388,386,124656
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,22,8,7,40
SOS50,11143,32235,491,43879,169593,8152,910,222529,2308,36457,188,38958,130541,7031,788,177310,468,7693,53,8215,82960,6756,267,98207,69,426,0,493,34077,5311,78,39957,344804,118099,14444,477344,1055545,79591,4837,1617314
SOS51,1679,6122,80,7882,37329,4759,124,50096,279,4748,22,5054,32307,3304,89,40752,83,809,7,894,17784,1995,35,20711,9,50,0,63,6204,1169,7,7447,61880,20131,3652,85656,199333,33881,1167,320040
SOS52,267,1023,24,1318,7377,1277,7,9975,64,786,16,866,6866,1085,15,8829,7,129,3,141,3283,568,0,3999,0,15,3,14,908,185,0,1114,8241,3932,806,12978,33725,7496,195,54391
SOS53,1057,3693,57,4803,23966,4914,75,33753,172,2804,22,2999,18375,2413,40,23823,39,383,7,420,7334,907,12,8679,4,14,5,26,1479,155,5,1662,26943,10658,1411,39009,103039,31797,733,174575
SOS57,9,15,0,30,290,221,29,560,0,15,0,15,103,56,0,178,0,3,0,3,19,12,0,32,0,0,0,0,0,0,4,3,310,58,9,371,1489,1380,164,3410
