SOS_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_mo_con_0_14,M_1_mo_con_15_24,M_1_mo_con_25_34,M_1_mo_con_35_44,M_1_mo_con_45_54,M_1_mo_con_55_64,M_1_mo_con_65_74,M_1_mo_con_75_84,M_1_mo_con_85_over,M_1_mo_con_Tot,M_2_mo_con_0_14,M_2_mo_con_15_24,M_2_mo_con_25_34,M_2_mo_con_35_44,M_2_mo_con_45_54,M_2_mo_con_55_64,M_2_mo_con_65_74,M_2_mo_con_75_84,M_2_mo_con_85_over,M_2_mo_con_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_OM_Lterm_Health_Tot_0_14,M_OM_Lterm_Health_Tot_15_24,M_OM_Lterm_Health_Tot_25_34,M_OM_Lterm_Health_Tot_35_44,M_OM_Lterm_Health_Tot_45_54,M_OM_Lterm_Health_Tot_55_64,M_OM_Lterm_Health_Tot_65_74,M_OM_Lterm_Health_Tot_75_84,M_OM_Lterm_Health_Tot_85_ov,M_OM_Lterm_Health_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_mo_con_0_14,F_1_mo_con_15_24,F_1_mo_con_25_34,F_1_mo_con_35_44,F_1_mo_con_45_54,F_1_mo_con_55_64,F_1_mo_con_65_74,F_1_mo_con_75_84,F_1_mo_con_85_over,F_1_mo_con_Tot,F_2_mo_con_0_14,F_2_mo_con_15_24,F_2_mo_con_25_34,F_2_mo_con_35_44,F_2_mo_con_45_54,F_2_mo_con_55_64,F_2_mo_con_65_74,F_2_mo_con_75_84,F_2_mo_con_85_over,F_2_mo_con_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_OM_Lterm_Health_Tot_0_14,F_OM_Lterm_Health_Tot_15_24,F_OM_Lterm_Health_Tot_25_34,F_OM_Lterm_Health_Tot_35_44,F_OM_Lterm_Health_Tot_45_54,F_OM_Lterm_Health_Tot_55_64,F_OM_Lterm_Health_Tot_65_74,F_OM_Lterm_Health_Tot_75_84,F_OM_Lterm_Health_Tot_85_ov,F_OM_Lterm_Health_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_mo_con_0_14,P_1_mo_con_15_24,P_1_mo_con_25_34,P_1_mo_con_35_44,P_1_mo_con_45_54,P_1_mo_con_55_64,P_1_mo_con_65_74,P_1_mo_con_75_84,P_1_mo_con_85_over,P_1_mo_con_Tot,P_2_mo_con_0_14,P_2_mo_con_15_24,P_2_mo_con_25_34,P_2_mo_con_35_44,P_2_mo_con_45_54,P_2_mo_con_55_64,P_2_mo_con_65_74,P_2_mo_con_75_84,P_2_mo_con_85_over,P_2_mo_con_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_OM_Lterm_Health_Tot_0_14,P_OM_Lterm_Health_Tot_15_24,P_OM_Lterm_Health_Tot_25_34,P_OM_Lterm_Health_Tot_35_44,P_OM_Lterm_Health_Tot_45_54,P_OM_Lterm_Health_Tot_55_64,P_OM_Lterm_Health_Tot_65_74,P_OM_Lterm_Health_Tot_75_84,P_OM_Lterm_Health_Tot_85_ov,P_OM_Lterm_Health_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
SOS10,451239,281072,341604,317801,246743,178822,97840,39130,10322,1964585,45750,44995,51841,57498,63813,75464,69912,40660,13658,463587,2148,4382,6714,8698,13637,23266,30773,23229,9079,121930,107,319,803,1706,4268,10511,17850,17478,8152,61208,48007,49702,59358,67904,81722,109237,118540,81366,30889,646722,40026,29038,35600,31388,27009,21934,14799,9870,5718,215374,539273,359810,436562,417097,355471,309996,231178,130366,46929,2826682,438628,250490,333100,314540,248620,184252,109603,44179,14189,1937609,31759,55068,66739,65301,71089,79460,77707,49480,22483,519096,1619,8393,12706,13309,19084,27706,33747,27682,15170,159409,69,528,1554,3278,7400,13998,19576,19768,13425,79591,33453,63983,80997,81893,97577,121172,131021,96924,51074,758092,37476,24874,32214,28881,24595,20945,15969,11935,10240,207136,509554,339354,446312,425318,370790,326362,256602,153035,75503,2902836,889872,531565,674705,632346,495365,363076,207449,83313,24517,3902192,77510,100057,118585,122806,134904,154922,147625,90135,36139,982676,3768,12776,19421,22006,32721,50978,64517,50910,24253,281333,179,851,2356,4989,11671,24511,37425,37243,21581,140799,81462,113682,140359,149800,179296,230410,249565,178293,81964,1404812,77498,53918,67813,60270,51603,42880,30767,21810,15959,422512
SOS11,113312,61839,63867,56428,53170,46624,33402,14631,3685,446943,17970,14899,15900,16794,19460,25675,28592,17202,5322,161812,1378,2061,2781,3593,5486,10084,14783,10819,3858,54847,64,181,431,877,2243,5589,10216,9148,3833,32586,19410,17142,19112,21261,27186,41353,53592,37172,13019,249239,15606,10273,10989,10006,9543,8513,6738,4424,2070,78154,148331,89248,93964,87688,89902,96489,93730,56225,18767,774346,112321,53822,60880,55643,53078,49791,36934,16668,5244,444377,13565,19238,21828,20864,22704,28110,31073,21029,9333,187744,1088,3986,5681,6110,8106,12308,15946,12575,6574,72373,63,304,867,1837,4118,7902,10831,10088,6345,42350,14716,23531,28376,28815,34933,48313,57847,43694,22248,302468,14718,8556,8595,8199,7901,7795,6837,5471,3625,71705,141749,85907,97851,92656,95908,105899,101618,65831,31111,818547,225627,115657,124744,112069,106252,96412,70337,31301,8922,891324,31542,34138,37730,37654,42169,53784,59665,38233,14647,349551,2462,6048,8466,9703,13590,22396,30734,23390,10432,127217,129,483,1296,2716,6359,13490,21045,19237,10177,74935,34128,40672,47491,50073,62118,89663,111442,80863,35261,551708,30327,18822,19586,18206,17440,16308,13575,9898,5693,149858
SOS12,10805,5540,4928,5177,5898,5819,4150,1460,298,44066,1531,1207,1129,1440,2003,3107,3334,1699,369,15826,113,161,188,291,517,1167,1629,967,220,5240,0,12,43,77,186,616,1096,799,246,3078,1645,1383,1362,1798,2701,4889,6059,3462,839,24141,1439,894,816,891,1015,1110,979,476,174,7793,13891,7816,7099,7866,9614,11817,11194,5401,1310,76002,10385,4794,4676,5135,5804,5874,4027,1301,318,42311,1197,1428,1557,1801,2247,3110,3169,1652,513,16676,90,277,390,469,835,1307,1612,943,329,6264,0,25,77,138,374,782,996,729,338,3451,1286,1726,2029,2406,3458,5199,5773,3331,1180,26394,1442,848,710,842,924,1005,913,467,240,7384,13116,7363,7412,8382,10180,12078,10718,5096,1738,76095,21188,10333,9601,10307,11705,11693,8176,2758,622,86379,2731,2640,2688,3238,4253,6220,6501,3353,883,32501,200,435,579,759,1349,2474,3239,1911,556,11507,8,35,119,217,557,1399,2091,1527,591,6535,2930,3107,3392,4209,6161,10089,11838,6791,2018,50536,2890,1734,1524,1731,1932,2110,1898,945,409,15181
SOS13,42103,25205,17876,20600,26279,25964,16869,5605,931,181429,5125,4181,3628,4936,7877,11635,12113,5631,1179,56296,304,427,528,846,1760,3877,5466,3002,766,16979,22,28,48,212,617,1788,3092,2291,635,8740,5448,4637,4206,5992,10254,17298,20665,10924,2577,82017,5682,4123,3714,4078,4776,5226,3949,1872,457,33876,53225,33965,25797,30672,41314,48497,41486,18403,3967,297322,40045,20866,16763,20590,25723,24506,14926,4885,924,169228,3690,4949,4720,5965,8698,11332,10337,4772,1321,55775,196,774,1036,1432,2499,4236,4611,2580,855,18218,8,56,140,371,986,2085,2558,1692,676,8583,3896,5774,5898,7764,12174,17654,17509,9047,2862,82577,5294,3180,2738,3470,4253,4403,3394,1644,493,28866,49234,29820,25400,31819,42148,46562,35829,15570,4270,280662,82143,46073,34647,41185,52003,50469,31798,10492,1853,350656,8811,9130,8344,10898,16565,22966,22452,10397,2495,112069,506,1198,1565,2276,4256,8113,10076,5583,1622,35196,29,84,196,581,1606,3872,5652,3990,1318,17321,9348,10409,10107,13757,22426,34955,38179,19975,5437,164593,10971,7300,6450,7543,9026,9631,7340,3512,947,62736
SOS17,0,0,0,4,17,5,0,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,14,5,0,0,0,26,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0
SOS20,383352,243779,302869,271395,208446,145960,79682,32459,8956,1676893,39791,41497,54440,56585,58482,63247,57083,33959,11775,416850,2056,4235,7803,9110,12610,19483,25131,19477,8048,107965,114,300,854,1679,3991,8840,14724,14828,7673,53001,41963,46033,63092,67375,75085,91569,96942,68260,27500,577820,32304,23908,30858,25632,22465,17381,11344,7455,3753,175101,457620,313717,396822,364402,305992,254908,187964,108178,40212,2429817,373925,215685,288166,267260,210824,150792,89359,37085,12042,1645130,27408,52662,70726,64693,66203,68726,65984,43020,19589,478999,1510,8919,14939,14200,18473,24686,29772,24470,13990,150971,77,510,1656,3033,6731,11980,17120,17645,13021,71764,28992,62089,87321,81918,91406,105394,112870,85133,46599,701735,30567,20919,27501,23870,20866,16706,12775,9034,6445,168683,433478,298690,402991,373049,323095,272896,215000,131252,65082,2515545,757271,459462,591038,538653,419266,296757,169031,69543,21002,3322020,67194,94157,125164,121272,124687,131973,123068,76980,31359,895853,3570,13152,22753,23313,31086,44171,54905,43948,22045,258936,190,812,2511,4717,10721,20816,31844,32467,20698,124767,70956,108120,150415,149294,166489,196968,209817,153393,74098,1279554,62871,44823,58362,49502,43332,34088,24116,16493,10197,343783
SOS21,74947,38894,42546,38548,34899,29461,20043,7946,2166,289449,10921,8950,10534,11291,12438,15152,16757,9510,3012,98561,819,1248,1783,2284,3469,5752,8217,6067,2057,31697,34,99,276,563,1305,3151,5622,5181,2141,18374,11775,10294,12601,14139,17206,24065,30590,20752,7211,148629,9204,5309,5558,5414,5236,4742,3829,2544,1271,43104,95924,54496,60709,58097,57343,58262,54465,31244,10646,481190,73486,33116,40589,38365,34727,30905,21889,9175,3101,285344,8040,11085,14300,13854,14651,17151,18413,11716,5254,114468,653,2291,3753,4050,5365,7486,9421,7070,3643,43725,31,177,575,1202,2520,4691,6481,5522,3494,24686,8719,13552,18628,19110,22531,29323,34310,24310,12394,182878,8746,4618,5118,5099,4843,4451,4163,3139,2235,42413,90952,51283,64334,62567,62103,64683,60370,36620,17728,510640,148431,72012,83140,76908,69623,60365,41930,17121,5262,574792,18960,20036,24838,25147,27093,32305,35168,21223,8265,213035,1469,3541,5532,6337,8830,13235,17635,13133,5706,75421,61,271,858,1763,3820,7847,12101,10704,5636,43055,20497,23847,31224,33245,39742,53388,64904,45061,19603,331508,17951,9924,10678,10512,10077,9190,7999,5677,3508,85521
SOS22,6591,3487,3391,3446,3767,3883,2601,925,195,28278,999,693,836,957,1330,1949,2184,1089,259,10286,70,110,111,214,369,717,1027,581,192,3396,4,13,23,56,126,411,730,466,167,1994,1072,811,961,1226,1826,3084,3941,2138,615,15671,825,585,476,514,618,714,612,293,123,4774,8497,4885,4839,5186,6214,7681,7160,3353,930,48730,6579,3009,3194,3325,3649,3819,2499,864,251,27193,684,942,1076,1220,1505,2007,1931,1087,422,10875,50,176,263,361,548,892,1015,575,254,4126,0,12,36,92,221,517,607,430,256,2174,732,1131,1376,1672,2273,3413,3551,2088,936,17173,769,569,409,527,583,675,513,315,201,4563,8075,4703,4983,5529,6501,7906,6558,3271,1392,48929,13173,6492,6589,6775,7418,7698,5095,1789,438,55472,1683,1632,1913,2178,2831,3962,4113,2177,683,21162,116,285,378,578,923,1613,2042,1154,442,7520,6,21,56,147,347,925,1344,889,427,4163,1805,1937,2344,2902,4094,6494,7497,4226,1551,32848,1597,1158,892,1044,1201,1393,1123,607,326,9338
SOS23,29966,17886,12944,15352,19539,19644,12835,4235,744,133135,3556,3206,2805,3802,5882,8655,9076,4091,847,41913,200,328,355,684,1376,2847,3989,2164,514,12459,8,24,61,136,478,1282,2283,1655,397,6320,3763,3561,3219,4618,7730,12789,15353,7909,1760,60691,3838,2739,2985,3335,3688,3765,2953,1402,335,25051,37569,24185,19148,23309,30959,36189,31145,13546,2832,218878,28778,14924,11907,14896,19021,18367,11072,3347,738,123050,2672,3745,3793,4841,6568,8689,7883,3612,893,42694,150,570,847,1140,2088,3220,3394,1799,589,13789,10,44,149,277,740,1539,1941,1208,424,6329,2834,4359,4786,6258,9389,13451,13221,6619,1899,62806,3612,2235,1772,2293,2912,3110,2397,1173,348,19852,35224,21513,18465,23449,31328,34925,26686,11135,2986,205705,58748,32804,24853,30249,38556,38007,23908,7580,1480,256178,6224,6952,6592,8645,12444,17346,16957,7696,1736,84602,345,901,1197,1823,3457,6068,7385,3963,1100,26249,19,65,206,415,1216,2820,4225,2866,820,12646,6595,7914,7999,10877,17122,26233,28569,14526,3655,123501,7453,4973,4759,5632,6605,6876,5357,2576,679,44913
SOS27,0,3,10,29,39,27,7,0,0,120,0,0,0,10,9,8,0,0,0,27,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,9,0,0,0,34,0,4,19,90,121,100,13,0,0,338,0,9,30,131,163,141,16,0,0,493,0,0,4,3,4,5,0,0,0,18,0,0,3,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,16,8,13,16,0,0,0,49,0,0,17,14,18,24,0,0,0,72,0,3,10,36,44,36,7,0,0,133,0,0,4,8,8,10,0,0,0,34,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,9,10,15,0,0,0,45,0,4,38,98,129,111,13,0,0,389
