SA2_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
101021007,1809,4091,64,123,4,5,70,128,3,6,0,0,0,0,0,0,0,0,3,6,11,27,22,41,8,9,15,23,51,104,14,15,1950,4342,816,..,2769,4342
101021008,2604,7116,304,618,246,495,554,1113,58,97,43,57,0,0,0,0,0,15,103,170,0,0,0,0,0,0,0,5,0,5,4,11,3271,8414,176,..,3445,8414
101021009,2126,5498,621,1129,594,1195,1213,2322,644,1012,387,672,670,1159,83,131,17,31,1799,3011,3,9,0,0,7,10,17,30,23,49,19,25,5182,10902,507,..,5689,10902
101021010,855,2314,261,430,472,918,729,1350,319,492,153,270,311,552,0,0,0,3,786,1326,0,0,0,0,0,0,0,0,0,0,6,9,2376,4993,202,..,2576,4993
101021012,3619,10991,480,946,215,467,700,1421,102,165,7,9,0,0,0,0,0,8,113,179,0,0,0,0,0,0,9,19,9,19,3,4,4443,12618,178,..,4623,12618
101021610,1846,5875,17,34,100,208,115,248,3,8,12,32,0,0,0,0,0,0,23,41,0,0,0,0,0,0,0,3,0,3,0,0,1990,6171,105,..,2091,6171
101021611,5523,15830,43,80,24,45,65,136,21,53,0,0,0,0,0,0,4,19,30,72,17,29,5,8,5,5,3,24,30,56,16,25,5664,16122,435,..,6100,16122
101031013,1041,2293,15,25,0,0,15,25,9,21,0,0,0,0,0,0,0,0,9,21,11,14,0,0,0,4,0,0,11,19,17,25,1093,2385,308,..,1399,2385
101031014,2551,5857,145,233,36,54,191,288,126,176,7,5,0,0,0,0,15,29,147,208,3,3,11,13,0,3,19,60,37,78,12,20,2938,6456,434,..,3376,6456
101031015,1435,3360,3,13,0,0,3,13,3,0,0,0,0,0,0,0,0,3,4,4,9,6,0,0,0,0,7,8,14,22,13,19,1471,3418,405,..,1871,3418
