SA2_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
101021007,29,67,4,99,637,62,0,804,0,72,0,79,533,52,3,664,0,16,0,17,316,38,0,370,0,0,0,0,76,10,0,84,598,227,26,853,2552,306,3,3717
101021008,38,175,0,215,789,63,0,1069,10,135,0,139,559,41,0,740,0,23,0,23,332,23,0,375,0,0,0,0,84,4,0,94,1340,489,44,1873,4464,448,7,6797
101021009,48,151,0,205,1010,71,3,1288,3,130,0,134,685,67,4,896,5,24,0,30,473,43,0,545,0,4,0,4,295,52,0,350,1720,544,57,2317,6715,572,16,9618
101021010,20,74,0,96,479,49,3,629,6,57,0,61,310,14,3,386,0,14,0,18,163,11,0,186,0,0,0,0,51,3,0,52,791,258,29,1087,2977,247,8,4314
101021012,90,238,3,331,1250,46,0,1635,9,169,0,182,587,20,3,787,0,17,0,21,284,17,0,329,0,0,0,0,71,0,0,77,2484,704,103,3292,6308,326,8,9934
101021610,17,46,0,59,210,9,3,287,7,46,0,51,107,15,0,172,0,6,0,6,42,0,0,46,0,0,0,0,9,0,0,5,1718,207,55,1987,2158,151,13,4298
101021611,97,351,4,450,1870,186,4,2507,27,315,5,350,1240,108,0,1700,4,64,0,68,556,38,0,663,0,0,0,0,97,3,0,103,2829,1056,110,3992,8351,874,10,13232
101031013,9,45,0,51,303,32,0,390,5,33,0,42,302,26,0,371,0,3,0,3,169,24,0,197,0,3,0,3,64,6,0,72,310,129,10,455,1423,182,8,2066
101031014,25,124,0,151,753,66,0,972,4,87,0,94,610,48,0,755,0,11,0,16,479,48,0,541,0,0,0,0,219,21,0,239,931,338,27,1296,3895,588,12,5789
101031015,18,57,0,73,495,59,0,627,0,42,0,43,364,36,0,450,0,8,0,8,228,39,0,273,0,0,0,0,51,18,0,66,460,154,19,634,2046,342,0,3022
101031016,117,156,5,275,1348,213,4,1842,9,143,0,155,870,149,0,1178,0,18,0,22,321,42,0,385,0,4,0,4,89,8,4,100,1928,541,69,2539,7607,1291,139,11575
101041017,31,145,0,176,1068,87,4,1337,8,119,0,127,1250,77,3,1455,0,20,0,21,711,70,0,805,0,4,0,4,300,14,0,320,991,422,50,1463,5304,550,8,7328
101041018,51,148,3,201,1196,85,4,1482,19,155,3,171,1401,90,3,1662,0,31,0,34,890,68,0,993,0,3,0,3,314,37,0,355,970,458,50,1479,5798,558,11,7853
101041019,47,196,7,248,1099,61,0,1405,8,148,0,157,944,54,0,1162,0,33,0,35,609,77,0,721,0,0,0,0,201,89,0,295,1279,582,75,1928,4925,535,4,7396
101041020,90,177,6,272,1521,155,3,1957,19,165,0,183,1335,111,0,1630,4,22,0,25,459,40,0,530,0,0,0,0,107,18,0,126,1309,530,65,1904,5449,648,8,8014
101041021,23,77,0,98,499,25,0,623,4,96,0,98,549,52,0,699,0,12,0,12,324,20,0,359,0,0,0,0,149,10,0,160,479,244,26,750,2355,205,3,3315
101041022,0,0,0,0,6,3,0,7,0,0,0,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,22,5,0,30
101041023,19,61,0,82,433,42,0,559,3,54,0,64,510,49,0,629,0,12,0,12,286,39,0,332,0,0,0,0,101,34,0,136,366,199,23,595,2034,306,7,2937
101041024,21,70,0,94,542,66,0,707,0,59,0,63,533,65,0,656,0,16,0,16,225,31,0,268,0,0,0,0,33,5,0,40,385,222,10,616,2140,329,0,3094
101041025,63,207,0,268,1529,107,0,1904,18,192,0,214,1800,127,3,2137,4,45,0,45,1116,83,0,1247,0,0,0,3,396,63,0,468,1418,597,71,2084,7385,671,12,10156
101041026,49,159,0,211,1337,134,0,1681,12,159,6,177,1390,121,0,1688,3,22,0,24,723,76,3,820,0,0,0,0,230,39,0,271,919,462,58,1442,5469,657,5,7569
101041027,61,123,0,184,1480,115,4,1784,22,178,0,203,1939,142,0,2283,4,24,0,32,929,94,0,1056,0,8,0,5,376,61,0,443,1081,453,47,1578,6502,719,4,8807
101051539,115,481,6,611,2261,166,4,3037,22,315,5,334,2188,161,9,2694,8,70,0,77,1494,100,0,1667,0,4,0,3,669,61,0,731,3627,1389,172,5185,13650,1656,31,20522
101051540,73,288,4,366,1845,215,0,2424,23,211,4,237,1613,174,0,2021,0,44,0,41,810,101,0,959,0,6,0,6,255,41,0,300,1995,797,74,2862,7678,1021,9,11571
101061541,19,134,4,154,636,56,3,849,7,132,0,138,575,42,0,752,0,10,0,12,388,36,0,436,0,0,0,0,209,29,0,238,1077,414,55,1543,3589,441,14,5596
101061542,102,209,7,316,1338,104,0,1760,22,241,0,263,1007,96,0,1361,4,41,0,50,509,59,0,626,0,3,0,5,116,14,0,132,2252,757,92,3101,6378,599,8,10082
101061543,43,162,6,202,1098,90,0,1393,13,155,0,167,1046,79,0,1296,0,29,0,30,721,56,0,808,0,4,0,4,316,28,0,341,1644,548,73,2272,5818,631,3,8722
101061544,26,131,0,159,963,145,0,1267,12,103,0,114,927,112,0,1154,0,14,0,14,549,71,0,637,0,0,0,0,153,17,0,168,980,385,35,1402,4316,647,3,6376
102011028,66,121,0,195,878,21,0,1102,9,142,0,144,694,16,3,852,0,19,0,21,342,13,0,379,0,0,0,0,68,8,0,73,1528,358,31,1915,3930,184,12,6042
