SA2_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
101021007,70,26,41,48,67,89,69,36,4,446,696,297,377,456,657,804,665,370,84,4413
101021008,159,111,115,93,79,96,48,28,11,742,1621,1017,1250,1121,1131,1068,740,375,91,8416
101021009,127,86,169,111,95,79,78,43,49,846,1745,1137,2350,1654,1397,1280,889,550,350,11351
101021010,48,37,83,46,45,59,15,4,5,355,796,553,1074,756,669,626,383,186,52,5096
101021012,169,93,100,103,105,92,33,20,3,717,2697,1683,1476,1800,2142,1630,783,329,77,12620
101021610,96,37,49,63,26,9,14,0,0,301,1866,490,1285,1322,685,282,168,46,5,6161
101021611,254,178,162,184,195,240,146,34,0,1399,3193,1845,1651,2079,2669,2503,1700,665,103,16410
101031013,52,34,32,23,38,45,30,21,10,273,405,235,247,261,295,390,371,197,72,2467
101031014,88,57,145,143,108,68,64,36,16,728,1107,672,894,853,859,973,755,541,239,6883
101031015,59,38,53,54,72,70,45,38,9,451,550,332,320,352,601,627,450,273,66,3571
101031016,249,288,309,214,240,259,171,45,8,1787,2054,2268,2215,1540,1913,1834,1181,385,98,13488
101041017,181,100,88,77,114,113,105,74,18,862,1374,778,784,815,1028,1333,1453,803,320,8695
101041018,146,72,64,85,124,130,115,82,62,880,1255,747,715,790,1106,1482,1661,991,355,9096
101041019,179,100,77,84,91,83,72,81,83,850,1574,865,879,974,1096,1405,1160,721,295,8965
101041020,122,94,78,81,124,174,129,47,3,859,1494,858,781,888,1248,1953,1630,530,126,9496
101041021,64,29,25,36,39,43,43,23,9,308,566,330,314,378,451,620,700,359,160,3878
101041022,0,0,0,0,0,3,3,0,0,7,0,0,0,0,3,7,14,0,0,31
101041023,85,35,38,36,42,57,64,32,27,419,551,291,266,301,426,554,621,332,136,3484
101041024,70,47,35,42,73,80,67,30,6,448,469,340,282,326,483,707,655,268,40,3556
101041025,138,92,91,71,134,146,150,88,65,969,1565,947,1022,1028,1390,1904,2131,1245,465,11710
101041026,141,92,67,82,108,167,145,67,37,899,1124,672,662,745,1022,1682,1685,817,271,8685
101041027,166,76,74,90,101,158,164,82,37,957,1281,657,730,816,1035,1783,2283,1056,443,10082
101051539,502,311,448,341,356,232,201,109,57,2560,4500,2932,3567,2938,2936,3032,2682,1667,731,24988
101051540,264,141,113,181,162,249,213,91,33,1444,2328,1348,1183,1461,1872,2422,2022,960,300,13893
101061541,109,91,87,78,102,79,51,42,21,661,1320,736,798,863,914,843,752,436,239,6895
101061542,205,117,102,115,180,143,115,67,8,1050,2523,1401,1096,1554,2147,1765,1361,626,132,12600
101061543,240,121,110,119,118,123,81,75,28,1014,2248,1247,1171,1239,1225,1398,1289,808,341,10965
101061544,162,107,76,90,118,156,109,63,15,897,1314,715,751,697,988,1267,1147,637,168,7685
102011028,124,50,26,58,77,64,27,25,3,458,1558,960,520,960,1189,1098,853,379,73,7588
102011029,140,94,37,72,97,89,89,59,14,690,1898,1060,746,1196,1534,1707,1827,938,257,11149
102011030,55,51,50,44,86,72,75,41,9,494,665,545,420,525,750,808,611,310,74,4703
102011031,149,66,61,87,80,83,99,111,96,837,2334,1480,1048,1493,1717,1812,1974,1741,994,14585
102011032,288,196,269,216,223,259,210,118,126,1915,3255,2491,3553,2841,2578,2690,2189,1226,619,21439
102011033,80,73,51,45,65,61,21,15,6,410,1417,917,768,937,952,797,418,189,71,6473
102011034,81,48,50,49,61,59,52,70,78,550,1330,772,700,799,830,878,906,859,508,7580
102011035,79,42,53,60,40,45,25,8,3,356,1490,812,855,991,976,918,692,295,77,7119
102011036,91,54,55,51,55,60,25,13,10,422,1655,1040,875,1060,1149,1061,733,372,198,8157
102011037,70,45,28,50,55,58,18,35,20,365,1117,648,599,810,914,914,705,560,244,6510
102011038,102,63,46,50,62,50,43,26,21,454,1304,738,657,836,942,975,849,554,215,7067
102011039,188,111,115,154,129,127,101,68,22,1026,2742,1731,1458,1851,2089,1989,1817,946,243,14874
102011040,402,212,228,237,237,269,271,154,62,2082,4124,2289,2246,3005,3129,3411,3475,2245,856,24771
102011041,146,92,66,93,86,84,74,23,13,678,2129,1259,939,1352,1485,1291,1167,682,219,10528
