SA2_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
101021007,452,379,267,169,232,118,156,210,48,2036
101021008,505,697,727,487,748,320,284,396,98,4258
101021009,786,1237,887,734,1049,483,377,577,146,6281
101021010,411,628,386,363,466,211,164,242,60,2944
101021012,1536,1762,813,705,1264,517,242,378,146,7364
101021610,741,981,414,341,612,185,94,130,82,3588
101021611,1898,2066,1266,731,1373,485,383,508,217,8936
101031013,245,118,123,107,90,71,153,194,22,1129
101031014,395,570,444,402,394,319,237,323,61,3138
101031015,429,265,256,148,206,111,124,220,36,1792
101031016,1416,1369,949,1387,652,576,497,814,135,7801
101041017,401,382,511,459,385,404,185,406,66,3193
101041018,414,619,497,493,416,363,148,364,69,3383
101041019,407,808,507,545,411,356,203,596,70,3903
101041020,794,665,615,493,414,303,282,572,83,4215
101041021,213,399,239,208,164,114,61,147,32,1579
101041022,0,0,0,3,5,0,0,0,0,6
101041023,129,141,181,186,124,115,113,218,21,1232
101041024,248,206,264,194,182,112,104,160,45,1513
101041025,620,937,786,678,552,516,230,514,54,4891
101041026,384,600,557,444,415,307,195,356,75,3342
101041027,485,592,612,499,357,352,142,396,80,3516
101051539,1153,1700,1598,1784,1260,1023,906,1381,219,11024
101051540,1500,892,905,678,725,429,493,684,140,6453
101061541,418,609,555,464,430,236,184,298,65,3257
101061542,1679,1491,898,600,899,352,252,466,147,6776
101061543,600,619,710,582,507,514,269,636,91,4532
101061544,874,399,417,329,304,193,211,493,60,3277
102011028,642,1173,469,416,438,297,102,220,42,3787
102011029,796,1328,691,507,649,377,163,305,81,4904
102011030,526,384,341,205,245,121,137,262,69,2292
102011031,838,1545,701,682,829,539,184,441,90,5852
102011032,1251,2707,1156,1323,1356,884,472,925,172,10241
102011033,392,628,539,382,486,351,191,306,73,3347
102011034,385,640,451,440,423,257,127,269,58,3047
102011035,389,828,510,396,497,319,213,334,40,3526
102011036,499,916,577,467,521,378,222,361,62,4014
102011037,399,831,349,320,407,273,129,229,38,2980
102011038,435,743,575,389,441,321,122,250,59,3332
102011039,1233,2168,835,753,909,628,200,392,106,7218
102011040,1334,2038,1407,1286,1357,847,543,892,168,9868
102011041,809,1394,679,573,680,424,168,318,85,5139
102011042,651,1170,818,704,771,491,323,566,128,5629
102011043,516,989,688,569,641,450,302,548,82,4786
102021044,1035,1820,1628,1335,1257,894,573,1017,146,9710
102021045,402,449,738,723,591,540,514,699,100,4761
102021046,352,574,659,579,464,365,303,455,55,3795
102021047,865,1341,1231,994,1040,703,511,742,111,7543
102021048,743,1097,1318,1394,1051,892,802,1135,157,8574
102021049,347,339,280,185,215,139,101,150,47,1799
102021050,390,489,693,549,491,426,354,484,64,3935
102021051,369,563,340,310,362,212,145,202,43,2543
102021052,271,325,491,398,369,265,234,303,33,2691
102021053,760,1182,956,893,761,602,345,688,130,6322
102021054,343,622,648,551,455,355,243,414,71,3706
102021055,293,475,388,324,359,222,190,243,40,2537
102021056,1043,1646,1307,1331,1220,961,664,893,141,9217
102021057,339,503,474,539,449,320,309,525,65,3521
103011059,619,974,866,861,713,517,435,637,92,5721
103011060,680,632,511,335,405,203,222,336,74,3396
103011061,383,255,306,205,192,123,303,276,65,2116
103011612,460,984,621,856,460,471,296,572,73,4798
103011613,779,1415,988,1084,899,612,445,699,123,7053
103021062,744,326,298,308,259,129,258,291,50,2665
103021063,480,511,537,507,419,387,243,530,68,3678
103021064,653,307,289,258,209,158,164,315,30,2388
103021065,849,676,583,491,415,379,372,591,90,4452
103021066,444,189,149,142,127,89,108,191,23,1453
103021067,566,769,739,575,560,448,594,524,76,4853
103021068,427,177,169,137,125,52,109,140,29,1374
103021069,636,303,426,239,240,163,345,308,57,2712
103031070,439,672,748,665,617,409,518,549,90,4720
103031071,525,502,640,501,459,222,420,406,63,3733
103031072,650,962,1116,743,585,521,783,649,96,6106
103031073,230,134,183,137,97,88,122,142,28,1167
103031074,906,603,816,442,481,327,631,605,86,4894
103031075,0,0,0,0,0,0,0,0,0,0
103041076,604,505,500,387,383,229,334,461,70,3469
103041077,859,1936,1255,1135,953,676,599,975,146,8528
103041078,1289,2589,1674,1483,1496,945,781,975,170,11409
103041079,1293,1055,832,538,726,347,404,605,111,5917
104011080,674,1148,902,1330,876,768,503,954,125,7274
104011081,916,856,888,842,688,489,538,825,148,6183
104011082,809,1162,932,911,659,591,335,849,127,6381
104021083,339,733,323,351,246,199,102,243,45,2587
104021084,843,1370,1044,1150,966,806,345,909,144,7578
104021085,445,966,560,681,572,501,204,613,75,4611
104021086,217,334,305,241,224,166,113,225,41,1865
104021087,297,195,131,130,114,87,92,171,30,1257
104021088,675,1275,620,634,653,452,179,362,79,4934
104021089,1005,1737,1151,1306,1074,932,458,975,134,8769
104021090,235,387,307,280,213,153,116,222,29,1947
104021091,940,1077,843,865,667,470,285,1067,101,6306
105011092,326,250,149,223,148,49,125,159,48,1472
105011093,323,250,394,145,181,109,385,230,36,2045
105011094,414,201,145,190,150,59,96,224,39,1527
105011095,499,267,288,208,188,105,289,311,46,2200
105011096,471,271,177,312,183,101,145,237,45,1932
105021097,692,1257,1122,1169,769,653,731,728,157,7275
105021098,364,137,58,98,66,21,52,193,12,998
105031099,731,421,307,347,246,179,213,449,64,2955
105031100,503,957,774,720,656,517,330,568,85,5119
105031101,1023,2090,1348,1610,1252,944,531,865,176,9841
105031102,539,835,637,720,571,434,305,546,94,4685
105031103,616,473,456,278,381,215,213,278,50,2966
105031104,523,251,201,219,143,132,116,207,46,1831
105031105,591,347,336,318,247,169,275,328,52,2663
105031106,513,409,384,516,317,230,230,448,70,3112
106011107,872,932,1216,700,684,506,893,653,126,6582
106011108,734,900,1507,1400,807,850,1042,1259,159,8660
106011109,564,657,756,512,493,285,413,448,87,4218
106011110,710,669,791,480,516,309,398,477,83,4429
106011111,647,944,1668,1266,1071,851,1145,1215,159,8956
106011112,737,1032,1507,1313,887,693,1400,809,148,8524
106011113,403,297,452,212,285,190,429,265,51,2587
106021114,478,735,656,552,493,409,403,416,63,4201
106021116,657,1017,672,474,532,363,314,321,67,4428
106021614,872,1568,1338,1085,1066,819,709,899,137,8486
106021615,802,1118,1416,1189,1010,772,947,875,134,8266
106021616,293,433,618,528,383,340,415,477,80,3567
106021617,445,866,750,585,595,395,351,447,62,4500
106021618,881,1507,1308,1172,1187,753,729,773,131,8444
106031119,292,435,482,369,314,252,151,252,52,2598
106031120,212,288,464,394,259,240,207,330,63,2468
106031121,1144,1509,1328,1229,1006,831,378,857,158,8430
106031122,494,650,929,866,758,585,667,851,127,5927
106031123,373,553,522,333,400,215,278,245,47,2956
106031124,246,258,253,231,190,152,88,205,36,1658
106031125,759,992,1256,916,896,601,545,711,142,6825
106041126,373,584,1093,576,484,460,1027,743,111,5449
106041127,325,205,377,181,203,118,354,310,41,2116
106041128,321,432,519,313,266,205,362,537,46,2998
106041129,740,429,655,338,319,200,531,628,77,3912
107011131,948,1503,1839,1523,1305,912,943,1135,177,10301
107011132,634,1189,979,820,984,534,489,530,114,6277
107011133,0,0,0,0,0,0,4,3,0,6
107011134,783,1695,1027,772,983,559,456,595,96,6976
107011545,398,728,878,707,640,478,497,770,129,5236
107011546,294,548,499,463,383,292,274,534,72,3364
107011547,151,244,253,216,220,129,142,174,28,1554
107021135,0,0,0,0,0,0,0,0,0,4
107031136,934,1636,1665,1355,1344,909,867,885,139,9724
107031137,258,327,495,506,357,269,324,339,51,2937
107031138,565,1105,495,432,395,222,148,216,54,3622
107031139,359,764,455,344,322,205,138,169,45,2803
107031140,697,1091,577,440,402,214,115,254,52,3852
107031141,1140,1960,1435,1160,1318,900,670,736,164,9474
107031142,452,738,816,650,633,444,381,475,78,4668
107031143,611,1007,1310,1177,920,719,704,1034,145,7629
107041144,1141,2570,1288,1247,1234,762,555,755,144,9695
107041145,737,1690,1100,980,911,500,450,623,101,7078
107041146,1281,3088,1254,1291,1261,918,575,734,131,10531
107041147,650,1221,784,565,626,290,212,302,77,4722
107041148,972,2180,665,612,598,305,141,227,74,5779
107041150,1370,2731,1313,1182,1144,616,428,622,116,9528
107041548,1112,2708,842,1072,1031,628,323,499,130,8348
107041549,826,2389,959,1076,910,665,447,649,137,8057
108011151,372,257,323,227,200,142,197,294,62,2081
108011152,554,1005,711,848,592,634,195,585,100,5214
108011153,382,469,445,337,266,251,141,307,69,2662
108011154,185,278,294,370,235,218,100,229,41,1943
108021155,487,723,637,985,535,528,374,704,102,5071
108021156,602,637,504,537,365,265,233,555,86,3782
108021157,228,299,253,312,190,144,95,236,41,1802
108021158,195,350,301,383,228,223,117,304,43,2131
108021159,526,538,436,469,328,256,205,381,67,3191
108021160,270,332,285,321,239,188,87,265,28,2019
108031161,55,35,33,13,30,14,4,43,9,243
