SA2_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
101021007,595,456,233,40,2530
101021008,638,343,147,30,3875
101021009,776,471,213,119,6081
101021010,406,220,99,22,2876
101021012,1137,467,151,33,6523
101021610,200,97,22,4,3174
101021611,1872,1194,424,47,9162
101031013,241,181,79,25,1123
101031014,635,407,260,106,3597
101031015,456,274,144,35,1982
101031016,1478,900,258,47,8194
101041017,819,845,413,138,4215
101041018,1040,1023,567,168,4919
101041019,929,723,378,181,4595
101041020,1354,1058,309,54,5169
101041021,469,459,209,80,2222
101041022,3,7,0,0,21
101041023,330,343,159,63,1629
101041024,498,452,161,21,2068
101041025,1294,1328,663,241,6495
101041026,1175,1099,475,144,4905
101041027,1246,1475,605,251,5734
101051539,1829,1445,764,329,12071
101051540,1583,1221,482,112,7145
101061541,546,431,218,89,3471
101061542,1311,913,379,63,6815
101061543,789,623,310,98,4572
101061544,736,554,256,59,3548
102011028,882,617,241,32,4255
102011029,1323,1224,577,122,6281
102011030,557,397,160,35,2598
102011031,1223,1218,952,609,7769
102011032,1817,1352,677,332,12117
102011033,543,261,91,30,3156
102011034,578,582,464,301,3867
102011035,628,399,144,27,3553
102011036,760,453,189,81,4105
102011037,644,476,324,146,3605
102011038,704,521,340,100,3755
102011039,1553,1236,562,112,8398
102011040,2166,2007,1105,358,12526
102011041,942,772,399,98,5648
102011042,1212,1021,601,251,7151
102011043,814,708,451,236,5681
102021044,1667,1427,735,441,10992
102021045,634,361,195,50,4403
102021046,827,628,367,97,4551
102021047,1306,951,524,201,7822
102021048,1591,1300,781,397,10089
102021049,374,254,88,12,1794
102021050,864,869,658,145,4943
102021051,529,282,105,23,2616
102021052,557,464,210,60,3074
102021053,1402,1339,642,204,8098
102021054,805,714,385,196,4720
102021055,386,247,137,32,2546
102021056,1059,751,558,278,9214
102021057,647,473,257,48,4124
103011059,801,616,325,142,5651
103011060,841,627,227,38,3847
103011061,446,420,181,45,2441
103011612,816,599,384,161,6017
103011613,1158,826,343,107,7042
103021062,455,294,158,66,2604
103021063,676,679,319,121,4040
103021064,568,489,216,43,2778
103021065,767,585,341,113,4487
103021066,319,270,147,52,1600
103021067,756,515,260,108,4718
103021068,311,215,85,28,1476
103021069,450,308,162,64,2607
103031070,1026,837,475,147,5847
103031071,912,737,304,50,4319
103031072,876,627,383,135,6198
103031073,346,325,186,40,1637
103031074,1111,794,337,71,5484
103031075,0,0,0,0,0
103041076,641,483,227,58,3544
103041077,1438,1197,677,298,9592
103041078,1466,1066,494,154,11017
103041079,1191,826,345,85,5940
104011080,1368,1150,646,332,8698
104011081,1934,1498,509,100,8917
104011082,1956,2110,995,275,9291
104021083,754,614,251,78,3505
104021084,1454,1292,674,229,8873
104021085,940,782,634,388,6069
104021086,458,300,96,17,2129
104021087,422,346,133,45,1667
104021088,1048,932,326,50,5611
104021089,1758,1517,737,267,10056
104021090,595,592,248,64,2739
104021091,1296,1323,513,144,7402
105011092,283,167,63,14,1589
105011093,363,214,96,23,2161
105011094,299,195,97,25,1639
105011095,370,228,143,76,2065
105011096,629,493,203,47,3048
105021097,1449,1042,454,209,7776
105021098,242,204,58,14,1255
105031099,721,709,330,133,3841
105031100,839,500,222,80,5106
105031101,1340,878,493,196,9946
105031102,567,437,273,84,4647
105031103,614,374,146,29,2980
105031104,383,278,149,44,1962
105031105,465,358,225,78,2810
105031106,674,514,296,90,3969
106011107,946,664,245,30,6242
106011108,1552,1180,597,230,10693
106011109,947,734,206,33,4631
106011110,992,735,292,63,4755
106011111,1214,852,314,91,8540
106011112,1126,671,265,87,7906
106011113,511,299,120,14,2643
106021114,513,330,164,112,4154
106021116,803,509,223,60,4515
106021614,1350,944,420,174,8532
106021615,969,724,380,98,7789
106021616,451,293,127,38,3387
106021617,766,667,389,88,4901
106021618,955,511,177,29,7360
106031119,723,676,364,71,3455
106031120,700,606,297,68,3211
106031121,2314,2387,1513,495,11698
106031122,981,689,331,87,5998
106031123,620,384,115,19,2875
106031124,701,951,629,232,3389
106031125,1212,885,410,54,7038
106041126,780,452,186,67,5417
106041127,335,197,75,25,1919
106041128,419,269,176,77,2784
106041129,724,570,217,80,3832
107011131,1609,1304,761,204,11030
107011132,792,400,187,68,5843
107011133,0,0,0,0,7
107011134,1390,872,424,236,7874
107011545,851,516,230,94,5668
107011546,640,376,166,78,4011
107011547,375,313,191,60,1964
107021135,0,0,0,0,4
107031136,1256,812,289,167,9207
107031137,507,402,176,67,3161
107031138,1034,1017,550,242,5351
107031139,638,584,192,59,3384
107031140,949,891,425,130,4882
107031141,1550,1072,462,174,9655
