SA2_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
101021007,3,0,0,0,9,11,25,33,7,96,0,0,0,0,0,0,3,4,3,11,9,8,34,40,53,69,70,40,10,341,77,128,375,456,657,804,665,370,84,3612
101021008,7,0,22,16,31,52,96,91,39,341,0,0,6,4,7,9,3,11,4,43,40,38,96,69,61,73,55,33,8,476,233,518,1245,1121,1130,1068,739,375,91,6523
101021009,4,5,24,11,34,42,89,111,79,396,0,0,4,10,0,5,18,20,23,81,18,28,147,84,63,66,71,63,60,588,212,696,2348,1654,1395,1280,889,550,350,9368
101021010,0,0,10,9,11,16,24,27,7,101,0,0,7,0,3,0,3,3,3,27,7,17,72,34,38,47,20,13,0,254,75,361,1074,756,669,626,383,186,52,4190
101021012,0,0,0,4,16,37,68,55,23,204,0,0,0,0,0,6,0,0,5,17,15,20,65,62,42,45,21,20,5,289,329,737,1474,1800,2142,1630,783,329,77,9316
101021610,0,0,0,0,0,11,13,9,3,32,0,0,0,4,0,0,5,0,0,13,11,11,34,53,16,7,12,5,0,146,95,229,1285,1322,685,282,168,46,5,4123
101021611,4,0,10,4,24,42,79,72,19,252,0,0,5,0,3,0,4,7,4,20,49,65,120,126,151,184,128,37,3,851,406,824,1651,2079,2671,2504,1700,664,103,12603
101031013,0,0,3,0,10,20,41,37,9,122,0,0,0,0,0,0,4,6,0,10,18,9,25,22,32,41,25,29,11,213,53,111,247,261,295,390,371,197,72,1999
101031014,0,0,11,13,13,40,67,72,55,260,0,0,0,0,3,9,12,10,4,33,18,21,118,121,97,65,61,45,38,588,158,338,894,850,859,973,755,541,239,5603
101031015,3,0,3,0,6,17,28,21,5,93,0,0,0,0,0,0,0,0,0,0,13,12,48,48,60,58,45,40,10,329,84,139,320,352,601,627,450,273,66,2914
