SA2_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
209021205,544,160,214,263,325,115,11,44,3387,0,5,0,0,0,0,0,0,0,0,8,1788,557,648,186,255,313,374,141,12,68,4346
209021428,602,171,234,250,257,87,12,98,4910,4,0,0,0,0,0,0,0,0,9,11,3838,811,913,241,304,308,324,93,21,139,6992
209021429,281,90,88,150,141,35,10,57,2559,3,0,0,0,0,0,0,0,0,43,42,2170,424,418,124,120,191,159,49,11,125,3793
209021523,592,159,256,294,291,97,14,93,4368,8,0,0,0,0,0,3,0,0,0,15,2702,706,756,190,302,332,331,107,17,132,5577
209021524,205,67,59,96,102,16,16,113,3157,4,0,0,0,0,0,0,0,0,6,14,2662,269,263,76,70,105,108,26,16,142,3738
209021525,484,142,144,232,223,50,19,72,3379,0,0,0,0,0,0,0,0,0,44,48,2201,538,608,170,172,266,247,62,27,135,4415
209021526,504,115,200,285,208,65,12,56,3270,4,0,0,0,0,0,0,0,0,5,6,2128,562,677,141,218,313,241,73,17,84,4452
209031209,246,58,67,48,48,10,0,23,1534,0,0,0,0,0,0,0,0,0,6,6,2620,728,480,107,101,80,66,26,3,70,4280
209031210,15,0,3,0,4,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,279,70,48,8,8,0,5,0,0,6,417
209031211,16,0,0,0,0,3,0,3,112,0,0,0,0,0,0,0,0,0,0,0,319,36,29,8,0,0,4,4,0,20,417
209031212,13,0,6,4,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,468,59,39,5,5,4,4,0,3,33,619
209031213,112,5,13,10,15,9,0,29,982,0,0,0,0,0,0,0,0,0,3,3,1259,278,171,11,21,15,20,9,0,53,1831
209031214,40,5,13,3,6,0,0,4,241,0,0,0,0,0,0,0,0,0,0,0,690,126,96,5,15,18,19,3,0,19,984
209031215,140,11,17,12,14,0,0,13,686,0,0,0,0,0,0,0,0,0,0,5,1333,333,270,34,34,23,20,7,0,37,2087
209041216,315,53,86,101,122,38,7,35,2220,0,0,0,0,0,0,0,0,0,0,4,1494,385,358,59,111,125,151,45,6,48,2785
209041217,279,77,92,136,123,32,13,53,2172,0,0,0,0,0,0,0,0,0,5,4,1409,361,316,96,95,142,149,36,13,74,2688
209041220,667,147,141,149,142,39,16,87,4878,4,0,4,0,0,0,0,0,0,0,15,3787,757,780,168,175,165,156,39,16,121,6159
209041221,432,106,76,120,139,42,0,58,3286,4,0,0,0,0,0,0,0,0,0,4,2511,540,525,119,88,132,151,49,0,75,4187
209041223,1119,269,316,384,420,127,24,187,9267,0,0,0,4,0,0,4,0,0,10,17,6062,1111,1210,292,348,409,442,136,32,238,10273
209041224,547,152,98,120,116,42,18,40,2616,3,0,0,0,0,0,0,0,0,7,16,1719,1052,724,179,129,153,124,50,23,92,4249
209041225,286,71,60,67,48,12,9,24,1207,0,0,0,0,0,0,0,0,0,0,0,887,388,340,80,75,71,57,14,5,48,1971
209041431,601,114,106,107,167,39,8,60,3562,0,0,0,0,0,0,0,0,0,63,68,2214,807,685,125,123,125,180,44,18,134,4451
209041432,455,98,126,187,167,46,24,61,2923,5,0,0,0,0,0,0,0,0,6,13,1736,469,519,109,136,197,179,51,30,92,3510
209041433,864,215,183,213,199,76,5,75,4779,3,0,7,0,0,0,0,0,0,5,15,2111,1344,964,232,198,226,215,80,7,99,5494
209041435,490,91,92,93,113,32,9,38,3074,0,0,0,0,0,0,0,0,0,3,5,1887,911,574,92,119,118,118,35,11,63,3920
209041436,500,121,106,108,109,41,8,58,3011,8,0,0,0,0,0,0,0,0,43,46,1972,719,597,152,113,113,109,41,16,115,3955
209041437,2580,560,502,542,620,181,47,158,10849,3,5,11,0,0,0,0,0,0,14,30,2805,3703,2834,603,567,577,655,189,58,200,12189
209041527,403,56,98,82,82,20,8,18,1634,0,0,0,0,0,0,0,0,0,5,6,1198,599,569,74,119,99,98,21,9,45,2842
209041528,491,91,96,77,76,28,18,11,1731,0,0,0,0,0,0,0,0,0,3,3,762,661,621,117,102,94,94,32,19,23,2526
209041529,658,117,206,233,258,88,6,81,4420,0,0,0,0,0,0,0,0,0,7,11,2553,606,701,133,219,251,276,87,6,109,4937
209041530,640,140,131,179,219,49,6,127,5490,4,0,0,0,0,0,0,0,0,6,17,3803,739,697,155,142,189,236,59,10,156,6179
209041531,741,159,147,163,166,49,17,35,3051,3,0,0,0,0,0,0,0,0,0,5,1121,1036,895,174,169,207,196,61,21,57,3939
209041532,888,163,181,158,141,56,15,52,3462,3,0,5,0,3,0,0,0,0,9,22,1144,1195,1011,168,214,194,155,76,17,81,4256
210011226,127,35,45,41,41,9,0,32,1381,3,0,0,0,0,0,0,0,0,5,3,1406,198,186,37,60,48,54,15,4,45,2049
210011227,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,16
210011228,78,18,17,21,10,0,0,23,1294,0,0,0,0,0,0,0,0,0,0,0,1717,105,121,12,27,18,15,0,3,38,2072
210011230,94,32,26,31,30,9,13,16,894,0,0,0,0,0,0,0,0,0,0,3,1003,142,166,42,38,53,39,14,21,33,1554
210011231,114,25,21,35,28,11,3,12,1142,0,0,0,0,0,0,0,0,0,0,0,1298,243,188,38,32,55,34,13,10,21,1937
210011533,319,62,59,64,82,24,5,111,3950,6,0,0,0,0,0,0,0,0,6,12,3665,373,395,79,67,70,90,26,5,131,4904
