SA2_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
101021007,21,18,39,359,349,714,0,0,0,5,8,8,0,0,0,440,422,860,0,0,0,11,8,12,0,0,3,0,6,4,3,8,18,0,6,8,0,4,0,7,9,11,48,42,96,0,0,3,0,0,3,46,59,106,22,26,50,3,0,9,954,951,1907,0,5,4,4,6,9,5,5,4,0,3,7,4,0,4,7,11,16,12,12,22,1018,923,1942,15,13,20,3,7,7,1037,939,1974,232,220,450,0,0,3,2266,2150,4418
101021008,38,47,86,489,603,1089,0,0,0,27,28,53,15,14,31,1038,1129,2165,0,0,6,173,165,337,8,14,21,5,9,16,8,19,26,6,3,9,15,19,30,29,30,63,54,78,133,7,6,17,9,12,25,77,95,167,121,118,240,0,0,0,2080,2333,4405,77,50,133,24,28,48,0,0,0,0,0,4,45,34,76,18,28,45,68,62,123,1592,1353,2947,13,7,25,9,3,15,1617,1365,2985,332,307,640,0,4,5,4233,4188,8419
101021009,72,87,154,518,650,1164,0,0,0,52,47,102,15,6,20,1149,1249,2397,0,0,0,180,169,346,10,12,22,12,9,25,20,20,46,9,3,8,39,38,73,51,47,98,74,85,160,13,18,33,8,6,11,67,82,142,135,153,287,3,0,7,2354,2582,4938,343,288,627,190,146,343,3,6,8,0,0,0,162,140,300,10,27,37,172,166,340,2165,1939,4108,24,22,52,8,18,23,2202,1980,4179,398,358,757,7,9,19,5751,5613,11364
101021010,32,30,61,247,280,522,0,0,0,24,13,32,24,19,42,531,553,1089,0,0,0,59,63,120,0,0,0,10,4,17,8,26,28,0,0,9,6,6,11,25,27,46,31,51,79,0,0,0,5,7,9,45,49,91,71,66,134,0,0,4,1071,1171,2242,109,86,194,96,77,177,5,3,10,0,0,0,53,49,106,7,14,28,66,69,133,1057,850,1906,16,12,24,7,8,12,1077,868,1945,199,145,343,4,8,8,2656,2456,5113
101021012,36,58,90,754,885,1638,0,0,0,37,38,78,45,61,109,1640,1776,3415,0,0,0,207,203,407,10,16,23,17,16,25,41,34,78,3,5,5,20,21,43,47,78,127,108,111,222,11,9,17,9,6,10,127,140,261,174,184,356,0,5,6,3247,3583,6825,101,101,205,60,59,117,7,3,11,0,3,3,44,38,85,22,23,45,64,63,131,2444,2237,4679,21,20,34,0,8,7,2463,2260,4726,268,246,515,6,8,10,6253,6382,12634
101021610,16,32,47,349,397,746,0,0,0,17,29,43,6,0,12,748,865,1614,0,0,0,102,91,193,0,0,0,3,4,10,9,13,17,3,10,13,7,4,13,29,36,68,24,39,55,4,5,10,4,0,7,31,48,82,94,94,185,3,3,3,1432,1641,3076,135,113,244,69,81,152,8,0,14,0,0,0,86,65,154,5,7,7,88,74,164,1152,1038,2191,5,6,10,0,3,4,1163,1051,2208,132,122,258,3,6,13,3048,3121,6171
101021611,42,45,83,1146,1262,2407,0,0,0,71,71,144,0,0,3,1862,1939,3803,0,3,9,93,79,172,12,14,24,6,8,15,49,44,96,0,0,0,30,15,44,26,35,64,144,126,266,12,8,24,19,7,27,184,170,357,148,181,331,6,9,20,3812,3987,7798,11,11,22,21,10,30,4,0,8,0,0,0,8,4,13,23,39,58,34,46,77,3706,3365,7075,42,35,82,3,8,16,3751,3416,7167,669,552,1228,0,15,15,8348,8080,16426
101031013,5,8,11,310,328,636,0,0,0,5,9,11,0,0,0,254,286,538,0,0,0,15,17,36,0,0,0,0,0,0,0,3,8,0,0,0,4,5,11,0,0,0,53,63,120,6,4,10,4,3,5,17,21,39,9,16,22,0,0,0,684,753,1431,3,0,6,5,0,5,0,0,0,0,0,0,0,0,0,3,6,8,5,6,10,405,323,731,0,0,6,0,6,9,411,327,741,133,134,262,6,0,8,1246,1224,2471
101031014,42,44,86,461,566,1026,4,0,5,67,65,132,0,0,0,813,820,1626,0,0,0,25,30,50,10,16,30,0,0,3,22,34,59,0,0,0,7,6,18,30,30,62,53,43,92,4,0,3,0,0,0,58,76,136,42,60,102,0,0,0,1589,1765,3354,38,31,68,48,34,86,0,3,3,0,0,0,9,10,16,11,20,29,15,27,41,1326,1199,2515,3,9,13,7,9,13,1334,1218,2545,487,212,695,13,6,11,3562,3335,6896
101031015,8,9,12,324,311,633,0,0,0,45,40,82,0,0,0,407,380,786,0,0,0,16,14,24,4,5,10,0,4,5,14,13,26,0,0,0,4,3,4,0,5,4,41,19,63,0,0,0,4,3,8,51,43,91,36,34,71,0,0,0,937,870,1809,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,4,18,19,11,20,29,701,571,1270,7,3,12,5,11,16,715,583,1296,255,169,421,0,0,0,1920,1657,3571
