SA2_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
113031271,117,0,0,0,4,122,50,0,0,0,0,50,62,0,0,0,0,66,147,0,0,0,0,151,171,0,0,3,0,179,453,0,0,0,0,460,431,4,0,0,0,435,417,0,0,0,0,417,118,0,0,0,0,118,101,0,0,0,0,101,98,0,0,0,0,97,151,0,0,0,0,151,2311,4,9,4,7,2337
114011272,62,0,0,0,0,64,20,4,0,0,0,22,12,0,0,0,0,11,25,0,0,0,0,28,28,0,0,0,0,29,83,0,0,0,0,91,111,16,0,0,0,128,183,7,0,0,0,194,126,0,3,0,0,125,123,0,0,0,0,129,136,0,0,0,0,141,49,0,0,0,0,54,959,35,10,11,3,1021
114011273,25,0,0,0,0,26,8,0,0,0,0,8,6,0,0,0,0,6,13,0,0,0,0,13,11,0,0,0,0,17,55,0,0,0,0,57,53,0,0,0,0,50,83,0,0,0,0,83,46,0,0,0,0,46,32,0,0,0,0,32,10,0,0,0,0,10,32,0,0,0,0,32,373,5,3,0,0,384
114011274,33,0,0,0,0,31,15,0,0,0,0,15,12,0,0,3,0,16,19,0,0,0,0,25,29,0,0,0,0,29,77,5,0,0,0,78,94,4,0,0,0,102,126,3,0,0,0,128,43,0,0,0,0,46,31,0,0,0,0,31,37,0,0,0,0,37,34,0,0,0,0,38,542,14,3,4,0,567
114011275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,13
114011276,39,3,3,0,0,47,12,0,0,0,0,12,5,0,0,0,0,5,13,0,0,0,0,10,19,0,5,0,0,24,55,0,0,0,0,56,57,0,0,0,0,57,99,3,6,0,0,104,70,0,0,0,0,71,52,4,0,0,0,59,34,0,0,0,0,34,32,0,0,0,0,33,478,12,16,0,6,507
114011277,104,4,0,0,0,112,44,0,0,0,0,45,29,0,0,0,0,29,58,5,3,0,0,62,102,5,0,0,0,110,277,29,4,0,0,311,306,21,0,0,0,330,435,11,3,0,0,447,173,3,0,0,0,172,146,0,0,0,0,150,84,7,0,0,0,86,97,8,0,0,0,104,1847,94,14,4,0,1957
114011278,99,5,0,0,0,107,60,0,0,0,0,60,31,5,0,0,0,41,88,7,0,0,0,97,119,8,0,0,0,127,331,15,0,0,0,345,406,14,3,0,0,423,549,8,0,0,0,557,202,4,0,0,0,209,124,0,0,0,0,124,74,0,0,0,0,74,123,0,0,0,0,128,2212,66,14,5,3,2291
114011279,99,4,0,0,0,107,53,0,0,0,0,53,48,11,0,0,0,58,69,0,0,0,0,66,123,0,0,0,0,126,286,5,5,0,0,296,347,5,0,0,0,355,367,6,0,0,0,379,121,6,0,0,0,123,69,0,0,0,0,70,39,0,0,0,0,41,96,6,0,0,0,98,1720,42,10,0,3,1771
114011280,35,0,0,0,0,35,8,0,0,0,0,11,9,0,0,0,0,15,22,0,0,0,0,19,23,0,0,0,0,24,77,6,4,0,0,81,71,0,0,0,0,72,76,8,0,0,0,75,18,0,0,0,0,23,26,0,0,0,0,26,17,0,0,0,0,17,26,0,0,0,0,31,406,15,4,0,5,425
