SA2_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
507031173,0,11,13,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4,15,27
507031174,104,1367,1469,1194,216,1407,634,53,688,549,35,582,242,24,264,146,6,154,2866,1703,4565
507031261,76,396,467,772,81,859,541,29,573,525,17,539,182,8,194,102,0,103,2206,528,2732
507041175,88,1031,1123,1440,144,1588,683,52,733,738,30,764,269,11,280,85,0,88,3300,1265,4566
507041176,17,211,230,391,33,428,219,12,230,253,8,257,110,4,116,38,3,42,1036,266,1299
507041177,140,2110,2249,1780,262,2037,833,51,881,813,16,826,267,14,274,60,0,57,3886,2449,6331
507041178,113,1549,1655,1795,190,1985,867,60,930,981,30,1016,350,14,361,130,0,135,4233,1838,6079
507041179,48,651,700,847,68,918,467,24,488,523,8,529,207,7,207,85,0,85,2177,754,2931
507041180,69,560,628,1287,58,1347,700,17,719,777,7,787,273,3,280,93,3,97,3201,655,3856
507041181,100,1577,1680,1879,197,2081,994,48,1046,1172,26,1198,427,18,446,118,0,120,4699,1865,6561
507041182,68,982,1049,1559,174,1732,708,83,791,645,47,685,247,15,264,83,18,95,3310,1313,4621
507041183,48,713,759,573,116,688,273,30,300,314,27,337,104,12,110,26,7,36,1331,899,2230
507041184,31,196,227,669,30,700,384,16,400,404,4,413,167,0,169,91,0,93,1751,248,1999
507051186,82,970,1046,1048,172,1223,479,40,514,351,15,369,166,17,188,103,8,108,2236,1221,3454
507051187,139,782,925,1347,121,1465,830,41,871,792,30,821,339,15,356,187,9,195,3629,1005,4638
507051188,188,3082,3264,2224,370,2593,758,60,819,516,25,545,200,16,214,100,5,105,3987,3550,7536
507051189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507051190,129,1571,1699,1588,196,1791,693,47,745,525,22,550,207,6,210,93,0,92,3241,1841,5085
507051191,249,1042,1295,1931,180,2107,1373,59,1428,1494,36,1531,683,24,699,268,3,271,5993,1346,7336
507051192,126,1087,1220,1413,171,1586,764,50,814,642,29,675,276,20,290,145,10,155,3366,1369,4744
507051193,103,918,1022,1220,154,1374,642,38,678,575,26,598,219,8,227,144,9,154,2897,1157,4050
507051312,128,828,955,1105,141,1247,708,50,754,673,45,714,307,10,314,153,9,164,3076,1076,4154
507051313,271,1310,1580,2242,235,2480,1567,88,1645,1787,57,1845,743,29,774,352,10,360,6964,1732,8693
507051314,23,95,117,182,16,193,146,7,151,133,7,140,55,0,54,31,0,32,569,126,692
509011225,126,2415,2545,2006,336,2345,705,80,783,529,33,561,213,16,231,122,5,128,3699,2886,6593
509011226,37,361,394,476,67,546,185,20,201,157,12,175,82,8,85,43,4,46,979,469,1447
509011227,37,435,475,736,68,804,273,27,300,286,5,290,104,4,107,44,0,43,1479,541,2019
509011228,100,818,915,829,218,1050,282,58,340,225,34,263,114,14,128,45,9,54,1594,1148,2745
509011229,23,353,372,348,71,421,106,23,128,144,12,159,57,9,67,24,5,28,710,473,1178
509011230,33,501,530,512,99,616,217,33,250,173,20,190,84,12,97,76,13,95,1098,686,1781
509011231,22,529,558,527,106,630,178,21,200,155,19,173,86,9,91,44,7,53,1012,682,1692
509011232,40,336,374,496,54,545,155,11,167,157,8,166,77,0,75,19,0,19,952,399,1355
509011233,74,1020,1095,1271,196,1466,589,53,645,569,22,584,270,9,273,175,7,180,2940,1309,4247
509011234,63,590,649,739,131,863,273,25,299,175,22,200,88,15,106,67,9,73,1403,788,2187
509011235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509021236,62,344,414,705,82,788,322,28,349,262,22,284,143,3,152,99,5,103,1605,489,2092
509021237,35,511,547,461,125,581,143,30,175,135,29,165,56,9,63,38,8,50,870,706,1578
509021238,37,621,658,522,117,645,167,15,183,126,10,137,81,4,85,22,0,22,962,775,1733
509021239,127,1032,1155,1264,342,1601,368,54,421,301,46,348,132,11,141,96,7,103,2282,1485,3768
509021240,42,650,693,603,156,749,223,45,265,183,27,203,89,14,103,37,4,40,1174,889,2065
509021241,45,538,584,500,137,639,209,33,248,180,35,217,84,12,98,39,13,51,1059,769,1830
509021242,24,501,527,387,110,495,115,20,137,77,11,89,38,14,56,24,0,20,672,646,1322
509021243,121,1298,1418,1334,234,1567,511,56,567,448,56,501,214,31,244,149,16,165,2777,1683,4456
509021244,67,536,603,705,146,846,199,30,231,137,17,154,79,9,87,41,4,42,1229,738,1970
509021245,67,750,818,797,170,971,239,27,269,148,19,163,75,7,81,39,3,47,1373,976,2348
509031246,36,457,495,514,84,599,141,22,165,122,13,135,54,5,64,33,0,34,911,579,1490
509031247,44,526,570,544,144,692,164,31,195,167,15,184,92,18,110,27,0,29,1035,738,1778
509031248,30,249,282,300,52,353,114,14,130,106,13,119,46,4,50,21,0,23,615,341,957
509031249,38,662,703,513,113,622,206,38,244,152,19,174,82,11,92,35,0,37,1023,841,1869
509031250,54,606,662,704,136,845,195,22,215,183,18,200,79,23,98,45,7,49,1253,809,2064
510011262,159,1363,1524,1036,1490,2525,694,268,966,687,208,891,369,93,460,259,57,321,3201,3480,6679
510011263,42,862,903,411,682,1091,220,89,310,197,72,269,151,53,203,223,30,250,1243,1782,3027
510011264,4,408,417,148,295,441,133,34,165,106,28,132,77,14,94,176,15,191,642,789,1440
