SA2_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
309101269,9,0,9,6,12,14,0,0,0,12,29,39,0,0,3,549,461,1008,10,37,46,6,0,6,8,3,12,18,12,32,8,4,15,36,33,64,653,590,1243,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,9,11,7,12,24,0,0,0,0,0,4,0,0,0,3,5,3,248,263,513,88,116,206,6,3,11,1013,989,2002
309101561,20,26,44,26,37,63,0,0,0,84,126,213,10,14,18,1649,1219,2864,73,141,214,15,5,14,32,9,39,51,26,78,25,24,52,288,300,586,2278,1923,4201,12,5,21,0,0,0,0,6,11,0,0,4,0,4,4,0,0,0,19,20,34,0,0,0,14,41,56,0,0,0,0,0,0,3,4,5,22,55,71,27,17,43,63,87,148,9,5,11,3,8,16,0,5,5,15,19,31,484,451,934,309,415,722,15,15,33,3160,2915,6076
309101562,21,43,60,32,45,76,0,0,0,102,154,256,28,15,43,1999,1440,3440,97,164,258,21,0,20,63,10,73,82,28,111,41,24,65,236,220,458,2725,2140,4862,12,15,29,0,0,0,7,3,8,8,4,13,0,4,4,0,3,3,27,27,56,0,0,0,36,40,81,0,6,7,0,5,5,0,0,0,44,45,86,41,35,73,105,112,217,9,12,14,9,17,20,3,0,3,14,28,39,503,470,969,387,524,914,20,23,48,3763,3286,7048
310011271,48,67,118,8,3,8,0,0,0,0,0,0,9,0,16,737,512,1251,39,66,102,14,0,13,15,0,15,8,0,12,14,4,17,20,16,33,914,677,1583,10,10,19,0,0,0,0,0,0,9,4,11,3,0,6,0,0,3,26,17,40,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,4,9,20,28,28,65,4,5,7,0,0,0,0,0,0,4,5,7,183,167,346,70,126,195,7,0,6,1204,1000,2206
310011272,16,29,45,41,85,126,0,0,0,0,0,0,5,6,15,1198,841,2039,72,174,249,18,0,18,13,0,14,4,0,6,8,11,18,7,10,15,1387,1155,2540,4,7,10,0,0,0,0,0,0,13,12,23,0,0,6,0,0,0,16,19,36,0,0,0,0,0,0,10,3,9,3,4,3,0,3,3,13,10,18,18,11,30,45,43,88,4,9,11,0,3,4,0,0,0,5,14,13,126,190,315,117,152,270,14,7,19,1683,1562,3249
310011274,82,114,196,44,60,101,0,0,0,0,0,0,26,23,47,2523,1701,4221,237,415,654,50,4,51,37,3,43,9,3,10,17,7,30,47,41,82,3060,2369,5432,18,16,37,0,0,0,0,0,0,12,24,37,4,4,8,3,0,3,38,43,83,0,0,0,0,0,0,0,3,6,3,10,14,0,0,0,5,18,27,50,29,76,90,97,187,10,12,20,0,5,5,0,0,0,10,16,27,228,294,521,181,283,456,37,36,69,3617,3082,6701
310011275,139,120,256,21,15,35,0,0,0,0,0,0,3,3,5,1250,1048,2297,45,98,143,19,0,19,20,0,20,26,5,35,14,3,19,17,23,39,1552,1320,2876,12,18,31,0,0,0,0,0,0,22,15,42,3,5,12,5,6,5,45,42,92,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,3,9,11,8,20,58,57,118,3,3,12,0,0,4,0,0,0,8,5,14,436,480,918,212,347,556,4,3,6,2276,2219,4495
310011276,13,19,34,3,12,15,0,0,0,0,0,0,0,4,5,330,226,556,37,41,82,6,0,6,6,0,8,3,0,3,4,0,5,13,10,19,414,314,732,5,5,12,0,0,0,0,0,0,4,6,9,0,0,0,0,0,0,11,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,11,18,17,34,3,0,7,0,0,0,0,0,0,6,0,7,36,37,70,40,48,88,3,0,7,516,419,940
310011563,35,41,83,24,36,56,0,0,0,0,0,0,15,7,21,1529,1173,2697,92,175,265,18,0,18,17,0,17,3,0,3,17,7,17,4,8,15,1763,1442,3206,6,9,15,0,0,0,0,0,0,24,16,37,0,3,9,0,0,0,34,36,63,0,0,0,0,0,0,4,3,8,0,3,4,0,0,0,10,10,20,23,10,38,64,53,123,3,8,8,0,0,0,0,0,0,4,10,8,198,248,448,133,218,352,8,4,17,2172,1985,4152
310011564,111,137,253,64,125,184,0,0,0,0,0,0,9,19,31,3667,3096,6770,218,351,574,54,0,53,60,5,64,26,3,30,36,11,40,38,60,95,4279,3812,8093,23,22,47,0,0,0,0,0,0,49,35,89,4,8,15,6,4,5,82,76,158,0,0,0,0,0,0,7,9,15,4,13,14,0,0,0,14,19,33,31,27,59,130,119,245,20,18,42,5,6,11,3,0,3,27,21,54,797,928,1725,420,701,1120,16,20,41,5677,5598,11273
