SA2_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
101021007,844,28,0,21,0,901,544,6,0,10,5,566,112,18,6,8,0,141,3,0,0,0,0,3,0,0,0,0,0,0,86,8,0,0,0,97,8,0,0,0,0,12,0,0,0,0,0,0,215,23,3,13,0,262,50,0,0,8,0,51,154,7,0,9,6,167,1809,70,3,51,14,1950
101021008,791,99,9,0,0,896,1057,175,4,0,0,1237,168,139,55,0,0,369,252,36,0,0,0,285,18,23,0,0,0,44,99,27,17,0,0,142,37,8,4,0,0,46,4,0,0,0,0,4,582,235,71,0,0,895,21,3,0,0,0,20,159,39,17,0,0,216,2604,554,103,0,4,3271
101021009,756,175,178,5,4,1118,869,350,335,3,0,1564,209,364,863,3,5,1444,26,58,32,0,0,127,3,44,30,0,0,80,128,88,180,0,0,404,21,13,39,5,5,79,4,3,3,0,0,13,397,577,1147,8,6,2140,24,26,21,0,5,77,84,81,114,8,0,281,2126,1213,1799,23,19,5182
101021010,330,108,92,0,0,527,320,264,133,0,0,712,80,190,385,0,0,659,19,20,17,0,0,59,0,26,7,0,0,32,37,59,84,0,0,175,35,23,19,0,0,75,3,3,0,0,0,11,168,323,509,0,0,1004,8,10,8,0,0,25,31,23,48,0,4,106,855,729,786,0,6,2376
101021012,1103,131,4,3,0,1243,1764,256,14,3,0,2038,270,189,54,0,0,515,87,12,0,0,0,97,10,5,0,0,0,10,91,65,14,0,0,164,191,11,4,0,0,205,4,5,0,0,0,6,644,275,74,0,0,998,20,4,0,0,4,25,87,34,12,0,0,142,3619,700,113,9,3,4443
101021610,122,4,6,0,0,129,1303,70,10,0,0,1378,167,26,6,0,0,198,9,0,0,0,0,9,0,0,0,0,0,0,38,9,0,0,0,47,138,0,0,0,0,143,0,0,0,0,0,0,358,32,5,0,0,398,5,0,0,0,0,9,62,12,4,0,0,72,1846,115,23,0,0,1990
101021611,1857,26,6,9,5,1903,2820,19,12,3,6,2850,257,14,0,0,3,278,0,0,0,0,0,0,0,0,0,0,0,0,212,5,0,0,8,219,28,0,0,5,3,34,3,0,0,0,0,3,499,18,6,5,7,539,82,0,0,3,3,94,259,4,4,9,0,279,5523,65,30,30,16,5664
101031013,495,0,0,3,6,504,244,0,0,0,3,246,43,4,4,0,0,47,7,0,0,0,0,9,4,0,0,0,0,5,88,6,8,5,3,102,23,3,0,0,0,25,0,0,0,0,0,0,160,12,8,6,3,189,51,0,0,0,5,55,92,0,0,0,0,99,1041,15,9,11,17,1093
101031014,1015,26,9,6,0,1056,778,12,4,0,0,795,327,76,85,7,0,498,32,14,6,0,0,50,28,12,6,0,0,48,151,13,11,3,4,176,47,12,3,11,4,73,4,0,0,0,0,6,591,117,118,22,10,858,44,19,4,0,0,71,118,8,19,5,0,154,2551,191,147,37,12,2938
101031015,664,0,0,5,3,674,449,5,0,0,0,452,52,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,63,27,0,0,8,0,39,0,0,0,0,0,0,135,0,0,8,8,148,42,0,0,0,5,51,143,0,0,0,0,147,1435,3,4,14,13,1471
