SA2_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
310041299,8,26,63,42,35,26,3,0,0,203,20,52,67,84,61,26,10,0,0,319,319,599,1373,1256,944,637,140,6,0,5283
310041300,9,27,41,46,53,22,3,0,0,201,17,46,73,74,63,46,11,0,0,337,202,428,931,939,866,507,113,11,0,4001
310041301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310041302,21,63,142,75,68,33,12,0,0,411,37,115,213,178,88,63,9,5,0,706,585,1347,2971,2286,1584,948,187,5,0,9921
310041303,7,13,41,36,35,12,3,0,0,160,8,20,35,45,49,21,3,0,0,186,255,376,806,967,833,463,74,7,0,3786
310041304,15,47,124,126,60,33,0,0,0,413,30,52,181,173,81,40,9,0,0,567,683,1031,3395,3876,2105,869,145,8,0,12120
310041565,12,20,38,44,42,18,3,0,0,174,6,16,40,48,35,12,5,0,0,173,336,406,970,1460,1199,478,84,0,0,4935
310041566,5,23,77,40,26,12,6,0,0,188,15,36,73,49,36,24,3,0,0,231,224,410,1245,1156,682,447,90,10,0,4263
311011305,6,25,39,53,37,52,15,0,0,235,31,33,54,72,94,80,28,8,4,390,377,431,893,1097,1315,1157,384,61,12,5725
311021306,3,19,32,24,23,16,3,0,0,130,12,15,42,55,48,24,5,0,0,215,175,388,784,642,694,512,113,8,0,3320
311021307,15,21,45,47,31,18,14,0,0,194,10,33,84,73,47,28,12,3,0,295,236,474,1162,1032,824,628,168,21,0,4544
311021308,8,29,66,46,25,27,4,0,0,217,14,38,82,55,48,31,9,0,0,271,221,552,1312,995,841,528,114,3,0,4566
311021309,4,17,16,17,19,13,6,5,0,102,5,10,39,40,29,18,8,0,0,154,159,205,502,575,522,464,118,14,0,2556
311021310,11,27,53,46,33,24,5,0,0,206,5,36,68,38,39,23,3,0,0,215,267,554,1267,981,878,666,125,5,0,4745
311031311,18,57,122,103,65,56,5,4,0,424,17,82,203,124,79,51,19,0,0,568,404,1074,2558,1710,1327,988,215,12,0,8297
311031312,5,19,33,35,21,13,4,0,0,127,12,21,60,40,37,29,5,0,0,207,179,342,828,817,612,422,73,10,0,3275
311031313,7,25,68,22,28,28,4,7,0,185,13,40,85,42,39,29,5,4,0,260,185,521,1261,698,658,520,104,9,0,3948
311031314,16,28,44,37,30,21,3,0,0,183,21,32,101,100,53,33,11,0,0,359,337,523,1095,1070,900,640,134,7,0,4691
311031315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311031316,14,32,61,47,34,27,7,0,0,217,9,24,43,53,49,43,13,0,0,232,245,449,875,958,899,716,165,8,0,4313
311031317,10,29,63,46,46,37,7,0,0,230,14,73,119,108,59,43,9,0,0,434,372,678,1393,1368,1059,714,129,3,0,5716
311031318,7,4,19,21,36,24,9,0,0,122,12,11,18,31,24,33,11,0,0,128,191,182,308,384,605,505,103,7,0,2281
311031319,20,35,87,81,69,45,13,0,0,349,14,33,99,77,88,66,20,0,0,393,483,690,1645,1790,1655,1347,234,17,0,7869
311041322,9,19,28,45,53,43,7,0,0,204,12,22,43,57,47,44,0,4,0,227,337,323,716,889,986,697,155,15,0,4121
311041567,8,13,34,32,36,20,6,0,0,150,8,10,30,36,48,12,0,0,0,150,254,242,573,735,786,398,57,3,0,3051
311041568,21,22,70,71,55,33,6,0,0,274,18,25,62,96,73,28,0,0,0,302,375,477,1089,1397,1224,642,120,0,0,5321
311041569,14,15,28,38,34,30,14,0,0,180,13,9,47,43,42,55,7,5,0,222,259,342,746,754,850,604,148,16,0,3727
311041570,31,46,87,108,102,70,28,0,0,470,27,48,81,101,129,72,20,0,0,476,640,691,1568,2040,2157,1384,304,26,0,8800
311041571,8,27,76,39,23,5,3,0,0,188,7,37,110,65,38,12,0,0,0,273,205,525,1590,1072,575,291,63,6,0,4322
311051323,10,31,72,51,30,15,0,0,0,208,23,29,88,59,38,36,9,0,0,287,281,485,1235,1072,832,620,134,21,4,4682
311051324,11,15,31,35,35,27,12,0,0,173,9,17,37,33,56,31,21,0,0,203,336,381,764,1052,1159,803,253,11,0,4759
311051325,13,20,79,57,43,45,10,0,0,258,14,31,81,57,51,44,17,0,0,291,316,494,1374,1354,1177,812,216,9,0,5756
311051326,10,23,68,29,39,21,11,0,0,198,22,33,71,70,49,39,4,0,0,304,275,523,1201,984,823,558,148,18,0,4535
311051327,9,16,52,71,70,57,14,0,0,301,14,22,55,62,56,43,13,4,0,265,416,527,1136,1533,1426,1098,261,16,0,6407
311051328,8,15,32,43,35,13,3,0,0,145,5,22,48,39,26,23,4,0,0,181,160,289,666,638,548,380,96,5,0,2778
311061329,10,11,30,39,26,20,11,0,0,148,12,8,30,34,26,28,9,0,0,145,223,253,664,915,773,511,166,10,0,3516
311061330,6,23,42,20,32,18,3,0,0,152,22,40,72,55,61,37,5,0,0,291,198,429,804,646,609,456,98,6,0,3243
311061331,7,11,17,20,21,6,0,0,0,79,13,21,56,34,24,19,6,0,0,171,112,215,426,374,351,216,61,4,0,1758
311061332,16,32,78,85,87,42,11,0,0,345,11,24,77,85,64,40,10,4,0,311,460,578,1535,2058,1649,1077,312,32,0,7696
311061333,8,23,52,33,34,22,8,0,0,174,14,40,68,73,55,26,9,3,0,285,204,437,899,926,774,561,152,20,0,3974
311061334,10,21,46,44,37,38,13,0,0,218,7,17,45,58,48,30,9,0,0,225,271,379,1035,1144,968,708,250,15,0,4778
311061335,3,15,36,28,19,12,3,0,0,123,10,14,41,45,28,23,7,0,0,163,169,302,774,869,682,386,104,12,0,3296
311061336,7,21,35,39,32,19,3,3,0,159,19,49,86,70,67,48,4,0,0,341,223,458,887,873,729,550,140,19,0,3881
312011337,5,15,27,14,23,24,5,0,0,125,23,25,43,41,37,37,16,0,0,226,261,354,1000,845,841,837,243,31,0,4420
312011338,8,11,50,29,13,16,8,0,0,146,4,13,23,25,34,20,3,0,0,133,180,383,1228,1291,1343,1054,218,26,0,5733
312011339,10,9,16,14,10,9,7,0,0,85,0,9,11,13,12,12,0,0,0,65,108,213,541,529,508,445,131,26,6,2508
312011340,10,5,12,12,11,6,0,0,0,54,7,7,11,14,18,28,4,4,0,87,98,132,404,386,477,430,113,18,9,2070
312011341,11,23,49,32,29,22,3,0,0,172,11,12,44,46,35,28,0,0,0,172,341,466,1469,1578,1302,748,122,7,0,6033
