SA3_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
10102,5630,3248,1287,303,34228
10103,2808,1763,739,207,14895
10104,9159,8831,3943,1336,41965
10105,3412,2664,1244,444,19223
10106,3385,2519,1164,306,18403
10201,16336,13229,7277,2875,94475
10202,12641,10055,5640,2169,78978
10301,4058,3093,1459,490,24993
10302,4301,3351,1680,585,24305
10303,4270,3319,1686,440,23485
10304,4742,3572,1746,594,30099
10401,5261,4750,2151,706,26908
10402,8728,7699,3608,1271,48056
10501,1946,1293,596,176,10503
10502,1692,1244,516,220,9033
10503,5605,4049,2135,728,35264
10601,7287,5124,2051,552,45416
10602,5815,3983,1875,600,40639
10603,7253,6581,3656,1031,37667
10604,2258,1488,658,246,13948
10701,5663,3783,1951,750,36399
10702,0,0,0,0,4
10703,8319,6523,2992,1178,49705
10704,11629,8286,4203,1680,75218
10801,3504,3626,1966,727,17126
10802,5415,4731,2083,647,25477
10803,54,38,22,4,282
10804,8163,7821,4329,1640,45068
10805,5637,5309,2636,847,27982
10901,5312,3914,1887,605,32448
10902,1121,741,340,97,5950
10903,3598,3065,1668,596,19542
11001,3377,2599,1461,473,19966
11002,3418,2918,1382,402,17696
11003,2067,1350,616,169,11875
11004,6231,4767,2590,906,39201
11101,10722,8394,4443,1533,64202
11102,6740,5945,3346,1302,41853
11103,13741,9990,5022,2233,96373
11201,9103,8001,3298,1184,49852
11202,7031,5527,2241,828,35976
11203,9303,7848,4171,1830,50684
11301,3294,2080,1010,436,21169
11302,1329,918,498,171,6909
11303,7429,5554,2587,994,47486
11401,10754,9866,4886,1519,56469
11402,5306,5308,3246,1076,29711
11501,14394,10498,5087,2039,88292
11502,2825,1996,1074,366,15008
11503,2498,1552,590,134,12808
11504,3402,1893,713,189,29274
11601,8904,5942,2518,824,70707
11602,7225,3990,1261,257,75504
11603,6400,3703,1491,671,47161
11701,3449,1924,928,275,34528
11702,3725,2070,801,233,33494
11703,14299,8827,3696,1238,163125
11801,10337,7830,4583,1905,82653
11802,10482,6836,3651,1688,81886
11901,10794,6476,3193,1623,80204
11902,7984,4159,2135,1063,64794
11903,10269,6555,3219,1647,70463
11904,9782,6025,3214,1623,81139
12001,7514,5255,2489,1025,52576
12002,5143,3629,1468,417,35463
12003,11772,6909,3201,1560,97550
12101,10063,7106,3685,1667,74039
12102,7698,5191,2820,1105,51445
12103,12953,8990,5875,2670,74547
12104,9041,7169,4249,1346,64673
12201,4317,2572,1506,475,26777
12202,7127,5333,3090,1164,36452
12203,13426,8493,5271,2275,88156
12301,4394,2693,1133,438,34051
12302,10923,7311,2951,809,79991
12303,3282,2429,1020,371,21768
12401,8757,7544,3326,1025,45374
12402,0,3,0,0,5
12403,9384,6160,2734,927,74434
12404,2649,1686,944,375,18571
12405,3595,2157,725,256,24090
12501,4961,2765,1072,422,53978
12502,6062,3645,1885,691,39919
12503,8225,4959,2357,1031,69259
12504,8706,5644,2970,1267,90089
12601,5232,3678,1825,688,33368
12602,12027,8036,3969,2033,90070
12701,6764,3526,1364,399,58781
12702,9674,6173,2754,1109,66508
12703,7900,4380,2052,827,62374
12801,10506,7552,4137,1939,65382
12802,9748,6759,3215,1219,60186
