SA3_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
11101,22397,13603,13340,15162,15771,15625,13861,8709,3470,121948,9,17,17,11,19,24,25,37,16,175,457,520,477,371,353,323,266,146,83,2989,0,8,9,5,3,8,8,3,0,44,0,7,9,3,5,19,7,6,0,53,0,0,0,3,0,0,0,7,0,14,0,0,0,0,0,4,0,0,0,6,0,0,0,5,0,3,0,0,0,10,4,0,0,0,0,0,0,4,0,9,0,0,5,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,459,542,497,391,362,355,278,164,85,3136,471,559,516,401,379,377,305,193,106,3308,12,5,15,11,10,13,14,3,0,90,22875,14170,13872,15579,16167,16019,14186,8906,3573,125348
11102,14923,9091,9629,9462,9849,10257,9763,6141,2504,81624,10,16,10,10,16,23,27,46,29,184,308,364,261,199,209,230,152,112,64,1905,0,5,4,3,3,3,3,0,0,23,0,4,8,5,13,3,11,0,0,48,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,3,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,308,372,280,212,222,248,182,119,69,2012,315,391,290,218,234,271,203,163,96,2194,3,5,11,11,3,5,6,3,0,54,15248,9487,9927,9689,10093,10542,9978,6307,2603,83872
11103,28684,23431,26650,22279,20993,19448,15847,9516,4439,171277,18,38,18,23,33,43,39,44,44,290,662,1099,1059,686,581,615,517,361,189,5767,9,11,29,10,16,12,10,3,0,102,0,26,29,15,23,23,18,0,0,135,0,3,3,0,6,3,3,0,0,17,0,5,0,0,9,7,3,0,0,21,0,0,6,0,7,3,0,4,0,19,0,3,0,0,0,0,0,0,0,4,0,11,3,0,4,10,5,0,0,36,0,0,0,0,0,0,0,0,0,4,672,1158,1127,716,644,670,557,376,191,6106,687,1194,1146,739,679,709,590,421,233,6403,31,32,54,36,22,42,38,11,0,258,29395,24657,27849,23054,21691,20198,16475,9941,4675,177937
11201,13870,7579,9090,10489,11291,11857,11373,5808,2497,83846,18,9,25,17,16,27,35,29,19,193,341,399,464,346,388,534,463,192,65,3182,18,42,56,31,38,96,225,100,10,607,22,57,80,65,52,67,51,9,0,410,4,11,9,4,5,14,17,7,4,68,0,0,3,7,3,8,4,5,0,41,0,0,0,0,0,8,21,4,0,39,0,0,0,0,0,0,0,0,0,9,0,4,3,0,4,14,10,0,0,41,0,0,0,0,0,0,0,0,0,0,379,520,614,453,488,744,798,325,75,4394,404,535,635,467,507,768,834,344,96,4592,10,40,72,17,34,20,22,13,3,227,14292,8149,9801,10976,11832,12638,12228,6161,2588,88665
11202,12281,7445,7030,7624,8921,10454,9129,4544,1836,69273,13,24,17,17,25,30,27,27,9,193,262,382,321,237,290,306,275,164,101,2335,0,6,9,3,12,19,38,11,0,95,22,28,38,41,40,77,70,14,5,342,0,0,0,0,0,3,7,0,0,7,0,0,9,0,0,5,7,0,0,17,0,0,4,6,5,3,0,0,0,15,0,0,0,0,0,0,0,0,0,8,0,3,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,294,431,375,288,349,411,394,185,105,2835,305,454,394,309,371,444,423,212,112,3022,7,16,50,36,13,16,0,3,6,156,12598,7919,7473,7965,9308,10919,9553,4766,1956,72453
11203,15791,8768,8463,10744,11607,13318,12834,8137,3676,93340,9,17,10,15,22,31,29,51,10,200,266,306,344,298,340,502,540,201,83,2878,6,8,24,8,27,63,226,173,10,543,79,112,162,137,139,146,117,49,13,945,0,0,3,0,4,13,20,19,0,64,3,0,0,4,0,3,3,0,0,29,0,0,0,4,0,9,20,20,9,61,5,0,0,4,0,0,0,0,0,5,0,0,0,3,4,15,28,14,7,65,0,0,0,0,0,0,0,0,0,0,353,423,541,457,513,756,956,472,115,4587,364,443,548,473,533,787,988,517,128,4790,8,6,27,12,10,12,29,18,3,123,16165,9216,9037,11225,12154,14112,13848,8677,3803,98247
11301,9574,5594,6422,5700,5976,6017,4418,2708,1222,47629,30,22,19,16,16,25,23,6,5,165,178,327,312,199,211,234,106,61,41,1671,7,25,40,21,27,17,39,10,0,183,0,3,9,10,4,24,8,0,0,66,0,0,5,7,5,6,7,0,0,34,0,0,3,0,5,4,0,0,0,13,0,0,0,0,6,5,4,0,0,19,0,0,0,0,0,0,0,0,0,3,3,0,5,4,7,4,9,0,0,40,0,0,0,0,0,0,0,0,0,0,194,352,378,247,264,302,169,70,50,2022,225,379,393,264,281,325,197,79,48,2191,0,24,79,44,20,22,8,0,0,185,9793,5995,6893,6008,6274,6363,4623,2784,1277,50003
11302,2683,1369,1381,1630,1768,2093,1790,1099,377,14192,5,3,0,0,10,4,0,3,0,30,39,89,95,70,76,96,58,14,21,561,0,9,13,6,12,7,11,0,0,53,4,10,3,3,19,6,0,0,0,39,0,0,0,12,5,0,0,0,0,11,0,0,0,4,0,5,0,0,0,15,0,0,0,5,0,8,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,7,14,4,12,5,6,0,3,48,0,0,0,0,0,0,0,0,0,0,45,109,121,102,123,128,70,19,24,742,50,112,119,109,128,133,75,22,24,768,0,0,0,0,0,0,3,0,0,13,2732,1484,1503,1738,1900,2233,1861,1123,403,14978
11303,19036,12389,12217,11132,10956,11365,9785,5772,2448,95111,32,14,31,21,21,26,37,43,18,245,387,1054,607,344,371,449,320,181,76,3795,3,103,62,39,28,42,22,0,0,306,3,181,60,23,28,34,16,4,0,350,0,31,17,12,12,6,9,0,0,80,3,38,8,0,6,11,3,0,0,64,0,11,8,0,0,5,0,0,0,24,0,8,4,3,0,0,0,0,0,11,0,45,29,18,24,18,11,4,0,150,0,0,0,0,0,0,0,0,0,0,403,1472,795,453,461,566,374,192,79,4790,430,1487,826,468,481,592,413,237,93,5036,14,25,64,57,6,7,6,5,3,192,19484,13902,13101,11662,11445,11970,10210,6018,2549,100334
11401,16848,9674,10431,10620,11687,15093,16016,9371,3340,103073,22,24,13,32,26,54,60,51,23,304,736,674,586,575,625,830,654,283,114,5081,6,3,17,8,11,13,22,0,0,90,10,3,12,24,16,25,8,0,0,101,0,7,0,4,0,0,0,0,0,14,0,0,4,0,0,5,4,0,0,22,0,4,0,0,4,4,7,0,0,19,0,0,6,4,3,0,0,0,0,15,10,15,15,11,22,27,25,10,5,129,5,0,0,0,0,3,0,0,0,4,763,704,639,626,691,908,725,300,122,5469,786,723,652,661,712,959,784,354,143,5775,13,11,19,16,16,14,7,12,0,118,17653,10410,11102,11296,12418,16066,16807,9734,3487,108966
