SA3_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
60402,0,0,0,12,27,31,49,53,11,7,13,6,0,3,9,219,0,0,0,3,11,0,5,0,0,0,0,0,0,0,0,24,0,3,0,6,0,4,0,10,0,0,0,0,0,0,0,16,0,0,9,8,20,19,48,13,0,0,0,10,0,0,4,128,0,0,0,0,0,0,14,29,14,11,6,0,0,4,0,81,0,0,0,0,0,0,9,20,4,9,24,28,4,0,4,103,0,0,0,0,0,3,20,6,11,3,4,0,0,0,0,52,62,277,645,389,191,81,139,42,8,7,7,10,3,0,63,1926,0,3,10,17,7,14,21,16,0,4,0,3,4,0,9,114,0,0,0,4,3,0,12,16,3,0,7,6,4,0,0,60,14,34,64,51,45,46,79,49,5,22,20,69,18,19,33,573,102,472,897,659,510,330,622,510,180,222,219,250,71,42,165,5257
60403,0,0,0,0,15,8,27,7,0,9,3,0,0,0,3,80,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,9,6,17,31,7,10,0,0,3,5,0,0,90,0,0,0,4,6,0,0,5,6,6,4,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,4,3,3,8,0,0,0,3,4,0,3,26,17,69,194,111,65,40,40,11,0,4,4,6,0,0,26,584,0,5,4,8,7,0,16,9,3,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,14,35,21,16,8,34,26,0,3,3,3,11,13,0,203,39,140,296,215,225,202,302,229,56,76,63,53,48,17,66,2032
69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,9,6,5,5,3,0,0,0,0,0,0,8,42
70101,0,3,0,20,46,40,204,215,80,56,54,76,24,3,12,834,0,0,4,4,14,0,6,8,3,0,0,0,0,0,0,38,0,0,6,12,6,10,6,5,5,7,0,8,11,0,5,84,0,0,4,6,10,17,61,15,10,6,21,35,11,3,0,209,0,0,0,3,8,6,28,81,69,73,73,65,12,3,0,428,0,0,0,0,0,5,35,81,24,12,7,8,0,0,4,175,0,0,0,0,15,11,53,34,9,7,11,4,7,0,13,165,16,64,235,219,181,121,239,195,32,21,35,73,40,11,30,1527,0,0,3,19,14,13,23,19,9,12,19,6,5,4,4,144,0,0,0,17,27,4,40,53,27,38,29,36,20,0,8,308,6,17,73,138,139,99,225,258,93,82,67,133,56,5,25,1424,51,192,525,663,743,621,1685,2148,820,804,710,879,338,62,229,10472
70102,0,0,6,63,290,161,675,700,130,162,132,134,38,12,41,2552,5,0,0,5,18,0,8,0,0,11,0,0,0,0,0,45,0,3,14,24,25,13,27,16,0,4,5,7,0,0,4,142,0,0,6,11,8,19,71,26,15,10,12,19,3,0,3,192,0,0,7,24,46,32,75,118,50,34,47,33,16,0,8,492,0,0,0,0,9,7,34,65,10,14,9,4,0,0,0,155,0,0,4,20,52,52,123,71,23,17,4,22,6,0,9,410,27,122,371,267,171,132,256,212,28,32,45,44,25,8,39,1781,4,0,8,21,21,21,36,45,4,6,6,3,6,0,3,183,0,0,0,19,73,47,69,111,42,21,31,24,27,3,12,490,10,43,156,482,437,317,569,441,102,88,102,193,46,9,83,3073,77,370,1010,1537,1781,1324,3639,3802,967,1046,1001,1066,387,71,408,18485
70103,0,0,0,11,36,21,29,38,4,0,0,5,0,3,9,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,14,0,0,3,3,3,12,42,9,0,0,0,3,0,0,3,74,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,8,14,16,28,25,6,3,11,14,6,0,6,145,18,73,245,146,108,72,162,68,14,9,9,14,5,31,52,1021,0,4,10,9,9,10,9,12,3,0,0,0,3,0,0,64,0,0,0,19,31,11,17,20,0,7,0,4,0,0,15,128,3,26,78,87,73,44,99,49,9,6,12,8,10,10,50,554,39,164,461,460,444,320,627,376,77,56,79,99,33,110,230,3572
70104,0,0,6,24,137,107,595,488,93,62,55,71,19,0,31,1687,0,0,0,3,0,5,6,0,0,0,0,0,0,0,0,22,0,0,0,8,8,6,9,0,0,13,0,0,0,0,0,49,0,0,3,9,11,9,72,63,19,9,13,12,0,0,0,208,0,0,0,11,8,7,33,38,13,15,14,10,0,0,4,151,0,0,0,0,0,8,12,33,7,3,4,7,0,0,3,81,0,0,0,12,16,31,75,46,12,5,14,12,3,0,3,228,3,51,239,119,79,80,198,154,23,15,3,27,6,0,28,1007,0,0,4,8,3,5,17,19,0,0,4,10,4,0,0,74,0,0,0,7,30,28,36,49,8,16,10,20,0,0,8,210,3,17,45,114,134,127,384,279,115,48,65,60,27,10,43,1450,19,107,379,464,684,695,2203,1876,421,331,345,365,119,28,204,8239
70201,0,0,0,3,57,55,142,133,46,34,40,64,30,13,22,640,0,0,3,3,7,4,13,3,0,0,0,0,0,0,0,38,0,0,0,3,4,5,5,0,0,0,3,0,0,0,0,28,0,0,3,3,20,17,85,50,6,0,11,0,0,0,5,210,0,0,0,4,4,4,24,41,19,10,9,9,0,3,0,148,0,0,0,0,0,9,17,27,3,0,5,6,0,0,0,70,0,0,0,0,4,7,26,16,0,3,6,7,5,0,6,84,4,70,251,184,113,91,139,99,11,14,20,20,13,5,37,1078,0,0,5,21,17,38,48,91,31,44,70,123,105,103,17,717,0,0,0,10,7,14,12,16,5,8,6,15,0,4,0,99,10,27,61,65,85,121,486,222,81,58,59,69,31,26,40,1447,24,200,429,487,538,586,1778,1453,433,389,486,615,297,200,199,8118
70202,0,0,0,5,8,4,13,20,0,8,5,10,8,0,3,75,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,13,0,0,0,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,11,0,13,48,23,18,5,5,10,0,5,4,6,0,0,3,153,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,9,3,3,8,39,24,9,3,3,8,5,3,8,135,8,35,76,58,61,47,134,133,23,32,46,61,24,7,33,761
70203,0,0,0,0,7,6,7,20,6,4,6,5,0,0,4,82,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,9,10,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,5,8,0,3,0,5,0,0,0,31,4,28,105,65,40,25,34,19,6,9,13,15,4,0,16,382,0,4,9,0,0,9,3,0,0,0,0,4,0,3,0,31,0,0,0,4,9,8,19,13,0,5,0,19,0,0,13,87,3,12,23,28,22,25,44,18,15,3,6,25,12,0,7,245,9,84,176,170,169,134,202,171,54,41,54,116,40,9,67,1489
70204,0,0,0,0,7,12,15,18,6,0,9,4,0,0,10,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17,7,0,3,3,0,0,0,0,41,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,17,0,5,25,20,25,16,19,13,3,0,11,3,0,0,4,146,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,16,37,29,44,22,10,5,8,4,8,0,7,194,3,15,41,73,121,112,205,119,37,30,47,29,12,3,28,883
70205,0,0,0,5,18,34,51,71,17,12,20,24,4,0,14,272,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,4,3,11,10,25,15,3,4,0,5,11,4,8,96,0,0,4,0,0,6,7,19,6,9,5,0,0,0,0,51,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,10,6,4,8,3,0,3,0,0,0,0,26,8,39,112,95,56,40,79,31,3,5,8,18,17,0,26,527,0,0,3,6,3,3,4,12,0,0,0,3,0,0,3,42,0,0,0,4,5,0,3,6,0,5,4,0,5,0,5,38,0,9,28,26,35,38,74,53,22,21,17,42,74,11,27,474,18,90,220,236,272,228,402,402,126,108,102,169,146,22,111,2653
