SA3_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
12404,18855,19234,38086,1223,1126,2354,2324,2205,4531,1195,1138,2331,1324,1211,2538,3066,2922,5983,2341,2376,4719,2317,2471,4789,2253,2239,4497,1595,1801,3397,930,1171,2107,278,566,842,22,17,43,17604,18238,35845,1249,989,2238,1228,1194,2427,20,12,29,12,18,26,1260,1225,2487,15034,15338,30373,2753,2893,5642,15418,16073,31497,1618,1692,3309,16022,16666,32688,348,323,665,2148,2070,4217,804,792,1599,310,385,693,419,869,1288,5475,6805,12279,1088,1076,2170,4914,4516,9432,1269,1243,2519,706,689,1392,87,70,160
12405,28287,28387,56673,2139,1978,4123,4095,3809,7908,1846,1668,3512,1866,1820,3685,4182,4402,8583,3882,3981,7863,3473,3395,6871,3347,3499,6851,2317,2377,4698,934,1018,1954,202,430,638,37,49,93,28193,28200,56390,95,184,280,1272,1278,2548,19,24,43,26,31,62,1320,1338,2651,18291,18109,36402,8075,8314,16385,18895,18505,37392,7339,7754,15100,23640,23662,47305,525,494,1023,3707,3441,7152,1269,1241,2515,502,605,1109,675,1211,1884,9747,11055,20804,1655,1475,3129,6132,5525,11658,1590,1440,3029,971,1027,2006,214,275,487
12501,54713,48996,103707,3344,3065,6410,5100,4994,10095,2185,2083,4262,5200,4293,9495,13973,11693,25666,9101,7345,16437,5785,5267,11051,5006,4986,9990,3113,3207,6325,1426,1426,2852,485,632,1116,183,169,346,52984,48481,101471,1731,509,2238,411,241,653,10,7,18,13,8,22,437,257,693,17779,15875,33657,33392,30247,63646,11345,9673,21017,38143,35736,73883,31646,30929,62571,773,728,1508,4632,4579,9209,1758,1780,3534,2782,2474,5253,3716,3976,7689,30622,28269,58899,1691,1342,3034,3866,3292,7160,1512,1210,2725,2007,2096,4110,1626,1665,3291
12502,36609,37111,73719,2230,2054,4279,5364,4846,10209,2210,1946,4154,2326,2010,4336,4576,4660,9233,5667,5961,11629,4566,5064,9633,4361,4600,8960,3055,3257,6314,1636,1883,3521,625,827,1452,90,105,194,36348,36764,73107,266,348,619,272,245,513,14,8,21,5,11,15,285,264,555,18066,17224,35291,17101,18496,35594,15545,14696,30241,19468,20825,40297,29025,28963,57986,731,673,1406,5113,4583,9696,1948,1733,3681,1230,1110,2335,1438,2049,3483,20682,21588,42271,1372,1237,2605,3437,3573,7007,1083,1159,2243,717,839,1554,324,386,712
12503,82969,80494,163464,6135,5703,11836,11546,11159,22702,5363,5002,10373,6504,5701,12207,13702,12661,26361,11699,11127,22824,9454,9463,18921,8240,8471,16711,6019,6115,12126,3198,3397,6596,1098,1700,2798,134,148,285,82015,79796,161809,946,702,1649,544,646,1185,32,31,64,8,10,25,588,689,1275,38111,38168,76282,37983,36176,74158,26327,25269,51601,48692,48104,96795,61759,62752,124508,1448,1316,2762,10165,9880,20048,4044,4079,8128,2822,2648,5469,3017,3935,6953,35276,35486,70762,3340,3021,6367,10508,9631,20134,3184,2988,6176,3915,3964,7879,2420,2790,5212
12504,77748,75634,153383,5381,5138,10523,9551,9175,18731,3279,3080,6358,5276,4669,9947,15696,15275,30972,15532,13448,28983,8184,7911,16100,6387,6764,13149,4639,5296,9937,2756,3335,6094,1065,1542,2603,210,271,479,76007,73937,149942,1744,1695,3441,599,571,1171,15,29,47,9,14,30,626,614,1240,30351,30092,60443,42525,40997,83522,28452,27683,56131,43703,42700,86403,50350,50334,100686,1469,1411,2880,8837,8543,17383,2794,2654,5449,2887,2604,5489,4130,5035,9163,45046,43257,88305,2393,2000,4391,6780,6823,13604,1694,2013,3709,1462,1786,3244,613,815,1429
12601,26290,28234,54524,1325,1352,2672,3862,3882,7744,1568,1623,3193,1688,1633,3315,3268,3545,6817,3981,4399,8382,3469,3680,7148,3059,3357,6418,2378,2578,4956,1208,1487,2692,482,699,1182,73,113,187,26181,28093,54270,109,141,250,75,61,132,5,5,8,3,8,11,84,72,153,12921,13227,26146,12719,14284,27006,12618,12645,25259,12947,14768,27719,20530,21541,42069,478,498,975,3737,3739,7477,1456,1520,2975,1012,1023,2037,1106,1592,2699,17146,18057,35204,762,863,1626,1541,2037,3578,551,668,1214,272,364,636,137,213,348
12602,71806,75211,147020,4101,3965,8069,8233,7532,15767,3665,3357,7021,4946,4639,9585,12492,13036,25531,11654,11938,23590,8531,9197,17735,7745,8563,16310,5836,6684,12520,3147,3877,7029,1456,2410,3865,230,279,500,70089,73222,143309,1721,1991,3705,317,327,646,18,15,33,6,7,14,344,350,696,36241,35468,71709,32954,36982,69934,35543,34877,70415,32926,36807,69733,54945,56167,111112,1328,1223,2555,7886,7271,15158,3298,3050,6343,2846,2737,5585,3659,5029,8685,44981,47440,92420,2252,2088,4337,5681,6425,12112,1611,1798,3412,1326,1747,3075,513,724,1239
12701,70903,71998,142898,6295,5785,12084,11664,10928,22594,5034,4777,9811,4799,4687,9479,10357,11801,22158,10691,11020,21708,8332,8579,16912,7005,7180,14188,4287,4586,8872,1896,2000,3895,534,661,1196,73,122,196,70669,71896,142562,234,105,341,1314,1418,2729,22,30,49,25,16,43,1358,1462,2825,40700,40290,80993,26985,28451,55438,32860,31872,64736,34110,36121,70230,61185,61853,123038,1665,1497,3158,10771,10161,20932,3872,3897,7776,1708,2004,3707,1775,3017,4797,29419,32399,61821,3472,3074,6540,10424,9313,19740,2769,2763,5527,2566,2835,5399,1353,1905,3256
12702,95813,98693,194510,5033,4902,9932,12725,11812,24534,6990,6544,13534,7017,6679,13693,12658,12310,24965,10939,12309,23244,12242,13385,25627,13031,13405,26435,9161,9962,19127,4449,4993,9435,1579,2396,3971,139,160,299,95152,97711,192863,662,986,1646,641,721,1365,28,16,45,19,14,34,686,759,1445,39023,36179,75205,51591,57525,109116,24332,21851,46175,65212,70302,135516,75365,77186,152551,1244,1136,2382,11576,10788,22367,5406,5527,10934,2887,3145,6034,3003,4499,7504,39367,40161,79526,4604,3949,8548,12028,11344,23372,4661,4971,9630,6919,8519,15432,5130,7632,12768
12703,68071,68765,136840,5217,4835,10052,10037,9682,19718,4550,4207,8751,4885,4591,9474,10092,10659,20752,10215,10354,20565,8440,8632,17073,7101,7064,14169,4454,4791,9244,2340,2714,5054,750,1243,1992,116,117,235,66356,67505,133856,1720,1262,2987,1010,1073,2082,17,21,38,25,32,47,1048,1122,2172,34606,33623,68223,29191,31071,60261,27868,26640,54510,35052,37036,72082,55350,55762,111115,1247,1213,2466,9214,8930,18138,3485,3430,6916,1794,2032,3827,2333,3502,5841,30726,32461,63187,3116,2688,5804,8735,7830,16560,2452,2396,4853,2265,2941,5203,1212,1628,2837
12801,57042,60114,117159,3437,3143,6580,7270,6702,13968,3505,3287,6795,3244,3236,6480,6857,7238,14091,7293,7842,15130,7839,8303,16141,7160,7532,14692,5546,6200,11741,3415,4209,7623,1483,2427,3903,84,81,166,56389,59081,115465,656,1034,1694,829,765,1593,21,13,31,18,14,32,869,786,1657,44223,45496,89719,10898,12694,23589,47024,48473,95500,7860,9362,17228,51885,54399,106283,1140,1086,2228,6939,6440,13380,2960,2845,5809,1296,1425,2721,1477,2314,3789,27764,30711,58471,2955,2464,5419,10256,10775,21030,2164,2596,4758,1005,1207,2213,200,203,400
12802,54138,56614,110751,3329,3308,6635,7764,7263,15031,3703,3432,7135,3303,2996,6298,5888,6198,12084,7236,7976,15212,7443,8056,15505,6493,6971,13468,5182,5589,10772,2840,3269,6110,960,1552,2507,44,61,105,53738,55803,109545,397,810,1206,767,756,1523,22,11,38,17,18,39,804,789,1593,43324,44547,87875,9709,10866,20575,46168,47244,93412,6687,7783,14469,50547,52328,102877,1238,1195,2435,7573,7089,14661,3151,3059,6213,1370,1422,2789,1353,2234,3585,25591,28491,54078,2834,2313,5153,10245,10133,20382,2080,2383,4466,940,1043,1977,147,181,324
19797,31,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,16,0,18,10,0,8,4,0,3,0,0,0,0,0,0,0,3,3,0,0,5,30,4,32,0,0,0,0,0,0,0,0,0,0,0,4,27,4,32,3,0,3,31,4,34,3,0,3,34,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,6,0,8,14,0,14,8,0,3,0,0,0,0,0,0
20101,55675,59970,115639,3406,3340,6746,7851,7297,15150,3665,3573,7235,3662,3759,7423,7792,7970,15759,6807,7613,14421,6762,7469,14230,6328,7116,13441,5392,6323,11716,2975,3667,6641,1028,1843,2872,58,47,102,54128,58153,112280,1549,1814,3365,991,1065,2056,44,37,77,25,18,44,1058,1120,2179,46612,50326,96940,6285,6754,13033,48941,52998,101944,3953,4106,8060,50205,54332,104538,1037,1016,2058,7343,6943,14284,2704,2780,5482,1130,1515,2641,1635,2868,4504,21299,26032,47336,6487,6902,13385,8043,7491,15532,3549,3406,6954,2134,2339,4470,194,168,366
