SA3_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
10102,1450,3002,1261,701,1288,497,19,8212,702,1512,944,679,1159,325,14,5344,314,590,382,328,738,164,0,2526,111,124,63,43,344,84,0,771,11356,16715,6723,4107,9992,2957,65,51922
10103,707,1282,556,312,593,381,4,3836,401,716,422,334,609,264,0,2758,188,303,199,161,389,154,0,1392,57,68,28,32,248,50,4,481,4989,6211,2523,1696,4452,2425,155,22451
10104,2084,4446,2482,1445,2081,891,12,13438,1541,3839,2804,2114,2817,896,11,14016,734,1504,1160,1016,2062,635,3,7131,259,344,230,174,1223,369,0,2600,11199,18849,10453,7241,13412,5270,80,66497
10105,922,1675,812,578,1080,393,3,5462,570,1121,782,625,1245,356,6,4718,329,511,351,317,889,236,0,2629,102,147,64,63,559,95,0,1029,5943,8481,4013,3074,7775,2777,36,32091
10106,873,1718,809,539,931,396,10,5272,568,1086,800,697,1063,330,0,4554,298,465,350,296,857,243,0,2503,102,102,58,55,481,87,0,879,5929,8631,4249,3144,6405,2386,32,30776
10201,3756,8405,3944,2329,4191,997,33,23657,2482,5737,4047,2727,5205,1103,33,21329,1582,2882,1958,1515,4505,1089,16,13548,637,778,384,309,2555,1088,6,5748,28194,42219,20957,14638,32726,8233,190,147156
10202,3169,6438,3329,2231,4868,943,27,21007,2116,4508,3153,2341,5837,1080,24,19052,1269,2156,1478,1297,4603,1232,5,12034,464,555,286,219,2185,1041,5,4757,24600,35337,17425,13760,36264,8933,121,136448
10301,1021,1972,978,602,1118,378,6,6088,627,1389,943,697,1256,342,4,5257,327,567,407,321,1039,242,3,2910,123,160,71,55,648,97,0,1153,7673,11026,5079,3522,9245,3571,52,40171
10302,1254,2159,1068,769,1723,658,9,7644,885,1490,1022,985,1992,542,0,6929,444,723,537,495,1630,415,5,4240,179,220,118,118,890,211,0,1740,7820,10923,5528,4598,11510,4188,47,44612
10303,1006,2081,1090,840,1384,507,3,6911,674,1385,985,843,1644,462,0,5991,380,625,464,463,1306,358,0,3594,129,153,89,57,617,124,0,1169,6671,10316,5233,4284,9513,3524,28,39568
10304,1260,2387,1102,654,1495,425,17,7335,789,1549,1058,819,1630,374,6,6233,427,734,492,401,1226,314,3,3595,153,201,112,68,688,186,0,1400,9572,13553,6350,4370,11486,3165,64,48561
10401,1238,2558,1422,987,1637,594,4,8437,969,2075,1539,1269,2221,541,5,8617,470,916,721,625,1724,371,0,4824,194,231,131,126,883,207,0,1766,7385,11646,6444,5029,10886,4467,77,45946
10402,2217,4258,2152,1167,2428,722,33,12988,1560,3375,2460,1582,2925,730,20,12665,728,1442,1073,884,2177,682,6,6993,287,375,212,163,1224,477,0,2741,14220,21388,10897,7174,17838,5650,279,77445
10501,538,830,370,270,870,565,5,3440,330,499,285,286,803,440,6,2640,152,189,144,122,513,308,0,1426,48,41,15,30,213,101,0,452,3013,3971,1772,1461,4947,3387,44,18605
10502,448,813,363,302,898,243,4,3070,286,572,360,307,935,238,3,2705,129,201,140,177,583,192,0,1416,61,66,26,34,297,131,0,618,2606,4035,1845,1502,5237,1866,15,17100
10503,1526,2751,1262,852,1987,888,10,9278,1007,1737,1233,932,2141,782,7,7841,518,833,592,591,1595,606,3,4738,191,200,106,87,904,303,0,1792,10529,14898,6822,5269,14687,6759,83,59057
10601,1789,3553,2039,1469,2618,697,12,12174,998,2258,1679,1577,2842,556,8,9921,487,842,644,597,1844,405,0,4813,159,227,98,79,982,165,0,1712,13415,20569,10404,8365,19590,5961,60,78369
10602,1527,3046,1545,911,1975,347,16,9369,871,1903,1424,1087,2133,287,10,7721,434,812,579,515,1539,288,4,4169,177,209,106,93,662,211,4,1463,13322,19595,9085,6435,16538,2933,66,67983
10603,1734,3675,1909,1184,2149,470,15,11128,1295,2930,2090,1622,2825,526,3,11297,748,1471,1012,894,2222,558,3,6906,249,286,162,123,929,330,6,2078,11186,17428,8889,6713,15269,3587,53,63126
10604,641,1188,604,422,831,262,3,3956,334,690,467,484,879,223,6,3092,168,333,167,200,641,170,0,1684,68,72,33,39,340,98,0,657,4532,6554,2952,2486,6244,2073,42,24884
10701,1463,2794,1552,1133,2456,364,13,9764,854,1794,1260,1097,2527,352,6,7903,556,1000,675,611,1988,346,0,5179,256,270,159,114,1152,265,4,2220,11564,16501,8233,6672,17997,3264,38,64261
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5
10703,1985,4086,2148,1508,2772,451,18,12970,1180,2944,2132,1545,2835,497,14,11151,680,1311,876,786,2163,503,9,6327,255,334,169,119,1061,524,0,2459,15061,22242,11121,8172,19640,4073,79,80385
10704,2599,5521,2820,1589,3051,582,19,16177,1510,3496,2450,1571,3229,578,29,12861,979,1745,1138,909,2684,664,3,8118,417,490,254,189,1576,657,3,3582,22938,32572,15076,9801,25366,5869,151,111768
10801,831,1701,929,629,1051,323,6,5471,658,1563,1151,926,1625,473,8,6410,413,740,518,505,1412,375,0,3956,150,166,98,108,760,315,3,1607,4589,7552,4175,3193,7375,2415,37,29338
10802,1165,2530,1374,974,1762,640,9,8464,896,2054,1467,1209,2259,633,0,8519,475,832,574,648,1554,453,4,4544,164,182,124,97,812,204,0,1584,6775,10744,5811,4931,10841,4584,56,43742
10803,11,25,11,13,10,11,5,81,10,12,14,4,8,7,0,56,3,7,0,8,10,3,0,30,6,0,0,0,8,0,0,15,89,121,56,35,49,40,8,391
10804,1982,4116,1945,1180,2344,556,17,12144,1606,3619,2556,1726,3122,643,12,13281,935,1815,1346,1107,2870,647,7,8732,404,429,225,220,1632,530,0,3442,13741,20919,10303,7092,17089,4240,98,73481
10805,1280,2745,1553,1059,1819,555,4,9011,981,2266,1803,1508,2408,599,0,9568,539,1015,806,765,1823,501,3,5454,195,266,140,116,951,267,0,1927,7570,12395,7007,5629,11971,3715,33,48313
10901,1536,2795,1173,668,1689,491,6,8358,942,1878,1208,794,1930,425,4,7187,474,814,557,486,1490,362,0,4194,193,227,114,93,809,171,0,1608,10797,15038,6809,4560,13022,3591,40,53862
10902,322,587,296,197,433,238,0,2080,192,333,235,208,457,225,0,1649,88,144,119,123,292,108,0,875,23,30,17,24,150,38,0,287,1851,2507,1331,1055,2663,1552,92,11045
10903,1096,1948,955,664,1261,499,8,6426,779,1537,1012,924,1892,522,5,6668,403,684,527,532,1382,450,0,3980,140,176,114,102,713,259,0,1490,6305,9088,4581,3693,8585,3282,39,35582
11001,806,1598,803,395,876,366,6,4859,532,1164,704,504,808,302,7,4014,283,549,343,337,748,306,0,2561,100,152,73,59,346,159,0,887,5724,8550,3996,2615,6462,3314,50,30714
11002,915,1570,914,655,1258,543,0,5857,652,1201,953,895,1503,508,4,5714,336,583,417,477,1193,377,0,3379,121,121,71,86,586,178,0,1166,5131,7806,4202,3617,8082,3474,169,32479
11003,533,913,408,299,854,618,0,3627,326,537,345,298,735,419,4,2657,157,244,139,168,500,241,4,1454,49,55,30,23,230,81,0,459,3253,4625,2111,1764,5091,3587,41,20473
11004,1693,3185,1559,981,2260,798,7,10474,1041,2058,1460,1266,2592,733,6,9150,620,1063,724,729,1926,669,0,5735,242,254,135,115,1036,384,4,2172,12128,17458,8545,6336,17374,6161,99,68104
11101,2636,5483,2690,1538,3155,503,13,16019,1536,3802,2706,1852,3709,562,14,14186,1047,1893,1365,1069,2937,603,3,8906,433,530,286,191,1686,443,0,3573,20240,29900,14582,9372,23937,4362,80,102473
11102,1589,3460,1788,1151,2197,349,5,10542,1112,2496,1878,1407,2662,421,6,9978,650,1239,975,801,2143,486,3,6307,258,365,144,126,1341,368,0,2603,12753,19112,9512,6872,17083,3229,52,68625
11103,3646,6838,3053,1526,4173,918,42,20198,2130,4358,2888,1766,4335,962,38,16475,1169,1937,1294,1030,3563,933,11,9941,505,561,288,170,2262,892,0,4675,32153,43716,17835,10600,35058,8940,231,148542
11201,2207,4438,2114,1079,1931,848,20,12638,1551,3517,2378,1457,2518,798,22,12228,727,1355,960,792,1828,486,13,6161,275,356,178,144,1259,368,3,2588,14750,21746,10288,6615,14682,6078,218,74377
11202,1737,3539,1651,1074,2059,841,16,10919,1061,2466,1688,1344,2208,783,0,9553,489,903,681,635,1539,514,3,4766,218,257,123,92,885,377,6,1956,10572,16438,8058,5852,13191,5609,147,59857
11203,2431,4633,2235,1203,2744,856,12,14112,1727,3712,2367,1610,3598,811,29,13848,1016,1730,1180,933,3022,777,18,8677,409,443,223,205,1923,602,3,3803,15261,22419,11003,7290,19681,6311,110,82078
11301,1026,1747,814,555,1653,541,22,6363,577,947,633,528,1464,465,8,4623,314,502,328,324,1010,308,0,2784,133,155,97,54,627,215,0,1277,7258,9316,4269,3287,11926,3961,187,40210
11302,354,638,314,231,519,172,0,2233,219,415,315,287,510,119,3,1861,102,206,163,148,376,118,0,1123,43,47,26,23,212,45,0,403,2094,3011,1561,1288,3113,1167,13,12242
11303,1998,3785,1798,1121,2504,757,7,11970,1317,2476,1609,1308,2795,688,6,10210,710,1143,768,647,2197,553,5,6018,298,311,165,134,1306,332,3,2549,15714,21469,9680,6936,20492,6385,178,80845
11401,2409,5309,2793,1740,2896,900,14,16066,1834,4506,3224,2370,4025,850,7,16807,932,1922,1412,1337,3400,722,12,9734,396,506,261,190,1725,403,0,3487,15628,24953,12938,9718,21228,6746,101,91315
11402,1197,2572,1392,788,1009,306,12,7276,900,2298,1632,1192,1390,337,11,7766,613,1249,946,715,1299,371,3,5188,178,301,170,106,696,307,0,1750,8291,12991,7003,4856,8631,2394,61,44223
11501,2781,6435,3563,2245,3096,406,78,18606,1809,4402,3159,2218,3339,429,129,15488,1054,1991,1302,977,2678,520,30,8561,357,496,251,161,1699,648,14,3624,25358,35533,18466,12594,28262,4093,402,124713
11502,488,1295,739,598,583,125,8,3835,312,762,671,559,611,100,10,3028,233,400,315,341,570,84,0,1949,87,87,60,45,370,69,3,726,4500,6232,3521,2980,4688,884,38,22837
11503,452,1209,774,541,522,131,0,3627,254,639,534,500,474,105,0,2510,125,269,203,203,337,47,0,1185,40,61,36,25,137,8,0,306,3595,5843,3361,2732,3813,812,18,20165
11504,770,1603,824,584,1046,155,37,5028,396,871,554,437,869,149,41,3316,192,329,216,164,463,98,7,1464,66,49,30,15,148,84,3,385,8625,12201,5883,4399,9882,1513,110,42614
11601,2114,3930,2067,1663,4482,791,78,15127,1331,2438,1670,1443,4235,671,90,11868,678,1023,634,513,2486,500,13,5840,252,226,121,85,1305,291,0,2274,18594,25343,12615,10929,39209,7821,287,114797
11602,1591,3138,1678,1232,2760,446,141,10984,908,1672,1086,821,2341,270,148,7252,388,541,319,238,1175,144,27,2830,84,84,44,27,444,53,4,740,18951,28400,14084,10708,28690,5833,381,107037
11603,1585,2643,1373,1262,4525,797,49,12220,895,1399,903,893,3600,594,35,8318,443,593,324,276,1940,376,17,3968,127,117,41,29,817,269,0,1404,13094,17039,7995,8223,34413,7545,190,88506
11701,935,1439,706,439,1486,341,71,5419,493,923,492,340,1367,251,28,3888,340,462,258,185,967,206,22,2442,101,125,53,35,379,129,0,821,9891,12245,4656,3102,16853,3604,406,50750
11702,919,1877,767,405,1159,275,6,5413,519,1027,582,324,1075,219,14,3756,332,447,240,167,863,206,0,2261,127,111,55,46,465,136,0,944,10916,15749,5365,2637,9470,2527,89,46750
11703,3736,6137,2085,930,4258,1706,250,19098,1995,3523,1665,746,3546,1172,135,12789,860,1330,621,340,2114,822,34,6128,300,268,111,59,934,516,7,2185,46495,59399,15755,7441,56219,19250,1829,206403
11801,2697,4667,1916,861,1805,556,65,12567,1992,3434,1476,696,2204,483,52,10340,1129,1693,822,504,2058,610,23,6843,446,524,189,96,1114,697,12,3074,26798,32575,11180,6250,21707,6425,502,105438
11802,2514,4846,2171,1073,2640,723,67,14033,1559,2963,1617,946,2859,675,65,10684,979,1525,914,588,2252,652,19,6927,451,492,200,114,1379,717,6,3353,25567,32912,12470,6994,26655,7740,504,112837
11901,2753,4891,2788,2382,7066,1231,65,21170,1815,3058,2053,1636,5484,989,49,15089,961,1481,879,753,3576,824,11,8481,496,459,226,147,2046,774,9,4154,23273,28943,14492,13819,54432,11316,293,146573
11902,1937,3489,1947,1663,5347,1038,53,15477,1319,2134,1436,1164,4013,697,37,10798,917,1187,739,561,2799,646,16,6868,369,384,199,112,1495,526,4,3092,17983,22663,11029,10211,42776,9370,281,114310
11903,2331,4574,2643,1862,4277,628,66,16390,1454,3055,2119,1399,3796,532,64,12428,944,1536,948,648,2614,490,23,7201,431,499,229,143,1689,584,3,3591,19702,26032,13072,9659,35732,5909,330,110438
11904,2337,4212,2232,1521,4484,861,70,15721,1537,2865,1719,1231,4038,753,62,12212,986,1628,901,646,2949,790,23,7915,450,455,257,142,1753,793,3,3854,21923,29186,12864,9433,41469,8731,358,123958
12001,1742,3433,1632,928,1987,381,50,10159,1169,2285,1376,820,1983,443,31,8100,689,1134,694,453,1441,431,7,4848,257,329,157,91,990,452,6,2291,15031,21094,9081,5657,18012,3842,188,72905
12002,1222,2598,1087,364,847,257,12,6393,775,1743,875,359,937,210,18,4914,321,677,347,155,687,157,4,2350,105,132,49,28,371,151,0,840,10321,16727,6385,2901,7250,2079,92,45756
12003,2515,5138,2663,1650,4215,677,95,16950,1509,3026,1882,1298,3632,523,80,11951,957,1511,892,628,2779,494,23,7281,472,510,250,132,2128,412,4,3902,26394,36215,14975,9638,43846,7805,473,139348
12101,2035,4558,2188,1122,1941,441,92,12378,1428,2972,1846,1043,2004,440,85,9812,826,1435,911,526,1513,386,32,5620,354,453,206,150,1218,424,3,2813,20664,29569,12809,7691,20636,4311,478,96156
12102,1575,3652,1840,1046,1597,198,47,9955,876,2212,1567,943,1612,269,82,7556,556,1095,770,532,1223,240,32,4452,199,274,112,103,910,280,3,1877,13895,21296,10594,6594,15163,2336,249,70119
12103,2345,5676,3180,1698,1877,340,101,15205,1559,3733,2497,1554,1994,274,77,11692,1088,2332,1542,1009,1877,311,32,8177,553,741,410,284,1777,385,4,4155,21358,30141,16032,9999,19228,2703,377,99837
12104,2315,4183,1673,710,1395,381,37,10698,1614,3227,1538,740,1642,356,50,9152,982,1706,928,472,1425,339,22,5868,313,411,177,98,861,217,4,2079,19625,27816,9785,4965,14324,3327,276,80120
12201,1020,2090,939,391,571,149,26,5183,526,1174,716,316,635,95,13,3481,361,587,410,217,591,80,6,2257,136,179,87,52,387,44,0,891,8573,11644,4699,2500,6078,1240,147,34888
12202,1595,3641,1703,788,1015,292,16,9056,1021,2499,1571,799,1251,249,12,7417,618,1268,836,543,1151,323,3,4744,222,298,142,101,697,392,3,1864,11260,16391,7910,4714,8896,2343,98,51611
12203,3305,6744,3064,1399,2769,519,34,17836,1863,4035,2330,1341,2767,484,33,12848,1276,2286,1436,1013,2821,463,11,9313,555,667,347,242,2151,515,5,4480,28558,38969,17047,10046,26843,4652,239,126342
12301,1153,2415,1179,786,1483,202,14,7234,618,1340,903,675,1374,163,13,5082,290,489,359,275,954,189,5,2562,119,110,37,37,540,143,0,984,11508,15984,7496,5619,13352,2006,69,56025
12302,2717,5145,2733,2211,5770,944,82,19591,1773,3281,2132,1694,5163,818,91,14953,810,1143,756,621,2665,733,21,6753,221,225,105,73,887,457,13,1976,23025,32168,15212,14025,44678,9373,313,138796
