SA3_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
31901,32245,81006,2270,3501,551,961,2819,4457,2299,3540,44,87,173,293,0,0,4,9,2522,3934,1256,2182,169,301,78,113,37,76,1539,2668,300,565,39434,92631,3822,..,43247,92631
31902,19356,45753,410,623,21,39,425,663,686,1059,0,0,0,0,0,3,0,7,695,1074,446,762,85,165,59,112,30,68,620,1106,149,293,21247,48881,3300,..,24547,48881
31903,19789,48644,692,1098,339,535,1029,1632,412,595,23,28,0,0,0,0,13,27,451,650,356,654,99,148,224,362,28,60,714,1227,205,337,22185,52488,2489,..,24672,52488
31904,21950,53882,1823,2887,1353,2255,3179,5146,279,447,172,277,356,614,10,17,23,45,834,1398,686,1293,201,312,42,78,36,69,966,1748,336,672,27265,62854,2471,..,29737,62854
31905,18214,43022,679,931,145,232,820,1163,513,751,8,5,4,11,0,0,10,25,534,797,393,639,92,138,63,119,9,27,557,916,189,343,20313,46240,2506,..,22826,46240
39797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,8,9,5,12,0,..,5,12
40101,1020,2269,1132,2034,2700,5314,3833,7347,605,960,1026,1645,2203,3669,3084,5181,5,3,6921,11460,0,0,0,0,84,83,74,143,161,226,151,254,12093,21553,2566,..,14649,21553
40102,28417,74480,945,1429,156,335,1100,1768,193,298,20,20,43,64,0,0,9,33,265,412,97,169,16,21,3,4,12,28,135,217,63,123,29974,77001,2184,..,32159,77001
40103,12002,33260,2772,5295,1225,2684,3993,7974,1474,2560,237,312,130,204,143,224,14,32,1992,3332,0,0,0,0,0,0,18,50,18,50,41,83,18049,44700,1554,..,19605,44700
40104,16079,42185,2882,6055,874,2119,3758,8170,2059,3599,3,7,0,0,0,0,16,39,2076,3641,0,0,0,0,0,0,3,13,3,13,38,85,21952,54093,1405,..,23360,54093
40105,8408,21848,2869,5031,1990,3969,4863,9001,2582,4258,242,382,227,387,92,146,7,18,3154,5185,14,31,23,39,0,0,28,67,71,135,48,93,16546,36263,1564,..,18105,36263
