SA3_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
30703,2820,2334,2182,2088,1829,1473,1433,2786,348,17294
30801,2220,1815,2811,1109,1464,1061,2921,1970,328,15691
30803,5244,9099,8637,7489,6666,4723,4937,6197,1035,54022
30804,1403,825,1306,549,671,438,1233,1087,178,7697
30805,2726,4298,5972,3075,2943,2312,3402,3575,638,28945
30901,5260,8424,4424,4398,4126,3409,1108,2438,685,34272
30902,3796,6765,4194,3841,3353,2728,1130,2329,551,28701
30903,3859,5897,4244,3899,4072,3385,1623,2942,583,30517
30904,1453,2040,1617,1191,1135,636,467,905,193,9633
30905,2485,4076,2548,2060,2292,1794,670,1404,389,17723
30906,3995,6211,5432,4523,4551,3579,2005,3439,704,34431
30907,10202,13202,11728,9431,10300,8029,5300,7462,1610,77261
30908,3325,6197,3332,3576,3533,3079,1019,2186,524,26771
30909,3194,6460,4074,4482,3646,3299,1546,3267,661,30634
30910,3417,4669,2495,2811,2544,2481,897,2278,499,22084
31001,2934,6681,4023,4555,4163,2540,3292,4067,739,33007
31002,3683,3333,4459,3655,3338,2238,2754,3910,571,27933
31003,5236,8757,7741,7302,7164,4730,4378,5832,973,52123
31004,4587,8327,6341,6618,6764,4123,5219,5627,1093,48698
31101,776,637,880,690,679,476,580,860,148,5725
31102,1759,2454,3110,2585,2669,1795,2066,2849,446,19730
31103,3306,4430,6052,5231,5414,3487,5940,5574,965,40394
31104,3322,3810,5353,3310,4377,2475,2962,3084,664,29349
31105,3054,4787,4517,3444,4150,2647,2519,3191,625,28924
31106,2927,5795,4545,3774,4234,2644,3277,4233,709,32135
31201,2409,2187,4029,1339,1738,951,4728,2896,486,20766
31202,5785,8862,11431,6049,6778,4954,7034,5915,1228,58041
31203,1817,1731,2246,1743,1271,1186,1073,1618,236,12925
31301,1330,1757,1832,1656,1551,1242,859,1392,242,11863
31302,3012,3787,5183,4833,4052,3207,3049,5507,725,33346
31303,786,640,920,730,658,415,511,1110,150,5919
31304,3273,4436,5225,4342,4516,3114,2614,3702,595,31817
31305,3259,4992,3843,3727,3806,2305,1835,2802,493,27061
31401,7119,12334,6398,5316,7193,3847,1880,2856,669,47613
31402,4719,8208,5752,6236,6368,4192,3238,4072,803,43592
31403,1695,2997,3037,2507,2919,1715,1502,2070,372,18807
31501,1982,2300,1886,1718,1401,657,1264,1675,423,13305
31502,1895,2646,3206,1531,1667,880,2518,2075,379,16797
31503,2090,1242,1142,947,1005,500,713,1603,249,9497
31601,3468,6660,3713,3983,3400,3017,1095,2339,451,28131
31602,5157,9493,6378,6014,5555,4338,2018,4258,712,43912
31603,3932,6653,4510,4365,3763,2879,1284,2885,550,30825
31605,3400,4793,2803,2796,2248,2298,610,1808,406,21161
31606,3511,5222,4474,3260,3269,2296,1556,2889,521,26991
31607,2661,4206,3821,3027,2739,2067,1372,2726,404,23010
31608,1480,2025,1705,1347,1189,931,498,1108,233,10518
31701,8086,15318,10518,10193,9429,6591,4503,9098,1226,74959
31801,2745,2225,2696,1980,1825,1372,2015,2677,411,17947
31802,9626,18587,13427,15066,11626,8114,6715,8759,1635,93538
31901,4134,5844,5014,5223,4234,3478,2807,5781,684,37193
31902,3200,2212,2266,2239,1676,1428,1549,3508,435,18509
31903,2520,2586,3038,2694,2298,1999,1771,2992,432,20323
31904,2099,4167,3085,3933,2453,2374,1223,2450,415,22202
31905,1559,2045,2339,2446,1982,1508,1353,2164,344,15727
39797,5,33,9,3,3,0,21,37,0,99
40101,1905,4993,1123,1824,1567,932,271,772,207,13592
40102,6394,10007,5597,4648,4712,3240,1539,3372,639,40145
40103,3763,8780,1477,2010,2724,1666,386,1009,326,22147
40104,3218,7492,3259,3267,3923,2511,1113,2199,390,27359
40105,2788,6844,1699,2067,2406,1459,549,1161,262,19232
40106,2454,5517,1446,1597,2034,1279,521,1024,223,16104
40107,3252,7619,1509,1953,2250,1469,347,1011,274,19679
40201,2019,2662,2941,2360,2420,1636,1470,1989,326,17822
40202,3558,4138,5668,5941,4813,3799,4380,6147,967,39415
40203,3771,8600,4714,5042,4563,2859,2441,4057,671,36714
40204,5575,8770,9097,9339,8036,5493,6088,9129,1403,62937
40205,5494,9859,7073,6303,7392,4307,2622,3961,778,47781
40301,2836,5046,1804,2260,2344,1441,510,1009,271,17527
40302,5264,12054,6233,7196,6718,4083,1959,3814,808,48130
40303,5103,11491,3162,3790,3918,2547,785,2013,402,33200
40304,8804,14445,13199,12078,11191,7767,4469,8449,1388,81789
40401,7485,14086,7393,7209,8437,5146,3126,4963,994,58848
40402,2979,5429,4026,4010,3746,2297,2105,3323,595,28514
40403,4088,8956,3998,4850,4710,2907,1575,2888,547,34523
40501,2919,2715,2697,2015,2022,1388,1292,2768,319,18153
40502,2232,1247,1221,1038,909,652,755,1540,182,9779
40503,1869,1588,1471,1481,1044,952,1046,1351,217,11024
40504,1745,1234,1346,1313,946,839,696,1281,188,9592
40601,4039,3767,3868,3244,2490,2167,2415,3222,527,25740
40602,1559,2160,2782,1710,1250,785,2079,1782,327,14437
40701,3354,3273,3135,3039,2306,1929,1136,2795,386,21353
40702,5394,3939,4368,3634,3026,2862,2549,5055,548,31382
40703,5211,3277,3893,3780,2860,2474,2203,5825,659,30173
49797,0,3,3,0,0,0,4,9,0,22
50101,3750,4741,4552,3310,2622,2490,1532,3413,414,26827
50102,4573,7357,8997,5626,5259,4017,5079,6548,833,48291
50103,2156,1426,1572,1063,983,690,1050,1689,176,10802
50201,4033,5788,7628,5832,4303,3978,4384,4492,724,41151
50301,6537,14796,1651,3504,3427,2386,552,1271,536,34660
50302,9715,25114,5470,6648,6798,3903,1828,3822,838,64133
50401,5205,11454,5857,5107,5754,3277,2460,3512,672,43294
50402,2429,4030,3387,2345,2589,1601,1487,1606,380,19848
50403,7392,10963,12145,9826,9945,6496,7022,7523,1356,72663
50501,11218,20799,12237,9480,11599,6788,3323,5532,1172,82151
50502,13713,29640,12945,12272,13071,8453,5130,8448,1730,105402
50503,10510,16735,17404,13780,13659,9292,7496,10738,1783,101388
50601,4177,7766,7146,5513,5679,3544,4382,4407,790,43411
50602,4785,10577,5630,4818,5082,2860,2853,3424,695,40726
50603,4683,12438,6332,6252,5717,3807,3395,4829,862,48308
50604,4767,9639,9520,7250,7375,4891,5982,6819,1098,57349
50605,3374,5324,4769,3112,4114,2185,2531,2339,484,28235
50606,1652,1982,3062,1878,2172,1208,1744,1489,329,15502
50607,3468,8423,1923,2347,2700,1654,699,1180,349,22748
50701,6834,13496,9908,7065,8037,4723,3852,5189,1005,60126
50702,3231,7550,2149,2345,1927,1242,586,1096,283,20398
50703,1628,3100,3709,2786,2587,1764,2313,2493,344,20726
50704,7906,17297,5291,5107,6948,4196,1709,2934,743,52129
50705,5841,8759,11508,9012,7161,5337,5514,6471,1117,60725
50901,4805,4378,3949,3307,2737,2230,1835,3924,453,27631
50902,5103,2787,3798,2325,2568,1536,2789,3355,467,24728
50903,2513,1089,1290,791,814,468,1050,1244,159,9423
51001,2989,4541,2428,2683,2271,1087,1173,1779,441,19389
51002,1608,2687,5769,1113,1455,601,4488,2054,378,20158
51003,2012,3002,5734,1496,1842,764,3635,2337,436,21264
51101,1353,977,1323,644,813,555,1035,998,191,7886
51102,1334,1251,1118,857,874,498,492,881,165,7471
51103,2035,3324,5082,1754,2081,1138,4652,2056,359,22495
51104,3607,4154,4478,3050,2756,2008,3012,3064,441,26558
59797,96,324,627,58,45,6,172,344,23,1697
60101,830,940,1375,1262,1226,859,753,1056,189,8488
60102,3589,6515,3853,3879,3907,2272,1049,2237,440,27749
60103,2369,3941,4071,4418,3479,2558,1909,3394,570,26710
60104,2430,4959,2324,2148,2324,1422,543,1297,320,17764
60105,4233,10752,2633,3778,3159,2082,623,1767,416,29447
60106,1120,1357,1462,1109,1234,755,482,872,193,8580
60201,4597,8629,5312,5901,4708,4047,2669,4477,684,41022
60202,1646,1529,1560,1192,1154,824,924,1287,204,10319
60203,2593,2187,2520,1950,1637,1350,1538,2373,337,16484
60301,870,565,864,700,576,401,558,826,146,5502
60302,1342,1799,1411,1047,969,567,500,1193,208,9038
60303,583,463,434,376,267,177,163,559,69,3087
