SA3_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
10102,246,310,559,3857,4425,8276,0,0,0,231,229,465,103,103,209,7410,7937,15347,4,9,14,814,764,1583,41,64,103,52,56,107,142,164,311,28,23,45,118,101,213,216,264,478,476,539,1016,56,44,97,54,39,94,567,640,1208,763,820,1584,20,21,41,14947,16244,31190,778,652,1435,476,395,871,33,25,52,8,6,12,405,336,734,96,143,238,501,482,989,13136,11710,24849,135,112,247,39,49,88,13311,11877,25186,2228,1952,4187,32,48,76,32554,31988,64539
10103,104,137,245,1916,2033,3945,3,0,9,170,156,330,0,0,0,2516,2467,4982,0,0,0,85,92,175,39,53,93,0,10,11,58,65,128,3,0,3,28,30,57,61,60,120,233,212,442,11,9,14,21,20,43,270,336,607,180,214,399,0,0,3,5596,5761,11360,49,37,82,62,43,112,22,16,37,0,0,0,13,13,22,31,58,92,43,74,117,6031,5228,11260,41,40,80,35,41,70,6104,5306,11410,1823,1230,3050,89,69,162,13893,12673,26569
10104,238,431,668,5931,7043,12976,0,0,0,306,325,629,4,0,4,6379,6976,13352,15,17,36,163,149,309,221,315,533,31,35,68,101,154,252,7,8,19,132,137,269,189,241,437,770,918,1696,62,77,139,89,98,186,837,1183,2016,654,786,1442,22,37,52,15919,18488,34403,132,115,253,84,66,148,27,32,63,19,13,34,20,26,48,101,156,258,140,203,342,17737,16580,34323,157,125,284,70,136,206,17967,16842,34808,3625,3371,6995,43,40,86,38173,39589,77765
10105,118,149,267,3875,4315,8192,0,0,0,188,197,389,91,83,176,4847,5149,10003,7,14,24,167,143,313,56,66,126,11,21,40,31,34,67,3,8,12,38,60,98,74,86,159,357,342,697,39,59,103,39,54,92,601,672,1275,287,295,583,18,15,34,10750,11618,22368,177,173,352,131,96,227,14,10,20,0,0,0,32,34,68,56,82,141,96,115,209,6172,5534,11705,47,42,91,31,34,68,6254,5615,11866,2098,1477,3569,18,12,39,19646,19267,38918
10106,64,103,169,3335,3787,7122,0,0,0,152,176,322,55,60,117,4891,5236,10121,0,0,4,71,88,163,32,52,88,5,10,16,71,89,152,6,3,9,48,44,89,77,77,156,385,404,789,51,57,109,36,38,70,618,693,1315,308,341,651,12,11,22,10154,11176,21325,55,46,101,296,296,596,9,9,17,7,4,11,26,29,56,38,59,91,74,91,160,6464,6025,12480,49,34,83,21,30,54,6526,6090,12618,1701,1458,3158,14,19,35,18896,19292,38183
10201,806,1255,2063,12416,15544,27955,0,3,3,1247,1536,2784,98,110,206,17149,19912,37063,82,123,209,657,709,1363,290,397,689,159,178,337,187,228,420,98,89,189,954,1050,2004,767,986,1753,1709,1957,3662,99,162,261,343,405,747,1972,2632,4606,2030,2413,4444,74,98,173,40336,48529,88865,722,631,1356,459,405,858,163,179,347,30,15,39,168,143,315,191,287,481,392,446,839,37479,34762,72243,331,279,613,162,277,437,37978,35319,73294,5317,5386,10698,111,107,217,86285,92246,178533
10202,516,832,1348,13449,16572,30023,3,9,15,1080,1337,2417,29,33,60,17732,20453,38182,32,47,80,535,557,1087,281,411,689,165,192,357,111,142,252,77,70,147,579,636,1209,605,793,1396,1427,1774,3196,155,218,369,289,317,608,1542,2112,3654,1579,1775,3357,50,61,111,39724,47492,87213,462,403,865,355,293,651,65,62,122,30,36,64,108,123,231,219,292,504,362,442,804,33712,30624,64334,241,181,418,123,206,329,34071,31009,65079,5522,5826,11353,70,67,138,81140,86427,167569
10301,142,190,331,3549,4129,7683,0,0,0,229,268,501,92,90,183,6660,7300,13963,17,21,36,102,99,201,62,54,118,19,18,42,43,51,97,10,9,20,61,62,127,157,168,322,749,832,1584,38,42,84,69,88,162,661,808,1463,357,394,756,9,12,21,12895,14456,27354,249,234,484,182,138,320,7,8,16,6,15,23,93,84,170,65,80,149,169,173,344,8359,7452,15807,83,52,140,14,34,49,8457,7543,15997,2867,1615,4481,31,28,53,24995,24389,49383
10302,94,119,211,5533,6133,11665,3,5,3,354,382,738,198,193,388,7028,7400,14427,9,5,13,54,51,102,83,116,200,37,33,67,121,126,242,8,9,17,59,60,118,177,217,391,1026,1098,2122,51,69,123,31,42,71,1336,1451,2783,576,670,1249,21,19,33,16699,18071,34773,107,95,207,67,47,108,3,8,8,7,11,23,15,15,29,47,58,107,74,92,165,7658,6470,14125,31,33,62,18,28,48,7709,6531,14237,2809,2517,5331,26,21,47,27586,27496,55081
10303,112,192,309,4514,4980,9494,0,0,0,229,247,475,86,84,172,5344,5509,10854,3,4,3,85,67,150,69,100,169,26,30,55,27,34,62,0,0,0,59,63,118,154,168,320,674,727,1402,56,66,116,41,59,94,787,962,1746,365,378,738,14,24,38,12523,13493,26012,98,90,185,76,50,134,15,18,36,4,6,19,34,30,61,67,92,158,111,133,241,8849,7787,16639,75,72,151,29,43,73,8956,7906,16862,2577,1965,4538,17,19,34,24481,23866,48349
