SA3_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
50502,2365,1578,2189,2013,1651,1271,1019,740,404,13224,35540,22119,32688,30944,25407,21626,18002,11774,5416,203530
50503,3218,1843,1706,1823,1695,1193,772,429,166,12844,45828,26795,27902,29783,27356,20711,14273,7576,2571,202806
50601,1709,904,1014,978,801,610,371,235,131,6743,22012,10594,13720,15076,10646,9021,6873,3278,1023,92236
50602,918,826,1257,1028,871,666,384,240,147,6334,11584,8917,15407,12060,9087,7917,5728,2869,1279,74844
50603,931,867,970,768,655,533,369,401,373,5858,17646,14052,14986,13984,11632,9960,8151,4786,2184,97376
50604,1994,1381,1653,1571,1208,817,587,379,256,9846,26295,16183,17259,19420,15724,12590,9967,5071,1864,124367
50605,740,451,396,504,437,387,275,196,99,3492,11346,6677,6197,7748,7552,6896,5990,3511,1264,57181
50606,560,240,318,385,314,228,147,64,20,2278,8022,3625,4661,4557,3856,3223,2067,929,254,31182
50607,383,364,419,313,316,318,274,219,232,2823,6292,5959,6368,5629,5142,5007,4596,2467,1234,42695
50701,1413,954,1020,1013,922,697,524,327,182,7046,22522,13538,17009,17588,14958,12086,8861,4578,1772,112922
50702,449,382,492,481,518,423,328,236,222,3531,5947,4173,5175,5382,5483,5469,4398,2388,1131,39553
50703,826,613,935,843,568,307,180,79,22,4376,10369,5553,7507,7488,5470,3998,2640,1293,410,44736
50704,967,734,650,713,791,730,659,528,417,6185,18348,12945,10931,13447,13776,12960,11751,6826,3443,104437
50705,2417,1433,1455,1327,1199,912,612,497,341,10192,29349,16518,17549,17475,16928,14660,10422,6039,2055,131013
50901,1151,685,799,830,834,823,669,355,159,6309,11067,6237,6372,6929,7866,8840,7621,4249,1625,60802
50902,1113,733,944,947,1127,1163,920,503,160,7601,9245,5070,5736,6244,7572,9066,7965,3850,1145,55896
50903,485,263,268,309,332,355,249,157,50,2473,3470,1730,2071,2338,2690,3023,2445,1281,476,19530
51001,1850,922,1428,1243,1263,1261,895,303,60,9221,9392,4925,7595,6807,6321,7259,6307,1679,216,50507
51002,796,834,2598,2493,2170,1515,371,72,12,10853,5463,3338,8622,8146,6744,4983,1662,337,52,39342
51003,1189,907,2259,2305,2092,1560,574,119,13,11013,7393,3628,8114,8402,7073,5295,2429,598,41,42976
51101,413,239,274,260,328,285,191,128,31,2139,3083,1724,2019,2004,2293,2287,1702,1017,316,16439
51102,376,234,332,280,320,386,394,160,26,2502,2439,1240,2172,1952,2069,3058,3560,1241,156,17887
51103,1141,1119,2262,2018,1875,1469,588,136,35,10642,7898,5314,8468,7625,7142,6047,2932,919,231,46567
51104,1580,1099,1557,1552,1509,1369,971,479,158,10270,10411,6194,7350,7641,8320,8807,7416,3509,1122,60769
59797,0,51,220,435,397,221,57,6,0,1396,3,137,518,957,896,533,176,32,0,3250
60101,452,248,218,205,191,147,122,53,15,1651,4364,2470,2796,2447,2401,2158,1798,772,183,19392
60102,756,554,644,619,503,423,324,232,105,4166,10184,6142,8419,7590,7025,7180,6370,3826,1586,58319
60103,870,549,708,504,527,443,327,258,118,4301,9707,6499,10574,7479,6520,6766,5355,3402,1352,57651
60104,381,216,207,233,245,208,167,102,35,1793,6720,4059,4691,4790,4593,4211,3887,2171,742,35873
60105,470,513,730,497,523,484,382,241,141,3986,7388,7218,10968,7182,6846,6488,5766,3090,1390,56336
60106,294,156,178,203,165,184,151,78,27,1432,3179,1815,2302,2250,2226,2750,2247,1070,334,18169
60201,1170,995,939,730,732,676,510,409,238,6398,14901,10952,13124,10525,10790,10174,8812,5619,2334,87226
60202,357,190,166,201,248,280,273,140,38,1887,3915,2323,2272,2418,3100,3937,3611,1800,471,23856
60203,581,369,302,362,424,541,457,216,83,3331,6256,3510,3973,3984,5040,6532,5989,2971,889,39141
60301,214,159,119,141,180,193,139,48,23,1226,2084,1366,1295,1434,1733,2083,1592,668,146,12400
60302,342,179,191,198,224,274,237,130,72,1849,3596,1937,2056,2499,2871,3548,3136,1383,382,21418
60303,84,67,105,90,84,145,118,68,19,772,782,470,774,734,910,1555,1543,709,200,7679
60401,754,453,388,413,523,459,427,287,106,3807,8371,5612,5540,5302,6200,7092,6122,3757,1372,49360
60402,715,426,443,395,473,457,436,326,134,3810,7890,4927,5671,5078,6130,6793,6308,3590,1202,47581
60403,356,184,256,256,248,284,233,106,49,1952,3183,1657,2218,2080,2459,2851,2298,1041,299,18084
69797,0,0,28,25,30,30,0,0,0,114,5,21,62,80,90,75,33,3,0,366
70101,361,478,1033,622,657,757,503,161,44,4611,3985,3281,7645,5062,4263,4284,3010,1012,191,32731
70102,1165,671,874,890,757,679,478,179,46,5735,11642,6427,9452,8765,7241,6362,4982,1974,419,57261
70103,685,614,1054,943,847,641,493,112,21,5404,4457,2997,3684,3700,3932,3716,2897,838,121,26338
70104,1054,528,725,621,453,325,162,60,18,3937,9340,4696,6721,5903,4470,3146,1797,587,166,36824
70201,819,623,1144,914,831,814,515,129,25,5823,8206,4825,7674,6268,5334,5313,3537,974,209,42340
70202,179,76,148,92,88,117,102,23,3,829,1325,860,1097,786,736,869,733,166,18,6586
70203,523,274,459,370,422,510,438,92,10,3097,3803,2621,3227,2584,2546,2761,2041,403,40,20028
70204,389,276,494,419,367,274,88,13,0,2321,3141,2269,2458,2300,1839,1285,489,111,13,13899
70205,563,537,717,550,566,618,464,108,9,4143,4701,3242,4196,3172,2950,3258,2636,599,78,24820
79797,0,11,15,38,39,36,11,3,0,156,0,37,58,105,120,106,42,10,0,482
80101,1202,841,1025,805,669,489,388,198,81,5696,19243,13920,18332,15938,12470,9830,9044,5002,1674,105459
80103,28,112,226,173,112,105,57,25,0,828,160,265,412,324,284,280,185,91,12,2010
80104,1074,635,817,751,499,249,160,79,14,4276,20129,10711,16187,16336,11030,6415,4034,1752,380,86986
80105,356,1597,950,555,409,347,208,95,74,4586,7290,13769,13331,8325,6649,5351,3704,2019,1045,61479
80106,292,357,511,353,381,317,239,110,58,2625,4364,3671,5581,4506,4404,3944,3154,1735,849,32212
80107,1010,632,615,592,543,445,337,224,99,4496,17118,10453,12087,12174,11633,11439,8511,3753,1247,88416
80108,256,159,160,178,163,141,119,83,55,1325,4763,2536,2629,3437,3420,2520,2505,1835,669,24328
80109,345,229,333,263,275,246,234,186,153,2264,6727,4348,6058,5517,5006,4300,3364,2756,1303,39387
80110,99,70,146,84,46,22,26,11,0,511,2651,1233,2904,2504,1073,587,319,84,17,11380
80111,11,6,3,3,10,16,10,3,0,59,158,78,100,103,83,75,45,11,7,647
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101,27,51,197,124,104,59,40,6,0,618,280,155,392,321,318,264,205,42,4,1979
90102,22,10,21,17,17,38,25,12,0,171,128,52,77,84,76,143,89,42,10,709
90103,24,12,12,9,14,8,14,7,0,102,60,98,98,49,56,38,27,16,0,452
90104,51,28,25,35,42,53,37,34,6,316,346,185,170,247,312,450,343,187,47,2283
99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
