SA3_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
10102,825,7325,9381,3608,2465,23599,1267,24870
10103,369,2959,3030,1256,833,8445,639,9085
10104,1365,12416,12256,3901,1990,31931,2312,34239
10105,821,4859,5209,2228,1441,14550,1063,15613
10106,555,4084,5209,2370,1692,13905,1005,14912
10201,4889,26538,24612,7842,4544,68419,3479,71898
10202,3679,23560,22977,7764,4705,62681,3589,66274
10301,1012,6123,6713,2548,1594,17993,1176,19166
10302,1219,7457,7597,2990,1855,21114,2051,23167
10303,1149,6237,6614,2727,1764,18495,1548,20045
10304,1198,7545,8798,3222,1804,22569,1423,23994
10401,1029,8249,7855,2654,1354,21137,1516,22655
10402,1844,13610,13290,4338,2395,35476,2316,37796
10501,643,2918,2495,996,670,7726,1659,9382
10502,818,3611,2619,827,423,8300,821,9114
10503,1426,9156,9824,3587,2154,26146,2878,29023
10601,1411,10522,13428,5574,3710,34647,1860,36513
10602,1448,9696,12914,4619,2633,31306,1141,32449
10603,1200,10956,11331,3798,2411,29698,1502,31197
10604,602,4063,4315,1658,958,11594,802,12392
10701,2345,9734,10610,3882,2269,28841,1427,30268
10702,0,0,0,0,0,0,0,0
10703,1735,11626,14443,4966,3233,35997,1543,37542
10704,4500,19412,18537,5636,3238,51327,2276,53608
10801,787,6333,4913,1540,782,14351,978,15335
10802,1091,7938,6976,2470,1389,19871,1775,21644
10803,45,85,30,3,0,170,31,193
10804,1927,13890,12699,4003,2167,34686,1954,36641
10805,1188,8756,8350,2806,1622,22723,1709,24428
10901,1757,9686,9580,3170,1742,25940,1689,27631
10902,242,1410,1751,725,417,4558,761,5319
10903,802,6127,6546,2276,1259,17017,1619,18631
11001,918,5200,5016,1759,985,13879,1116,14997
11002,892,5583,5271,2110,1253,15101,1653,16755
11003,577,2925,3042,1187,752,8473,1693,10164
11004,1830,11041,11721,4212,2623,31426,2793,34224
11101,2777,16522,19407,6128,3491,48318,1796,50114
11102,1394,10093,12220,4607,2938,31251,1243,32494
11103,5680,27018,26001,7313,3711,69721,3140,72864
11201,1453,12564,13010,4269,2347,33634,2853,36495
11202,1459,10304,10058,3640,1994,27459,2366,29825
11203,2262,15163,13952,4255,2309,37934,2747,40683
11301,902,5574,6351,2605,1777,17211,1734,18946
11302,279,1992,2097,894,502,5753,492,6246
11303,2236,12661,13673,5024,2900,36497,2331,38827
11401,1927,16786,16283,5170,2948,43122,2677,45802
11402,680,6937,7939,2907,1898,20363,950,21314
11501,1563,15095,21350,7093,3988,49077,1140,50214
11502,184,1620,3049,1590,2088,8528,322,8852
11503,82,1466,3116,1664,1806,8138,335,8473
11504,264,4257,7630,2617,2003,16774,520,17298
11601,4053,17530,16307,5249,2724,45862,3070,48936
11602,1102,14049,18679,5363,2573,41760,1682,43441
11603,3159,12492,11590,4141,2275,33655,2955,36608
11701,3507,10356,6087,1412,619,21973,1431,23407
