SA3_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
10102,60,297,1200,5952,7656,1885,511,825,18389,0,128,858,639,51,0,3,109,1794,0,118,729,655,55,3,3,85,1653,8,245,1591,1295,107,4,4,191,3444,23,490,448,79,12,3,3,102,1154,13,135,383,25,0,0,0,51,603,0,221,671,39,0,0,0,50,983,0,17,57,3,0,0,0,3,79,0,4,10,11,3,0,0,0,32,34,864,1571,160,19,3,5,207,2857,15,28,22,19,5,5,0,28,122,7,14,18,9,3,3,0,12,59,112,1454,4399,7430,7789,1894,518,1271,24870
10103,61,252,928,3131,1950,470,168,495,7462,0,32,120,59,16,0,3,10,240,11,29,62,101,22,3,3,16,245,11,57,186,157,39,6,3,28,482,19,107,273,175,42,5,8,55,679,6,28,33,38,9,4,0,4,115,0,10,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,4,9,6,0,0,3,3,32,23,152,317,217,46,5,15,65,839,22,40,17,8,4,3,7,26,129,25,41,40,13,12,3,11,25,171,144,546,1487,3533,2049,487,203,644,9085
10104,186,782,3711,12337,7730,1519,365,1722,28348,10,133,830,543,31,3,0,154,1707,6,105,452,461,68,7,3,89,1178,13,237,1275,1009,95,12,3,246,2890,20,187,928,368,28,5,0,146,1683,0,13,62,28,0,0,0,8,103,0,0,27,15,0,0,0,4,42,0,0,0,0,0,0,0,0,5,0,8,15,7,4,3,0,5,46,21,202,1026,424,33,10,3,159,1878,104,260,297,66,29,4,6,186,953,13,32,42,35,22,4,0,17,166,335,1517,6359,13865,7906,1548,380,2333,34239
10105,53,273,1460,5714,4327,898,248,873,13838,10,139,378,330,44,4,3,79,997,0,3,110,45,9,0,0,11,185,10,147,487,373,60,8,3,94,1184,0,79,181,18,4,0,0,34,321,0,29,34,0,0,0,0,12,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,0,0,0,17,0,111,225,22,3,0,0,43,413,15,49,26,15,5,4,0,31,137,0,3,13,14,3,0,0,13,41,84,582,2199,6134,4404,906,250,1053,15613
10106,66,249,1375,5129,4537,1170,343,863,13734,3,61,365,162,13,6,0,81,693,0,0,25,6,0,0,0,0,36,3,61,387,169,17,0,0,88,727,5,55,113,22,0,0,3,35,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,3,0,4,13,5,61,119,18,6,3,3,35,248,19,30,19,13,7,0,8,22,109,3,9,14,19,8,5,8,18,88,100,406,1908,5353,4575,1183,359,1025,14912
10201,141,975,5987,19630,17638,5201,1157,2064,52802,17,310,2855,2490,79,16,12,401,6170,12,250,976,2165,212,23,3,239,3895,31,559,3834,4655,295,39,13,643,10063,68,593,1722,1396,155,16,14,402,4368,21,67,628,326,23,0,0,69,1141,22,211,1169,317,19,0,4,142,1880,0,60,247,140,0,0,0,30,480,12,43,110,56,22,15,5,12,282,121,971,3883,2241,217,33,22,653,8149,36,164,282,86,15,9,0,100,695,21,43,44,24,21,0,4,35,195,352,2710,14038,26640,18180,5282,1193,3500,71898
10202,126,851,6363,21109,18805,3924,911,2594,54684,43,345,1755,1416,110,17,3,361,4051,5,221,706,1296,165,13,12,207,2626,47,568,2466,2713,268,28,18,568,6681,16,393,1370,578,57,11,0,243,2665,4,46,341,69,5,0,0,36,494,9,66,546,115,4,0,4,52,799,0,10,122,11,0,0,0,5,154,0,24,84,28,8,3,0,9,164,32,537,2469,809,72,13,6,345,4280,42,126,151,59,12,0,0,111,505,11,29,28,25,7,6,3,13,120,257,2115,11475,24713,19172,3975,939,3629,66274
10301,50,203,1222,6145,6198,1303,327,886,16325,3,170,699,396,56,5,3,114,1447,6,94,106,127,39,0,0,52,419,9,263,801,524,95,9,6,169,1867,20,145,430,72,10,0,4,72,759,0,5,10,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,0,3,0,0,4,22,20,164,451,75,9,0,4,81,804,10,21,13,7,0,4,0,44,103,10,12,15,13,8,0,10,4,62,96,662,2497,6764,6315,1309,338,1185,19166
10302,78,370,2493,8910,5878,1204,290,1697,20913,10,92,462,154,43,7,5,100,869,0,12,31,9,3,0,0,7,68,12,111,488,162,48,10,5,106,935,28,162,409,57,16,4,3,135,810,0,5,15,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,28,169,427,53,20,4,3,144,848,42,97,38,29,13,7,0,84,307,9,18,19,35,22,6,4,42,161,166,765,3468,9186,5979,1232,309,2069,23167
10303,77,363,2518,7399,5080,1058,292,1264,18049,20,142,555,382,25,0,0,140,1260,0,25,51,35,6,0,0,17,131,20,165,602,416,34,4,0,156,1388,0,61,102,19,0,0,0,24,218,3,8,7,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,0,0,0,7,7,74,111,28,7,0,0,25,252,27,47,44,26,20,3,0,117,280,3,24,11,12,10,3,5,13,70,128,670,3285,7883,5143,1067,299,1573,20045
