SA3_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
10102,38,2167,1153,355,2791,0.8,2283,2.6
10103,41,1413,873,320,2067,0.8,1652,2.3
10104,53,1517,638,320,1466,0.7,1199,2.2
10105,43,1693,744,310,1915,0.7,1451,2.4
10106,43,1692,811,270,2077,0.7,1592,2.5
10201,44,2154,763,400,2103,0.8,1619,2.5
10202,41,1900,690,385,1806,0.8,1420,2.5
10301,39,1733,793,315,2009,0.7,1569,2.5
10302,44,1197,668,220,1605,0.7,1223,2.3
10303,44,1600,676,300,1819,0.7,1339,2.3
10304,38,1700,832,315,2116,0.7,1676,2.5
10401,49,1387,580,315,1399,0.8,1129,2.3
10402,45,1733,672,370,1651,0.8,1330,2.4
10501,41,1000,729,185,1717,0.8,1302,2.3
10502,44,867,652,205,1583,0.7,1185,2.2
10503,38,1450,778,280,1845,0.8,1461,2.5
10601,38,1733,730,340,1941,0.8,1608,2.6
10602,36,1863,809,375,2112,0.8,1789,2.7
10603,48,1733,658,360,1646,0.7,1340,2.4
10604,39,1521,769,290,1970,0.7,1533,2.4
10701,39,2000,674,365,1899,0.8,1492,2.6
10702,31,1595,1375,270,3249,0.6,3249,2.5
10703,41,2167,750,430,2030,0.8,1688,2.6
10704,39,2189,809,400,2319,0.8,1793,2.5
10801,56,1522,565,330,1327,0.7,1029,2.1
10802,50,1326,540,300,1331,0.8,1047,2.3
10803,45,1500,964,310,1942,0.9,1636,2.2
10804,49,1733,646,375,1576,0.7,1264,2.3
10805,50,1430,569,300,1361,0.7,1095,2.3
10901,39,1430,771,265,1897,0.7,1426,2.4
10902,44,1187,728,200,1745,0.8,1345,2.4
10903,49,1278,660,240,1591,0.7,1205,2.3
11001,39,1408,718,280,1810,0.7,1381,2.3
11002,48,1100,556,240,1352,0.7,1022,2.3
11003,40,1300,814,224,1942,0.8,1517,2.5
11004,39,1499,748,300,1818,0.7,1414,2.4
11101,42,2000,779,375,2122,0.8,1652,2.5
11102,42,1900,727,380,1930,0.8,1559,2.5
11103,37,1960,844,400,2240,0.8,1737,2.4
11201,46,1993,738,450,1852,0.8,1454,2.4
11202,45,1450,642,300,1571,0.8,1220,2.4
11203,47,1872,656,408,1663,0.8,1289,2.4
11301,38,1300,798,250,1896,0.8,1533,2.6
11302,45,1300,703,235,1686,0.8,1326,2.4
11303,37,1430,782,280,1928,0.7,1485,2.5
11401,48,1733,638,350,1535,0.7,1260,2.3
11402,48,2167,800,430,2095,0.7,1692,2.4
11501,41,3000,981,580,2964,0.8,2729,3
11502,44,3000,906,520,2762,0.8,2531,3.1
11503,41,2301,892,430,2375,0.8,2233,2.9
11504,34,3000,1107,600,3037,0.8,2959,3.3
11601,36,2167,773,400,2083,0.9,1884,2.9
11602,33,2700,1071,535,2792,0.9,2720,3.3
11603,33,2000,679,350,1822,0.9,1634,3.1
11701,33,2600,949,550,2383,1.1,2060,2.5
11702,37,2800,1154,495,2964,1,2270,2.3
11703,34,2700,1243,550,3065,1.1,2218,1.9
11801,37,3600,1510,670,4022,0.9,2973,2.3
11802,37,3033,1118,550,3009,1,2302,2.4
11901,36,2243,615,425,1831,1,1592,3.1
11902,36,2167,633,390,1721,1.1,1522,2.9
11903,39,2461,762,440,2149,1,1902,2.8
11904,37,2383,832,480,2187,1,1919,2.6
12001,39,3000,1119,560,2899,1,2375,2.5
12002,40,3500,1471,600,3974,0.9,2912,2.3
12003,35,2435,889,465,2371,1,2043,2.5
12101,38,3033,1248,560,3373,1,2633,2.5
12102,39,2500,965,480,2671,0.9,2292,2.7
12103,42,3500,1114,630,3446,0.8,3032,2.9
12104,40,3076,1553,582,3882,1,2605,2.1
12201,40,3800,1443,720,4297,0.9,3268,2.5
12202,45,3200,1052,695,2985,0.8,2516,2.7
12203,40,3000,1057,595,2991,1,2469,2.7
12301,34,2383,960,480,2528,0.8,2332,3
12302,35,2100,735,380,1931,0.9,1699,2.9
12303,37,2318,853,415,2296,0.8,2088,2.9
12401,45,2028,816,400,2235,0.7,1759,2.4
12402,68,0,1124,150,0,0.7,900,1
12403,35,2167,901,400,2272,0.8,1968,2.8
12404,37,2167,815,400,2116,0.8,1765,2.6
12405,35,2000,788,390,1975,0.8,1723,2.8
12501,33,2167,722,470,1820,1.2,1795,2.8
12502,38,2600,786,460,2223,0.9,1993,2.9
12503,34,2167,596,400,1695,1,1498,3.1
12504,35,2167,913,420,2321,1.1,2057,2.6
12601,39,2817,992,500,2783,1,2432,2.8
12602,37,2600,978,460,2590,1,2131,2.5
12701,33,2477,764,490,2168,0.9,2102,3.4
12702,39,2000,487,400,1494,1,1409,3.2
12703,34,2167,727,400,2013,1,1766,3
12801,41,2774,1025,500,2729,0.9,2185,2.5
12802,40,2600,1006,480,2783,0.8,2395,2.8
19797,52,0,1687,0,0,0,1499,0
20101,38,1499,744,300,1885,0.7,1440,2.4
20102,48,1547,708,300,1867,0.8,1454,2.4
20103,50,1127,549,230,1386,0.7,1025,2.2
20201,38,1408,743,295,1857,0.7,1433,2.4
20202,47,1600,727,320,1967,0.8,1494,2.4
20203,50,1083,604,190,1510,0.8,1176,2.3
20301,39,1798,820,330,2194,0.8,1967,2.8
20302,38,1710,767,335,2056,0.8,1584,2.4
20303,44,1950,845,405,2176,0.7,1787,2.5
20401,46,1500,707,280,1737,0.7,1343,2.3
20402,47,1300,709,250,1707,0.7,1284,2.3
20403,41,1473,790,285,1894,0.7,1467,2.4
20501,41,1600,728,320,1876,0.7,1495,2.5
20502,51,1300,606,265,1417,0.7,1114,2.2
20503,49,1454,643,295,1551,0.7,1215,2.3
20504,41,1213,656,237,1677,0.7,1259,2.3
20505,44,1300,662,260,1663,0.7,1274,2.3
20601,35,2140,1026,416,2678,0.9,2046,2.3
20602,37,2300,1104,421,2994,0.9,2138,2.3
20603,37,2200,1058,370,2852,0.9,2043,2.3
20604,30,1955,954,396,2368,1,1676,1.8
20605,38,2167,1282,420,3051,0.9,2068,1.9
20606,35,2279,1363,425,3232,0.9,2138,1.9
20607,34,2326,1309,451,3137,1,2266,2
20701,40,3000,1066,451,3186,0.9,2372,2.5
20702,43,2400,731,462,2132,0.8,1807,2.6
20703,38,2300,764,411,2285,0.8,1786,2.5
20801,45,3000,1095,520,3361,0.8,2484,2.5
20802,38,2386,1015,435,2791,0.9,2125,2.5
20803,41,2167,939,410,2543,0.8,1960,2.4
20804,39,2811,1148,416,3393,0.9,2370,2.4
20901,40,2167,914,399,2521,0.8,2024,2.5
20902,37,2000,773,370,2121,0.9,1664,2.4
20903,42,2167,949,431,2717,0.8,2423,2.9
20904,35,1900,747,371,1987,0.8,1787,2.9
21001,42,2167,811,410,2366,0.8,1930,2.6
21002,41,2006,901,400,2468,0.8,2183,2.8
21003,35,2000,803,381,2155,0.9,1792,2.6
21004,37,1750,871,368,2237,0.7,1936,2.6
21005,33,1834,627,369,1767,0.9,1655,3.2
21101,40,2000,796,400,2194,0.8,1881,2.7
21102,45,2500,865,460,2854,0.8,2441,2.9
21103,39,2000,850,385,2306,0.8,1862,2.6
21104,41,2200,804,410,2324,0.8,1928,2.6
21105,40,1950,811,380,2203,0.8,1878,2.7
21201,34,1867,831,361,2097,0.8,1871,2.8
21202,37,1900,747,370,2057,0.8,1847,2.9
21203,32,1950,804,386,2039,0.9,1953,3.2
21204,37,1804,635,350,1670,0.9,1489,2.8
21205,38,2383,749,440,2210,0.8,1890,2.7
21301,37,1700,604,346,1652,0.9,1490,2.9
21302,40,2167,927,386,2500,0.8,2003,2.5
21303,35,2100,962,376,2494,0.9,1991,2.4
21304,33,1800,785,351,2057,0.8,1870,3
21305,32,1924,837,370,2123,0.9,2012,3.1
21401,39,1800,805,356,2098,0.8,1650,2.5
21402,47,1993,769,380,2054,0.7,1573,2.4
21501,46,1041,703,220,1667,0.7,1245,2.2
21502,40,1278,696,261,1700,0.8,1342,2.4
21503,44,1083,664,200,1582,0.8,1225,2.3
21601,46,1300,669,250,1632,0.7,1269,2.4
21602,48,1300,633,250,1505,0.7,1191,2.3
21603,39,1300,712,260,1758,0.8,1394,2.5
21701,48,1083,673,220,1640,0.7,1238,2.2
21703,46,1300,704,250,1700,0.7,1278,2.3
21704,42,1430,765,285,1900,0.7,1452,2.4
29797,48,2167,2543,0,0,0,2250,0
30101,40,1950,835,405,2214,0.8,1912,2.7
30102,45,2000,760,425,2102,0.7,1690,2.6
30103,39,2100,946,420,2460,0.8,2094,2.6
30201,38,2000,972,430,2512,0.7,2219,2.7
30202,37,2100,952,390,2479,0.8,1936,2.4
30203,36,1950,1002,400,2463,0.8,1982,2.3
30204,39,1800,819,375,2137,0.8,1731,2.5
30301,37,2200,1041,450,2790,0.8,2313,2.6
30302,34,2100,1021,390,2699,0.9,2030,2.3
30303,36,2096,811,420,2226,0.8,2000,2.8
30304,36,2100,902,388,2477,0.8,2057,2.6
30305,35,1872,797,400,2048,0.8,1938,3
30306,35,1800,692,400,1831,0.8,1760,3
30401,41,2000,936,450,2588,0.7,2330,2.8
30402,42,2304,1038,500,3113,0.7,2813,3
30403,33,2167,874,410,2732,0.9,2073,2.5
30404,37,2167,1017,400,2716,0.8,2253,2.7
30501,33,2000,1034,440,2537,1,1919,1.9
30502,35,2500,1228,440,3243,0.8,2467,2.4
30503,34,2167,1163,410,2975,0.9,2152,2.2
30504,34,2511,1139,430,3355,0.9,2382,2.5
30601,41,1733,871,395,2153,0.8,1801,2.5
30602,38,1517,775,315,1837,0.8,1466,2.4
30603,47,1300,615,250,1446,0.8,1209,2.4
30604,50,1517,764,325,1688,0.8,1349,2.3
30605,48,1430,634,270,1528,0.8,1206,2.4
30701,40,1296,806,230,1798,0.8,1420,2.5
30702,42,1300,670,250,1608,0.8,1322,2.5
30703,47,1300,597,255,1417,0.7,1127,2.3
30801,37,1500,1005,240,2392,0.8,2003,2.6
30803,39,1517,744,300,1927,0.8,1496,2.5
30804,40,1300,905,240,2138,0.8,1757,2.5
30805,39,1600,754,277,2048,0.8,1622,2.5
30901,41,2011,875,470,2174,0.8,1739,2.3
30902,42,2000,791,450,2068,0.8,1619,2.4
30903,47,1733,694,410,1725,0.8,1330,2.2
30904,46,1950,743,410,1975,0.8,1730,2.7
30905,39,2167,803,500,2242,0.8,2136,3
30906,39,1950,772,435,2007,0.8,1780,2.8
30907,34,2000,839,450,2109,0.8,1995,2.9
30908,39,1907,774,500,1971,0.8,1700,2.5
30909,38,1750,689,420,1753,0.9,1408,2.3
30910,44,1950,797,440,1920,0.9,1473,2.1
31001,34,1631,689,355,1798,0.8,1584,2.8
31002,42,1517,646,300,1641,0.8,1400,2.6
31003,36,1517,761,300,1896,0.8,1543,2.6
31004,31,1707,835,360,2025,0.8,1851,3
31101,45,1517,605,310,1471,0.8,1199,2.5
31102,35,1557,715,340,1689,0.8,1398,2.6
31103,32,1600,730,360,1731,0.8,1595,3
31104,33,2000,838,390,2143,0.8,2103,3.2
31105,36,1733,749,360,1917,0.8,1653,2.8
31106,35,1633,663,320,1673,0.8,1440,2.8
31201,40,1300,1124,200,2369,0.8,1964,2.5
31202,38,1733,844,340,2215,0.8,1837,2.6
31203,41,1700,834,350,1906,0.8,1556,2.4
31301,59,1647,544,350,1294,0.7,1036,2.1
31302,35,1625,680,335,1638,0.8,1428,2.7
31303,41,1700,688,335,1717,0.8,1473,2.6
31304,37,1733,743,350,1936,0.8,1684,2.8
31305,47,1733,687,350,1775,0.7,1317,2.3
