SA3_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
10102,0,0,0,0,1840,1840,39,0,0,5,1797,1833,1692,47,90,3,2794,4627,2871,149,236,9,1311,4583,2860,196,529,30,1027,4634,2649,200,675,58,664,4238,1778,125,459,110,243,2717,805,28,149,143,69,1198,184,14,42,76,11,320,18,0,0,0,3,28,12897,749,2185,428,9759,26020,0,0,0,0,1686,1688,90,11,0,0,1555,1652,2209,88,106,7,2425,4840,2901,195,330,20,1168,4619,2972,259,598,67,835,4722,2392,184,698,201,478,3950,1565,74,451,353,169,2614,585,30,175,471,63,1329,70,4,25,333,13,449,19,0,3,8,7,40,12814,847,2402,1446,8389,25901,0,0,0,0,3526,3526,130,8,0,5,3349,3490,3899,138,202,10,5222,9469,5774,342,570,33,2480,9198,5832,453,1126,91,1856,9354,5042,375,1376,255,1141,8195,3344,200,910,463,414,5331,1390,61,329,609,125,2523,257,18,63,410,23,772,40,0,3,9,13,65,25709,1599,4584,1877,18149,51922
10103,0,0,0,0,824,827,5,0,0,0,936,949,331,12,13,3,1591,1955,831,44,83,9,586,1549,1126,86,188,14,482,1895,1226,103,321,31,360,2047,965,83,251,58,156,1513,463,39,88,84,35,715,109,0,10,62,19,203,15,0,9,0,63,88,5080,370,971,259,5053,11733,3,0,0,0,776,783,12,3,0,0,929,945,410,26,26,3,1252,1722,852,72,78,13,445,1458,1086,89,262,17,309,1765,1110,65,308,77,219,1779,748,33,224,147,80,1244,352,17,59,228,26,678,44,3,13,208,6,275,11,0,0,0,58,67,4625,320,972,694,4107,10713,5,0,0,0,1605,1605,25,3,4,0,1862,1894,734,45,45,3,2850,3678,1681,112,163,16,1028,3002,2212,178,448,25,795,3658,2343,172,630,104,578,3829,1712,119,482,207,240,2752,817,54,143,316,60,1392,149,6,23,272,20,477,27,0,6,0,123,155,9704,688,1943,954,9161,22451
10104,3,0,0,0,1995,2004,34,0,0,0,1395,1427,743,41,31,4,2336,3151,1617,131,196,3,1414,3364,2203,232,565,31,1412,4438,3495,304,1122,115,1271,6308,4623,307,1231,294,621,7079,2409,102,414,408,162,3493,605,18,74,328,34,1048,12,0,4,7,16,40,15754,1126,3635,1181,10659,32360,0,0,0,0,1737,1738,56,5,0,0,1251,1316,1022,99,83,15,2077,3288,1867,212,304,20,1305,3699,2477,314,818,108,1129,4839,3992,334,1399,360,1032,7117,4194,250,1202,870,415,6931,1796,67,440,1231,87,3626,285,5,88,1137,32,1550,10,0,5,7,14,37,15702,1281,4334,3747,9075,34141,3,3,0,0,3735,3740,94,4,0,0,2641,2738,1763,136,113,14,4410,6439,3485,340,500,26,2723,7063,4680,544,1383,138,2532,9277,7487,639,2519,476,2306,13424,8816,554,2429,1162,1037,14004,4207,169,852,1640,249,7124,887,20,164,1467,69,2602,27,0,8,8,38,80,31452,2408,7968,4927,19737,66497
10105,0,0,0,0,1136,1141,32,0,0,0,1131,1172,704,42,28,0,1661,2443,1233,87,118,4,755,2192,1304,129,303,16,648,2387,1661,120,463,54,482,2779,1469,133,368,108,233,2318,779,42,152,205,86,1259,207,7,31,141,15,403,9,0,0,0,8,18,7397,556,1468,526,6157,16104,0,0,0,0,1015,1017,38,3,0,0,905,950,865,59,59,4,1318,2309,1241,124,168,18,655,2213,1382,147,392,40,463,2426,1602,138,484,140,311,2684,1344,93,422,369,165,2389,578,20,155,546,79,1367,116,3,42,441,28,629,3,3,0,6,7,14,7175,591,1718,1562,4948,15991,4,0,0,0,2148,2159,70,3,5,0,2042,2123,1570,102,92,3,2978,4752,2477,203,279,25,1415,4400,2682,268,694,55,1107,4810,3265,258,954,193,791,5460,2816,224,789,484,399,4705,1355,65,303,742,164,2626,317,9,75,584,41,1029,11,0,0,4,14,36,14575,1148,3186,2093,11102,32091
10106,0,0,5,0,1200,1208,20,0,0,6,851,876,571,38,26,0,1213,1851,1280,65,92,5,582,2028,1597,162,272,14,540,2588,1717,133,363,47,413,2676,1488,117,363,104,188,2260,858,40,152,131,55,1236,185,4,20,118,11,339,6,0,0,0,5,14,7731,565,1293,427,5060,15073,0,0,0,0,1125,1126,36,0,0,0,844,888,753,68,52,6,1098,1967,1416,91,176,14,628,2324,1682,118,374,39,466,2685,1645,123,441,120,262,2589,1402,83,369,331,115,2296,595,19,133,471,44,1269,95,0,11,414,24,542,3,0,4,0,6,13,7641,503,1557,1397,4605,15702,0,0,5,6,2326,2333,55,3,0,0,1694,1758,1327,109,75,6,2303,3817,2698,154,272,20,1205,4353,3281,284,642,49,1006,5271,3366,258,810,164,675,5268,2891,203,728,433,304,4556,1459,58,283,608,98,2508,278,9,35,532,32,881,13,6,4,5,17,32,15369,1074,2848,1820,9668,30776
10201,3,0,0,5,5297,5303,55,3,0,0,4527,4595,2378,135,115,3,6374,9013,6177,394,519,31,3248,10373,6736,640,1342,55,2570,11339,6752,579,1791,166,1836,11118,6535,419,1633,416,813,9817,4222,179,814,757,300,6271,1158,31,130,691,101,2110,33,3,6,4,41,93,34055,2387,6352,2125,25109,70024,4,0,0,0,4958,4966,156,11,6,3,4319,4488,3279,248,187,12,5587,9314,6891,576,908,44,2944,11363,6858,752,1951,198,2260,12023,7019,696,2701,610,1473,12502,6204,448,2548,1488,791,11477,3189,137,1199,2432,309,7259,613,18,315,2577,114,3637,37,0,16,16,29,94,34252,2885,9820,7382,22790,77133,10,0,0,4,10256,10273,209,16,3,3,8846,9080,5664,384,303,17,11962,18329,13070,972,1428,71,6188,21735,13597,1389,3291,256,4832,23363,13776,1275,4492,775,3308,23621,12736,868,4183,1904,1600,21292,7404,318,2009,3192,611,13529,1770,54,443,3264,215,5742,79,7,20,22,65,190,68307,5276,16174,9510,47896,147156
10202,6,6,0,0,5231,5241,102,6,0,0,4672,4782,2564,181,128,13,6627,9503,5048,501,672,14,3213,9444,5322,651,1308,73,2605,9957,5591,598,1777,200,1787,9956,5582,482,1559,478,781,8886,3526,214,723,773,270,5518,921,31,116,654,77,1793,26,0,14,4,20,63,28679,2666,6300,2213,25279,65136,8,9,0,0,4808,4815,160,20,0,0,4443,4621,3499,352,270,19,6119,10259,5472,675,941,65,2979,10132,5558,843,1936,208,2238,10777,5828,743,2521,663,1280,11025,5360,506,2250,1467,561,10142,2709,134,1025,2422,214,6508,487,22,259,2118,71,2957,22,11,5,10,17,61,29103,3302,9212,6971,22729,71314,9,9,0,3,10038,10060,258,29,5,3,9113,9405,6061,529,395,26,12751,19762,10518,1175,1611,76,6191,19576,10876,1499,3247,281,4839,20740,11412,1342,4295,862,3066,20975,10943,988,3808,1948,1342,19027,6238,353,1752,3198,486,12029,1411,48,375,2766,149,4754,50,9,15,8,40,121,57779,5970,15510,9182,48007,136448
10301,3,0,0,0,1733,1738,46,4,0,0,1635,1691,909,69,44,3,2241,3269,1549,159,181,6,1112,3013,1704,187,387,21,745,3039,1744,166,496,51,578,3032,1747,104,378,136,252,2619,944,37,179,188,61,1414,239,10,23,131,18,416,9,4,4,0,12,27,8909,737,1689,533,8397,20255,0,0,0,0,1564,1564,63,12,0,0,1424,1490,1063,98,67,4,1785,3016,1553,182,243,19,785,2789,1778,206,470,68,589,3118,1779,187,579,139,362,3049,1582,113,440,371,129,2630,641,39,200,535,78,1491,138,3,38,510,44,742,6,0,3,0,9,20,8609,835,2047,1655,6759,19913,3,0,0,0,3300,3304,112,7,0,0,3057,3183,1978,162,117,11,4024,6287,3107,344,423,30,1904,5808,3490,390,862,89,1329,6157,3520,353,1072,185,943,6081,3329,214,823,512,381,5249,1590,80,378,718,145,2904,380,12,59,643,59,1153,19,4,9,6,18,52,17515,1571,3737,2192,15157,40171
10302,0,0,0,0,1652,1656,45,0,0,0,1342,1394,874,63,48,3,1919,2904,1524,117,179,7,1031,2856,1772,194,398,32,842,3229,2239,226,621,92,754,3931,2218,190,576,204,370,3553,1291,64,275,295,135,2057,353,9,41,241,36,676,13,0,0,0,11,26,10318,868,2130,877,8096,22281,0,0,0,4,1484,1497,69,6,3,0,1249,1327,1093,94,64,8,1704,2970,1633,147,237,27,856,2897,1907,223,471,58,642,3302,2222,238,575,255,414,3704,2046,131,455,539,199,3368,987,29,206,880,79,2186,199,8,43,777,40,1063,6,4,0,0,7,21,10166,886,2048,2551,6686,22331,9,0,0,4,3139,3152,113,15,3,0,2596,2724,1969,151,111,10,3623,5872,3157,269,412,30,1889,5756,3670,419,867,91,1488,6531,4463,470,1195,346,1164,7635,4269,323,1019,745,567,6924,2274,93,478,1180,219,4242,548,14,81,1021,74,1737,18,4,0,4,18,47,20483,1753,4174,3426,14776,44612
10303,0,8,3,0,1424,1429,34,0,0,0,1170,1208,857,53,38,6,1817,2777,1378,135,173,6,993,2681,1667,166,377,33,888,3130,1965,194,552,70,698,3484,1883,151,532,183,317,3063,1064,72,225,244,142,1751,211,7,28,164,22,432,0,0,0,0,6,13,9061,793,1925,698,7488,19964,0,0,0,0,1230,1230,54,3,0,0,951,1014,1008,95,69,8,1519,2687,1435,169,187,13,823,2625,1774,145,453,50,671,3091,1956,166,649,196,462,3428,1701,129,529,406,155,2926,759,58,244,704,82,1843,115,8,33,542,32,737,4,0,0,0,4,13,8806,774,2168,1923,5933,19605,4,8,3,0,2655,2668,90,4,0,0,2126,2221,1867,148,107,11,3336,5460,2807,305,360,17,1820,5306,3439,314,830,84,1557,6222,3925,359,1205,264,1160,6908,3580,278,1061,588,472,5989,1826,131,470,939,223,3597,323,22,66,709,51,1169,6,0,0,0,14,28,17871,1566,4095,2617,13422,39568
