SA3_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
10102,286,38,14,0,0,330,109,19,16,0,0,143,96,23,15,0,0,136,168,29,44,3,0,238,227,40,87,0,0,357,690,164,165,4,0,1024,907,365,90,5,0,1367,1971,278,36,0,0,2286,1516,63,13,3,0,1594,1485,50,9,0,0,1543,787,21,8,0,4,813,439,56,15,0,0,511,8675,1143,511,15,5,10351
10103,121,0,4,0,3,133,57,4,7,0,0,64,54,3,7,0,0,65,141,0,0,0,0,147,190,8,7,0,0,206,461,14,21,0,0,503,371,19,15,0,0,406,351,4,18,0,4,374,151,6,9,0,0,160,130,5,8,0,0,140,84,3,13,0,0,101,119,5,7,0,0,138,2242,67,107,3,12,2431
10104,492,16,19,8,3,530,258,18,7,7,0,293,190,10,3,0,0,209,330,16,16,3,0,363,442,23,25,5,4,504,1310,80,45,0,0,1439,1403,59,17,0,0,1483,1432,30,14,4,7,1485,567,7,9,0,0,576,368,10,7,0,3,389,242,4,3,0,0,248,406,14,10,0,0,433,7435,302,171,26,21,7960
10105,175,14,3,0,6,191,74,4,3,0,0,79,84,4,3,0,0,89,158,5,0,0,0,160,245,11,3,0,0,263,765,32,4,0,0,806,882,29,0,4,0,911,983,14,0,0,5,999,427,4,0,0,0,434,285,5,0,0,0,291,166,3,3,0,0,172,216,3,3,0,0,225,4466,124,23,8,9,4621
10106,234,3,0,0,0,241,102,9,0,0,0,110,117,4,0,0,0,119,249,5,0,0,0,258,312,7,5,0,0,329,809,19,0,0,0,829,757,8,0,0,4,770,833,4,0,0,4,840,458,4,0,0,8,470,507,0,0,0,0,513,317,0,0,0,0,322,260,0,0,0,0,262,4959,74,10,9,10,5067
10201,899,80,57,4,0,1041,331,28,29,0,0,393,291,60,16,0,0,367,455,57,38,0,0,543,665,86,56,0,6,814,1863,205,187,4,4,2269,2482,311,253,7,3,3058,4449,374,294,8,3,5128,3213,152,105,3,6,3475,2810,74,86,5,0,2973,1861,46,60,4,4,1969,1212,97,63,0,6,1375,20527,1567,1249,41,21,23402
10202,826,48,36,0,5,909,296,38,18,0,0,352,296,21,12,0,0,333,549,50,19,6,0,616,773,48,33,6,0,862,2335,136,95,0,0,2575,3514,216,107,4,0,3845,5314,186,78,3,5,5580,2696,57,26,0,0,2781,1599,51,10,0,4,1664,814,21,10,4,4,844,1171,62,25,5,4,1262,20188,928,461,29,13,21621
10301,223,3,7,0,0,230,74,3,0,0,0,81,103,7,0,0,0,113,180,8,5,0,0,193,267,21,3,0,0,292,895,45,16,0,0,961,1200,33,4,0,0,1242,1358,24,3,0,0,1387,531,4,0,0,0,542,357,0,0,0,0,363,208,5,0,0,0,219,304,17,0,0,0,325,5700,181,41,5,7,5936
10302,418,10,0,3,0,431,219,0,0,3,0,225,249,4,0,0,0,250,499,10,3,0,3,511,647,6,0,0,5,662,1357,17,0,7,0,1383,861,14,0,5,6,880,630,8,0,0,0,644,218,0,0,0,0,224,156,3,4,0,0,159,149,3,0,0,0,160,360,5,0,0,0,369,5772,73,16,23,22,5901
10303,235,12,0,3,0,255,164,4,0,0,0,172,139,9,0,0,0,145,229,9,0,0,0,236,372,10,0,4,0,382,1004,20,0,3,0,1031,1036,19,0,4,0,1065,1077,6,3,4,0,1087,463,0,0,0,0,473,358,5,0,0,0,366,234,0,0,4,0,233,296,6,0,0,0,303,5605,99,10,27,5,5747
