SA3_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
10102,3,0,0,0,4,0,3,51,0,0,0,0,4,4,0,10,0,0,4,0,0,0,0,29,0,0,16,17,13,9,19,12,0,4,0,0,0,0,0,93,6,132,136,27,14,6,14,6,0,0,7,4,0,0,6,364,0,0,0,0,7,5,12,3,0,0,0,0,0,0,0,37,0,0,0,7,7,8,33,13,0,4,0,0,0,0,0,71,0,0,8,4,7,0,5,0,0,0,0,0,0,0,0,31,0,4,15,28,30,16,26,15,3,0,5,3,0,0,10,154,0,0,0,0,0,0,73,113,74,127,72,35,5,0,6,499,7,50,18,9,9,4,19,7,0,0,3,0,0,0,0,134,5,7,55,135,189,133,180,86,14,10,10,16,10,3,16,869,6,8,78,142,132,88,46,41,3,0,0,3,0,0,13,569,0,0,0,4,0,6,37,52,13,20,23,13,0,0,8,176
10103,0,0,0,0,8,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,9,3,4,10,0,0,3,4,0,0,4,51,3,29,24,9,3,0,0,3,0,0,5,3,4,5,9,102,0,0,0,0,0,4,3,3,0,0,0,4,0,0,0,20,0,0,0,0,0,0,3,4,0,0,3,7,0,0,0,22,0,0,14,11,7,0,0,0,0,0,0,0,0,0,0,31,0,5,3,3,6,0,4,0,0,4,0,0,9,0,0,35,0,0,0,0,0,0,3,3,8,0,4,6,0,0,0,33,4,31,16,3,15,10,8,3,0,0,0,3,0,0,0,89,3,8,21,81,78,62,58,26,0,9,6,5,3,4,17,372,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,10,0,4,0,12,3,7,0,39
10104,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,31,24,30,12,35,13,0,4,0,0,0,0,0,173,9,59,58,22,5,9,8,4,0,0,0,0,0,0,14,184,0,0,0,3,0,4,15,5,6,0,4,4,0,0,6,48,0,0,0,0,5,4,5,0,0,0,6,0,0,0,3,29,0,6,3,3,0,3,0,0,0,0,0,0,0,0,0,14,0,9,22,11,9,5,8,3,5,0,0,0,0,0,4,82,0,0,0,0,0,4,10,14,24,16,16,14,6,0,0,103,28,189,38,38,31,19,11,5,0,0,4,0,0,0,12,381,3,29,123,274,214,136,103,29,13,0,7,0,3,6,59,999,0,4,8,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,8,5,0,0,3,0,0,0,0,14
10105,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,16,0,0,9,6,8,6,8,4,0,0,0,3,0,0,0,54,3,20,24,5,0,0,0,3,0,0,0,0,0,0,0,67,0,0,0,0,0,0,5,0,0,0,0,0,4,0,7,12,0,0,0,0,0,4,9,16,0,0,9,9,3,0,6,56,0,0,6,17,4,4,9,7,3,0,0,0,0,0,12,60,0,0,3,9,8,3,5,0,3,0,0,0,0,0,0,42,0,0,0,0,0,7,41,42,13,18,28,19,0,0,0,156,4,42,10,5,8,8,3,0,0,0,0,0,0,0,5,86,0,8,39,88,69,50,55,22,0,4,0,9,0,8,15,385,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,10,12,4,3,0,3,3,0,0,34
10106,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,9,0,0,8,9,12,0,15,20,0,0,0,8,8,0,3,79,0,14,9,0,9,0,3,0,0,0,0,0,0,0,5,54,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,17,0,0,10,19,12,6,20,9,0,0,0,0,0,0,0,87,0,4,6,7,7,6,5,9,0,0,0,4,0,0,4,34,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,19,0,35,5,9,7,11,3,0,0,0,0,0,0,0,0,74,0,5,31,68,80,55,58,25,0,0,8,0,0,3,13,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,10,0,0,0,3,0,0,0,22
10201,7,3,0,5,0,0,3,161,0,0,5,3,0,14,4,3,0,3,0,0,0,0,0,32,0,17,60,80,132,90,177,101,7,0,7,9,0,0,7,684,24,159,139,48,8,16,31,26,0,7,8,10,0,0,18,489,0,3,0,15,24,62,79,41,16,4,8,8,0,0,6,259,0,4,0,20,84,81,233,95,21,5,7,5,3,0,11,566,4,17,25,25,17,12,9,6,0,0,0,0,0,0,5,117,4,8,26,49,65,28,38,35,8,18,5,9,7,0,12,318,0,0,0,0,0,6,69,76,40,54,81,24,0,0,11,358,50,190,68,46,47,32,46,19,0,5,4,0,0,0,24,532,27,42,251,614,738,588,521,185,33,37,27,42,19,13,112,3248,0,0,7,5,5,0,0,0,0,0,0,0,0,0,0,18,0,0,3,0,7,4,28,32,15,4,7,10,0,0,4,119
10202,0,0,0,0,0,0,0,67,0,0,0,3,0,12,3,3,0,0,0,0,0,0,0,19,0,21,122,78,92,31,64,47,5,4,6,0,0,0,14,487,16,151,163,39,11,11,8,13,0,5,0,3,0,0,24,446,0,4,0,6,10,19,34,7,5,0,0,0,3,0,4,95,0,0,0,14,35,47,91,38,3,3,3,4,0,0,9,248,0,11,35,29,18,8,14,4,0,0,0,5,0,0,3,123,0,4,25,32,33,15,31,27,7,0,5,4,4,0,10,197,0,0,0,0,0,4,40,34,23,32,35,11,3,0,5,185,26,196,70,24,22,16,19,15,0,0,0,3,0,0,10,410,13,29,204,518,609,476,385,155,31,37,15,30,12,16,68,2619,0,0,8,11,0,5,0,0,0,0,0,0,0,0,0,21,0,0,0,6,7,6,11,35,9,0,0,7,0,0,0,81
10301,0,0,5,4,0,0,8,40,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,22,0,4,14,15,10,6,16,13,0,4,6,5,0,0,4,86,5,22,23,0,4,0,3,6,0,0,0,0,0,0,3,54,0,0,6,0,0,7,4,0,0,4,3,0,0,0,0,31,0,0,0,0,4,6,14,8,4,4,0,3,0,0,4,42,0,0,20,9,6,3,3,0,0,0,0,0,0,0,11,51,0,0,9,7,11,3,10,0,0,0,0,3,0,0,0,55,0,0,0,0,0,0,38,36,21,44,31,12,4,0,3,190,13,44,23,6,11,7,0,0,0,0,0,0,0,0,3,108,0,5,36,90,110,80,110,34,10,0,9,3,3,0,50,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,5,21,0,3,9,13,3,0,3,66
10302,0,0,0,0,0,0,0,14,0,0,0,0,0,6,0,3,0,4,0,0,0,0,0,8,0,0,5,11,3,4,5,7,0,4,0,4,0,0,0,45,0,11,14,3,0,0,0,8,0,0,0,0,0,0,5,50,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,6,3,0,9,7,4,0,3,5,0,0,0,36,0,0,0,0,0,0,15,18,14,15,9,0,0,0,0,74,4,60,15,3,3,0,4,0,0,0,0,0,0,0,3,97,5,4,30,61,74,47,54,23,3,6,4,0,4,6,25,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,4,0,0,22
10303,0,0,0,0,0,0,0,6,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,10,0,6,13,11,9,10,16,4,0,0,0,0,0,0,3,68,3,24,22,8,0,0,6,6,0,0,0,0,0,0,7,80,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,13,0,0,0,0,10,3,5,4,0,0,3,0,0,0,0,24,0,0,4,7,0,3,7,0,0,0,0,0,0,0,3,29,0,3,9,10,15,0,9,5,0,0,0,5,0,0,0,54,0,0,0,0,0,0,10,16,10,10,7,8,3,0,4,69,9,44,29,8,5,0,0,3,0,0,0,0,0,0,5,111,0,10,57,121,106,59,55,31,5,3,3,4,0,6,28,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,19
