SA3_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
10102,1143,323,385,350,311,96,22,100,6143,3,0,0,0,0,0,0,0,0,7,14,6421,1650,1605,402,438,409,384,141,52,260,11769
10103,139,44,55,79,222,72,32,37,1238,8,0,0,0,0,0,0,0,0,25,31,2184,342,301,58,103,121,282,117,42,146,3696
10104,241,107,95,108,109,50,13,71,2090,19,0,0,0,0,0,0,0,0,8,29,7893,651,522,156,144,148,159,80,25,388,10171
10105,320,79,79,96,148,30,42,42,1626,9,0,3,0,0,0,0,0,0,94,104,2309,452,441,106,95,112,194,40,59,236,4052
10106,190,55,38,31,87,20,10,29,1071,3,0,0,0,0,0,0,0,0,8,12,2324,351,358,64,59,53,113,33,19,120,3498
10201,2016,485,435,444,460,193,48,203,10917,37,0,0,0,0,0,0,0,3,123,162,20971,4786,3874,823,704,664,696,338,107,899,33863
10202,1205,235,252,217,268,84,48,148,6892,44,5,4,0,0,0,0,0,0,107,159,15066,2347,2121,375,388,307,385,158,78,656,21890
10301,393,103,132,163,154,73,13,34,1990,5,0,0,0,0,0,0,0,0,181,189,2719,586,576,139,177,207,190,87,15,304,5002
10302,236,77,94,105,128,39,21,16,1191,7,0,0,0,0,0,0,0,0,8,13,1731,335,372,110,139,139,168,54,31,121,3189
10303,196,57,66,44,83,30,12,41,1288,4,0,0,0,0,0,0,0,0,59,65,3063,350,346,79,86,76,121,40,18,219,4398
10304,614,147,175,184,168,86,11,42,2557,3,0,4,0,0,0,0,0,0,5,9,2962,781,897,201,228,221,210,120,15,165,5789
10401,164,46,56,49,52,38,12,25,988,5,0,0,0,0,0,0,0,0,179,185,3016,418,356,89,90,79,80,53,17,381,4567
10402,967,321,424,512,752,211,91,169,5756,7,4,5,0,0,0,5,0,0,41,65,7619,1682,1524,427,533,622,858,280,114,509,14164
10501,101,32,43,67,70,41,20,27,684,0,0,0,0,0,0,0,0,0,7,11,683,194,170,44,52,76,88,51,24,66,1454
10502,74,16,29,44,47,26,9,4,448,0,0,0,0,0,0,0,0,0,5,6,611,120,132,30,35,52,65,34,15,28,1112
10503,900,309,331,319,292,105,62,58,3556,9,0,0,0,0,0,0,0,4,106,111,2319,856,1119,358,372,370,357,132,92,300,6275
10601,373,88,90,105,139,58,26,45,1980,4,0,0,0,0,0,0,0,3,248,256,4442,953,721,146,113,170,176,89,54,463,7325
