SA3_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
10102,12618,7016,9469,9198,9354,8195,5331,2523,772,64469
10103,4117,3504,3678,3002,3658,3829,2752,1392,477,26408
10104,11261,6480,6439,7063,9277,13424,14004,7124,2602,77672
10105,6827,4280,4752,4400,4810,5460,4705,2626,1029,38883
10106,7401,4095,3817,4353,5271,5268,4556,2508,881,38145
10201,31346,19352,18329,21735,23363,23621,21292,13529,5742,178320
10202,31110,19462,19762,19576,20740,20975,19027,12029,4754,167434
10301,9205,6488,6287,5808,6157,6081,5249,2904,1153,49325
10302,10469,5873,5872,5756,6531,7635,6924,4242,1737,55034
10303,8775,4888,5460,5306,6222,6908,5989,3597,1169,48316
10304,13118,7233,7625,7539,7567,7320,6228,3594,1400,61615
10401,8622,5091,5217,5375,6537,8439,8611,4822,1766,54489
10402,16347,9424,10009,10692,11720,12957,12647,6985,2737,93510
10501,4327,2434,2954,2408,2806,3435,2634,1426,457,22884
10502,3429,2174,2518,2183,2413,3067,2703,1416,618,20512
10503,15183,8185,10142,8473,8539,9266,7838,4739,1792,74152
10601,19784,11919,13271,12102,12410,12165,9908,4813,1712,98089
10602,18597,10661,12443,11600,10518,9353,7710,4162,1464,86504
10603,12644,7861,6875,7634,9319,11112,11291,6901,2081,75715
10604,6112,3516,4077,3927,3940,3951,3090,1680,657,30946
10701,15181,9535,9934,9917,9796,9755,7889,5174,2218,79408
10702,0,0,0,0,0,0,0,0,0,6
10703,18380,11679,11578,11810,12377,12952,11130,6319,2460,98690
10704,22459,18801,18339,16797,16988,16156,12833,8115,3581,134073
10801,4552,2690,2441,2915,3828,5470,6400,3961,1600,33854
10802,8415,4975,4786,4883,5935,8453,8515,4542,1577,52097
10803,76,16,72,62,53,80,56,30,15,460
10804,13950,8903,7737,8688,10493,12133,13269,8724,3442,87336
10805,9274,5326,5025,5267,6716,9008,9563,5448,1927,57565
10901,12826,8069,8287,8099,8040,8350,7182,4187,1607,66651
10902,2411,1350,1541,1459,1712,2076,1649,875,287,13372
10903,7089,3861,3963,4100,5075,6418,6660,3976,1490,42632
11001,6662,5469,4548,4016,4322,4849,4010,2563,887,37325
11002,6646,3917,3726,3778,4773,5856,5713,3376,1166,38954
11003,5100,2825,3301,2897,3217,3630,2654,1448,459,25533
11004,17167,9854,10721,9849,10062,10470,9143,5738,2165,85172
11101,22870,14163,13860,15563,16157,16003,14168,8906,3570,125266
11102,15247,9483,9921,9677,10089,10528,9970,6295,2603,83817
11103,29368,24624,27792,23022,21666,20158,16438,9930,4676,177678
11201,14277,8109,9729,10955,11798,12625,12205,6148,2587,88433
11202,12589,7900,7422,7932,9291,10904,9548,4761,1952,72297
11203,16160,9211,9012,11215,12144,14102,13822,8659,3804,98125
11301,9790,5971,6819,5960,6258,6345,4613,2788,1277,49816
11302,2732,1482,1503,1737,1893,2232,1860,1118,403,14964
11303,19470,13875,13038,11604,11438,11961,10198,6010,2544,100144
11401,17632,10397,11084,11277,12400,16052,16799,9724,3487,108851
11402,8916,5236,4800,5371,6790,7262,7751,5185,1750,53077
11501,30112,19573,13827,23129,21762,18528,15360,8529,3612,154428
11502,5007,3816,2270,2912,4287,3825,3022,1947,718,27810
11503,4749,3221,2730,2822,3745,3627,2510,1185,306,24894
11504,13998,7227,7027,10269,7883,4985,3274,1455,386,56496
11601,27897,17886,22457,22411,16831,15044,11783,5827,2268,142410
11602,35965,16977,21365,29687,17140,10848,7109,2801,736,142624
11603,27203,16203,16269,16118,13927,12176,8284,3948,1403,115514
11701,8868,8004,13898,9146,6852,5347,3855,2417,821,59213
11702,7130,5585,11924,9287,7515,5403,3748,2258,944,53795
11703,16911,28081,70865,41449,24401,18851,12654,6090,2180,221484
11801,18846,11794,25087,19228,16157,12504,10287,6817,3063,123778
11802,20589,15767,24236,20186,17316,13961,10620,6909,3347,132921
11901,39196,24835,25607,24644,22429,21108,15035,8472,4150,185470
11902,26162,17282,22682,20110,17834,15423,10763,6854,3087,140187
11903,20895,16978,20019,17389,16278,16321,12361,7184,3584,130999
11904,22214,16984,27611,21899,17561,15643,12152,7896,3846,145810
12001,13911,8661,13850,13300,11606,10106,8069,4844,2283,86634
12002,9850,4929,7874,9570,8835,6375,4894,2343,840,55514
12003,21756,21989,34963,23359,18672,16850,11879,7258,3901,160631
12101,21495,12175,16723,20194,16174,12283,9730,5594,2811,117175
12102,17154,9744,9596,14310,12539,9909,7480,4420,1876,87031
12103,24019,15888,9414,16430,18710,15110,11615,8143,4152,123476
12104,12809,8088,16351,15198,12513,10658,9105,5845,2078,92652
12201,7571,4357,5935,6341,6348,5160,3465,2250,895,42313
12202,11406,7263,4902,7018,9296,9037,7404,4738,1860,62921
12203,29285,18173,17788,21824,23922,17800,12812,9306,4477,155385
12301,17352,9632,9816,10678,10012,7219,5068,2559,979,73318
12302,38962,22378,25786,26807,20432,19513,14866,6733,1969,177450
12303,9861,5732,5540,5781,6120,5295,4332,2193,712,45557
12401,13595,8065,7101,9535,10930,11116,10424,5202,1743,77705
12402,0,0,0,0,5,0,3,0,0,5
12403,34234,20812,24129,23550,19717,16190,12457,6123,2037,159263
12404,6873,4867,5982,4709,4779,4489,3391,2105,842,38043
12405,12026,7194,8580,7856,6861,6824,4671,1950,634,56582
12501,16481,13720,25598,16388,11008,9942,6282,2834,1109,103362
12502,14482,8478,9216,11602,9608,8923,6274,3503,1440,73525
12503,34524,22557,26324,22788,18878,16676,12068,6576,2796,163174
12504,29219,16277,30903,28939,16056,13031,9823,6062,2594,152908
12601,10400,6492,6808,8371,7132,6369,4909,2680,1182,54341
12602,23797,16558,25472,23528,17675,16203,12405,7015,3863,146516
12701,34657,19291,22131,21693,16890,14135,8839,3880,1196,142704
12702,34440,27201,24916,23207,25595,26380,19080,9424,3964,194213
12703,29750,18215,20722,20539,17046,14121,9186,5037,1980,136604
12801,20537,13262,14068,15109,16115,14665,11719,7618,3902,116987
12802,21651,13432,12077,15199,15490,13444,10753,6100,2510,110646
19797,0,0,0,4,18,8,3,0,0,32
20101,21896,14651,15746,14406,14220,13424,11698,6637,2872,115543
