SA3_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
10102,345,1102,15,1464,6246,487,19,8212,66,931,6,1000,4016,310,14,5344,15,167,6,182,2174,167,0,2526,0,11,0,11,679,84,0,771,11480,3494,436,15404,33527,2925,65,51922
10103,169,380,3,552,2903,373,4,3836,23,313,3,332,2152,269,0,2758,5,44,0,47,1198,146,0,1392,0,4,0,4,423,49,4,481,3633,1163,127,4927,14964,2406,155,22451
10104,463,1360,20,1837,10703,877,12,13438,116,1329,16,1462,11658,891,11,14016,18,226,0,245,6280,596,3,7131,3,17,0,25,2215,365,0,2600,9197,4155,488,13846,47385,5185,80,66497
10105,185,774,12,965,4107,385,3,5462,40,527,8,572,3802,331,6,4718,10,111,0,119,2310,204,0,2629,0,7,0,8,920,97,0,1029,5616,2182,242,8046,21334,2676,36,32091
10106,190,637,12,835,4036,397,10,5272,52,627,0,679,3553,325,0,4554,7,106,0,112,2166,226,0,2503,0,5,0,8,787,86,0,879,5956,2111,265,8329,20098,2320,32,30776
10201,1101,2402,32,3529,19137,955,33,23657,197,2427,19,2640,17612,1040,33,21329,42,400,4,444,12016,1066,16,13548,6,21,0,27,4642,1076,6,5748,29918,7568,647,38133,100811,8025,190,147156
10202,722,2371,39,3129,16937,908,27,21007,124,1708,17,1855,16139,1038,24,19052,26,258,3,285,10540,1202,5,12034,7,14,0,26,3707,1019,5,4757,27170,7137,815,35119,92507,8698,121,136448
10301,225,862,12,1101,4610,372,6,6088,48,763,0,810,4115,330,4,5257,8,124,0,133,2543,223,3,2910,0,9,0,9,1051,91,0,1153,7483,2856,339,10675,25937,3504,52,40171
10302,243,1035,21,1295,5704,633,9,7644,53,739,4,801,5606,515,0,6929,10,141,6,155,3698,389,5,4240,0,9,0,10,1526,193,0,1740,7704,3069,373,11138,29354,4073,47,44612
10303,213,851,15,1083,5330,494,3,6911,43,553,4,602,4935,455,0,5991,7,120,0,127,3127,342,0,3594,3,6,0,11,1048,113,0,1169,6922,2447,316,9692,26404,3453,28,39568
