SA3_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
40501,57,1030,82,0,1166,55,815,40,0,910,103,1655,82,7,1845,223,1764,113,4,2103,349,1967,118,0,2435,362,2202,124,0,2689,313,1900,114,0,2325,128,962,66,0,1152,42,273,32,0,353,1618,12577,766,13,14976,59,930,63,0,1057,49,782,36,6,872,203,1603,85,9,1896,418,1824,103,0,2341,523,1929,124,4,2582,657,2007,105,0,2771,417,1795,104,0,2319,144,1023,82,3,1249,26,457,46,0,524,2499,12357,749,21,15612,118,1960,144,0,2222,103,1597,73,5,1784,309,3259,167,12,3741,639,3591,214,8,4447,872,3893,243,4,5018,1017,4215,228,0,5460,731,3698,216,0,4637,269,1982,145,3,2396,62,733,79,0,874,4117,24930,1517,32,30589
40502,28,486,67,0,582,22,413,40,0,465,72,874,66,0,1010,116,894,80,0,1091,166,1135,115,0,1412,274,1451,129,0,1854,222,1461,110,0,1793,93,734,78,0,904,28,203,32,0,258,1013,7648,708,3,9379,28,478,51,0,554,23,359,26,0,412,125,849,71,0,1041,207,890,65,0,1165,315,1055,83,0,1454,418,1274,139,0,1831,268,1278,103,0,1645,98,771,80,4,952,16,339,45,0,398,1498,7281,669,4,9455,58,964,117,0,1134,44,772,64,0,881,194,1718,137,0,2058,319,1787,142,0,2256,480,2185,201,0,2864,690,2728,272,0,3686,483,2741,214,4,3436,195,1500,161,3,1852,46,540,74,0,658,2506,14929,1378,16,18834
40503,44,631,67,0,747,54,624,60,0,735,94,1154,105,0,1361,139,1056,127,0,1315,243,1287,141,5,1675,318,1672,154,0,2146,254,1535,148,0,1934,121,839,107,0,1069,20,264,55,0,337,1281,9066,955,10,11311,29,620,60,0,708,45,533,37,0,615,154,1096,108,0,1362,278,1019,107,0,1411,403,1221,136,0,1766,497,1486,117,0,2098,314,1447,138,0,1904,124,941,121,0,1192,10,435,47,0,491,1858,8792,878,4,11546,74,1252,125,0,1452,99,1151,89,0,1343,245,2250,216,4,2719,419,2073,235,4,2729,644,2505,284,3,3437,812,3158,276,0,4252,566,2984,282,0,3840,246,1788,224,0,2259,26,697,100,0,828,3139,17863,1839,13,22855
40504,33,479,67,0,579,29,417,46,0,493,78,915,73,0,1071,128,916,95,0,1135,205,1109,109,0,1425,341,1750,168,0,2261,326,2096,167,8,2589,143,1192,147,3,1487,31,292,67,0,389,1306,9153,941,11,11417,27,377,54,0,459,47,384,24,0,454,140,871,69,0,1082,210,894,91,0,1195,347,1061,92,3,1500,536,1593,137,0,2269,419,1923,170,0,2508,170,1104,144,0,1416,15,439,97,0,548,1906,8639,876,5,11425,59,849,121,0,1036,72,795,73,0,946,214,1791,150,0,2155,340,1803,186,0,2328,554,2170,200,3,2929,876,3347,309,0,4528,742,4013,332,5,5097,310,2298,293,3,2897,46,727,158,0,930,3212,17798,1816,15,22841
40601,72,1386,139,0,1594,75,1243,141,0,1454,204,2961,301,13,3474,322,2648,316,7,3286,488,3026,403,0,3923,612,3424,355,0,4395,385,2941,250,4,3578,191,1434,169,0,1793,60,432,69,0,561,2403,19495,2134,20,24063,74,1194,153,0,1430,87,1173,99,0,1366,352,2795,249,0,3401,523,2461,242,8,3234,773,2735,262,0,3768,887,2918,268,3,4074,531,2589,244,3,3364,208,1579,169,0,1956,39,665,104,0,811,3478,18127,1790,17,23407,145,2585,290,0,3020,165,2419,235,3,2819,559,5754,553,16,6878,845,5113,560,9,6521,1256,5761,670,5,7687,1500,6344,622,4,8473,916,5534,489,6,6948,402,3017,338,0,3748,101,1099,169,0,1368,5881,37619,3929,42,47469
40602,39,615,129,3,784,46,760,244,6,1050,157,2301,918,14,3388,177,1888,734,16,2820,241,1791,645,8,2694,257,1986,541,11,2796,143,1308,259,4,1716,53,594,144,3,800,14,122,32,0,168,1134,11368,3644,55,16204,36,534,116,0,680,60,654,109,5,823,216,1728,320,13,2281,229,1256,206,0,1690,300,1238,243,0,1785,327,1353,236,7,1928,202,1060,202,6,1463,59,505,97,0,663,5,182,33,0,221,1450,8509,1550,30,11537,71,1149,242,3,1462,110,1413,352,4,1874,378,4028,1234,23,5663,413,3147,939,14,4507,540,3032,888,9,4478,594,3346,772,16,4721,345,2366,457,6,3179,119,1100,238,3,1463,21,306,61,0,391,2580,19875,5200,85,27744
40701,58,1131,81,0,1280,66,818,50,3,939,156,1697,103,13,1962,268,1921,125,9,2310,433,2446,158,6,3044,668,3142,211,7,4017,667,4123,235,6,5033,415,2511,193,0,3123,89,734,80,4,900,2819,18515,1232,35,22610,74,1062,78,0,1210,71,826,45,0,942,265,1762,120,5,2150,444,2013,119,0,2587,775,2329,164,0,3269,1199,3158,200,5,4556,1019,4311,247,3,5584,374,2586,203,4,3172,80,1015,135,4,1229,4307,19062,1308,21,24696,133,2188,160,0,2483,137,1647,99,6,1880,422,3458,217,11,4116,715,3931,245,4,4896,1210,4777,322,4,6312,1866,6294,405,8,8575,1688,8433,489,10,10613,790,5099,398,5,6289,164,1741,208,3,2132,7132,37574,2548,58,47307
40702,93,1727,177,0,2002,96,1521,169,5,1794,259,3174,451,17,3899,341,3051,470,7,3870,525,3425,446,3,4401,670,3632,375,5,4677,446,3370,308,9,4141,209,1636,203,0,2057,76,506,84,5,670,2720,22056,2676,56,27502,96,1552,137,0,1792,117,1331,108,0,1557,359,3026,221,11,3624,630,3011,237,3,3881,854,3153,247,3,4256,1004,3248,258,11,4524,641,2998,230,6,3875,252,1870,238,6,2365,57,841,171,0,1068,4002,21027,1853,45,26932,197,3278,315,5,3789,215,2848,281,8,3355,619,6203,674,27,7524,972,6067,704,12,7752,1375,6581,688,11,8656,1676,6879,635,16,9201,1083,6366,543,18,8012,460,3507,445,6,4415,129,1352,251,5,1733,6717,43081,4530,99,54437
40703,99,1702,202,0,2003,98,1561,191,79,1931,284,3252,529,365,4427,380,2913,526,157,3978,593,3501,448,38,4571,774,4145,438,5,5363,608,4098,411,4,5120,304,2167,241,0,2709,79,676,84,0,841,3208,24013,3074,653,30956,120,1454,165,0,1741,137,1335,105,9,1583,468,3097,268,36,3872,623,2711,254,14,3606,928,3228,312,12,4482,1231,3744,321,12,5308,819,3602,386,3,4816,336,2229,265,3,2830,50,1070,129,0,1248,4705,22475,2206,94,29474,217,3156,366,4,3746,238,2900,289,90,3521,751,6348,793,399,8299,1004,5627,781,171,7581,1517,6735,763,46,9049,1999,7882,761,23,10667,1425,7703,795,7,9935,636,4392,499,4,5537,127,1742,217,0,2091,7915,46489,5278,745,60429
49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,5,19,0,4,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,11,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,5,19,0,4,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,11,7,40
