SA3_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
10102,77,146,285,251,240,173,54,13,0,1244,68,116,292,265,255,182,49,9,6,1241,1896,2865,7863,7909,7861,5405,1404,183,11,35407
10103,25,38,76,55,76,54,22,4,0,345,28,65,124,89,95,77,31,10,8,520,882,1511,2877,2287,2837,2478,796,175,21,13860
10104,91,107,196,218,256,225,82,9,0,1179,94,88,198,217,222,317,113,22,8,1279,1908,1934,4815,5407,6815,7182,2378,308,35,30778
10105,40,76,159,135,137,110,36,4,0,695,47,66,150,106,122,112,47,12,3,657,1071,1424,3429,3335,3505,3385,1112,196,27,17474
10106,55,66,121,120,139,91,36,6,0,636,59,60,122,133,136,102,54,25,3,695,1161,1288,2933,3503,4122,3276,1226,292,44,17843
10201,123,274,531,648,620,533,152,14,0,2883,153,257,586,701,721,480,179,60,11,3140,5043,6622,14041,17182,18169,14382,3955,529,50,79961
10202,159,300,703,584,613,436,104,9,0,2910,159,295,622,584,594,468,127,47,13,2914,4761,6566,14558,14770,15064,11879,2750,287,27,70654
10301,60,98,205,166,163,128,29,0,0,843,57,97,151,157,178,145,56,23,3,874,1642,2288,4671,4389,4709,3843,1317,208,18,23084
10302,96,107,191,139,147,177,67,9,0,923,86,80,194,169,172,157,101,35,11,1021,1495,1888,4354,4245,4733,4570,1792,418,71,23570
10303,65,91,177,128,144,134,45,9,0,785,43,66,153,125,159,129,46,34,6,761,1227,1576,3976,3891,4460,3980,1206,268,29,20614
10304,80,119,278,235,227,167,49,3,0,1158,84,82,192,158,203,151,70,14,7,967,1893,2376,6102,6109,6038,4847,1639,298,31,29330
10401,47,67,141,136,193,150,35,0,0,772,65,68,156,147,154,158,62,17,6,843,1298,1475,3295,3583,4380,4343,1265,179,18,19838
10402,95,147,347,326,330,232,72,7,0,1559,96,150,306,367,312,266,101,31,10,1638,2671,2890,7297,8073,8837,7527,2277,249,28,39855
10501,14,28,34,38,43,58,18,3,0,238,35,22,66,63,66,60,37,18,10,375,393,704,1896,1563,1806,1918,716,165,18,9179
10502,19,42,53,48,51,69,21,0,0,306,19,31,47,49,52,62,22,5,0,289,500,686,1754,1459,1575,1705,517,63,7,8273
10503,83,138,296,212,217,182,81,16,4,1230,99,111,315,237,241,217,103,53,3,1378,2041,2606,7536,6363,6208,5838,2102,411,52,33171
10601,155,255,584,343,357,223,53,9,0,1987,142,206,401,353,367,267,91,26,5,1855,3110,4178,9736,9046,9097,6741,1753,261,33,43945
10602,122,232,503,372,295,204,53,3,0,1784,86,191,416,350,273,197,45,15,0,1582,2890,4052,10023,9425,8311,5765,1273,130,14,41884
10603,82,124,261,245,272,261,73,4,3,1328,81,117,232,223,305,222,81,23,9,1289,2208,2554,5082,5851,7047,6254,1608,230,19,30851
10604,47,63,147,105,84,71,19,5,0,538,32,60,116,85,96,82,38,18,8,533,913,1173,3048,3006,2937,2425,794,163,20,14477
10701,104,166,326,273,282,225,45,0,0,1428,62,143,324,284,290,223,47,17,5,1393,2104,3239,7412,7471,7063,5305,1019,89,8,33714
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
10703,98,195,359,321,343,250,66,3,0,1640,95,141,377,301,308,230,73,19,0,1543,3080,4088,9171,9523,9589,7404,1679,162,14,44706
10704,111,303,514,447,422,343,78,20,0,2229,85,262,523,472,389,288,70,13,4,2108,3491,7411,14287,13373,13211,9466,2231,246,18,63744
10801,20,30,71,82,110,80,33,4,0,440,44,37,79,116,105,106,49,26,8,553,820,772,1717,2130,2676,2737,883,152,15,11901
10802,43,55,121,109,109,127,50,8,0,621,54,55,126,145,191,170,62,24,6,836,1188,1263,2861,3121,3858,4189,1251,232,23,17990
10803,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,0,0,0,9,4,8,50,55,42,52,21,4,0,243
10804,76,144,279,303,327,277,73,0,0,1477,81,112,197,195,251,203,65,34,13,1157,2725,2859,5897,6893,8142,7011,1986,281,36,35837
10805,39,58,140,160,180,150,53,0,0,781,59,75,125,132,187,180,81,15,11,866,1421,1500,3389,3650,4629,4654,1461,213,29,20935
10901,67,135,270,244,204,167,51,12,0,1159,82,120,251,232,229,208,62,26,9,1222,2112,2876,6465,6319,6194,5314,1660,235,27,31207
10902,11,20,36,27,39,34,8,7,0,176,25,24,46,55,45,48,22,4,0,281,285,448,1068,1030,1225,1278,424,77,7,5843
10903,42,54,119,118,131,103,48,0,0,626,62,52,130,119,153,153,78,24,8,781,1184,1236,3016,3216,3933,4016,1552,301,36,18477
11001,38,44,117,96,98,80,23,6,0,509,52,36,92,92,98,86,29,28,3,517,1094,1486,3209,3018,3205,3075,1176,263,29,16551
11002,41,50,127,102,107,99,45,7,0,576,48,62,110,119,116,142,65,33,16,703,940,1102,2386,2542,3131,3151,1324,346,58,14983
11003,35,53,95,88,77,74,32,6,0,452,35,38,96,74,101,109,35,20,0,511,578,911,2276,1988,2154,2153,815,149,21,11057
11004,124,155,344,295,284,255,91,14,3,1565,120,142,308,251,267,207,95,45,11,1450,2652,3120,8061,7611,7600,6551,2274,388,32,38290
11101,155,257,467,459,477,360,115,20,0,2303,93,175,367,448,424,297,85,24,3,1924,4066,5263,11140,12875,13026,9718,2193,277,13,58572
11102,120,185,383,334,368,216,71,10,0,1689,76,152,326,329,297,205,62,14,7,1469,2456,3400,7842,7713,7890,6155,1467,162,11,37102
11103,153,383,766,611,554,384,119,16,0,2989,139,377,771,602,548,364,105,30,6,2948,5195,10745,22407,18673,16835,12088,2805,341,31,89120
11201,66,120,300,302,305,231,75,14,0,1413,120,124,445,481,364,259,118,30,8,1956,2376,2604,7201,8281,8797,7538,2604,347,36,39786
11202,76,106,260,209,265,206,65,16,0,1197,100,114,219,253,274,234,93,50,5,1352,2052,2414,5188,5702,6586,6276,2077,339,54,30687
11203,88,140,313,375,326,267,82,8,0,1590,128,144,371,408,371,307,120,40,10,1900,2748,2989,6688,8489,9066,8145,2367,274,38,40812
11301,75,104,208,161,144,120,50,3,0,863,78,141,296,220,187,169,65,30,10,1198,1594,1963,5074,4590,4724,4363,1432,254,36,24030
