SA3_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
10102,0,4,5,105,167,271,6,0,3,3,0,3,28,20,49,13377,10931,24309,662,1039,1706,328,4,329,217,24,242,91,22,110,84,41,118,324,368,694,15223,12618,27845,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,4,7,0,6,0,0,0,0,6,5,21,31,49,12,24,43,4,8,13,39,75,109,160,96,251,201,172,371,0,0,0,3,9,14,9,3,12,15,13,28,1602,2144,3749,1226,2072,3298,69,45,119,18344,17063,35407
10103,11,22,33,64,19,83,3,0,0,0,0,0,4,5,14,3898,3170,7064,326,379,706,96,0,96,37,0,39,27,6,38,111,61,175,550,551,1095,5127,4213,9338,15,0,13,0,0,0,0,0,0,29,29,56,9,8,15,0,0,0,49,37,87,0,0,0,0,0,0,0,0,5,0,3,8,0,0,0,7,9,11,68,44,109,126,82,203,6,3,8,0,0,0,3,0,5,13,13,18,942,990,1929,1072,1181,2253,66,44,110,7337,6525,13860
10104,0,3,4,51,55,103,0,3,4,0,0,0,7,10,19,9979,9379,19353,624,677,1298,408,11,418,99,14,108,101,52,158,100,53,151,572,576,1147,11936,10833,22775,0,0,0,0,0,0,0,0,0,6,4,7,0,0,0,0,4,4,6,8,10,0,0,0,0,0,0,3,4,7,3,7,15,0,0,0,11,12,22,114,33,157,128,54,187,0,0,0,0,0,0,4,5,10,4,3,9,1676,2254,3932,1441,2120,3561,169,146,319,15361,15418,30778
10105,12,5,11,23,10,35,0,0,0,0,0,0,14,21,30,6118,5276,11393,434,465,898,234,11,250,58,4,62,32,4,35,67,20,82,317,296,614,7314,6111,13423,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,4,3,0,0,0,0,3,3,3,6,12,65,31,97,68,43,116,3,0,3,4,0,4,8,0,8,14,0,14,949,1077,2025,679,1100,1777,67,58,123,9088,8387,17474
10106,0,0,0,29,24,56,3,0,3,0,3,3,9,5,11,5930,5361,11290,380,419,796,292,17,307,57,13,71,22,3,28,78,32,108,376,318,691,7170,6191,13363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,3,10,6,0,0,0,10,21,23,70,38,107,79,58,136,0,0,0,4,5,6,10,0,7,9,4,12,1203,1419,2624,580,984,1560,78,68,144,9124,8722,17843
10201,525,318,846,185,278,465,24,0,25,0,4,4,23,31,54,19943,15754,35701,1061,1345,2402,495,14,515,218,17,231,125,44,165,165,116,273,521,619,1137,23281,18537,41813,162,116,276,0,6,7,0,0,0,190,73,260,21,17,44,30,15,46,405,228,629,0,9,12,0,0,0,10,13,18,15,31,41,8,13,18,34,57,97,224,86,312,659,375,1035,63,40,100,14,10,21,10,3,14,86,49,138,11167,13221,24391,4788,7434,12227,198,168,359,40179,39781,79961
10202,187,96,284,155,203,359,4,0,5,0,0,0,4,10,15,21627,16681,38312,1266,1207,2473,646,11,656,195,17,216,89,18,110,130,97,229,326,393,723,24632,18738,43377,68,41,112,3,0,0,0,0,0,98,34,131,17,13,28,8,5,12,193,89,285,0,0,0,0,0,0,9,8,14,14,28,46,7,3,11,33,45,75,222,83,303,453,212,669,34,24,61,0,0,7,6,0,6,42,28,69,5769,8795,14559,4585,7080,11664,172,149,319,35645,35009,70654
10301,0,4,3,26,27,53,7,0,8,0,0,0,31,31,60,7984,7094,15076,577,631,1208,225,4,234,60,8,64,43,12,54,52,23,76,408,334,745,9411,8173,17579,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,7,4,11,0,0,0,0,0,0,4,0,3,4,5,7,0,6,6,9,12,13,80,43,128,93,54,146,0,0,0,5,0,4,6,0,7,13,3,16,1199,1605,2806,995,1413,2410,71,59,127,11774,11308,23084
10302,0,0,0,160,54,218,3,0,5,0,0,0,23,13,34,7960,7011,14972,665,561,1223,349,14,365,95,15,113,54,12,64,140,41,181,634,555,1187,10084,8271,18360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,18,5,0,5,0,0,0,16,3,20,121,35,158,137,34,174,0,0,0,0,0,0,6,5,12,9,3,16,1395,1462,2862,735,1198,1930,130,97,232,12495,11073,23570
10303,5,5,10,16,15,32,0,0,0,0,0,0,12,10,22,7240,5849,13085,504,423,925,222,7,231,59,8,71,37,9,45,54,29,88,413,413,826,8554,6773,15336,3,0,3,0,0,0,0,0,0,4,0,12,0,0,0,0,3,3,7,5,13,0,0,0,0,0,0,0,0,0,5,6,9,0,0,0,4,3,6,91,53,145,104,67,170,0,5,5,0,0,0,4,0,3,4,5,10,1070,1400,2470,1037,1432,2470,77,87,164,10851,9766,20614
