SA3_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
40402,24825,26079,50900,10080,6543,16630,3705,6576,10283,687,917,1602,1137,848,1983,15611,14888,30500,8143,10195,18339,7.3,5.7,6.5,62.9,57.1,59.9,58.3,53.8,56,914,1241,2152,300,651,950,2939,4026,6968,1903,2353,4263,5641,3366,9004,317,393,716,355,503,861,6318,4268,10582,24475,25421,49895,3578,3718,7297,16576,17269,33840,10015,10584,20596
40403,26766,28369,55137,11890,7702,19592,4971,8223,13194,727,1016,1743,973,754,1733,18562,17690,36251,7352,9856,17209,5.2,4.3,4.8,69.4,62.4,65.8,65.7,59.7,62.6,2061,2286,4350,561,981,1541,5280,6600,11886,2477,2781,5262,5010,2652,7663,244,304,545,399,540,936,5649,3498,9145,25431,26737,52169,4882,4971,9852,15856,16825,32681,13086,13576,26667
40501,14962,15593,30557,6894,3580,10468,1975,4572,6550,506,632,1133,358,318,676,9731,9093,18825,4563,5828,10391,3.7,3.5,3.6,65,58.3,61.6,62.6,56.3,59.4,306,371,668,161,393,555,1169,2094,3267,1008,1703,2710,4349,2528,6878,210,296,502,254,361,616,4812,3182,7998,15665,15844,31505,1817,1964,3786,11220,11165,22387,5444,5890,11332
40502,9374,9448,18819,3683,1683,5370,1083,2636,3721,337,363,697,251,178,433,5353,4864,10216,3402,3974,7379,4.7,3.7,4.2,57.1,51.5,54.3,54.4,49.6,52,142,215,360,82,205,290,592,1115,1701,507,881,1385,2335,1360,3694,121,190,312,185,185,367,2647,1731,4373,9243,9179,18420,1205,1293,2496,6672,6504,13176,3239,3507,6747
40503,11304,11536,22841,4132,2088,6218,1183,2882,4063,344,392,738,453,293,742,6106,5655,11764,4327,5079,9407,7.4,5.1,6.3,54,49,51.5,50,46.5,48.3,145,148,293,80,209,296,501,1152,1656,496,948,1447,2980,1634,4617,168,240,406,133,168,303,3276,2045,5318,11106,11183,22284,1304,1480,2782,8312,8251,16561,3503,3791,7298
40504,11405,11424,22827,3319,1639,4957,1272,2617,3887,354,391,743,368,260,628,5313,4910,10220,5259,5706,10963,6.9,5.3,6.2,46.6,43,44.8,43.3,40.7,42,111,144,257,82,192,268,505,1012,1514,558,1008,1570,3040,1675,4714,139,194,336,176,204,380,3350,2077,5429,10649,10527,21179,1483,1561,3049,7674,7417,15087,3995,4171,8164
40601,24036,23385,47424,9826,4992,14816,2820,6099,8916,1031,974,2006,806,553,1366,14486,12619,27102,7788,9223,17013,5.6,4.4,5,60.3,54,57.2,56.9,51.6,54.3,337,438,779,152,441,594,1360,2581,3938,1189,2000,3190,6841,3474,10312,342,538,881,347,439,786,7527,4450,11977,23384,22643,46032,3331,3481,6811,17013,16238,33249,8292,8559,16852
40602,16148,11508,27660,6594,3145,9736,1227,2098,3324,779,599,1377,530,311,846,9133,6151,15287,4125,3969,8090,5.8,5.1,5.5,56.6,53.5,55.3,53.3,50.7,52.2,307,284,593,118,238,357,907,1254,2155,822,881,1699,4227,1462,5687,198,210,403,211,190,405,4641,1863,6494,12370,10143,22508,2336,2038,4376,8512,6900,15412,5446,4559,10002
40701,22574,24680,47249,6627,3645,10272,3382,6180,9561,677,838,1518,602,478,1080,11287,11138,22427,10197,12394,22589,5.3,4.3,4.8,50,45.1,47.5,47.3,43.2,45.2,546,720,1264,315,648,966,2046,3164,5202,1798,2882,4683,6244,3529,9772,269,441,711,483,668,1150,7000,4640,11638,21713,23167,44880,3237,3555,6788,14372,15175,29548,9602,10655,20254
40702,27447,26887,54337,12343,5955,18301,3253,7850,11101,937,1045,1985,699,499,1201,17230,15348,32580,8362,9842,18204,4,3.3,3.7,62.8,57.1,60,60.2,55.2,57.8,335,447,780,198,551,755,1552,3071,4633,1372,2271,3644,7028,4166,11190,343,573,917,411,536,948,7781,5273,13052,26184,25967,52152,3934,4069,8001,18108,17508,35615,10527,11124,21655
40703,30300,29386,59684,11417,5914,17323,3472,7375,10852,983,1011,2000,939,726,1665,16810,15033,31844,11313,12393,23706,5.6,4.8,5.2,55.5,51.2,53.4,52.4,48.7,50.6,320,424,742,180,473,651,1441,2717,4158,1453,2452,3911,7497,4682,12183,430,629,1057,445,553,997,8370,5868,14235,28171,27934,56104,4140,4199,8343,20051,19504,39550,10781,11193,21972
49797,34,0,34,19,0,19,0,0,0,0,0,0,0,0,0,22,0,22,6,0,6,4.3,0,4.3,67.6,0,67.6,64.7,0,64.7,0,0,0,0,0,0,3,0,3,3,0,3,4,0,4,0,0,0,0,0,0,7,0,7,22,0,22,5,0,5,16,0,16,13,0,13
50101,21416,23879,45295,8759,4929,13685,3517,7657,11176,995,971,1967,462,395,856,13732,13954,27688,6263,8481,14739,3.3,2.8,3.1,64.1,58.4,61.1,62,56.8,59.2,586,695,1281,303,759,1068,2509,4181,6698,1834,2815,4651,6054,3249,9300,317,488,805,336,614,950,6702,4350,11056,20812,22514,43329,4220,4638,8864,13264,14121,27387,10411,11742,22155
50102,40498,43119,83608,18765,9776,28546,4474,12059,16537,1675,1538,3211,1328,1260,2586,26245,24636,50875,11981,16289,28267,5,5.1,5.1,64.8,57.1,60.8,61.5,54.2,57.8,739,820,1566,396,989,1387,3012,5386,8400,2592,3968,6557,12566,7667,20229,712,1221,1933,553,1041,1590,13831,9931,23756,40290,42144,82431,7074,7700,14772,27401,28248,55648,17217,19098,36309
50103,9683,9837,19518,4061,2015,6076,1178,2694,3871,451,406,854,240,196,437,5932,5310,11239,2966,3817,6780,4.1,3.7,3.9,61.3,54,57.6,58.8,52,55.3,185,226,418,87,247,335,734,1281,2012,615,991,1601,2601,1399,4000,149,253,406,159,231,395,2913,1887,4799,9207,9166,18374,1453,1608,3060,6570,6428,13002,3581,3858,7443
50201,38908,44587,83493,14434,8202,22630,4496,10941,15431,1669,1416,3087,1670,1499,3169,22267,22055,44321,14728,20314,35037,7.5,6.8,7.2,57.2,49.5,53.1,52.9,46.1,49.3,705,739,1443,333,898,1239,2537,4702,7237,2889,4562,7450,11787,6941,18727,617,1017,1629,567,1163,1731,12970,9117,22084,38442,42786,81229,6975,8015,14990,24643,26842,51489,18311,21458,39770
50301,27947,30779,58725,11996,6788,18795,5189,9075,14265,655,949,1600,848,799,1651,18694,17620,36309,8197,11883,20076,4.6,4.5,4.5,66.9,57.2,61.8,63.8,54.6,59,4802,3895,8695,859,1652,2511,9266,10061,19322,1939,2881,4818,1944,1113,3053,159,237,402,203,547,749,2310,1897,4202,27458,29198,56658,5458,5946,11405,17341,18730,36070,14268,15152,29415
50302,48067,48593,96662,23999,16360,40358,7567,13109,20675,1388,1712,3097,1541,1389,2928,34496,32564,67060,9518,13020,22544,4.5,4.3,4.4,71.8,67,69.4,68.6,64.2,66.4,6422,6115,12536,1484,2372,3853,13888,15242,29126,4204,4802,8998,5534,3053,8587,366,495,861,445,797,1242,6342,4347,10691,40078,40751,80831,10953,11508,22455,21719,22401,44118,27008,27738,54740
50401,33417,35413,68834,16017,10374,26398,5152,9575,14727,962,1207,2171,1254,1126,2382,23385,22295,45673,8633,11804,20437,5.4,5.1,5.2,70,62.9,66.4,66.2,59.8,62.9,1957,2329,4287,714,1318,2033,6169,7650,13816,3199,3628,6830,6879,3671,10547,399,577,975,414,799,1218,7691,5051,12741,33095,34340,67432,5363,5631,10992,21501,22453,43959,14801,15545,30342
50402,17653,17204,34856,7368,4262,11628,2055,4871,6921,671,623,1293,525,449,978,10621,10207,20822,6416,6277,12697,4.9,4.4,4.7,60.2,59.3,59.7,57.2,56.7,56.9,540,636,1173,276,558,838,1737,2774,4506,1352,1954,3312,4769,2396,7166,221,348,568,247,447,697,5241,3187,8430,16621,17429,34051,2076,2272,4350,12046,12619,24665,5690,6220,11911
50403,54684,58469,113152,28118,16494,44609,7474,16329,23806,2076,2175,4250,2152,2082,4233,39820,37081,76901,12378,18944,31324,5.4,5.6,5.5,72.8,63.4,68,68.9,59.9,64.2,1618,1960,3580,608,1273,1882,5581,8508,14086,4642,6216,10862,14707,8734,23442,927,1204,2133,749,1437,2185,16391,11370,27762,58669,60531,119206,8809,9463,18275,38217,38973,77192,24469,26611,51081
