SA3_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
50701,43432,46964,90398,23198,13616,36817,5847,14224,20072,1498,1730,3234,1580,1486,3063,32126,31062,63188,9697,14248,23941,4.9,4.8,4.9,74,66.1,69.9,70.3,63,66.5,2155,2334,4486,686,1506,2194,6264,9347,15607,3802,5110,8907,11411,6005,17417,623,868,1492,622,1032,1652,12655,7902,20562,44741,46902,91639,7507,8320,15832,28695,29976,58673,20240,22194,42434
50702,16133,17473,33610,6978,4545,11517,2588,5152,7747,526,612,1132,579,454,1033,10669,10767,21433,4327,5727,10052,5.4,4.2,4.8,66.1,61.6,63.8,62.5,59,60.7,1659,1767,3417,470,947,1418,3553,4821,8373,1488,1677,3161,2566,1232,3796,166,200,365,223,335,558,2959,1766,4726,14780,15827,30613,2866,3271,6142,9307,9983,19288,7423,8303,15726
50703,17272,17092,34365,8162,4563,12727,2032,4652,6682,637,678,1313,823,772,1590,11651,10663,22315,4859,5694,10551,7.1,7.2,7.1,67.5,62.4,64.9,62.7,57.9,60.3,498,616,1111,139,395,532,1691,2595,4287,1228,1734,2960,4435,2739,7180,344,465,805,208,401,614,4990,3607,8598,17314,17837,35151,2794,2993,5785,10704,10538,21242,7808,8762,16571
50704,40195,45888,86086,18604,11305,29904,6431,13406,19841,1070,1307,2380,1296,1195,2492,27406,27220,54620,11388,16941,28330,4.7,4.4,4.6,68.2,59.3,63.5,65,56.7,60.6,3994,3561,7553,1196,2083,3280,9927,12113,22045,3814,4867,8677,6536,3332,9866,396,597,993,535,1049,1585,7463,4981,12445,41075,45189,86266,6440,7290,13725,27494,30403,57894,17776,19876,37652
50705,48510,53148,101657,23605,12998,36603,5441,14582,20015,2133,1975,4112,2225,2108,4337,33406,31659,65062,12509,19026,31528,6.7,6.7,6.7,68.9,59.6,64,64.3,55.6,59.7,892,1051,1946,459,1135,1591,3261,6144,9403,4095,5858,9954,15540,9506,25047,861,1335,2195,717,1294,2009,17119,12134,29256,51016,54181,105193,8683,9600,18273,33183,34828,68011,22401,25256,47658
50901,24440,25295,49737,9957,5451,15408,3378,6995,10366,934,917,1849,610,484,1093,14876,13841,28722,7766,9711,17484,4.1,3.5,3.8,60.9,54.7,57.7,58.4,52.8,55.5,543,657,1200,269,675,943,2032,3643,5674,1692,2707,4398,6153,3531,9687,438,661,1097,350,570,918,6937,4764,11699,23171,23950,47128,3978,4248,8228,15690,15887,31578,10035,10985,21016
50902,24312,22336,46650,10156,5109,15263,2348,5297,7639,976,844,1821,667,489,1152,14152,11733,25885,7215,8350,15568,4.7,4.2,4.5,58.2,52.5,55.5,55.5,50.3,53,313,388,701,163,446,612,1263,2392,3657,1256,2008,3262,6120,2737,8855,296,538,835,327,474,804,6743,3750,10494,21503,20496,41997,3424,3368,6788,15574,14523,30097,8195,8213,16405
50903,8467,7591,16056,4132,1887,6014,834,1888,2719,378,309,693,214,142,357,5546,4232,9784,2044,2585,4629,3.8,3.4,3.6,65.5,55.8,60.9,63,53.9,58.7,82,101,192,62,150,216,534,1012,1544,427,678,1103,2057,939,2996,108,171,278,93,158,248,2256,1267,3518,7824,7048,14869,1222,1196,2420,5680,5051,10735,2908,2746,5653
51001,20420,20695,41114,6525,5163,11692,1521,2772,4293,1664,1745,3409,581,449,1026,10291,10123,20418,6949,7513,14462,5.6,4.4,5,50.4,48.9,49.7,47.6,46.8,47.2,597,829,1428,276,685,956,1969,3335,5311,1402,1793,3191,4713,1949,6658,237,427,663,283,396,681,5233,2769,8002,17188,17172,34360,3735,4247,7983,11509,11299,22804,8153,8891,17048
51002,23011,10866,33884,11596,4236,15828,1121,1460,2582,1124,623,1750,298,238,532,14141,6556,20695,1587,2143,3725,2.1,3.6,2.6,61.4,60.3,61.1,60.1,58.1,59.5,435,291,727,156,194,355,1415,1378,2794,1291,915,2207,6579,1452,8035,265,286,561,196,174,367,7040,1913,8956,14044,7963,22008,4007,2938,6943,7602,3620,11221,9512,6532,16043
51003,22842,12737,35582,11419,4398,15819,1222,2238,3464,1225,759,1984,249,229,476,14123,7622,21743,2165,2725,4888,1.8,3,2.2,61.8,59.8,61.1,60.7,58.1,59.8,481,381,860,174,326,501,1499,1851,3351,1427,1174,2596,6795,1762,8557,270,307,579,193,226,419,7257,2294,9554,14983,9888,24870,4224,3305,7530,8170,4766,12939,9950,7502,17453
51101,7000,6355,13359,3489,1571,5056,631,1623,2250,317,260,576,129,88,216,4560,3541,8099,1585,2208,3794,2.8,2.5,2.7,65.1,55.7,60.6,63.3,54.3,59,95,99,200,45,134,177,439,796,1238,372,566,942,1907,852,2761,90,164,256,69,126,192,2072,1139,3205,6200,5830,12031,1234,1150,2386,4153,3837,7987,2882,2768,5648
51102,7922,7527,15454,2283,1558,3843,621,1190,1812,967,846,1816,150,98,251,4021,3698,7716,2960,3006,5964,3.7,2.8,3.2,50.8,49.1,50,48.9,47.8,48.3,205,243,447,90,199,287,760,1187,1942,635,747,1379,2234,836,3063,87,148,232,121,165,281,2438,1145,3584,6749,6335,13089,1248,1287,2535,4791,4405,9198,2857,2894,5749
51103,23376,15297,38673,11358,5305,16664,1432,2855,4292,956,585,1541,466,329,794,14215,9075,23286,3094,3827,6926,3.3,3.6,3.4,60.8,59.3,60.2,58.8,57.2,58.2,531,412,938,152,302,456,1526,1688,3214,987,1089,2084,5938,1923,7861,285,361,648,209,271,477,6426,2555,8981,16418,12798,29217,4100,3297,7393,10396,7772,18175,8970,7254,16224
51104,26515,23846,50362,10686,5554,16238,2552,5571,8121,1210,994,2196,744,559,1300,15190,12667,27859,6877,8374,15250,4.9,4.4,4.7,57.3,53.1,55.3,54.5,50.8,52.7,443,452,894,219,558,774,1622,2762,4380,1503,2167,3670,7014,3229,10237,407,634,1037,309,471,786,7726,4332,12062,22331,21317,43651,3943,3898,7843,15392,14396,29790,9565,9549,19109
59797,2854,392,3249,1339,139,1478,54,20,77,115,31,147,7,0,7,1525,190,1711,87,81,165,0.6,0.5,0.6,53.3,48.1,52.7,53,47.8,52.4,43,16,55,15,15,31,208,68,277,257,34,292,659,43,703,22,9,28,39,4,41,722,57,776,1324,213,1540,286,55,345,925,147,1067,678,129,801
60101,7168,7851,15025,3120,1792,4906,939,2086,3022,251,301,558,323,288,611,4636,4461,9093,2187,3008,5191,6.9,6.4,6.7,64.6,56.8,60.5,60.1,53.2,56.5,128,167,294,49,106,157,352,603,954,347,604,957,2009,1365,3371,109,232,347,92,154,251,2214,1759,3964,7743,8133,15880,982,1119,2102,5132,5289,10423,2956,3404,6362
60102,23168,24965,48132,9742,6016,15760,3472,6931,10402,640,940,1577,830,739,1570,14685,14629,29317,7663,9500,17158,5.7,5,5.4,63.4,58.6,60.9,59.8,55.6,57.6,1434,1700,3137,522,956,1473,3394,4500,7892,1935,2399,4333,5595,3025,8619,244,425,669,326,524,849,6161,3974,10137,22754,24546,47294,3755,3893,7650,15377,16643,32017,9743,10457,20202
60103,23451,24493,47945,9239,5542,14780,3982,6374,10353,693,875,1574,1130,944,2081,15046,13739,28785,7311,9612,16921,7.5,6.9,7.2,64.2,56.1,60,59.3,52.2,55.7,1625,1608,3234,243,486,730,2615,3032,5646,1417,1909,3325,5506,3470,8975,316,514,831,247,443,698,6070,4433,10502,22438,23428,45861,4190,3952,8140,14666,15577,30240,10583,10563,21143
60104,13787,15362,29155,6006,3596,9597,2382,4847,7233,370,562,935,515,473,985,9271,9479,18751,4201,5512,9716,5.5,5,5.3,67.2,61.7,64.3,63.5,58.6,60.9,1285,1554,2838,363,749,1110,2624,3458,6076,1178,1586,2768,2979,1671,4653,126,211,342,206,330,532,3308,2209,5521,14392,15547,29941,2299,2455,4747,9686,10516,20199,6137,6684,12822
60105,23581,25370,48954,8985,6577,15561,4845,7419,12266,680,941,1618,1197,985,2179,15705,15917,31626,6636,8196,14828,7.6,6.2,6.9,66.6,62.7,64.6,61.5,58.9,60.2,3706,4256,7963,789,1359,2148,6093,7250,13348,1802,2158,3958,2752,1501,4249,210,239,451,259,361,619,3218,2102,5319,20476,21758,42237,5295,5602,10893,12973,13903,26876,11846,12511,24359
60106,7319,7672,14990,3060,1687,4749,1032,2171,3207,273,361,634,210,214,421,4576,4429,9004,2359,2834,5194,4.5,4.8,4.7,62.5,57.8,60.1,59.6,55,57.3,213,273,485,80,194,267,644,1010,1646,498,812,1309,2254,1294,3549,73,181,254,92,179,267,2424,1649,4070,7208,7396,14604,1041,1176,2217,4787,4799,9581,3051,3364,6415
60201,34650,37681,72330,14278,8566,22845,5446,10500,15937,963,1274,2241,1535,1184,2712,22221,21517,43736,10677,14499,25175,6.9,5.5,6.2,64.1,57.1,60.5,59.7,54,56.7,2033,2014,4043,515,946,1461,4258,6216,10481,2345,3239,5589,7986,5012,12994,450,802,1257,423,793,1213,8859,6608,15465,33491,35825,69317,6117,6586,12702,21634,22958,44596,15987,17438,33422
60202,9775,10156,19934,3671,1934,5600,1300,2739,4041,322,361,682,301,284,581,5589,5311,10899,3667,4308,7970,5.4,5.3,5.3,57.2,52.3,54.7,54.1,49.5,51.8,242,292,539,84,244,326,763,1283,2047,685,980,1671,2707,1471,4181,98,280,381,145,211,356,2949,1965,4915,9808,9904,19705,1228,1314,2546,6930,6968,13905,3595,3801,7400
60203,16396,16495,32891,6041,3016,9061,1973,4300,6267,547,612,1158,531,441,976,9088,8371,17463,6275,7123,13399,5.9,5.3,5.6,55.5,50.7,53.1,52.2,48,50.1,359,448,805,153,321,467,1112,1985,3097,973,1446,2422,4562,2309,6871,220,381,595,208,367,570,4989,3055,8041,15943,15857,31793,2147,2185,4333,11297,10928,22220,5921,6301,12226
60301,5447,4871,10316,2123,1026,3150,613,1242,1854,257,240,496,179,141,317,3178,2647,5824,1831,1861,3689,5.6,5.3,5.5,58.4,54.4,56.5,55.1,51.5,53.4,94,115,209,30,82,107,298,454,751,268,418,687,1425,779,2200,66,136,204,45,102,146,1532,1022,2558,5314,4758,10069,578,581,1158,3866,3388,7252,1756,1714,3471
60302,8916,8901,17821,2944,1595,4533,1388,2424,3810,344,347,689,319,204,520,4994,4560,9556,3342,3786,7132,6.3,4.5,5.4,56,51.2,53.6,52.5,48.9,50.7,440,491,925,139,293,427,997,1503,2497,667,922,1591,2310,1174,3487,110,184,292,124,176,303,2542,1536,4075,8721,8611,17333,1189,1262,2448,5891,5698,11588,3529,3721,7254
60303,3559,3348,6900,960,495,1460,534,796,1333,153,140,298,93,65,156,1745,1502,3246,1509,1580,3092,5.4,4.3,4.9,49.1,44.8,47,46.5,42.9,44.7,150,166,314,41,85,128,360,452,816,260,351,611,865,385,1255,41,69,112,60,79,143,969,535,1504,3065,2892,5957,520,501,1023,2166,1975,4140,1309,1332,2642
60401,19407,21586,40994,7457,4217,11673,2400,5586,7989,684,766,1453,713,544,1255,11252,11117,22370,7093,9419,16511,6.3,4.9,5.6,58,51.5,54.6,54.3,49,51.5,410,550,960,205,432,636,1359,2320,3678,1110,1878,2984,5547,3350,8896,255,551,808,261,499,761,6067,4399,10466,19240,20705,39948,2833,3326,6155,13265,14059,27323,7682,8888,16573
60402,19106,20591,39690,7353,4116,11473,2483,5431,7917,748,708,1458,681,523,1206,11267,10783,22052,6774,8768,15538,6.1,4.9,5.5,59,52.4,55.6,55.4,49.8,52.5,501,547,1051,200,389,586,1382,2414,3802,1190,1847,3042,5396,3317,8718,270,531,806,282,480,756,5949,4327,10276,18563,19606,38170,3037,3345,6385,12435,12989,25423,8121,8968,17094
60403,7796,7106,14900,3292,1455,4747,864,1812,2675,337,294,633,239,212,449,4733,3773,8507,2351,2724,5078,5,5.6,5.3,60.7,53.1,57.1,57.7,50.1,54.1,204,159,372,57,104,167,512,761,1277,413,576,987,2194,1114,3302,92,175,270,99,125,221,2380,1413,3788,7157,6618,13771,1264,1161,2426,4916,4451,9366,3082,2902,5985
69797,289,73,362,208,30,237,11,11,19,10,9,19,4,0,3,230,50,282,31,24,58,0.9,2,1.1,79,67.1,76.6,78.4,65.8,75.8,0,3,3,0,3,4,33,10,46,37,7,44,63,15,76,7,0,6,9,4,13,76,25,98,158,48,207,33,11,50,117,28,146,76,32,107
70101,14616,14125,28743,7255,5614,12873,1751,2727,4469,797,895,1686,329,309,637,10129,9541,19672,2415,2826,5243,3.3,3.2,3.2,69.3,67.5,68.4,67,65.4,66.2,1352,1548,2901,358,625,988,2768,3568,6338,1428,1361,2789,2587,1228,3813,114,153,266,186,206,390,2889,1579,4465,10490,10196,20687,3795,3865,7661,5157,4847,10009,8477,8624,17103
70102,22173,23453,45624,10276,8124,18398,3028,4893,7915,920,1146,2068,750,664,1416,14971,14824,29793,5299,6671,11963,5,4.5,4.7,67.5,63.2,65.3,64.1,60.4,62.2,1812,2079,3892,458,979,1435,3293,4971,8268,1747,1993,3741,4559,2270,6830,268,353,624,295,368,665,5125,2989,8117,20661,21412,42076,4797,5024,9825,12497,12809,25299,11300,12098,23394
70103,11944,9940,21886,4693,3048,7740,911,1731,2644,751,653,1400,264,190,453,6623,5619,12243,3701,2790,6489,4,3.4,3.7,55.5,56.5,55.9,53.2,54.6,53.9,228,329,556,97,306,404,699,1295,1995,767,1009,1781,3531,1367,4896,157,213,372,155,183,340,3846,1755,5608,9287,8353,17645,1814,1711,3526,6508,5948,12457,4042,3633,7679
70104,13334,14154,27484,7418,5793,13208,1471,2923,4398,587,716,1303,434,408,843,9904,9847,19753,2204,3145,5347,4.4,4.2,4.3,74.3,69.6,71.9,71.1,66.7,68.8,419,581,1003,156,457,610,1151,2122,3271,1124,1466,2587,3945,2371,6320,233,347,579,189,237,428,4366,2961,7324,12868,13301,26169,3380,3626,7009,6641,6602,13239,8230,9008,17240
70201,16900,17233,34134,6789,5554,12343,1502,2510,4013,840,952,1795,499,456,958,9630,9471,19103,5250,5981,11232,5.2,4.8,5,57,55,56,54,52.3,53.2,816,1086,1905,232,584,817,1800,2903,4708,1123,1301,2427,3283,1694,4975,153,282,440,211,282,495,3653,2253,5906,14595,14952,29548,3609,3983,7587,9390,9678,19064,7480,8053,15535
70202,2696,2559,5261,865,693,1549,168,231,402,153,151,311,136,108,252,1326,1186,2514,1076,1158,2230,10.4,9.4,9.9,49.1,46.3,47.7,43.9,42,43,72,85,152,34,62,93,197,278,472,163,178,341,545,254,796,35,62,97,33,51,85,614,361,981,2447,2373,4813,538,558,1097,1703,1666,3362,1062,1026,2083
70203,8242,7981,16223,1657,1270,2926,553,749,1296,581,584,1167,474,389,865,3265,2993,6250,3819,3922,7741,14.5,12.9,13.8,39.6,37.4,38.5,33.8,32.6,33.2,166,235,406,66,181,250,485,725,1215,334,445,779,1343,568,1912,144,166,310,100,93,195,1586,827,2414,7816,7467,15283,1113,1130,2243,6249,6015,12263,2067,2036,4098
70204,5696,5068,10761,1561,1126,2690,299,533,834,165,151,313,300,276,576,2320,2094,4414,2212,2369,4580,12.9,13.2,13,40.8,41.2,41,35.5,35.8,35.6,90,143,235,37,101,134,255,410,670,164,199,363,812,313,1117,67,90,158,86,103,185,963,498,1462,5245,5071,10314,740,770,1519,3900,3804,7708,1600,1612,3210
70205,10414,9709,20126,3133,2403,5541,647,963,1611,666,674,1335,365,302,661,4808,4341,9150,3617,3998,7617,7.5,6.9,7.3,46.2,44.7,45.5,42.7,41.6,42.2,291,351,640,99,229,322,716,1221,1932,613,751,1359,2190,980,3166,193,206,400,165,183,343,2540,1364,3907,8665,8244,16912,1887,2009,3894,5994,5782,11777,3808,3842,7650
79797,414,64,482,215,21,235,12,3,16,18,4,27,4,0,4,253,35,285,29,15,47,1.6,0,1.4,60.7,48.4,59.1,59.8,48.4,58.2,0,0,0,4,8,11,38,8,42,58,6,63,88,8,96,10,0,10,21,0,23,115,9,131,230,46,276,47,6,52,164,28,193,112,20,129
80101,42172,44043,86215,20522,15185,35704,6630,10784,17421,1328,1820,3148,1402,1112,2516,29885,28908,58792,10785,13726,24512,4.7,3.9,4.3,70.9,65.6,68.2,67.5,63.1,65.3,5606,5343,10945,1459,2369,3830,9018,11016,20034,3480,4583,8064,6668,3817,10489,419,522,944,490,913,1406,7581,5256,12839,41184,42472,83661,8640,8575,17213,26385,27436,53817,20766,21112,41875
80103,1249,604,1852,350,148,499,68,104,171,12,6,24,33,21,54,462,284,745,523,174,697,6.5,7.5,6.8,37.1,46.8,40.2,34.7,43.3,37.5,28,24,53,14,21,34,109,78,184,42,49,95,175,58,232,11,9,15,10,11,22,192,76,268,504,386,895,180,114,295,350,248,599,312,233,547
80104,32946,33911,66856,19427,13924,33353,4933,8552,13482,1030,1439,2472,1023,915,1936,26412,24823,51237,5501,8083,13580,3.9,3.7,3.8,80.2,73.2,76.6,77.1,70.5,73.7,5653,4620,10273,978,1525,2504,7027,8965,15989,3285,3757,7039,4373,2958,7330,279,362,640,358,606,956,5008,3916,8933,33506,34217,67716,7985,7710,15692,17773,18289,36061,20792,20928,41717
80105,26692,27495,54189,13120,10564,23687,4506,6872,11374,755,1052,1808,928,787,1720,19316,19276,38590,5512,6704,12215,4.8,4.1,4.5,72.4,70.1,71.2,68.9,67.2,68,5281,5398,10680,1131,1719,2850,7225,7970,15193,1474,1721,3190,2003,1133,3135,171,188,360,187,322,504,2353,1642,3998,20106,20622,40724,8168,8608,16775,10108,10656,20763,17148,17616,34762
80106,13375,14471,27846,7136,5875,13005,1702,2662,4368,338,536,871,285,257,545,9457,9326,18787,2986,4191,7173,3,2.8,2.9,70.7,64.4,67.5,68.6,62.7,65.5,2997,2787,5784,630,1023,1653,3948,4456,8402,850,1168,2020,1026,546,1566,46,89,136,91,196,292,1164,834,1990,10982,11765,22747,3471,3758,7224,5835,6396,12235,8105,8555,16653
80107,34689,36609,71298,17883,13155,31033,4785,8530,13313,1128,1573,2694,1016,762,1785,24816,24017,48832,8911,11583,20491,4.1,3.2,3.6,71.5,65.6,68.5,68.6,63.5,66,2637,2303,4940,947,1635,2577,5547,7426,12972,3482,4606,8089,7416,4176,11591,370,550,919,551,938,1480,8329,5666,13998,36581,37811,74394,5195,5341,10539,25679,26784,52460,13774,14240,28012
80108,9322,10234,19563,4332,3297,7630,1316,2276,3594,270,428,698,249,202,452,6169,6202,12375,2827,3683,6509,4.1,3.2,3.6,66.2,60.6,63.2,63.5,58.6,60.9,1256,1256,2509,390,668,1065,2145,2622,4770,879,1045,1926,1338,686,2024,59,111,165,116,231,342,1510,1024,2529,9753,10531,20289,1504,1502,3005,6711,7335,14045,3975,4109,8087
80109,15672,16992,32665,7588,6110,13700,2341,3646,5990,439,633,1076,423,345,771,10805,10732,21535,4168,5589,9757,3.9,3.2,3.6,68.9,63.2,65.9,66.2,61.1,63.6,2914,2589,5507,687,1058,1745,4115,4925,9040,1257,1688,2947,1647,940,2589,91,157,254,166,322,488,1906,1417,3328,14655,15707,30358,3526,3558,7089,8763,9555,18318,8571,8907,17482
80110,4228,4500,8728,2806,2244,5048,595,997,1595,119,216,334,95,136,231,3610,3596,7207,471,760,1226,2.7,3.8,3.2,85.5,79.9,82.6,83.2,76.9,79.9,915,811,1726,139,231,366,1202,1561,2763,371,421,795,454,262,718,20,34,54,43,45,82,518,337,855,3677,3838,7516,1636,1719,3355,1195,1267,2463,3705,3897,7605
80111,245,249,490,137,92,231,35,64,102,18,17,35,5,4,12,200,177,375,27,57,84,2,2.3,2.1,80.7,71.4,76,79.1,69.8,74.4,12,18,31,5,16,23,31,63,102,20,39,59,69,22,90,0,0,8,0,8,8,69,30,104,269,256,522,37,34,70,172,162,337,103,112,219
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101,1025,680,1699,411,244,649,67,130,194,33,25,52,3,6,12,513,404,918,311,115,428,1,1.7,1.3,50.2,59.7,54,49.7,58.7,53.3,21,26,45,15,21,33,53,91,144,51,60,109,190,64,258,20,19,37,6,11,12,213,99,313,617,518,1141,125,115,237,442,384,833,254,217,469
90102,292,286,577,105,75,182,44,42,88,12,7,18,7,6,5,168,135,301,61,87,153,1.8,3.8,2.7,56.3,46.3,51.4,55.3,44.6,50,8,11,16,0,5,9,18,27,51,13,15,23,60,22,86,3,7,17,0,0,0,69,33,98,254,231,484,34,38,64,207,180,392,63,70,132
90103,226,165,390,141,58,201,0,19,18,5,9,19,0,0,3,150,88,239,34,36,71,0.7,4.5,2.1,67.4,53.9,61.7,67,51.5,60.4,10,8,26,9,5,16,49,23,65,16,10,27,26,18,45,4,0,12,0,3,5,35,25,61,145,126,273,48,33,79,75,74,154,103,73,177
90104,907,1029,1937,340,270,617,157,310,467,51,57,102,20,12,27,565,648,1216,218,269,483,3,2,2.5,62.4,62.8,62.6,60.6,61.5,61.1,27,32,57,8,34,35,81,134,218,61,123,183,272,104,372,9,25,36,12,24,41,298,148,441,765,856,1619,180,179,356,523,578,1105,372,431,803
99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
