SA3_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
30102,21,14,47,92,129,223,635,953,537,2640,7,3,11,28,39,31,26,26,13,182,156,150,308,369,443,452,577,539,417,3411,2535,4628,8566,10791,12763,12820,11501,6891,2564,73052
30103,11,4,35,46,106,161,456,647,362,1837,0,6,20,21,36,29,22,28,24,183,110,119,280,317,317,238,252,310,274,2210,1669,3730,8394,10844,10835,8392,6155,3472,1433,54925
30201,4,5,12,16,42,68,197,406,273,1024,0,7,14,22,19,21,27,17,21,148,49,64,176,151,122,97,99,115,109,985,1057,2888,6034,6786,6042,4926,3873,2410,1105,35125
30202,16,7,52,61,86,155,377,731,534,2021,0,4,29,54,47,50,42,42,32,294,117,188,530,403,341,323,347,464,554,3262,1650,4848,11989,11048,9617,7569,5745,4034,2342,58840
30203,6,10,29,29,79,116,213,329,207,1023,0,4,29,29,27,27,20,20,30,182,84,174,436,334,262,202,178,112,82,1865,886,2888,8243,7152,5515,4526,3197,1705,779,34892
30204,16,23,44,66,101,182,504,761,405,2097,0,12,32,59,58,73,45,33,16,327,89,146,358,275,261,215,271,314,286,2219,1338,3357,8196,8978,8078,6806,5527,3392,1473,47142
30301,4,9,19,23,42,99,256,471,361,1279,0,3,9,14,18,27,37,33,24,168,63,104,223,206,164,142,134,151,110,1288,1244,3557,7623,8285,7427,5907,4342,2464,1069,41914
30302,14,10,41,60,99,140,274,399,312,1333,5,16,48,47,34,61,40,38,47,327,112,310,708,468,410,444,414,385,280,3538,1916,8180,16834,12173,9707,7455,5185,3097,1576,66114
30303,11,18,53,73,128,175,399,659,395,1916,6,16,80,62,84,87,98,72,52,561,149,283,568,426,319,267,240,256,199,2707,2104,5839,12108,12321,10036,7555,5781,3658,1489,60895
30304,5,11,30,45,66,80,170,319,196,930,0,4,27,36,53,50,38,35,14,255,80,165,319,203,145,128,126,113,77,1350,1004,2974,6583,6262,5124,3899,2691,1717,781,31033
30305,10,11,79,139,186,235,385,395,240,1694,4,27,132,137,148,147,131,56,36,809,140,177,509,440,315,212,210,178,161,2344,1642,4061,10529,11515,8006,6527,4767,2106,824,49971
30306,11,14,75,91,152,206,340,449,213,1542,8,15,97,132,109,137,125,71,71,767,101,178,468,354,253,198,185,140,89,1970,1187,3663,8432,7657,5594,5171,4213,2222,839,38978
30401,0,0,5,10,33,60,114,152,107,485,4,0,15,8,21,34,21,18,12,141,26,24,62,85,76,74,100,133,118,700,775,1619,3341,4709,4540,4071,3439,1758,709,24973
30402,3,0,10,23,19,28,68,140,106,396,0,6,3,9,14,12,15,10,7,79,36,43,65,102,96,76,117,233,294,1070,1267,2407,3262,6491,7550,5493,4401,2782,1151,34797
30403,4,6,11,21,27,43,88,129,105,421,0,6,26,34,18,34,15,9,3,147,112,206,311,209,141,109,142,130,102,1456,2994,6468,7857,7395,6396,4593,3918,2282,898,42805
30404,17,3,24,26,51,67,149,311,275,915,0,4,16,26,32,27,24,21,8,151,96,156,213,197,137,124,116,115,99,1259,1471,3179,6467,8071,7773,5154,4211,2575,1152,40052
30501,8,34,77,73,85,94,206,300,180,1059,3,30,96,57,46,36,54,60,46,426,395,1016,2678,1696,1232,972,662,424,267,9347,2808,11374,25907,14846,10867,8495,5626,2709,1047,83691
30502,0,8,13,18,25,50,109,176,136,529,0,0,21,14,10,14,16,17,15,109,81,140,348,262,211,147,114,88,47,1429,1010,3347,7686,7397,6320,4442,2633,1176,506,34517
30503,13,6,38,49,71,109,205,352,235,1073,0,7,51,35,38,30,20,32,25,235,170,551,1284,804,633,483,377,315,196,4818,2435,9824,22086,15430,13186,9672,6259,3438,1397,83723
30504,0,5,13,16,26,26,75,149,116,433,0,3,14,13,14,13,7,18,14,97,71,165,387,226,224,175,203,185,114,1749,1772,6347,10306,8427,8373,5769,3920,1954,725,47597
30601,11,5,33,52,54,129,241,253,141,913,3,3,14,24,15,25,23,19,5,128,171,156,362,394,428,418,377,262,91,2660,1463,2619,6173,8069,8746,8003,6248,2802,723,44850
30602,34,34,143,240,267,424,723,821,422,3113,11,19,94,136,183,163,131,95,32,865,667,1039,2540,1818,1726,1624,1497,915,408,12229,2980,6680,16080,14578,14829,13208,10447,5221,1787,85813
