SA3_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
10102,706,614,1324,1962,1754,3724,728,571,1298,233,271,499,2927,2601,5531,1081,1022,2098,749,698,1451,281,277,561,2120,1996,4109,99,88,188,111,109,219,344,184,522,318,517,833,3,3,8,876,898,1773,342,500,837,217,262,483,88,140,232,421,710,1134,4,8,12,1069,1620,2690,1951,2523,4473,103,73,176,168,251,423,0,4,6,275,330,604,1695,1520,3216,32,48,76,9700,9631,19323
10103,216,204,420,648,563,1212,180,169,344,173,144,317,996,875,1877,502,438,938,102,96,201,225,247,471,830,781,1607,33,27,62,15,44,58,78,83,158,139,204,337,0,0,0,268,354,624,115,173,287,32,66,100,40,79,116,102,221,318,0,3,6,285,536,825,554,896,1450,20,29,48,34,59,97,0,3,7,55,89,148,1544,1076,2622,89,69,162,4293,3989,8283
10104,593,532,1129,1859,1712,3575,443,439,882,273,257,533,2579,2413,4993,1282,1197,2478,494,509,1006,250,253,505,2027,1961,3988,70,60,127,47,90,136,298,198,489,278,507,778,13,9,21,696,852,1550,102,217,320,59,175,235,31,64,101,175,430,600,3,0,9,368,892,1260,1067,1741,2809,45,48,93,73,169,239,5,3,5,121,219,344,2889,2859,5746,43,40,86,9331,9770,19103
10105,391,373,763,1123,1046,2171,357,345,701,46,40,86,1525,1432,2954,823,800,1617,250,229,473,57,47,104,1123,1070,2198,64,46,109,36,42,76,190,151,344,177,290,463,4,3,12,464,532,998,203,213,413,133,130,263,23,48,71,106,242,344,7,4,8,468,633,1103,937,1169,2101,85,67,149,52,79,137,0,0,0,145,147,288,1771,1233,3003,18,12,39,5903,5434,11337
10106,409,378,784,1217,1118,2335,461,429,891,90,107,203,1766,1653,3425,747,723,1471,400,421,817,139,160,299,1283,1301,2583,32,40,76,32,53,83,186,135,318,144,302,445,7,4,14,401,532,931,112,205,317,24,91,113,34,53,85,116,265,377,0,0,0,280,612,894,684,1148,1832,30,33,63,38,85,129,0,0,3,74,120,195,1391,1175,2569,14,19,35,5619,5802,11422
10201,2189,1933,4125,5236,4808,10047,1109,989,2094,1129,1010,2139,7486,6823,14318,3652,3589,7243,946,842,1787,1190,1234,2422,5806,5673,11477,231,273,508,194,327,522,893,467,1357,714,1326,2042,12,9,17,2047,2400,4448,1161,1636,2796,393,650,1046,219,358,575,624,1310,1932,5,16,20,2407,3968,6373,4456,6374,10830,124,146,270,272,445,718,6,6,10,406,597,1000,4026,4612,8636,111,107,217,24479,26127,50598
10202,2068,1920,3987,5075,4664,9744,1233,1284,2521,674,606,1277,6997,6564,13562,3669,3463,7136,1072,1110,2179,595,641,1238,5351,5217,10571,183,299,485,146,326,470,899,545,1438,699,1282,1977,16,16,27,1939,2459,4399,716,1117,1838,260,533,794,196,281,477,403,980,1379,3,11,9,1578,2919,4499,3527,5388,8913,133,165,295,228,379,612,6,5,4,365,542,914,4512,5106,9623,70,67,138,22891,24807,47698
10301,543,507,1051,1327,1183,2506,669,648,1318,121,125,248,2118,1963,4076,1056,856,1916,408,585,987,335,271,613,1804,1711,3517,51,79,127,36,98,133,248,178,420,215,380,595,0,11,10,548,737,1286,321,537,861,91,135,227,62,92,159,191,363,555,0,6,9,666,1140,1804,1223,1877,3098,34,23,65,64,102,162,3,3,6,104,131,237,2540,1360,3902,31,28,53,8357,7581,15932
10302,558,576,1136,1671,1589,3261,506,525,1030,106,98,202,2286,2211,4499,1117,1008,2124,455,521,969,145,141,286,1718,1669,3387,48,54,106,26,51,78,207,195,408,166,385,553,9,0,10,461,689,1150,70,153,223,32,69,102,44,87,129,83,260,349,4,0,3,233,577,809,694,1264,1960,31,31,64,46,87,131,0,5,4,83,114,200,2459,2330,4796,26,21,47,7826,8192,16020
10303,476,427,900,1466,1389,2851,502,471,970,36,52,93,2007,1904,3914,967,965,1926,365,371,733,90,77,171,1424,1416,2837,54,61,122,24,63,91,254,156,409,216,376,592,6,7,11,561,668,1221,98,177,276,39,96,137,24,54,73,112,261,377,0,0,3,276,592,868,838,1260,2097,30,35,62,54,105,160,0,0,5,90,142,230,2242,1716,3960,17,19,34,7091,6881,13974
