STE_CODE_2021,F_150_299_15_19_yr,F_150_299_20_24_yr,F_150_299_25_34_yr,F_150_299_35_44_yr,F_150_299_45_54_yr,F_150_299_55_64_yr,F_150_299_65_74_yr,F_150_299_75_84_yr,F_150_299_85_yr_over,F_150_299_Tot,F_300_399_15_19_yr,F_300_399_20_24_yr,F_300_399_25_34_yr,F_300_399_35_44_yr,F_300_399_45_54_yr,F_300_399_55_64_yr,F_300_399_65_74_yr,F_300_399_75_84_yr,F_300_399_85_yr_over,F_300_399_Tot,F_400_499_15_19_yr,F_400_499_20_24_yr,F_400_499_25_34_yr,F_400_499_35_44_yr,F_400_499_45_54_yr,F_400_499_55_64_yr,F_400_499_65_74_yr,F_400_499_75_84_yr,F_400_499_85_yr_over,F_400_499_Tot,F_500_649_15_19_yr,F_500_649_20_24_yr,F_500_649_25_34_yr,F_500_649_35_44_yr,F_500_649_45_54_yr,F_500_649_55_64_yr,F_500_649_65_74_yr,F_500_649_75_84_yr,F_500_649_85_yr_over,F_500_649_Tot,F_650_799_15_19_yr,F_650_799_20_24_yr,F_650_799_25_34_yr,F_650_799_35_44_yr,F_650_799_45_54_yr,F_650_799_55_64_yr,F_650_799_65_74_yr,F_650_799_75_84_yr,F_650_799_85_yr_over,F_650_799_Tot,F_800_999_15_19_yr,F_800_999_20_24_yr,F_800_999_25_34_yr,F_800_999_35_44_yr,F_800_999_45_54_yr,F_800_999_55_64_yr,F_800_999_65_74_yr,F_800_999_75_84_yr,F_800_999_85_yr_over,F_800_999_Tot,F_1000_1249_15_19_yr,F_1000_1249_20_24_yr,F_1000_1249_25_34_yr,F_1000_1249_35_44_yr,F_1000_1249_45_54_yr,F_1000_1249_55_64_yr,F_1000_1249_65_74_yr,F_1000_1249_75_84_yr,F_1000_1249_85_yr_over,F_1000_1249_Tot,F_1250_1499_15_19_yr,F_1250_1499_20_24_yr,F_1250_1499_25_34_yr,F_1250_1499_35_44_yr,F_1250_1499_45_54_yr,F_1250_1499_55_64_yr,F_1250_1499_65_74_yr,F_1250_1499_75_84_yr,F_1250_1499_85_yr_over,F_1250_1499_Tot,F_1500_1749_15_19_yr,F_1500_1749_20_24_yr,F_1500_1749_25_34_yr,F_1500_1749_35_44_yr,F_1500_1749_45_54_yr,F_1500_1749_55_64_yr,F_1500_1749_65_74_yr,F_1500_1749_75_84_yr,F_1500_1749_85_yr_over,F_1500_1749_Tot,F_1750_1999_15_19_yr,F_1750_1999_20_24_yr,F_1750_1999_25_34_yr,F_1750_1999_35_44_yr,F_1750_1999_45_54_yr,F_1750_1999_55_64_yr,F_1750_1999_65_74_yr,F_1750_1999_75_84_yr,F_1750_1999_85_yr_over,F_1750_1999_Tot,F_2000_2999_15_19_yr,F_2000_2999_20_24_yr,F_2000_2999_25_34_yr,F_2000_2999_35_44_yr,F_2000_2999_45_54_yr,F_2000_2999_55_64_yr,F_2000_2999_65_74_yr,F_2000_2999_75_84_yr,F_2000_2999_85_yr_over,F_2000_2999_Tot,F_3000_3499_15_19_yr,F_3000_3499_20_24_yr,F_3000_3499_25_34_yr,F_3000_3499_35_44_yr,F_3000_3499_45_54_yr,F_3000_3499_55_64_yr,F_3000_3499_65_74_yr,F_3000_3499_75_84_yr,F_3000_3499_85_yr_over,F_3000_3499_Tot,F_3500_more_15_19_yr,F_3500_more_20_24_yr,F_3500_more_25_34_yr,F_3500_more_35_44_yr,F_3500_more_45_54_yr,F_3500_more_55_64_yr,F_3500_more_65_74_yr,F_3500_more_75_84_yr,F_3500_more_85_yr_over,F_3500_more_Tot,F_Personal_inc_ns_15_19_yr,F_Personal_inc_ns_20_24_yr,F_Personal_inc_ns_25_34_yr,F_Personal_inc_ns_35_44_yr,F_Personal_inc_ns_45_54_yr,F_Personal_inc_ns_55_64_yr,F_Personal_inc_ns_65_74_yr,F_Personal_inc_ns_75_84_yr,F_Personal_inc_ns_85_yr_over,F_Personal_inc_ns_Tot,F_OS_vis_15_19_yr,F_OS_vis_20_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_OS_vis_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Neg_Nil_inc_15_19_yr,P_Neg_Nil_inc_20_24_yr,P_Neg_Nil_inc_25_34_yr,P_Neg_Nil_inc_35_44_yr,P_Neg_Nil_inc_45_54_yr,P_Neg_Nil_inc_55_64_yr,P_Neg_Nil_inc_65_74_yr,P_Neg_Nil_inc_75_84_yr,P_Neg_Nil_inc_85_yr_over,P_Neg_Nil_inc_Tot,P_1_149_15_19_yr,P_1_149_20_24_yr,P_1_149_25_34_yr,P_1_149_35_44_yr,P_1_149_45_54_yr,P_1_149_55_64_yr,P_1_149_65_74_yr,P_1_149_75_84_yr,P_1_149_85_yr_over,P_1_149_Tot,P_150_299_15_19_yr,P_150_299_20_24_yr,P_150_299_25_34_yr,P_150_299_35_44_yr,P_150_299_45_54_yr,P_150_299_55_64_yr,P_150_299_65_74_yr,P_150_299_75_84_yr,P_150_299_85_yr_over,P_150_299_Tot,P_300_399_15_19_yr,P_300_399_20_24_yr,P_300_399_25_34_yr,P_300_399_35_44_yr,P_300_399_45_54_yr,P_300_399_55_64_yr,P_300_399_65_74_yr,P_300_399_75_84_yr,P_300_399_85_yr_over,P_300_399_Tot
1,27795,19656,17496,18389,17817,26352,28271,15396,4886,176048,12420,19545,23248,23134,26824,40919,70143,45099,12802,274136,9284,19617,26627,25503,27780,39114,67008,56837,31578,303352,8961,28353,43171,38564,37223,40687,45324,28050,12910,283239,5774,29548,50517,44270,41030,38620,30670,16241,5302,261975,3218,29568,59989,49979,48374,41515,23456,10463,3718,270276,1451,25001,69642,55461,52091,43947,20202,6642,2120,276563,443,15013,57963,44007,39526,30041,11555,3335,1130,203015,179,6206,49353,40834,36004,25361,9008,3297,1257,171496,89,2305,33525,33033,29297,19362,6016,1744,586,125971,77,1600,44611,62418,52189,29960,7820,2177,735,201585,36,238,6377,13696,11856,6340,2069,738,313,41661,124,378,6627,22084,23752,11899,4365,2044,794,72057,13958,15770,38127,32796,27756,25675,25505,25850,25841,231272,243,621,1539,954,931,1812,1462,445,127,8132,221757,241550,578519,559136,519964,492722,406224,239983,112755,3372615,199426,43456,62463,58223,53682,82595,66415,27791,10795,604856,83022,16587,11554,13239,13747,22288,24394,10799,3613,199247,50327,37744,28686,27188,28339,42984,49195,27874,8832,301177,22182,36319,40483,37003,44310,69161,127841,91770,27188,496260
2,23480,20786,17154,17491,15946,20768,21840,11804,4058,153329,8806,19489,21440,20341,21909,30891,52221,34588,10058,219740,5595,17883,23017,22204,24044,30380,52565,44954,25951,246589,4862,22900,36577,32980,32026,32125,35435,21752,10046,228714,2928,21178,41666,37848,35061,31161,24397,12391,4288,210921,1763,22419,52719,43636,41018,32904,18185,7653,2952,223238,775,18932,61571,46652,43186,34031,14622,4674,1573,226023,202,9747,52112,37478,32307,23716,8453,2507,838,167371,105,3822,43713,35232,30284,20519,6528,2347,935,143479,48,1290,25806,26806,22377,14241,4142,1172,455,96342,45,915,31196,45597,37691,21037,5175,1564,585,143798,32,191,4107,9704,8690,4546,1376,497,222,29363,77,280,3621,14254,16251,8065,3022,1425,617,47620,10562,12115,29543,25060,21862,19209,19428,18585,17721,174086,202,438,1018,620,747,1469,1238,377,99,6215,176941,199893,491818,465234,423787,381901,309856,182655,87282,2719371,163381,38974,55663,51851,44991,65175,51204,20663,8382,500289,77744,18375,11833,12863,12474,17643,18530,8264,2851,180585,42361,38780,27259,24931,24392,33330,38004,21434,7290,257784,15585,35479,37012,31597,35280,50611,93602,69461,21158,389793
3,21922,12657,12358,11771,11667,17018,18731,9034,2472,117634,9357,13270,16235,14948,16855,26062,48924,29031,6739,181416,6802,12938,18326,17282,18994,25533,47750,36760,18162,202547,6985,19407,30919,27465,26370,28483,34183,20008,7640,201469,4539,21624,36790,32478,30006,26782,20865,10199,2989,186263,2592,21875,44309,37191,36049,29110,15214,5959,1818,194122,1138,15887,44318,38710,37707,29749,11750,3454,1067,183777,375,8942,33406,29878,28060,20453,6640,1666,534,129945,157,4174,27832,27387,25544,16724,4972,1707,587,109080,80,1518,16584,20505,20287,12580,3242,811,242,75846,60,1268,18883,31316,31047,16894,3788,1007,316,104575,30,178,2478,5504,5564,2976,953,373,122,18179,84,238,2322,7939,9133,4992,2203,1026,345,28281,10262,12029,26597,22154,20550,19137,18426,16102,12878,158138,180,632,1769,712,630,975,852,299,79,6121,153240,161851,360401,355097,346888,321613,267954,147737,59729,2174512,116231,22081,32087,30752,31372,50234,35405,12711,4227,335094,67215,9548,7974,8976,9173,14743,15489,6247,1852,141226,39542,24406,20715,18009,18746,27762,33218,16801,4517,203707,16657,24264,28414,24095,28194,43866,89994,59967,14547,330000
4,7524,5976,5253,4585,4442,6768,7278,3779,1189,46797,2757,5138,6291,5557,6475,10424,18986,12067,3514,71199,1924,4663,6658,6321,7057,10353,19132,16418,9792,82321,1783,6648,11057,9757,9235,10378,12592,8057,4193,73699,964,6050,11831,11034,10166,9692,8459,4387,1816,64404,503,6119,14206,12563,11731,10474,5782,2519,1032,64934,256,4981,15474,13489,13140,11283,4494,1436,519,65066,78,2654,11255,10006,9710,7607,2512,717,257,44795,50,1054,8880,8644,8262,6079,1942,728,284,35922,29,358,4935,6271,6327,4247,1156,329,115,23759,20,240,4799,8630,9010,5771,1521,451,149,30595,9,52,596,1375,1502,942,362,151,50,5045,14,109,558,1967,2501,1730,793,412,185,8281,2571,2531,5719,5070,5057,4981,5231,5210,4485,40853,53,82,266,184,167,294,284,90,31,1446,48025,52918,117667,114884,113485,115736,100961,60352,29059,753076,39822,9071,11413,9625,9428,16314,11373,3899,1708,112649,21892,4528,3240,3220,3326,5540,5932,2277,648,50599,13555,11262,9008,7371,7680,11475,12382,6363,2056,81153,4914,9697,11255,9515,11590,18109,34324,24125,7362,130892
5,10239,7497,7594,7912,6551,8585,9294,4536,1473,63682,4319,7028,8684,8944,8589,11718,21783,13523,3507,88089,3069,6458,9327,9418,8902,11093,21483,16903,8557,95215,2933,8686,14650,14360,12638,12498,15078,8946,3845,93639,1864,8407,15974,15743,13913,11946,9807,4801,1753,84213,1197,8940,19155,17709,16688,13262,7313,2874,1154,88284,590,7508,21844,19473,18745,15190,5906,1686,573,91510,238,4650,17882,15389,14389,11084,3511,860,287,68285,123,2345,15451,13778,13050,9489,2713,802,345,58102,46,850,9890,10091,9678,6516,1753,396,121,39338,56,885,11696,16806,16256,10139,2396,530,207,58972,11,121,1754,3164,3010,1922,573,218,80,10846,41,124,1511,4717,5186,2967,1155,533,174,16412,4447,5170,12627,10812,9593,8530,7891,6985,6230,72288,89,320,818,326,322,599,519,159,59,3202,74614,77932,189288,191359,174994,160317,128659,69285,30508,1096955,60836,11910,21680,21643,18199,26812,20551,6952,2395,190976,32412,6294,5314,5916,4871,7451,8189,3063,1031,74540,18556,14097,11994,11280,10122,13447,16178,8191,2548,106401,7673,12736,14323,13272,13529,18930,39100,27191,7534,154288
6,2135,1506,1676,1355,1416,2308,2388,1100,331,14219,801,1448,2235,1777,2186,3712,6720,3866,893,23644,602,1382,2585,2292,2604,3720,6810,5331,2660,27991,519,1927,4118,3267,3245,3676,4237,2485,1085,24558,318,1913,4337,3467,3376,3291,2798,1436,501,21436,171,1935,4685,3732,3577,3350,1847,768,305,20377,79,1477,4699,3932,3990,3609,1380,474,152,19795,19,808,3261,2855,2865,2321,761,201,51,13134,7,314,2389,2406,2632,2021,595,222,85,10674,4,102,1465,1740,2036,1405,347,91,15,7207,4,56,1304,2344,2650,1819,380,110,43,8706,0,12,129,321,402,277,90,39,13,1281,18,24,180,535,696,490,202,112,39,2304,885,903,2044,1656,1646,1826,1938,1878,1383,14163,6,21,122,42,39,64,42,20,9,369,14511,15260,38488,34082,35806,38417,33353,19091,7891,236894,12157,2091,3748,2433,2598,4900,3079,1095,346,32448,6262,1057,1146,918,1058,1818,1780,676,172,14887,3825,3051,2969,2257,2445,3859,4225,2018,552,25203,1425,2701,4031,2998,3823,6400,12461,8070,1863,43767
7,1057,1125,1927,1476,1106,961,784,233,49,8711,356,641,1173,993,840,1002,1369,502,83,6959,234,421,899,791,737,890,1383,634,204,6198,241,555,1325,985,789,899,985,337,80,6199,228,665,1417,1071,763,793,676,229,47,5876,217,827,1956,1328,1093,962,672,178,39,7267,134,888,2609,1734,1509,1327,609,109,8,8919,54,660,2351,1586,1312,1037,401,63,8,7477,18,317,2100,1611,1356,1062,308,51,3,6830,6,118,1450,1198,1119,796,220,22,4,4939,9,78,1605,2307,2213,1560,340,40,4,8152,0,11,157,307,307,246,88,5,0,1118,4,9,152,399,441,315,128,29,3,1475,912,959,2703,2108,1883,1918,1395,404,113,12393,13,147,278,59,31,118,58,21,8,724,7028,8170,23884,19407,16558,15598,10535,3125,714,105017,4981,901,1745,1277,1027,1968,1486,395,83,13872,2374,731,1051,897,677,662,616,143,44,7189,2058,2224,3577,2621,2023,1667,1393,462,102,16116,664,1112,2023,1712,1501,1725,2625,1085,159,12619
8,1939,1248,807,677,520,789,1158,727,202,8066,775,1354,1015,780,634,1023,1791,1254,362,8981,529,1409,1328,945,837,1123,2264,1881,937,11252,493,1802,2163,1403,1025,1280,1831,1262,541,11803,362,1636,2431,1507,1157,1312,1728,1036,376,11549,308,1839,3397,2209,1597,1653,1672,884,325,13898,162,2058,4391,3047,2190,2013,1618,654,227,16364,65,1865,4840,3142,2158,1867,1109,372,155,15576,17,932,5242,3691,2900,2062,850,290,99,16093,9,253,3468,3384,2750,1772,602,184,55,12490,7,178,4771,7709,6652,3443,758,198,72,23782,4,16,461,1207,1165,626,170,55,19,3720,5,20,364,1648,1975,1072,252,99,46,5485,660,998,1772,1276,935,716,776,680,685,8489,20,43,88,75,63,122,87,21,3,520,13059,17328,39065,35004,28290,23317,18755,10468,4342,189630,10176,2488,3178,2469,1918,2598,2154,784,222,25987,5874,1153,703,627,564,799,1049,502,146,11411,3460,2390,1320,1004,873,1175,1749,1105,317,13386,1354,2544,1839,1265,1178,1695,2924,2269,672,15740
9,11,6,6,12,11,25,19,6,0,92,0,6,7,12,6,16,36,27,6,116,4,8,9,17,18,29,42,32,11,177,5,13,18,23,27,42,32,15,0,173,6,14,22,30,24,28,30,10,0,159,4,21,32,32,44,42,22,4,0,199,3,11,41,29,38,35,11,0,0,165,3,7,26,20,25,28,17,0,0,127,0,5,15,29,28,29,4,0,0,119,0,0,17,11,17,15,3,4,0,75,0,0,19,28,45,21,9,0,0,128,0,0,0,3,11,0,5,6,0,24,0,0,0,0,4,3,0,0,0,11,17,25,66,57,69,74,45,26,3,378,0,7,0,0,0,0,0,0,0,10,113,130,290,332,379,442,309,142,34,2163,51,10,15,17,21,45,38,18,0,211,47,4,0,16,12,19,32,7,0,133,16,14,6,13,14,31,38,20,0,149,4,6,12,20,15,34,79,56,13,229
